Date	Company Code	Company Name	Stock Price
1959-01-31	US0XWP6	FILA	99.33
1959-02-28	US0XWP6	FILA	95.83
1959-03-31	US0XWP6	FILA	90.28
1959-04-30	US0XWP6	FILA	92.31
1959-05-31	US0XWP6	FILA	85.46
1959-06-30	US0XWP6	FILA	87.76
1959-07-31	US0XWP6	FILA	84.87
1959-08-31	US0XWP6	FILA	86.03
1959-09-30	US0XWP6	FILA	85.81
1959-10-31	US0XWP6	FILA	86.62
1959-11-30	US0XWP6	FILA	87.35
1959-12-31	US0XWP6	FILA	92.5
1960-01-31	US0XWP6	FILA	92.92
1960-02-29	US0XWP6	FILA	97.17
1960-03-31	US0XWP6	FILA	98.83
1960-04-30	US0XWP6	FILA	97.5
1960-05-31	US0XWP6	FILA	100.18
1960-06-30	US0XWP6	FILA	105.23
1960-07-31	US0XWP6	FILA	106.51
1960-08-31	US0XWP6	FILA	113.5
1960-09-30	US0XWP6	FILA	108.91
1960-10-31	US0XWP6	FILA	110.56
1960-11-30	US0XWP6	FILA	105.35
1960-12-31	US0XWP6	FILA	102.6
1961-01-31	US0XWP6	FILA	110.15
1961-02-28	US0XWP6	FILA	112.27
1961-03-31	US0XWP6	FILA	114.85
1961-04-30	US0XWP6	FILA	113.93
1961-05-31	US0XWP6	FILA	117.11
1961-06-30	US0XWP6	FILA	114.8
1961-07-31	US0XWP6	FILA	109.3
1961-08-31	US0XWP6	FILA	105.8
1961-09-30	US0XWP6	FILA	112.58
1961-10-31	US0XWP6	FILA	115.9
1961-11-30	US0XWP6	FILA	118.19
1961-12-31	US0XWP6	FILA	113.19
1962-01-31	US0XWP6	FILA	114.63
1962-02-28	US0XWP6	FILA	108.9
1962-03-31	US0XWP6	FILA	105.37
1962-04-30	US0XWP6	FILA	112.64
1962-05-31	US0XWP6	FILA	116.12
1962-06-30	US0XWP6	FILA	120.7
1962-07-31	US0XWP6	FILA	126.26
1962-08-31	US0XWP6	FILA	128.25
1962-09-30	US0XWP6	FILA	131.06
1962-10-31	US0XWP6	FILA	134.01
1962-11-30	US0XWP6	FILA	131.07
1962-12-31	US0XWP6	FILA	136.16
1963-01-31	US0XWP6	FILA	135.05
1963-02-28	US0XWP6	FILA	141.12
1963-03-31	US0XWP6	FILA	141.81
1963-04-30	US0XWP6	FILA	142.73
1963-05-31	US0XWP6	FILA	141.62
1963-06-30	US0XWP6	FILA	144.24
1963-07-31	US0XWP6	FILA	138.8
1963-08-31	US0XWP6	FILA	143.21
1963-09-30	US0XWP6	FILA	145.02
1963-10-31	US0XWP6	FILA	152.76
1963-11-30	US0XWP6	FILA	150.08
1963-12-31	US0XWP6	FILA	145.64
1964-01-31	US0XWP6	FILA	139.83
1964-02-29	US0XWP6	FILA	136.88
1964-03-31	US0XWP6	FILA	136.44
1964-04-30	US0XWP6	FILA	129.43
1964-05-31	US0XWP6	FILA	127.06
1964-06-30	US0XWP6	FILA	125.9
1964-07-31	US0XWP6	FILA	126.37
1964-08-31	US0XWP6	FILA	124.3
1964-09-30	US0XWP6	FILA	123.72
1964-10-31	US0XWP6	FILA	119.72
1964-11-30	US0XWP6	FILA	122.75
1964-12-31	US0XWP6	FILA	124.51
1965-01-31	US0XWP6	FILA	127.52
1965-02-28	US0XWP6	FILA	132.63
1965-03-31	US0XWP6	FILA	127.89
1965-04-30	US0XWP6	FILA	124.6
1965-05-31	US0XWP6	FILA	123.11
1965-06-30	US0XWP6	FILA	117.23
1965-07-31	US0XWP6	FILA	118.2
1965-08-31	US0XWP6	FILA	116.83
1965-09-30	US0XWP6	FILA	108.16
1965-10-31	US0XWP6	FILA	109.5
1965-11-30	US0XWP6	FILA	115.35
1965-12-31	US0XWP6	FILA	124.24
1966-01-31	US0XWP6	FILA	126.58
1966-02-28	US0XWP6	FILA	125.3
1966-03-31	US0XWP6	FILA	126.91
1966-04-30	US0XWP6	FILA	128.22
1966-05-31	US0XWP6	FILA	126.81
1966-06-30	US0XWP6	FILA	125.82
1966-07-31	US0XWP6	FILA	127.93
1966-08-31	US0XWP6	FILA	133.87
1966-09-30	US0XWP6	FILA	130.23
1966-10-31	US0XWP6	FILA	134.34
1966-11-30	US0XWP6	FILA	138.85
1966-12-31	US0XWP6	FILA	141.82
1967-01-31	US0XWP6	FILA	143.99
1967-02-28	US0XWP6	FILA	144.46
1967-03-31	US0XWP6	FILA	141.79
1967-04-30	US0XWP6	FILA	140.45
1967-05-31	US0XWP6	FILA	143.08
1967-06-30	US0XWP6	FILA	148.05
1967-07-31	US0XWP6	FILA	146.98
1967-08-31	US0XWP6	FILA	147.79
1967-09-30	US0XWP6	FILA	150.12
1967-10-31	US0XWP6	FILA	154.01
1967-11-30	US0XWP6	FILA	154.78
1967-12-31	US0XWP6	FILA	154.17
1968-01-31	US0XWP6	FILA	155.2
1968-02-29	US0XWP6	FILA	151.58
1968-03-31	US0XWP6	FILA	147.76
1968-04-30	US0XWP6	FILA	143.77
1968-05-31	US0XWP6	FILA	140.64
1968-06-30	US0XWP6	FILA	143.37
1968-07-31	US0XWP6	FILA	150.81
1968-08-31	US0XWP6	FILA	159.69
1968-09-30	US0XWP6	FILA	160.63
1968-10-31	US0XWP6	FILA	161.94
1968-11-30	US0XWP6	FILA	162.78
1968-12-31	US0XWP6	FILA	162.32
1969-01-31	US0XWP6	FILA	164.85
1969-02-28	US0XWP6	FILA	166.73
1969-03-31	US0XWP6	FILA	164.71
1969-04-30	US0XWP6	FILA	164.63
1969-05-31	US0XWP6	FILA	164.6
1969-06-30	US0XWP6	FILA	157.43
1969-07-31	US0XWP6	FILA	156.88
1969-08-31	US0XWP6	FILA	155.97
1969-09-30	US0XWP6	FILA	153.73
1969-10-31	US0XWP6	FILA	150.29
1969-11-30	US0XWP6	FILA	149.06
1969-12-31	US0XWP6	FILA	149.1
1970-01-31	US0XWP6	FILA	154.44
1970-02-28	US0XWP6	FILA	162.01
1970-03-31	US0XWP6	FILA	160.84
1970-04-30	US0XWP6	FILA	168.32
1970-05-31	US0XWP6	FILA	169.76
1970-06-30	US0XWP6	FILA	173.76
1970-07-31	US0XWP6	FILA	177.48
1970-08-31	US0XWP6	FILA	176.22
1970-09-30	US0XWP6	FILA	178.33
