Date	Company Code	Company Name	Stock Price
1959-01-31	US1SBRJ	Facebook Inc.	91.13
1959-02-28	US1SBRJ	Facebook Inc.	96.16
1959-03-31	US1SBRJ	Facebook Inc.	99.57
1959-04-30	US1SBRJ	Facebook Inc.	98.51
1959-05-31	US1SBRJ	Facebook Inc.	92.19
1959-06-30	US1SBRJ	Facebook Inc.	98.85
1959-07-31	US1SBRJ	Facebook Inc.	99.13
1959-08-31	US1SBRJ	Facebook Inc.	100.03
1959-09-30	US1SBRJ	Facebook Inc.	105.14
1959-10-31	US1SBRJ	Facebook Inc.	106.58
1959-11-30	US1SBRJ	Facebook Inc.	108.57
1959-12-31	US1SBRJ	Facebook Inc.	106.42
1960-01-31	US1SBRJ	Facebook Inc.	103.28
1960-02-29	US1SBRJ	Facebook Inc.	107.21
1960-03-31	US1SBRJ	Facebook Inc.	105.73
1960-04-30	US1SBRJ	Facebook Inc.	107.26
1960-05-31	US1SBRJ	Facebook Inc.	105.66
1960-06-30	US1SBRJ	Facebook Inc.	103.72
1960-07-31	US1SBRJ	Facebook Inc.	103.66
1960-08-31	US1SBRJ	Facebook Inc.	100.24
1960-09-30	US1SBRJ	Facebook Inc.	101.27
1960-10-31	US1SBRJ	Facebook Inc.	97.59
1960-11-30	US1SBRJ	Facebook Inc.	98.1
1960-12-31	US1SBRJ	Facebook Inc.	96.77
1961-01-31	US1SBRJ	Facebook Inc.	95.26
1961-02-28	US1SBRJ	Facebook Inc.	98.82
1961-03-31	US1SBRJ	Facebook Inc.	97.01
1961-04-30	US1SBRJ	Facebook Inc.	94.92
1961-05-31	US1SBRJ	Facebook Inc.	94.34
1961-06-30	US1SBRJ	Facebook Inc.	88.4
1961-07-31	US1SBRJ	Facebook Inc.	91.47
1961-08-31	US1SBRJ	Facebook Inc.	86.35
1961-09-30	US1SBRJ	Facebook Inc.	87.02
1961-10-31	US1SBRJ	Facebook Inc.	88.59
1961-11-30	US1SBRJ	Facebook Inc.	88.03
1961-12-31	US1SBRJ	Facebook Inc.	90.45
1962-01-31	US1SBRJ	Facebook Inc.	92.37
1962-02-28	US1SBRJ	Facebook Inc.	90.91
1962-03-31	US1SBRJ	Facebook Inc.	87.65
1962-04-30	US1SBRJ	Facebook Inc.	89.97
1962-05-31	US1SBRJ	Facebook Inc.	92.31
1962-06-30	US1SBRJ	Facebook Inc.	96.32
1962-07-31	US1SBRJ	Facebook Inc.	99.72
1962-08-31	US1SBRJ	Facebook Inc.	100.06
1962-09-30	US1SBRJ	Facebook Inc.	96.25
1962-10-31	US1SBRJ	Facebook Inc.	96.85
1962-11-30	US1SBRJ	Facebook Inc.	97.13
1962-12-31	US1SBRJ	Facebook Inc.	94.56
1963-01-31	US1SBRJ	Facebook Inc.	98.02
1963-02-28	US1SBRJ	Facebook Inc.	96.37
1963-03-31	US1SBRJ	Facebook Inc.	95.19
1963-04-30	US1SBRJ	Facebook Inc.	93.73
1963-05-31	US1SBRJ	Facebook Inc.	93.05
1963-06-30	US1SBRJ	Facebook Inc.	88.32
1963-07-31	US1SBRJ	Facebook Inc.	88.56
1963-08-31	US1SBRJ	Facebook Inc.	90.22
1963-09-30	US1SBRJ	Facebook Inc.	96.94
1963-10-31	US1SBRJ	Facebook Inc.	95.15
1963-11-30	US1SBRJ	Facebook Inc.	97.56
1963-12-31	US1SBRJ	Facebook Inc.	98.56
1964-01-31	US1SBRJ	Facebook Inc.	97.76
1964-02-29	US1SBRJ	Facebook Inc.	96.39
1964-03-31	US1SBRJ	Facebook Inc.	90.02
1964-04-30	US1SBRJ	Facebook Inc.	95.8
1964-05-31	US1SBRJ	Facebook Inc.	97.73
1964-06-30	US1SBRJ	Facebook Inc.	95.31
1964-07-31	US1SBRJ	Facebook Inc.	95.95
1964-08-31	US1SBRJ	Facebook Inc.	99.87
1964-09-30	US1SBRJ	Facebook Inc.	104.46
1964-10-31	US1SBRJ	Facebook Inc.	98.69
1964-11-30	US1SBRJ	Facebook Inc.	105.42
1964-12-31	US1SBRJ	Facebook Inc.	104.25
1965-01-31	US1SBRJ	Facebook Inc.	102.12
1965-02-28	US1SBRJ	Facebook Inc.	101.48
1965-03-31	US1SBRJ	Facebook Inc.	101.64
1965-04-30	US1SBRJ	Facebook Inc.	102.12
1965-05-31	US1SBRJ	Facebook Inc.	95.11
1965-06-30	US1SBRJ	Facebook Inc.	91.99
1965-07-31	US1SBRJ	Facebook Inc.	88.03
1965-08-31	US1SBRJ	Facebook Inc.	87.9
1965-09-30	US1SBRJ	Facebook Inc.	87.07
1965-10-31	US1SBRJ	Facebook Inc.	83.72
1965-11-30	US1SBRJ	Facebook Inc.	79.13
1965-12-31	US1SBRJ	Facebook Inc.	78.69
1966-01-31	US1SBRJ	Facebook Inc.	75.5
1966-02-28	US1SBRJ	Facebook Inc.	77.26
1966-03-31	US1SBRJ	Facebook Inc.	82.61
1966-04-30	US1SBRJ	Facebook Inc.	82.0
1966-05-31	US1SBRJ	Facebook Inc.	84.12
1966-06-30	US1SBRJ	Facebook Inc.	87.24
1966-07-31	US1SBRJ	Facebook Inc.	90.73
1966-08-31	US1SBRJ	Facebook Inc.	92.68
1966-09-30	US1SBRJ	Facebook Inc.	87.95
1966-10-31	US1SBRJ	Facebook Inc.	88.54
1966-11-30	US1SBRJ	Facebook Inc.	90.99
1966-12-31	US1SBRJ	Facebook Inc.	89.96
1967-01-31	US1SBRJ	Facebook Inc.	87.47
1967-02-28	US1SBRJ	Facebook Inc.	83.63
1967-03-31	US1SBRJ	Facebook Inc.	84.17
1967-04-30	US1SBRJ	Facebook Inc.	80.53
1967-05-31	US1SBRJ	Facebook Inc.	80.33
1967-06-30	US1SBRJ	Facebook Inc.	78.32
1967-07-31	US1SBRJ	Facebook Inc.	79.37
1967-08-31	US1SBRJ	Facebook Inc.	76.15
1967-09-30	US1SBRJ	Facebook Inc.	73.62
1967-10-31	US1SBRJ	Facebook Inc.	73.2
1967-11-30	US1SBRJ	Facebook Inc.	78.61
1967-12-31	US1SBRJ	Facebook Inc.	74.35
1968-01-31	US1SBRJ	Facebook Inc.	78.98
1968-02-29	US1SBRJ	Facebook Inc.	75.97
1968-03-31	US1SBRJ	Facebook Inc.	79.48
1968-04-30	US1SBRJ	Facebook Inc.	70.22
1968-05-31	US1SBRJ	Facebook Inc.	74.07
1968-06-30	US1SBRJ	Facebook Inc.	69.39
