Date	Company Code	Company Name	Stock Price
1959-01-31	US55Q70	Facebook Marketplace	118.2
1959-02-28	US55Q70	Facebook Marketplace	118.82
1959-03-31	US55Q70	Facebook Marketplace	121.15
1959-04-30	US55Q70	Facebook Marketplace	128.99
1959-05-31	US55Q70	Facebook Marketplace	125.31
1959-06-30	US55Q70	Facebook Marketplace	127.31
1959-07-31	US55Q70	Facebook Marketplace	121.79
1959-08-31	US55Q70	Facebook Marketplace	120.7
1959-09-30	US55Q70	Facebook Marketplace	113.52
1959-10-31	US55Q70	Facebook Marketplace	114.98
1959-11-30	US55Q70	Facebook Marketplace	113.91
1959-12-31	US55Q70	Facebook Marketplace	111.61
1960-01-31	US55Q70	Facebook Marketplace	115.13
1960-02-29	US55Q70	Facebook Marketplace	115.64
1960-03-31	US55Q70	Facebook Marketplace	115.45
1960-04-30	US55Q70	Facebook Marketplace	115.31
1960-05-31	US55Q70	Facebook Marketplace	115.98
1960-06-30	US55Q70	Facebook Marketplace	110.04
1960-07-31	US55Q70	Facebook Marketplace	108.92
1960-08-31	US55Q70	Facebook Marketplace	109.71
1960-09-30	US55Q70	Facebook Marketplace	110.22
1960-10-31	US55Q70	Facebook Marketplace	113.85
1960-11-30	US55Q70	Facebook Marketplace	112.53
1960-12-31	US55Q70	Facebook Marketplace	109.69
1961-01-31	US55Q70	Facebook Marketplace	110.06
1961-02-28	US55Q70	Facebook Marketplace	109.13
1961-03-31	US55Q70	Facebook Marketplace	108.08
1961-04-30	US55Q70	Facebook Marketplace	105.91
1961-05-31	US55Q70	Facebook Marketplace	105.74
1961-06-30	US55Q70	Facebook Marketplace	110.99
1961-07-31	US55Q70	Facebook Marketplace	108.6
1961-08-31	US55Q70	Facebook Marketplace	114.75
1961-09-30	US55Q70	Facebook Marketplace	107.3
1961-10-31	US55Q70	Facebook Marketplace	99.85
1961-11-30	US55Q70	Facebook Marketplace	99.85
1961-12-31	US55Q70	Facebook Marketplace	91.33
1962-01-31	US55Q70	Facebook Marketplace	88.44
1962-02-28	US55Q70	Facebook Marketplace	90.53
1962-03-31	US55Q70	Facebook Marketplace	96.97
1962-04-30	US55Q70	Facebook Marketplace	104.07
1962-05-31	US55Q70	Facebook Marketplace	101.64
1962-06-30	US55Q70	Facebook Marketplace	92.84
1962-07-31	US55Q70	Facebook Marketplace	96.66
1962-08-31	US55Q70	Facebook Marketplace	102.2
1962-09-30	US55Q70	Facebook Marketplace	104.36
1962-10-31	US55Q70	Facebook Marketplace	107.29
1962-11-30	US55Q70	Facebook Marketplace	106.28
1962-12-31	US55Q70	Facebook Marketplace	109.8
1963-01-31	US55Q70	Facebook Marketplace	108.83
1963-02-28	US55Q70	Facebook Marketplace	109.77
1963-03-31	US55Q70	Facebook Marketplace	107.75
1963-04-30	US55Q70	Facebook Marketplace	105.45
1963-05-31	US55Q70	Facebook Marketplace	107.35
1963-06-30	US55Q70	Facebook Marketplace	100.14
1963-07-31	US55Q70	Facebook Marketplace	97.88
1963-08-31	US55Q70	Facebook Marketplace	96.98
1963-09-30	US55Q70	Facebook Marketplace	101.17
1963-10-31	US55Q70	Facebook Marketplace	95.48
1963-11-30	US55Q70	Facebook Marketplace	92.54
1963-12-31	US55Q70	Facebook Marketplace	90.94
1964-01-31	US55Q70	Facebook Marketplace	95.5
1964-02-29	US55Q70	Facebook Marketplace	100.24
1964-03-31	US55Q70	Facebook Marketplace	100.84
1964-04-30	US55Q70	Facebook Marketplace	107.46
1964-05-31	US55Q70	Facebook Marketplace	106.47
1964-06-30	US55Q70	Facebook Marketplace	107.94
1964-07-31	US55Q70	Facebook Marketplace	114.36
1964-08-31	US55Q70	Facebook Marketplace	115.18
1964-09-30	US55Q70	Facebook Marketplace	114.64
1964-10-31	US55Q70	Facebook Marketplace	115.89
1964-11-30	US55Q70	Facebook Marketplace	112.18
1964-12-31	US55Q70	Facebook Marketplace	111.75
1965-01-31	US55Q70	Facebook Marketplace	107.79
1965-02-28	US55Q70	Facebook Marketplace	110.67
1965-03-31	US55Q70	Facebook Marketplace	109.08
1965-04-30	US55Q70	Facebook Marketplace	113.23
1965-05-31	US55Q70	Facebook Marketplace	112.8
1965-06-30	US55Q70	Facebook Marketplace	111.98
1965-07-31	US55Q70	Facebook Marketplace	102.87
1965-08-31	US55Q70	Facebook Marketplace	103.07
1965-09-30	US55Q70	Facebook Marketplace	106.27
1965-10-31	US55Q70	Facebook Marketplace	104.49
1965-11-30	US55Q70	Facebook Marketplace	105.89
1965-12-31	US55Q70	Facebook Marketplace	111.59
1966-01-31	US55Q70	Facebook Marketplace	112.74
1966-02-28	US55Q70	Facebook Marketplace	112.24
1966-03-31	US55Q70	Facebook Marketplace	109.36
1966-04-30	US55Q70	Facebook Marketplace	110.72
1966-05-31	US55Q70	Facebook Marketplace	104.59
1966-06-30	US55Q70	Facebook Marketplace	103.2
1966-07-31	US55Q70	Facebook Marketplace	104.7
1966-08-31	US55Q70	Facebook Marketplace	101.82
1966-09-30	US55Q70	Facebook Marketplace	102.91
1966-10-31	US55Q70	Facebook Marketplace	96.49
1966-11-30	US55Q70	Facebook Marketplace	99.7
1966-12-31	US55Q70	Facebook Marketplace	97.88
1967-01-31	US55Q70	Facebook Marketplace	89.45
1967-02-28	US55Q70	Facebook Marketplace	88.19
1967-03-31	US55Q70	Facebook Marketplace	88.84
1967-04-30	US55Q70	Facebook Marketplace	90.08
1967-05-31	US55Q70	Facebook Marketplace	88.22
1967-06-30	US55Q70	Facebook Marketplace	94.6
1967-07-31	US55Q70	Facebook Marketplace	91.98
1967-08-31	US55Q70	Facebook Marketplace	87.34
1967-09-30	US55Q70	Facebook Marketplace	83.51
1967-10-31	US55Q70	Facebook Marketplace	80.08
1967-11-30	US55Q70	Facebook Marketplace	73.79
1967-12-31	US55Q70	Facebook Marketplace	77.38
1968-01-31	US55Q70	Facebook Marketplace	75.33
1968-02-29	US55Q70	Facebook Marketplace	71.57
1968-03-31	US55Q70	Facebook Marketplace	68.95
1968-04-30	US55Q70	Facebook Marketplace	63.07
1968-05-31	US55Q70	Facebook Marketplace	62.56147604173301
1968-06-30	US55Q70	Facebook Marketplace	63.08
1968-07-31	US55Q70	Facebook Marketplace	61.601136114757566
1968-08-31	US55Q70	Facebook Marketplace	62.813000762353646
1968-09-30	US55Q70	Facebook Marketplace	61.507446763895715
1968-10-31	US55Q70	Facebook Marketplace	63.69
1968-11-30	US55Q70	Facebook Marketplace	60.74
1968-12-31	US55Q70	Facebook Marketplace	61.15325426408293
1969-01-31	US55Q70	Facebook Marketplace	67.31
1969-02-28	US55Q70	Facebook Marketplace	70.93
1969-03-31	US55Q70	Facebook Marketplace	64.25
1969-04-30	US55Q70	Facebook Marketplace	68.09
1969-05-31	US55Q70	Facebook Marketplace	69.46
1969-06-30	US55Q70	Facebook Marketplace	71.82
1969-07-31	US55Q70	Facebook Marketplace	71.31
