Date	Company Code	Company Name	Stock Price
1959-01-31	UST3MK7	Fastly Inc.	112.16
1959-02-28	UST3MK7	Fastly Inc.	110.32
1959-03-31	UST3MK7	Fastly Inc.	111.92
1959-04-30	UST3MK7	Fastly Inc.	107.13
1959-05-31	UST3MK7	Fastly Inc.	106.19
1959-06-30	UST3MK7	Fastly Inc.	106.05
1959-07-31	UST3MK7	Fastly Inc.	107.39
1959-08-31	UST3MK7	Fastly Inc.	111.79
1959-09-30	UST3MK7	Fastly Inc.	114.35
1959-10-31	UST3MK7	Fastly Inc.	113.46
1959-11-30	UST3MK7	Fastly Inc.	110.3
1959-12-31	UST3MK7	Fastly Inc.	112.22
1960-01-31	UST3MK7	Fastly Inc.	109.59
1960-02-29	UST3MK7	Fastly Inc.	114.56
1960-03-31	UST3MK7	Fastly Inc.	117.62
1960-04-30	UST3MK7	Fastly Inc.	115.87
1960-05-31	UST3MK7	Fastly Inc.	118.18
1960-06-30	UST3MK7	Fastly Inc.	119.95
1960-07-31	UST3MK7	Fastly Inc.	124.35
1960-08-31	UST3MK7	Fastly Inc.	121.67
1960-09-30	UST3MK7	Fastly Inc.	117.35
1960-10-31	UST3MK7	Fastly Inc.	117.44
1960-11-30	UST3MK7	Fastly Inc.	116.94
1960-12-31	UST3MK7	Fastly Inc.	113.19
1961-01-31	UST3MK7	Fastly Inc.	113.46
1961-02-28	UST3MK7	Fastly Inc.	117.7
1961-03-31	UST3MK7	Fastly Inc.	113.18
1961-04-30	UST3MK7	Fastly Inc.	111.63
1961-05-31	UST3MK7	Fastly Inc.	108.04
1961-06-30	UST3MK7	Fastly Inc.	108.65
1961-07-31	UST3MK7	Fastly Inc.	107.52
1961-08-31	UST3MK7	Fastly Inc.	107.86
1961-09-30	UST3MK7	Fastly Inc.	104.52
1961-10-31	UST3MK7	Fastly Inc.	100.37
1961-11-30	UST3MK7	Fastly Inc.	109.55
1961-12-31	UST3MK7	Fastly Inc.	115.5
1962-01-31	UST3MK7	Fastly Inc.	115.58
1962-02-28	UST3MK7	Fastly Inc.	113.35
1962-03-31	UST3MK7	Fastly Inc.	117.39
1962-04-30	UST3MK7	Fastly Inc.	117.93
1962-05-31	UST3MK7	Fastly Inc.	115.36
1962-06-30	UST3MK7	Fastly Inc.	115.01
1962-07-31	UST3MK7	Fastly Inc.	108.13
1962-08-31	UST3MK7	Fastly Inc.	105.02
1962-09-30	UST3MK7	Fastly Inc.	107.19
1962-10-31	UST3MK7	Fastly Inc.	111.7
1962-11-30	UST3MK7	Fastly Inc.	114.75
1962-12-31	UST3MK7	Fastly Inc.	117.48
1963-01-31	UST3MK7	Fastly Inc.	115.4
1963-02-28	UST3MK7	Fastly Inc.	116.61
1963-03-31	UST3MK7	Fastly Inc.	117.04
1963-04-30	UST3MK7	Fastly Inc.	122.53
1963-05-31	UST3MK7	Fastly Inc.	119.66
1963-06-30	UST3MK7	Fastly Inc.	115.7
