Date	Company Code	Company Name	Stock Price
1959-01-31	USD3NWK	Five Below Inc.	112.98
1959-02-28	USD3NWK	Five Below Inc.	113.25
1959-03-31	USD3NWK	Five Below Inc.	109.86
1959-04-30	USD3NWK	Five Below Inc.	109.15
1959-05-31	USD3NWK	Five Below Inc.	105.23
1959-06-30	USD3NWK	Five Below Inc.	105.22
1959-07-31	USD3NWK	Five Below Inc.	109.21
1959-08-31	USD3NWK	Five Below Inc.	116.55
1959-09-30	USD3NWK	Five Below Inc.	116.2
1959-10-31	USD3NWK	Five Below Inc.	122.45
1959-11-30	USD3NWK	Five Below Inc.	120.39
1959-12-31	USD3NWK	Five Below Inc.	125.89
1960-01-31	USD3NWK	Five Below Inc.	131.66
1960-02-29	USD3NWK	Five Below Inc.	124.51
1960-03-31	USD3NWK	Five Below Inc.	124.26
1960-04-30	USD3NWK	Five Below Inc.	119.14
1960-05-31	USD3NWK	Five Below Inc.	125.05
1960-06-30	USD3NWK	Five Below Inc.	119.43
1960-07-31	USD3NWK	Five Below Inc.	117.52
1960-08-31	USD3NWK	Five Below Inc.	118.08
1960-09-30	USD3NWK	Five Below Inc.	121.41
1960-10-31	USD3NWK	Five Below Inc.	119.82
1960-11-30	USD3NWK	Five Below Inc.	120.96
1960-12-31	USD3NWK	Five Below Inc.	120.35
1961-01-31	USD3NWK	Five Below Inc.	121.98
1961-02-28	USD3NWK	Five Below Inc.	117.43
1961-03-31	USD3NWK	Five Below Inc.	116.83
1961-04-30	USD3NWK	Five Below Inc.	108.25
1961-05-31	USD3NWK	Five Below Inc.	109.97
1961-06-30	USD3NWK	Five Below Inc.	106.14
1961-07-31	USD3NWK	Five Below Inc.	102.87
1961-08-31	USD3NWK	Five Below Inc.	101.45
1961-09-30	USD3NWK	Five Below Inc.	96.59
1961-10-31	USD3NWK	Five Below Inc.	89.29
1961-11-30	USD3NWK	Five Below Inc.	86.37
1961-12-31	USD3NWK	Five Below Inc.	89.2
1962-01-31	USD3NWK	Five Below Inc.	81.71
1962-02-28	USD3NWK	Five Below Inc.	84.52
1962-03-31	USD3NWK	Five Below Inc.	85.06
1962-04-30	USD3NWK	Five Below Inc.	85.84
1962-05-31	USD3NWK	Five Below Inc.	81.04
1962-06-30	USD3NWK	Five Below Inc.	77.08
1962-07-31	USD3NWK	Five Below Inc.	80.32
1962-08-31	USD3NWK	Five Below Inc.	76.14
1962-09-30	USD3NWK	Five Below Inc.	78.88
1962-10-31	USD3NWK	Five Below Inc.	81.43
1962-11-30	USD3NWK	Five Below Inc.	80.47
1962-12-31	USD3NWK	Five Below Inc.	76.48
1963-01-31	USD3NWK	Five Below Inc.	77.76
1963-02-28	USD3NWK	Five Below Inc.	75.95
1963-03-31	USD3NWK	Five Below Inc.	77.93
1963-04-30	USD3NWK	Five Below Inc.	77.19
1963-05-31	USD3NWK	Five Below Inc.	76.8
1963-06-30	USD3NWK	Five Below Inc.	78.39
1963-07-31	USD3NWK	Five Below Inc.	80.25
1963-08-31	USD3NWK	Five Below Inc.	77.53
1963-09-30	USD3NWK	Five Below Inc.	83.4
1963-10-31	USD3NWK	Five Below Inc.	82.14
1963-11-30	USD3NWK	Five Below Inc.	84.66
1963-12-31	USD3NWK	Five Below Inc.	79.64
1964-01-31	USD3NWK	Five Below Inc.	86.27
1964-02-29	USD3NWK	Five Below Inc.	89.78
1964-03-31	USD3NWK	Five Below Inc.	87.26
1964-04-30	USD3NWK	Five Below Inc.	84.82
1964-05-31	USD3NWK	Five Below Inc.	88.53
1964-06-30	USD3NWK	Five Below Inc.	92.51
1964-07-31	USD3NWK	Five Below Inc.	93.93
1964-08-31	USD3NWK	Five Below Inc.	102.15
1964-09-30	USD3NWK	Five Below Inc.	107.39
1964-10-31	USD3NWK	Five Below Inc.	102.75
1964-11-30	USD3NWK	Five Below Inc.	109.38
1964-12-31	USD3NWK	Five Below Inc.	106.5
1965-01-31	USD3NWK	Five Below Inc.	112.21
1965-02-28	USD3NWK	Five Below Inc.	108.31
1965-03-31	USD3NWK	Five Below Inc.	106.8
1965-04-30	USD3NWK	Five Below Inc.	108.23
1965-05-31	USD3NWK	Five Below Inc.	110.53
