Date	Company Code	Company Name	Stock Price
1959-01-31	USOJZBM	Forever 21	95.85
1959-02-28	USOJZBM	Forever 21	96.48
1959-03-31	USOJZBM	Forever 21	94.56
1959-04-30	USOJZBM	Forever 21	101.08
1959-05-31	USOJZBM	Forever 21	103.89
1959-06-30	USOJZBM	Forever 21	110.52
1959-07-31	USOJZBM	Forever 21	109.75
1959-08-31	USOJZBM	Forever 21	113.03
1959-09-30	USOJZBM	Forever 21	105.09
1959-10-31	USOJZBM	Forever 21	101.25
1959-11-30	USOJZBM	Forever 21	107.17
1959-12-31	USOJZBM	Forever 21	107.12
1960-01-31	USOJZBM	Forever 21	104.42
1960-02-29	USOJZBM	Forever 21	98.43
1960-03-31	USOJZBM	Forever 21	102.0
1960-04-30	USOJZBM	Forever 21	101.27
1960-05-31	USOJZBM	Forever 21	104.96
1960-06-30	USOJZBM	Forever 21	99.42
1960-07-31	USOJZBM	Forever 21	95.66
1960-08-31	USOJZBM	Forever 21	98.17
1960-09-30	USOJZBM	Forever 21	102.36
1960-10-31	USOJZBM	Forever 21	97.78
1960-11-30	USOJZBM	Forever 21	103.97
1960-12-31	USOJZBM	Forever 21	97.15
1961-01-31	USOJZBM	Forever 21	101.09
1961-02-28	USOJZBM	Forever 21	98.05
1961-03-31	USOJZBM	Forever 21	93.68
1961-04-30	USOJZBM	Forever 21	99.25
1961-05-31	USOJZBM	Forever 21	89.98
1961-06-30	USOJZBM	Forever 21	85.67
1961-07-31	USOJZBM	Forever 21	79.22
1961-08-31	USOJZBM	Forever 21	82.57
1961-09-30	USOJZBM	Forever 21	75.8
1961-10-31	USOJZBM	Forever 21	78.1
1961-11-30	USOJZBM	Forever 21	82.06
1961-12-31	USOJZBM	Forever 21	82.36
1962-01-31	USOJZBM	Forever 21	90.67
1962-02-28	USOJZBM	Forever 21	93.77
1962-03-31	USOJZBM	Forever 21	94.66
1962-04-30	USOJZBM	Forever 21	95.06
1962-05-31	USOJZBM	Forever 21	95.01
1962-06-30	USOJZBM	Forever 21	98.14
1962-07-31	USOJZBM	Forever 21	93.64
1962-08-31	USOJZBM	Forever 21	93.34
1962-09-30	USOJZBM	Forever 21	89.6
1962-10-31	USOJZBM	Forever 21	91.64
