Date	Company Code	Company Name	Stock Price
1959-01-31	USHSFWG	Free People	89.37
1959-02-28	USHSFWG	Free People	90.33
1959-03-31	USHSFWG	Free People	89.68
1959-04-30	USHSFWG	Free People	95.48
1959-05-31	USHSFWG	Free People	95.44
1959-06-30	USHSFWG	Free People	91.19
1959-07-31	USHSFWG	Free People	95.7
1959-08-31	USHSFWG	Free People	93.3
1959-09-30	USHSFWG	Free People	93.99
1959-10-31	USHSFWG	Free People	90.62
1959-11-30	USHSFWG	Free People	85.5
1959-12-31	USHSFWG	Free People	83.82
1960-01-31	USHSFWG	Free People	82.24
1960-02-29	USHSFWG	Free People	88.13
1960-03-31	USHSFWG	Free People	88.24
1960-04-30	USHSFWG	Free People	89.14
1960-05-31	USHSFWG	Free People	88.03
1960-06-30	USHSFWG	Free People	86.27
1960-07-31	USHSFWG	Free People	79.8
1960-08-31	USHSFWG	Free People	80.42
1960-09-30	USHSFWG	Free People	90.02
1960-10-31	USHSFWG	Free People	98.14
1960-11-30	USHSFWG	Free People	97.39
1960-12-31	USHSFWG	Free People	98.58
1961-01-31	USHSFWG	Free People	97.8
1961-02-28	USHSFWG	Free People	101.05
1961-03-31	USHSFWG	Free People	102.79
1961-04-30	USHSFWG	Free People	110.17
1961-05-31	USHSFWG	Free People	114.15
1961-06-30	USHSFWG	Free People	109.46
1961-07-31	USHSFWG	Free People	106.21
1961-08-31	USHSFWG	Free People	103.23
1961-09-30	USHSFWG	Free People	108.03
1961-10-31	USHSFWG	Free People	102.23
1961-11-30	USHSFWG	Free People	95.69
1961-12-31	USHSFWG	Free People	96.45
1962-01-31	USHSFWG	Free People	90.61
1962-02-28	USHSFWG	Free People	87.84
1962-03-31	USHSFWG	Free People	90.75
1962-04-30	USHSFWG	Free People	89.44
1962-05-31	USHSFWG	Free People	90.57
1962-06-30	USHSFWG	Free People	89.98
1962-07-31	USHSFWG	Free People	96.55
1962-08-31	USHSFWG	Free People	92.54
1962-09-30	USHSFWG	Free People	91.17
1962-10-31	USHSFWG	Free People	89.64
1962-11-30	USHSFWG	Free People	92.98
1962-12-31	USHSFWG	Free People	98.89
1963-01-31	USHSFWG	Free People	98.09
1963-02-28	USHSFWG	Free People	99.09
1963-03-31	USHSFWG	Free People	93.13
1963-04-30	USHSFWG	Free People	99.69
1963-05-31	USHSFWG	Free People	97.84
1963-06-30	USHSFWG	Free People	87.96
1963-07-31	USHSFWG	Free People	80.04
1963-08-31	USHSFWG	Free People	80.34
1963-09-30	USHSFWG	Free People	86.5
1963-10-31	USHSFWG	Free People	85.69
1963-11-30	USHSFWG	Free People	85.76
1963-12-31	USHSFWG	Free People	81.83
1964-01-31	USHSFWG	Free People	76.75
1964-02-29	USHSFWG	Free People	74.24
1964-03-31	USHSFWG	Free People	77.95
1964-04-30	USHSFWG	Free People	80.85
1964-05-31	USHSFWG	Free People	80.83
1964-06-30	USHSFWG	Free People	82.91
1964-07-31	USHSFWG	Free People	84.72
1964-08-31	USHSFWG	Free People	80.51
1964-09-30	USHSFWG	Free People	75.99
1964-10-31	USHSFWG	Free People	85.3
1964-11-30	USHSFWG	Free People	88.1
1964-12-31	USHSFWG	Free People	81.94
1965-01-31	USHSFWG	Free People	87.56
1965-02-28	USHSFWG	Free People	85.78
1965-03-31	USHSFWG	Free People	83.32
1965-04-30	USHSFWG	Free People	83.85
1965-05-31	USHSFWG	Free People	82.93
1965-06-30	USHSFWG	Free People	84.5
1965-07-31	USHSFWG	Free People	81.38
1965-08-31	USHSFWG	Free People	80.52
1965-09-30	USHSFWG	Free People	79.66
1965-10-31	USHSFWG	Free People	78.67
1965-11-30	USHSFWG	Free People	76.27
1965-12-31	USHSFWG	Free People	74.29
1966-01-31	USHSFWG	Free People	76.5
1966-02-28	USHSFWG	Free People	77.97
1966-03-31	USHSFWG	Free People	79.96
1966-04-30	USHSFWG	Free People	77.5
1966-05-31	USHSFWG	Free People	77.48
1966-06-30	USHSFWG	Free People	84.59
1966-07-31	USHSFWG	Free People	85.46
1966-08-31	USHSFWG	Free People	86.48
1966-09-30	USHSFWG	Free People	94.16
1966-10-31	USHSFWG	Free People	90.4
1966-11-30	USHSFWG	Free People	88.79
1966-12-31	USHSFWG	Free People	88.71
1967-01-31	USHSFWG	Free People	93.89
1967-02-28	USHSFWG	Free People	92.22
1967-03-31	USHSFWG	Free People	84.44
1967-04-30	USHSFWG	Free People	85.04
1967-05-31	USHSFWG	Free People	90.41
1967-06-30	USHSFWG	Free People	96.69
1967-07-31	USHSFWG	Free People	90.43
1967-08-31	USHSFWG	Free People	92.95
1967-09-30	USHSFWG	Free People	93.3
1967-10-31	USHSFWG	Free People	92.7
1967-11-30	USHSFWG	Free People	92.02
1967-12-31	USHSFWG	Free People	93.81
1968-01-31	USHSFWG	Free People	93.46
1968-02-29	USHSFWG	Free People	91.43
1968-03-31	USHSFWG	Free People	93.74
1968-04-30	USHSFWG	Free People	92.89
1968-05-31	USHSFWG	Free People	92.84
1968-06-30	USHSFWG	Free People	91.15
1968-07-31	USHSFWG	Free People	88.29
1968-08-31	USHSFWG	Free People	86.2
1968-09-30	USHSFWG	Free People	84.77
1968-10-31	USHSFWG	Free People	82.5
1968-11-30	USHSFWG	Free People	76.71
1968-12-31	USHSFWG	Free People	74.18
1969-01-31	USHSFWG	Free People	72.56
1969-02-28	USHSFWG	Free People	78.9
1969-03-31	USHSFWG	Free People	79.16
1969-04-30	USHSFWG	Free People	78.21
1969-05-31	USHSFWG	Free People	76.68
1969-06-30	USHSFWG	Free People	71.8
1969-07-31	USHSFWG	Free People	68.1
1969-08-31	USHSFWG	Free People	72.07
1969-09-30	USHSFWG	Free People	73.98
1969-10-31	USHSFWG	Free People	69.7
1969-11-30	USHSFWG	Free People	74.93
1969-12-31	USHSFWG	Free People	81.8
1970-01-31	USHSFWG	Free People	84.06
1970-02-28	USHSFWG	Free People	88.71
1970-03-31	USHSFWG	Free People	83.19
1970-04-30	USHSFWG	Free People	78.27
1970-05-31	USHSFWG	Free People	80.48
1970-06-30	USHSFWG	Free People	78.62
1970-07-31	USHSFWG	Free People	76.31
1970-08-31	USHSFWG	Free People	76.19
1970-09-30	USHSFWG	Free People	75.64
1970-10-31	USHSFWG	Free People	69.57
1970-11-30	USHSFWG	Free People	71.02
1970-12-31	USHSFWG	Free People	64.62
1971-01-31	USHSFWG	Free People	65.07
1971-02-28	USHSFWG	Free People	60.59
1971-03-31	USHSFWG	Free People	64.24
1971-04-30	USHSFWG	Free People	72.11
1971-05-31	USHSFWG	Free People	67.03
1971-06-30	USHSFWG	Free People	68.08
1971-07-31	USHSFWG	Free People	61.94
1971-08-31	USHSFWG	Free People	68.01
1971-09-30	USHSFWG	Free People	66.4
1971-10-31	USHSFWG	Free People	65.7
1971-11-30	USHSFWG	Free People	70.21
1971-12-31	USHSFWG	Free People	66.93
