Date	Company Code	Company Name	Stock Price
1959-01-31	USI8A5Z	Frieze	97.06
1959-02-28	USI8A5Z	Frieze	94.12
1959-03-31	USI8A5Z	Frieze	88.42
1959-04-30	USI8A5Z	Frieze	86.54
1959-05-31	USI8A5Z	Frieze	85.44
1959-06-30	USI8A5Z	Frieze	85.09
1959-07-31	USI8A5Z	Frieze	87.97
1959-08-31	USI8A5Z	Frieze	89.87
1959-09-30	USI8A5Z	Frieze	87.7
1959-10-31	USI8A5Z	Frieze	87.5
1959-11-30	USI8A5Z	Frieze	90.37
1959-12-31	USI8A5Z	Frieze	87.05
1960-01-31	USI8A5Z	Frieze	84.49
1960-02-29	USI8A5Z	Frieze	77.16
1960-03-31	USI8A5Z	Frieze	79.6
1960-04-30	USI8A5Z	Frieze	73.15
1960-05-31	USI8A5Z	Frieze	69.23
1960-06-30	USI8A5Z	Frieze	71.54
1960-07-31	USI8A5Z	Frieze	66.69
1960-08-31	USI8A5Z	Frieze	63.48
1960-09-30	USI8A5Z	Frieze	61.358625367532724
1960-10-31	USI8A5Z	Frieze	65.95
1960-11-30	USI8A5Z	Frieze	68.03
1960-12-31	USI8A5Z	Frieze	68.61
1961-01-31	USI8A5Z	Frieze	77.18
1961-02-28	USI8A5Z	Frieze	76.01
1961-03-31	USI8A5Z	Frieze	79.84
1961-04-30	USI8A5Z	Frieze	85.01
1961-05-31	USI8A5Z	Frieze	82.91
1961-06-30	USI8A5Z	Frieze	90.36
1961-07-31	USI8A5Z	Frieze	95.36
1961-08-31	USI8A5Z	Frieze	95.17
1961-09-30	USI8A5Z	Frieze	100.21
1961-10-31	USI8A5Z	Frieze	98.14
1961-11-30	USI8A5Z	Frieze	101.24
1961-12-31	USI8A5Z	Frieze	103.4
1962-01-31	USI8A5Z	Frieze	104.03
1962-02-28	USI8A5Z	Frieze	105.4
1962-03-31	USI8A5Z	Frieze	108.54
1962-04-30	USI8A5Z	Frieze	107.88
1962-05-31	USI8A5Z	Frieze	107.02
1962-06-30	USI8A5Z	Frieze	107.97
1962-07-31	USI8A5Z	Frieze	104.62
1962-08-31	USI8A5Z	Frieze	104.77
1962-09-30	USI8A5Z	Frieze	105.14
1962-10-31	USI8A5Z	Frieze	107.75
1962-11-30	USI8A5Z	Frieze	102.19
1962-12-31	USI8A5Z	Frieze	99.99
1963-01-31	USI8A5Z	Frieze	99.77
1963-02-28	USI8A5Z	Frieze	105.8
1963-03-31	USI8A5Z	Frieze	110.55
1963-04-30	USI8A5Z	Frieze	111.38
1963-05-31	USI8A5Z	Frieze	113.05
1963-06-30	USI8A5Z	Frieze	107.58
1963-07-31	USI8A5Z	Frieze	105.39
1963-08-31	USI8A5Z	Frieze	110.55
1963-09-30	USI8A5Z	Frieze	115.02
1963-10-31	USI8A5Z	Frieze	119.13
1963-11-30	USI8A5Z	Frieze	118.66
1963-12-31	USI8A5Z	Frieze	118.77
1964-01-31	USI8A5Z	Frieze	112.01
1964-02-29	USI8A5Z	Frieze	112.03
1964-03-31	USI8A5Z	Frieze	106.25
1964-04-30	USI8A5Z	Frieze	99.43
1964-05-31	USI8A5Z	Frieze	102.65
1964-06-30	USI8A5Z	Frieze	108.64
1964-07-31	USI8A5Z	Frieze	109.68
1964-08-31	USI8A5Z	Frieze	107.15
1964-09-30	USI8A5Z	Frieze	107.86
1964-10-31	USI8A5Z	Frieze	103.29
1964-11-30	USI8A5Z	Frieze	108.24
1964-12-31	USI8A5Z	Frieze	107.73
1965-01-31	USI8A5Z	Frieze	109.49
1965-02-28	USI8A5Z	Frieze	107.9
1965-03-31	USI8A5Z	Frieze	111.39
1965-04-30	USI8A5Z	Frieze	112.9
1965-05-31	USI8A5Z	Frieze	110.59
1965-06-30	USI8A5Z	Frieze	102.8
1965-07-31	USI8A5Z	Frieze	101.31
1965-08-31	USI8A5Z	Frieze	100.79
1965-09-30	USI8A5Z	Frieze	101.15
1965-10-31	USI8A5Z	Frieze	102.33
1965-11-30	USI8A5Z	Frieze	97.54
1965-12-31	USI8A5Z	Frieze	93.57
1966-01-31	USI8A5Z	Frieze	93.68
1966-02-28	USI8A5Z	Frieze	89.99
1966-03-31	USI8A5Z	Frieze	90.1
1966-04-30	USI8A5Z	Frieze	90.05
1966-05-31	USI8A5Z	Frieze	92.63
1966-06-30	USI8A5Z	Frieze	97.31
1966-07-31	USI8A5Z	Frieze	92.16
1966-08-31	USI8A5Z	Frieze	85.33
1966-09-30	USI8A5Z	Frieze	81.98
1966-10-31	USI8A5Z	Frieze	85.09
1966-11-30	USI8A5Z	Frieze	77.0
1966-12-31	USI8A5Z	Frieze	77.42
1967-01-31	USI8A5Z	Frieze	73.47
1967-02-28	USI8A5Z	Frieze	73.39
1967-03-31	USI8A5Z	Frieze	73.15
1967-04-30	USI8A5Z	Frieze	76.28
1967-05-31	USI8A5Z	Frieze	74.31
1967-06-30	USI8A5Z	Frieze	81.7
1967-07-31	USI8A5Z	Frieze	83.94
1967-08-31	USI8A5Z	Frieze	87.6
1967-09-30	USI8A5Z	Frieze	89.84
1967-10-31	USI8A5Z	Frieze	88.28
1967-11-30	USI8A5Z	Frieze	82.8
1967-12-31	USI8A5Z	Frieze	82.49
1968-01-31	USI8A5Z	Frieze	81.25
1968-02-29	USI8A5Z	Frieze	84.81
1968-03-31	USI8A5Z	Frieze	87.4
1968-04-30	USI8A5Z	Frieze	85.16
1968-05-31	USI8A5Z	Frieze	90.45
1968-06-30	USI8A5Z	Frieze	91.37
1968-07-31	USI8A5Z	Frieze	83.89
1968-08-31	USI8A5Z	Frieze	79.11
1968-09-30	USI8A5Z	Frieze	85.2
1968-10-31	USI8A5Z	Frieze	81.21
1968-11-30	USI8A5Z	Frieze	83.87
1968-12-31	USI8A5Z	Frieze	78.3
1969-01-31	USI8A5Z	Frieze	79.8
1969-02-28	USI8A5Z	Frieze	75.29
1969-03-31	USI8A5Z	Frieze	69.05
1969-04-30	USI8A5Z	Frieze	72.09
1969-05-31	USI8A5Z	Frieze	72.65
1969-06-30	USI8A5Z	Frieze	64.66
1969-07-31	USI8A5Z	Frieze	61.71615183999181
1969-08-31	USI8A5Z	Frieze	61.89
1969-09-30	USI8A5Z	Frieze	62.8985604154324
1969-10-31	USI8A5Z	Frieze	61.47
1969-11-30	USI8A5Z	Frieze	61.74511800935995
1969-12-31	USI8A5Z	Frieze	62.97
1970-01-31	USI8A5Z	Frieze	62.36
1970-02-28	USI8A5Z	Frieze	61.7388491032561
1970-03-31	USI8A5Z	Frieze	66.87
1970-04-30	USI8A5Z	Frieze	64.72
1970-05-31	USI8A5Z	Frieze	63.13
1970-06-30	USI8A5Z	Frieze	65.69
1970-07-31	USI8A5Z	Frieze	67.53
1970-08-31	USI8A5Z	Frieze	64.78
1970-09-30	USI8A5Z	Frieze	66.07
1970-10-31	USI8A5Z	Frieze	61.03
1970-11-30	USI8A5Z	Frieze	67.36
1970-12-31	USI8A5Z	Frieze	74.2
1971-01-31	USI8A5Z	Frieze	72.95
1971-02-28	USI8A5Z	Frieze	65.19
1971-03-31	USI8A5Z	Frieze	67.4
1971-04-30	USI8A5Z	Frieze	62.08
1971-05-31	USI8A5Z	Frieze	62.776155912057206
1971-06-30	USI8A5Z	Frieze	64.54
1971-07-31	USI8A5Z	Frieze	66.03
1971-08-31	USI8A5Z	Frieze	66.95
1971-09-30	USI8A5Z	Frieze	61.06392560926449
1971-10-31	USI8A5Z	Frieze	68.07
1971-11-30	USI8A5Z	Frieze	71.12
1971-12-31	USI8A5Z	Frieze	73.05
1972-01-31	USI8A5Z	Frieze	79.68
1972-02-29	USI8A5Z	Frieze	75.65
1972-03-31	USI8A5Z	Frieze	72.42
1972-04-30	USI8A5Z	Frieze	72.8
1972-05-31	USI8A5Z	Frieze	71.91
1972-06-30	USI8A5Z	Frieze	67.41
1972-07-31	USI8A5Z	Frieze	73.64
1972-08-31	USI8A5Z	Frieze	74.24
1972-09-30	USI8A5Z	Frieze	72.94
1972-10-31	USI8A5Z	Frieze	70.88
1972-11-30	USI8A5Z	Frieze	70.98
1972-12-31	USI8A5Z	Frieze	72.0
1973-01-31	USI8A5Z	Frieze	73.69
1973-02-28	USI8A5Z	Frieze	65.64
1973-03-31	USI8A5Z	Frieze	71.38
1973-04-30	USI8A5Z	Frieze	74.62
1973-05-31	USI8A5Z	Frieze	75.15
1973-06-30	USI8A5Z	Frieze	75.54
1973-07-31	USI8A5Z	Frieze	72.05
1973-08-31	USI8A5Z	Frieze	69.92
1973-09-30	USI8A5Z	Frieze	62.27
1973-10-31	USI8A5Z	Frieze	62.180490971321746
1973-11-30	USI8A5Z	Frieze	61.85
1973-12-31	USI8A5Z	Frieze	63.24
1974-01-31	USI8A5Z	Frieze	68.09
1974-02-28	USI8A5Z	Frieze	76.36
1974-03-31	USI8A5Z	Frieze	77.29
1974-04-30	USI8A5Z	Frieze	78.72
