Date	Company Code	Company Name	Stock Price
1959-01-31	USRUUYS	GOAT	99.68
1959-02-28	USRUUYS	GOAT	95.85
1959-03-31	USRUUYS	GOAT	98.53
1959-04-30	USRUUYS	GOAT	96.46
1959-05-31	USRUUYS	GOAT	96.88
1959-06-30	USRUUYS	GOAT	91.4
1959-07-31	USRUUYS	GOAT	91.02
1959-08-31	USRUUYS	GOAT	82.44
1959-09-30	USRUUYS	GOAT	91.32
1959-10-31	USRUUYS	GOAT	94.63
1959-11-30	USRUUYS	GOAT	97.6
1959-12-31	USRUUYS	GOAT	98.99
1960-01-31	USRUUYS	GOAT	95.61
1960-02-29	USRUUYS	GOAT	102.78
1960-03-31	USRUUYS	GOAT	106.75
1960-04-30	USRUUYS	GOAT	108.0
1960-05-31	USRUUYS	GOAT	110.67
1960-06-30	USRUUYS	GOAT	113.37
1960-07-31	USRUUYS	GOAT	119.38
1960-08-31	USRUUYS	GOAT	120.01
1960-09-30	USRUUYS	GOAT	117.05
1960-10-31	USRUUYS	GOAT	110.49
1960-11-30	USRUUYS	GOAT	109.27
1960-12-31	USRUUYS	GOAT	111.35
1961-01-31	USRUUYS	GOAT	110.71
1961-02-28	USRUUYS	GOAT	120.02
1961-03-31	USRUUYS	GOAT	119.25
1961-04-30	USRUUYS	GOAT	119.43
1961-05-31	USRUUYS	GOAT	114.84
1961-06-30	USRUUYS	GOAT	115.28
1961-07-31	USRUUYS	GOAT	113.32
1961-08-31	USRUUYS	GOAT	119.96
1961-09-30	USRUUYS	GOAT	126.63
1961-10-31	USRUUYS	GOAT	126.47
1961-11-30	USRUUYS	GOAT	123.8
1961-12-31	USRUUYS	GOAT	123.29
1962-01-31	USRUUYS	GOAT	129.47
1962-02-28	USRUUYS	GOAT	124.75
1962-03-31	USRUUYS	GOAT	126.26
1962-04-30	USRUUYS	GOAT	123.89
1962-05-31	USRUUYS	GOAT	119.51
1962-06-30	USRUUYS	GOAT	119.17
1962-07-31	USRUUYS	GOAT	126.3
1962-08-31	USRUUYS	GOAT	120.97
1962-09-30	USRUUYS	GOAT	127.48
1962-10-31	USRUUYS	GOAT	125.37
1962-11-30	USRUUYS	GOAT	120.76
1962-12-31	USRUUYS	GOAT	128.79
1963-01-31	USRUUYS	GOAT	127.92
1963-02-28	USRUUYS	GOAT	129.2
1963-03-31	USRUUYS	GOAT	127.79
1963-04-30	USRUUYS	GOAT	132.41
1963-05-31	USRUUYS	GOAT	132.82
1963-06-30	USRUUYS	GOAT	132.67
1963-07-31	USRUUYS	GOAT	132.8
1963-08-31	USRUUYS	GOAT	130.19
1963-09-30	USRUUYS	GOAT	132.14
1963-10-31	USRUUYS	GOAT	128.44
1963-11-30	USRUUYS	GOAT	127.57
1963-12-31	USRUUYS	GOAT	130.82
1964-01-31	USRUUYS	GOAT	132.74
1964-02-29	USRUUYS	GOAT	139.12
1964-03-31	USRUUYS	GOAT	144.59
1964-04-30	USRUUYS	GOAT	145.46
1964-05-31	USRUUYS	GOAT	148.09
1964-06-30	USRUUYS	GOAT	148.1
1964-07-31	USRUUYS	GOAT	148.4
1964-08-31	USRUUYS	GOAT	154.25
1964-09-30	USRUUYS	GOAT	154.01
1964-10-31	USRUUYS	GOAT	152.87
1964-11-30	USRUUYS	GOAT	156.03
1964-12-31	USRUUYS	GOAT	156.71
1965-01-31	USRUUYS	GOAT	147.73
1965-02-28	USRUUYS	GOAT	153.33
1965-03-31	USRUUYS	GOAT	154.27
1965-04-30	USRUUYS	GOAT	151.66
1965-05-31	USRUUYS	GOAT	147.48
1965-06-30	USRUUYS	GOAT	147.93
1965-07-31	USRUUYS	GOAT	146.62
1965-08-31	USRUUYS	GOAT	147.44
1965-09-30	USRUUYS	GOAT	146.05
1965-10-31	USRUUYS	GOAT	140.6
1965-11-30	USRUUYS	GOAT	143.74
1965-12-31	USRUUYS	GOAT	140.91
1966-01-31	USRUUYS	GOAT	142.86
1966-02-28	USRUUYS	GOAT	136.44
1966-03-31	USRUUYS	GOAT	139.74
1966-04-30	USRUUYS	GOAT	144.16
1966-05-31	USRUUYS	GOAT	145.38
1966-06-30	USRUUYS	GOAT	140.13
1966-07-31	USRUUYS	GOAT	137.08
1966-08-31	USRUUYS	GOAT	135.52
1966-09-30	USRUUYS	GOAT	134.63
1966-10-31	USRUUYS	GOAT	129.02
1966-11-30	USRUUYS	GOAT	127.91
1966-12-31	USRUUYS	GOAT	129.56
1967-01-31	USRUUYS	GOAT	128.99
1967-02-28	USRUUYS	GOAT	128.36
1967-03-31	USRUUYS	GOAT	132.94
1967-04-30	USRUUYS	GOAT	132.52
1967-05-31	USRUUYS	GOAT	135.54
1967-06-30	USRUUYS	GOAT	139.19
1967-07-31	USRUUYS	GOAT	144.28
1967-08-31	USRUUYS	GOAT	142.52
1967-09-30	USRUUYS	GOAT	143.72
1967-10-31	USRUUYS	GOAT	138.6
1967-11-30	USRUUYS	GOAT	141.18
1967-12-31	USRUUYS	GOAT	138.33
1968-01-31	USRUUYS	GOAT	138.06
1968-02-29	USRUUYS	GOAT	133.81
1968-03-31	USRUUYS	GOAT	133.31
1968-04-30	USRUUYS	GOAT	134.36
1968-05-31	USRUUYS	GOAT	133.73
1968-06-30	USRUUYS	GOAT	134.29
1968-07-31	USRUUYS	GOAT	136.64
1968-08-31	USRUUYS	GOAT	138.42
1968-09-30	USRUUYS	GOAT	140.74
1968-10-31	USRUUYS	GOAT	143.69
1968-11-30	USRUUYS	GOAT	150.07
1968-12-31	USRUUYS	GOAT	147.0
1969-01-31	USRUUYS	GOAT	154.35
1969-02-28	USRUUYS	GOAT	159.1
1969-03-31	USRUUYS	GOAT	162.35
1969-04-30	USRUUYS	GOAT	168.92
1969-05-31	USRUUYS	GOAT	165.16
1969-06-30	USRUUYS	GOAT	164.96
1969-07-31	USRUUYS	GOAT	168.25
1969-08-31	USRUUYS	GOAT	170.72
1969-09-30	USRUUYS	GOAT	171.24
1969-10-31	USRUUYS	GOAT	165.9
1969-11-30	USRUUYS	GOAT	166.22
1969-12-31	USRUUYS	GOAT	159.22
1970-01-31	USRUUYS	GOAT	157.76
1970-02-28	USRUUYS	GOAT	154.73
