Date	Company Code	Company Name	Stock Price
1959-01-31	USHCN6G	GameStop Corp.	93.21
1959-02-28	USHCN6G	GameStop Corp.	93.44
1959-03-31	USHCN6G	GameStop Corp.	96.19
1959-04-30	USHCN6G	GameStop Corp.	95.97
1959-05-31	USHCN6G	GameStop Corp.	101.63
1959-06-30	USHCN6G	GameStop Corp.	95.51
1959-07-31	USHCN6G	GameStop Corp.	98.56
1959-08-31	USHCN6G	GameStop Corp.	98.55
1959-09-30	USHCN6G	GameStop Corp.	93.09
1959-10-31	USHCN6G	GameStop Corp.	83.2
1959-11-30	USHCN6G	GameStop Corp.	83.0
1959-12-31	USHCN6G	GameStop Corp.	90.44
1960-01-31	USHCN6G	GameStop Corp.	92.29
1960-02-29	USHCN6G	GameStop Corp.	84.95
1960-03-31	USHCN6G	GameStop Corp.	87.22
1960-04-30	USHCN6G	GameStop Corp.	86.91
1960-05-31	USHCN6G	GameStop Corp.	85.39
1960-06-30	USHCN6G	GameStop Corp.	92.22
1960-07-31	USHCN6G	GameStop Corp.	97.96
1960-08-31	USHCN6G	GameStop Corp.	98.71
1960-09-30	USHCN6G	GameStop Corp.	101.43
1960-10-31	USHCN6G	GameStop Corp.	104.87
1960-11-30	USHCN6G	GameStop Corp.	101.7
1960-12-31	USHCN6G	GameStop Corp.	99.52
1961-01-31	USHCN6G	GameStop Corp.	101.24
1961-02-28	USHCN6G	GameStop Corp.	97.5
1961-03-31	USHCN6G	GameStop Corp.	101.43
1961-04-30	USHCN6G	GameStop Corp.	100.72
1961-05-31	USHCN6G	GameStop Corp.	104.08
1961-06-30	USHCN6G	GameStop Corp.	105.68
1961-07-31	USHCN6G	GameStop Corp.	107.71
1961-08-31	USHCN6G	GameStop Corp.	110.02
1961-09-30	USHCN6G	GameStop Corp.	107.1
1961-10-31	USHCN6G	GameStop Corp.	112.1
1961-11-30	USHCN6G	GameStop Corp.	113.62
1961-12-31	USHCN6G	GameStop Corp.	115.74
1962-01-31	USHCN6G	GameStop Corp.	116.68
1962-02-28	USHCN6G	GameStop Corp.	113.39
1962-03-31	USHCN6G	GameStop Corp.	113.8
1962-04-30	USHCN6G	GameStop Corp.	113.78
1962-05-31	USHCN6G	GameStop Corp.	108.55
1962-06-30	USHCN6G	GameStop Corp.	102.73
1962-07-31	USHCN6G	GameStop Corp.	101.22
1962-08-31	USHCN6G	GameStop Corp.	102.85
1962-09-30	USHCN6G	GameStop Corp.	99.27
1962-10-31	USHCN6G	GameStop Corp.	92.81
1962-11-30	USHCN6G	GameStop Corp.	93.04
1962-12-31	USHCN6G	GameStop Corp.	91.1
1963-01-31	USHCN6G	GameStop Corp.	90.62
1963-02-28	USHCN6G	GameStop Corp.	94.83
1963-03-31	USHCN6G	GameStop Corp.	96.94
1963-04-30	USHCN6G	GameStop Corp.	99.9
1963-05-31	USHCN6G	GameStop Corp.	93.34
1963-06-30	USHCN6G	GameStop Corp.	87.85
1963-07-31	USHCN6G	GameStop Corp.	89.81
1963-08-31	USHCN6G	GameStop Corp.	96.08
1963-09-30	USHCN6G	GameStop Corp.	91.85
1963-10-31	USHCN6G	GameStop Corp.	88.49
1963-11-30	USHCN6G	GameStop Corp.	91.82
1963-12-31	USHCN6G	GameStop Corp.	92.01
1964-01-31	USHCN6G	GameStop Corp.	90.47
1964-02-29	USHCN6G	GameStop Corp.	96.93
1964-03-31	USHCN6G	GameStop Corp.	90.88
1964-04-30	USHCN6G	GameStop Corp.	92.81
1964-05-31	USHCN6G	GameStop Corp.	99.78
1964-06-30	USHCN6G	GameStop Corp.	101.16
1964-07-31	USHCN6G	GameStop Corp.	100.3
1964-08-31	USHCN6G	GameStop Corp.	92.57
1964-09-30	USHCN6G	GameStop Corp.	92.95
1964-10-31	USHCN6G	GameStop Corp.	95.18
1964-11-30	USHCN6G	GameStop Corp.	92.74
1964-12-31	USHCN6G	GameStop Corp.	95.51
1965-01-31	USHCN6G	GameStop Corp.	94.62
1965-02-28	USHCN6G	GameStop Corp.	101.06
1965-03-31	USHCN6G	GameStop Corp.	100.16
1965-04-30	USHCN6G	GameStop Corp.	105.59
1965-05-31	USHCN6G	GameStop Corp.	106.8
1965-06-30	USHCN6G	GameStop Corp.	112.99
1965-07-31	USHCN6G	GameStop Corp.	111.74
1965-08-31	USHCN6G	GameStop Corp.	105.12
1965-09-30	USHCN6G	GameStop Corp.	102.11
1965-10-31	USHCN6G	GameStop Corp.	105.03
1965-11-30	USHCN6G	GameStop Corp.	95.25
1965-12-31	USHCN6G	GameStop Corp.	90.74
1966-01-31	USHCN6G	GameStop Corp.	93.78
1966-02-28	USHCN6G	GameStop Corp.	96.84
1966-03-31	USHCN6G	GameStop Corp.	90.3
1966-04-30	USHCN6G	GameStop Corp.	91.48
1966-05-31	USHCN6G	GameStop Corp.	90.72
1966-06-30	USHCN6G	GameStop Corp.	85.15
1966-07-31	USHCN6G	GameStop Corp.	86.97
1966-08-31	USHCN6G	GameStop Corp.	93.28
1966-09-30	USHCN6G	GameStop Corp.	91.65
1966-10-31	USHCN6G	GameStop Corp.	91.95
1966-11-30	USHCN6G	GameStop Corp.	94.03
1966-12-31	USHCN6G	GameStop Corp.	94.59
1967-01-31	USHCN6G	GameStop Corp.	92.88
1967-02-28	USHCN6G	GameStop Corp.	89.5
1967-03-31	USHCN6G	GameStop Corp.	80.5
1967-04-30	USHCN6G	GameStop Corp.	73.88
1967-05-31	USHCN6G	GameStop Corp.	71.0
1967-06-30	USHCN6G	GameStop Corp.	74.77
1967-07-31	USHCN6G	GameStop Corp.	66.95
1967-08-31	USHCN6G	GameStop Corp.	74.51
1967-09-30	USHCN6G	GameStop Corp.	75.76
1967-10-31	USHCN6G	GameStop Corp.	70.22
1967-11-30	USHCN6G	GameStop Corp.	70.07
1967-12-31	USHCN6G	GameStop Corp.	72.31
1968-01-31	USHCN6G	GameStop Corp.	75.94
1968-02-29	USHCN6G	GameStop Corp.	71.84
1968-03-31	USHCN6G	GameStop Corp.	71.33
1968-04-30	USHCN6G	GameStop Corp.	67.69
