Date	Company Code	Company Name	Stock Price
1959-01-31	USYZFHX	Gap Inc.	112.18
1959-02-28	USYZFHX	Gap Inc.	113.46
1959-03-31	USYZFHX	Gap Inc.	116.32
1959-04-30	USYZFHX	Gap Inc.	119.12
1959-05-31	USYZFHX	Gap Inc.	124.11
1959-06-30	USYZFHX	Gap Inc.	130.91
1959-07-31	USYZFHX	Gap Inc.	135.2
1959-08-31	USYZFHX	Gap Inc.	137.83
1959-09-30	USYZFHX	Gap Inc.	141.28
1959-10-31	USYZFHX	Gap Inc.	143.49
1959-11-30	USYZFHX	Gap Inc.	146.05
1959-12-31	USYZFHX	Gap Inc.	141.93
1960-01-31	USYZFHX	Gap Inc.	135.5
1960-02-29	USYZFHX	Gap Inc.	129.32
1960-03-31	USYZFHX	Gap Inc.	130.6
1960-04-30	USYZFHX	Gap Inc.	130.28
1960-05-31	USYZFHX	Gap Inc.	132.61
1960-06-30	USYZFHX	Gap Inc.	131.39
1960-07-31	USYZFHX	Gap Inc.	137.37
1960-08-31	USYZFHX	Gap Inc.	146.64
1960-09-30	USYZFHX	Gap Inc.	147.75
1960-10-31	USYZFHX	Gap Inc.	150.55
1960-11-30	USYZFHX	Gap Inc.	151.63
1960-12-31	USYZFHX	Gap Inc.	145.29
1961-01-31	USYZFHX	Gap Inc.	142.58
1961-02-28	USYZFHX	Gap Inc.	150.72
1961-03-31	USYZFHX	Gap Inc.	149.49
1961-04-30	USYZFHX	Gap Inc.	150.54
1961-05-31	USYZFHX	Gap Inc.	149.69
1961-06-30	USYZFHX	Gap Inc.	141.84
1961-07-31	USYZFHX	Gap Inc.	142.55
1961-08-31	USYZFHX	Gap Inc.	141.88
1961-09-30	USYZFHX	Gap Inc.	140.06
1961-10-31	USYZFHX	Gap Inc.	134.2
1961-11-30	USYZFHX	Gap Inc.	127.75
1961-12-31	USYZFHX	Gap Inc.	127.29
1962-01-31	USYZFHX	Gap Inc.	128.38
1962-02-28	USYZFHX	Gap Inc.	129.86
1962-03-31	USYZFHX	Gap Inc.	130.14
1962-04-30	USYZFHX	Gap Inc.	127.7
1962-05-31	USYZFHX	Gap Inc.	124.74
1962-06-30	USYZFHX	Gap Inc.	128.23
1962-07-31	USYZFHX	Gap Inc.	130.26
1962-08-31	USYZFHX	Gap Inc.	130.43
1962-09-30	USYZFHX	Gap Inc.	131.98
1962-10-31	USYZFHX	Gap Inc.	131.88
1962-11-30	USYZFHX	Gap Inc.	126.25
