Date	Company Code	Company Name	Stock Price
1959-01-31	USU90WM	General Dynamics Corp.	95.09
1959-02-28	USU90WM	General Dynamics Corp.	94.42
1959-03-31	USU90WM	General Dynamics Corp.	95.24
1959-04-30	USU90WM	General Dynamics Corp.	96.32
1959-05-31	USU90WM	General Dynamics Corp.	96.82
1959-06-30	USU90WM	General Dynamics Corp.	98.27
1959-07-31	USU90WM	General Dynamics Corp.	97.52
1959-08-31	USU90WM	General Dynamics Corp.	99.11
1959-09-30	USU90WM	General Dynamics Corp.	99.62
1959-10-31	USU90WM	General Dynamics Corp.	100.97
1959-11-30	USU90WM	General Dynamics Corp.	98.17
1959-12-31	USU90WM	General Dynamics Corp.	92.08
1960-01-31	USU90WM	General Dynamics Corp.	93.91
1960-02-29	USU90WM	General Dynamics Corp.	90.62
1960-03-31	USU90WM	General Dynamics Corp.	88.09
1960-04-30	USU90WM	General Dynamics Corp.	88.47
1960-05-31	USU90WM	General Dynamics Corp.	81.04
1960-06-30	USU90WM	General Dynamics Corp.	78.12
1960-07-31	USU90WM	General Dynamics Corp.	80.78
1960-08-31	USU90WM	General Dynamics Corp.	82.51
1960-09-30	USU90WM	General Dynamics Corp.	77.06
1960-10-31	USU90WM	General Dynamics Corp.	83.81
1960-11-30	USU90WM	General Dynamics Corp.	88.15
1960-12-31	USU90WM	General Dynamics Corp.	92.26
1961-01-31	USU90WM	General Dynamics Corp.	91.86
1961-02-28	USU90WM	General Dynamics Corp.	92.46
1961-03-31	USU90WM	General Dynamics Corp.	96.01
1961-04-30	USU90WM	General Dynamics Corp.	96.94
1961-05-31	USU90WM	General Dynamics Corp.	94.01
1961-06-30	USU90WM	General Dynamics Corp.	94.43
1961-07-31	USU90WM	General Dynamics Corp.	88.28
1961-08-31	USU90WM	General Dynamics Corp.	90.21
1961-09-30	USU90WM	General Dynamics Corp.	88.5
1961-10-31	USU90WM	General Dynamics Corp.	88.11
1961-11-30	USU90WM	General Dynamics Corp.	91.78
1961-12-31	USU90WM	General Dynamics Corp.	96.21
1962-01-31	USU90WM	General Dynamics Corp.	91.06
1962-02-28	USU90WM	General Dynamics Corp.	97.14
1962-03-31	USU90WM	General Dynamics Corp.	100.19
