Date	Company Code	Company Name	Stock Price
1959-01-31	USJ2RM8	General Electric Co.	109.28
1959-02-28	USJ2RM8	General Electric Co.	108.37
1959-03-31	USJ2RM8	General Electric Co.	108.18
1959-04-30	USJ2RM8	General Electric Co.	111.9
1959-05-31	USJ2RM8	General Electric Co.	113.89
1959-06-30	USJ2RM8	General Electric Co.	111.85
1959-07-31	USJ2RM8	General Electric Co.	114.7
1959-08-31	USJ2RM8	General Electric Co.	109.75
1959-09-30	USJ2RM8	General Electric Co.	113.37
1959-10-31	USJ2RM8	General Electric Co.	118.82
1959-11-30	USJ2RM8	General Electric Co.	118.91
1959-12-31	USJ2RM8	General Electric Co.	114.06
1960-01-31	USJ2RM8	General Electric Co.	117.22
1960-02-29	USJ2RM8	General Electric Co.	110.3
1960-03-31	USJ2RM8	General Electric Co.	107.64
1960-04-30	USJ2RM8	General Electric Co.	112.72
1960-05-31	USJ2RM8	General Electric Co.	110.67
1960-06-30	USJ2RM8	General Electric Co.	109.75
1960-07-31	USJ2RM8	General Electric Co.	107.72
1960-08-31	USJ2RM8	General Electric Co.	109.99
1960-09-30	USJ2RM8	General Electric Co.	109.42
1960-10-31	USJ2RM8	General Electric Co.	109.17
1960-11-30	USJ2RM8	General Electric Co.	110.22
1960-12-31	USJ2RM8	General Electric Co.	118.23
1961-01-31	USJ2RM8	General Electric Co.	125.21
1961-02-28	USJ2RM8	General Electric Co.	125.54
1961-03-31	USJ2RM8	General Electric Co.	125.39
1961-04-30	USJ2RM8	General Electric Co.	120.41
1961-05-31	USJ2RM8	General Electric Co.	121.93
1961-06-30	USJ2RM8	General Electric Co.	121.51
1961-07-31	USJ2RM8	General Electric Co.	121.67
1961-08-31	USJ2RM8	General Electric Co.	128.43
1961-09-30	USJ2RM8	General Electric Co.	133.24
1961-10-31	USJ2RM8	General Electric Co.	135.27
1961-11-30	USJ2RM8	General Electric Co.	131.77
1961-12-31	USJ2RM8	General Electric Co.	130.13
1962-01-31	USJ2RM8	General Electric Co.	131.39
1962-02-28	USJ2RM8	General Electric Co.	127.09
1962-03-31	USJ2RM8	General Electric Co.	120.18
1962-04-30	USJ2RM8	General Electric Co.	118.38
1962-05-31	USJ2RM8	General Electric Co.	120.09
1962-06-30	USJ2RM8	General Electric Co.	124.35
1962-07-31	USJ2RM8	General Electric Co.	118.08
1962-08-31	USJ2RM8	General Electric Co.	122.38
