Date	Company Code	Company Name	Stock Price
1959-01-31	USYLIKR	Goldman Sachs Group Inc.	88.83
1959-02-28	USYLIKR	Goldman Sachs Group Inc.	93.92
1959-03-31	USYLIKR	Goldman Sachs Group Inc.	96.42
1959-04-30	USYLIKR	Goldman Sachs Group Inc.	95.61
1959-05-31	USYLIKR	Goldman Sachs Group Inc.	86.86
1959-06-30	USYLIKR	Goldman Sachs Group Inc.	85.86
1959-07-31	USYLIKR	Goldman Sachs Group Inc.	81.2
1959-08-31	USYLIKR	Goldman Sachs Group Inc.	81.47
1959-09-30	USYLIKR	Goldman Sachs Group Inc.	87.44
1959-10-31	USYLIKR	Goldman Sachs Group Inc.	86.46
1959-11-30	USYLIKR	Goldman Sachs Group Inc.	85.24
1959-12-31	USYLIKR	Goldman Sachs Group Inc.	78.43
1960-01-31	USYLIKR	Goldman Sachs Group Inc.	79.18
1960-02-29	USYLIKR	Goldman Sachs Group Inc.	78.16
1960-03-31	USYLIKR	Goldman Sachs Group Inc.	73.8
1960-04-30	USYLIKR	Goldman Sachs Group Inc.	73.7
1960-05-31	USYLIKR	Goldman Sachs Group Inc.	71.22
1960-06-30	USYLIKR	Goldman Sachs Group Inc.	69.6
1960-07-31	USYLIKR	Goldman Sachs Group Inc.	68.2
1960-08-31	USYLIKR	Goldman Sachs Group Inc.	67.7
1960-09-30	USYLIKR	Goldman Sachs Group Inc.	68.09
1960-10-31	USYLIKR	Goldman Sachs Group Inc.	64.96
1960-11-30	USYLIKR	Goldman Sachs Group Inc.	62.82
1960-12-31	USYLIKR	Goldman Sachs Group Inc.	61.86
1961-01-31	USYLIKR	Goldman Sachs Group Inc.	62.565555947289184
1961-02-28	USYLIKR	Goldman Sachs Group Inc.	60.35
1961-03-31	USYLIKR	Goldman Sachs Group Inc.	61.91992678412208
1961-04-30	USYLIKR	Goldman Sachs Group Inc.	60.74
1961-05-31	USYLIKR	Goldman Sachs Group Inc.	61.38
1961-06-30	USYLIKR	Goldman Sachs Group Inc.	62.305674290172796
1961-07-31	USYLIKR	Goldman Sachs Group Inc.	61.43
1961-08-31	USYLIKR	Goldman Sachs Group Inc.	61.61505057484619
1961-09-30	USYLIKR	Goldman Sachs Group Inc.	62.7599991696014
1961-10-31	USYLIKR	Goldman Sachs Group Inc.	63.14
1961-11-30	USYLIKR	Goldman Sachs Group Inc.	63.04
1961-12-31	USYLIKR	Goldman Sachs Group Inc.	62.71209908048437
1962-01-31	USYLIKR	Goldman Sachs Group Inc.	65.47
1962-02-28	USYLIKR	Goldman Sachs Group Inc.	62.31
1962-03-31	USYLIKR	Goldman Sachs Group Inc.	67.58
1962-04-30	USYLIKR	Goldman Sachs Group Inc.	62.62
1962-05-31	USYLIKR	Goldman Sachs Group Inc.	62.30251773585269
1962-06-30	USYLIKR	Goldman Sachs Group Inc.	60.54
1962-07-31	USYLIKR	Goldman Sachs Group Inc.	60.27
1962-08-31	USYLIKR	Goldman Sachs Group Inc.	61.07
1962-09-30	USYLIKR	Goldman Sachs Group Inc.	64.58
1962-10-31	USYLIKR	Goldman Sachs Group Inc.	65.69
1962-11-30	USYLIKR	Goldman Sachs Group Inc.	64.23
1962-12-31	USYLIKR	Goldman Sachs Group Inc.	64.61
1963-01-31	USYLIKR	Goldman Sachs Group Inc.	65.35
1963-02-28	USYLIKR	Goldman Sachs Group Inc.	69.15
1963-03-31	USYLIKR	Goldman Sachs Group Inc.	64.48
1963-04-30	USYLIKR	Goldman Sachs Group Inc.	63.46
1963-05-31	USYLIKR	Goldman Sachs Group Inc.	65.9
1963-06-30	USYLIKR	Goldman Sachs Group Inc.	67.5
1963-07-31	USYLIKR	Goldman Sachs Group Inc.	75.09
1963-08-31	USYLIKR	Goldman Sachs Group Inc.	80.33
1963-09-30	USYLIKR	Goldman Sachs Group Inc.	89.56
1963-10-31	USYLIKR	Goldman Sachs Group Inc.	83.6
