Date	Company Code	Company Name	Stock Price
1959-01-31	USXJM19	Goldsmiths, University of London	113.23
1959-02-28	USXJM19	Goldsmiths, University of London	116.94
1959-03-31	USXJM19	Goldsmiths, University of London	114.39
1959-04-30	USXJM19	Goldsmiths, University of London	115.23
1959-05-31	USXJM19	Goldsmiths, University of London	117.22
1959-06-30	USXJM19	Goldsmiths, University of London	116.52
1959-07-31	USXJM19	Goldsmiths, University of London	109.98
1959-08-31	USXJM19	Goldsmiths, University of London	115.46
1959-09-30	USXJM19	Goldsmiths, University of London	121.11
1959-10-31	USXJM19	Goldsmiths, University of London	121.63
1959-11-30	USXJM19	Goldsmiths, University of London	129.66
1959-12-31	USXJM19	Goldsmiths, University of London	126.36
1960-01-31	USXJM19	Goldsmiths, University of London	130.34
1960-02-29	USXJM19	Goldsmiths, University of London	137.78
1960-03-31	USXJM19	Goldsmiths, University of London	141.63
1960-04-30	USXJM19	Goldsmiths, University of London	143.17
1960-05-31	USXJM19	Goldsmiths, University of London	144.34
1960-06-30	USXJM19	Goldsmiths, University of London	143.64
1960-07-31	USXJM19	Goldsmiths, University of London	138.11
1960-08-31	USXJM19	Goldsmiths, University of London	134.18
1960-09-30	USXJM19	Goldsmiths, University of London	134.57
1960-10-31	USXJM19	Goldsmiths, University of London	128.07
1960-11-30	USXJM19	Goldsmiths, University of London	127.92
1960-12-31	USXJM19	Goldsmiths, University of London	127.73
1961-01-31	USXJM19	Goldsmiths, University of London	124.08
1961-02-28	USXJM19	Goldsmiths, University of London	126.37
1961-03-31	USXJM19	Goldsmiths, University of London	126.69
1961-04-30	USXJM19	Goldsmiths, University of London	127.92
1961-05-31	USXJM19	Goldsmiths, University of London	130.83
1961-06-30	USXJM19	Goldsmiths, University of London	129.22
1961-07-31	USXJM19	Goldsmiths, University of London	122.76
1961-08-31	USXJM19	Goldsmiths, University of London	130.96
1961-09-30	USXJM19	Goldsmiths, University of London	132.31
1961-10-31	USXJM19	Goldsmiths, University of London	128.39
1961-11-30	USXJM19	Goldsmiths, University of London	137.16
1961-12-31	USXJM19	Goldsmiths, University of London	132.52
1962-01-31	USXJM19	Goldsmiths, University of London	136.0
1962-02-28	USXJM19	Goldsmiths, University of London	137.41
1962-03-31	USXJM19	Goldsmiths, University of London	132.75
1962-04-30	USXJM19	Goldsmiths, University of London	135.44
1962-05-31	USXJM19	Goldsmiths, University of London	135.67
1962-06-30	USXJM19	Goldsmiths, University of London	132.71
1962-07-31	USXJM19	Goldsmiths, University of London	131.2
1962-08-31	USXJM19	Goldsmiths, University of London	131.8
1962-09-30	USXJM19	Goldsmiths, University of London	131.4
1962-10-31	USXJM19	Goldsmiths, University of London	136.69
1962-11-30	USXJM19	Goldsmiths, University of London	136.18
1962-12-31	USXJM19	Goldsmiths, University of London	138.83
1963-01-31	USXJM19	Goldsmiths, University of London	136.61
1963-02-28	USXJM19	Goldsmiths, University of London	136.11
1963-03-31	USXJM19	Goldsmiths, University of London	129.39
1963-04-30	USXJM19	Goldsmiths, University of London	137.93
1963-05-31	USXJM19	Goldsmiths, University of London	131.98
1963-06-30	USXJM19	Goldsmiths, University of London	126.8
1963-07-31	USXJM19	Goldsmiths, University of London	122.86
1963-08-31	USXJM19	Goldsmiths, University of London	121.02
1963-09-30	USXJM19	Goldsmiths, University of London	119.41
1963-10-31	USXJM19	Goldsmiths, University of London	111.43
1963-11-30	USXJM19	Goldsmiths, University of London	107.56
1963-12-31	USXJM19	Goldsmiths, University of London	104.7
1964-01-31	USXJM19	Goldsmiths, University of London	107.56
1964-02-29	USXJM19	Goldsmiths, University of London	104.88
1964-03-31	USXJM19	Goldsmiths, University of London	105.33
1964-04-30	USXJM19	Goldsmiths, University of London	103.07
1964-05-31	USXJM19	Goldsmiths, University of London	106.16
1964-06-30	USXJM19	Goldsmiths, University of London	104.55
1964-07-31	USXJM19	Goldsmiths, University of London	104.12
1964-08-31	USXJM19	Goldsmiths, University of London	105.26
1964-09-30	USXJM19	Goldsmiths, University of London	106.71
1964-10-31	USXJM19	Goldsmiths, University of London	113.14
1964-11-30	USXJM19	Goldsmiths, University of London	116.08
1964-12-31	USXJM19	Goldsmiths, University of London	119.3
1965-01-31	USXJM19	Goldsmiths, University of London	123.03
1965-02-28	USXJM19	Goldsmiths, University of London	116.97
1965-03-31	USXJM19	Goldsmiths, University of London	122.52
1965-04-30	USXJM19	Goldsmiths, University of London	121.46
1965-05-31	USXJM19	Goldsmiths, University of London	117.02
1965-06-30	USXJM19	Goldsmiths, University of London	108.15
1965-07-31	USXJM19	Goldsmiths, University of London	104.59
1965-08-31	USXJM19	Goldsmiths, University of London	109.29
1965-09-30	USXJM19	Goldsmiths, University of London	105.3
1965-10-31	USXJM19	Goldsmiths, University of London	101.88
1965-11-30	USXJM19	Goldsmiths, University of London	104.48
1965-12-31	USXJM19	Goldsmiths, University of London	101.35
1966-01-31	USXJM19	Goldsmiths, University of London	107.87
1966-02-28	USXJM19	Goldsmiths, University of London	105.25
1966-03-31	USXJM19	Goldsmiths, University of London	110.29
1966-04-30	USXJM19	Goldsmiths, University of London	109.29
1966-05-31	USXJM19	Goldsmiths, University of London	112.75
1966-06-30	USXJM19	Goldsmiths, University of London	116.57
1966-07-31	USXJM19	Goldsmiths, University of London	115.48
1966-08-31	USXJM19	Goldsmiths, University of London	117.08
1966-09-30	USXJM19	Goldsmiths, University of London	118.68
1966-10-31	USXJM19	Goldsmiths, University of London	125.0
