Date	Company Code	Company Name	Stock Price
1959-01-31	USVRXRS	Grailed	115.33
1959-02-28	USVRXRS	Grailed	121.21
1959-03-31	USVRXRS	Grailed	120.06
1959-04-30	USVRXRS	Grailed	122.29
1959-05-31	USVRXRS	Grailed	122.04
1959-06-30	USVRXRS	Grailed	119.38
1959-07-31	USVRXRS	Grailed	124.8
1959-08-31	USVRXRS	Grailed	120.05
1959-09-30	USVRXRS	Grailed	119.33
1959-10-31	USVRXRS	Grailed	120.63
1959-11-30	USVRXRS	Grailed	119.26
1959-12-31	USVRXRS	Grailed	112.21
1960-01-31	USVRXRS	Grailed	120.91
1960-02-29	USVRXRS	Grailed	114.76
1960-03-31	USVRXRS	Grailed	109.23
1960-04-30	USVRXRS	Grailed	107.26
1960-05-31	USVRXRS	Grailed	104.98
1960-06-30	USVRXRS	Grailed	112.88
1960-07-31	USVRXRS	Grailed	115.25
1960-08-31	USVRXRS	Grailed	117.68
1960-09-30	USVRXRS	Grailed	114.32
1960-10-31	USVRXRS	Grailed	109.08
1960-11-30	USVRXRS	Grailed	113.86
1960-12-31	USVRXRS	Grailed	115.6
1961-01-31	USVRXRS	Grailed	115.25
1961-02-28	USVRXRS	Grailed	111.16
1961-03-31	USVRXRS	Grailed	112.61
1961-04-30	USVRXRS	Grailed	110.29
1961-05-31	USVRXRS	Grailed	118.41
1961-06-30	USVRXRS	Grailed	116.9
1961-07-31	USVRXRS	Grailed	116.06
1961-08-31	USVRXRS	Grailed	118.05
1961-09-30	USVRXRS	Grailed	123.77
1961-10-31	USVRXRS	Grailed	125.13
1961-11-30	USVRXRS	Grailed	129.64
1961-12-31	USVRXRS	Grailed	127.84
1962-01-31	USVRXRS	Grailed	130.14
1962-02-28	USVRXRS	Grailed	135.05
1962-03-31	USVRXRS	Grailed	140.19
1962-04-30	USVRXRS	Grailed	138.82
1962-05-31	USVRXRS	Grailed	139.71
1962-06-30	USVRXRS	Grailed	138.9
1962-07-31	USVRXRS	Grailed	141.74
1962-08-31	USVRXRS	Grailed	139.54
1962-09-30	USVRXRS	Grailed	139.27
1962-10-31	USVRXRS	Grailed	139.68
1962-11-30	USVRXRS	Grailed	140.54
1962-12-31	USVRXRS	Grailed	139.26
1963-01-31	USVRXRS	Grailed	145.37
1963-02-28	USVRXRS	Grailed	149.11
1963-03-31	USVRXRS	Grailed	142.83
1963-04-30	USVRXRS	Grailed	147.89
1963-05-31	USVRXRS	Grailed	145.12
1963-06-30	USVRXRS	Grailed	144.71
1963-07-31	USVRXRS	Grailed	145.0
1963-08-31	USVRXRS	Grailed	149.96
1963-09-30	USVRXRS	Grailed	157.83
1963-10-31	USVRXRS	Grailed	163.07
1963-11-30	USVRXRS	Grailed	162.77
1963-12-31	USVRXRS	Grailed	161.61
1964-01-31	USVRXRS	Grailed	163.44
1964-02-29	USVRXRS	Grailed	165.29
1964-03-31	USVRXRS	Grailed	166.18
1964-04-30	USVRXRS	Grailed	172.83
1964-05-31	USVRXRS	Grailed	170.64
1964-06-30	USVRXRS	Grailed	169.76
1964-07-31	USVRXRS	Grailed	169.26
1964-08-31	USVRXRS	Grailed	170.3
1964-09-30	USVRXRS	Grailed	167.47
1964-10-31	USVRXRS	Grailed	164.28
1964-11-30	USVRXRS	Grailed	158.36
1964-12-31	USVRXRS	Grailed	156.1
1965-01-31	USVRXRS	Grailed	152.52
1965-02-28	USVRXRS	Grailed	152.3
1965-03-31	USVRXRS	Grailed	155.51
1965-04-30	USVRXRS	Grailed	154.74
1965-05-31	USVRXRS	Grailed	154.05
1965-06-30	USVRXRS	Grailed	151.42
1965-07-31	USVRXRS	Grailed	153.61
1965-08-31	USVRXRS	Grailed	155.72
1965-09-30	USVRXRS	Grailed	154.73
1965-10-31	USVRXRS	Grailed	161.83
1965-11-30	USVRXRS	Grailed	161.6
1965-12-31	USVRXRS	Grailed	163.51
1966-01-31	USVRXRS	Grailed	155.92
1966-02-28	USVRXRS	Grailed	160.89
1966-03-31	USVRXRS	Grailed	159.72
1966-04-30	USVRXRS	Grailed	159.68
1966-05-31	USVRXRS	Grailed	162.31
1966-06-30	USVRXRS	Grailed	165.26
1966-07-31	USVRXRS	Grailed	161.28
1966-08-31	USVRXRS	Grailed	163.44
1966-09-30	USVRXRS	Grailed	161.63
1966-10-31	USVRXRS	Grailed	161.47
1966-11-30	USVRXRS	Grailed	164.28
1966-12-31	USVRXRS	Grailed	164.58
1967-01-31	USVRXRS	Grailed	172.72
1967-02-28	USVRXRS	Grailed	169.31
1967-03-31	USVRXRS	Grailed	172.92
1967-04-30	USVRXRS	Grailed	163.4
1967-05-31	USVRXRS	Grailed	164.26
1967-06-30	USVRXRS	Grailed	163.75
1967-07-31	USVRXRS	Grailed	165.01
1967-08-31	USVRXRS	Grailed	166.39
1967-09-30	USVRXRS	Grailed	168.92
1967-10-31	USVRXRS	Grailed	174.42
1967-11-30	USVRXRS	Grailed	178.4
1967-12-31	USVRXRS	Grailed	173.34
1968-01-31	USVRXRS	Grailed	172.93
1968-02-29	USVRXRS	Grailed	170.84
1968-03-31	USVRXRS	Grailed	168.48
1968-04-30	USVRXRS	Grailed	165.75
1968-05-31	USVRXRS	Grailed	165.69
1968-06-30	USVRXRS	Grailed	166.48
1968-07-31	USVRXRS	Grailed	167.51
1968-08-31	USVRXRS	Grailed	167.85
1968-09-30	USVRXRS	Grailed	165.19
1968-10-31	USVRXRS	Grailed	170.02
1968-11-30	USVRXRS	Grailed	170.49
1968-12-31	USVRXRS	Grailed	167.45
1969-01-31	USVRXRS	Grailed	168.02
1969-02-28	USVRXRS	Grailed	165.06
1969-03-31	USVRXRS	Grailed	165.65
1969-04-30	USVRXRS	Grailed	169.15
1969-05-31	USVRXRS	Grailed	167.36
1969-06-30	USVRXRS	Grailed	170.4
1969-07-31	USVRXRS	Grailed	171.09
1969-08-31	USVRXRS	Grailed	175.6
1969-09-30	USVRXRS	Grailed	177.96
1969-10-31	USVRXRS	Grailed	185.08
1969-11-30	USVRXRS	Grailed	185.21
1969-12-31	USVRXRS	Grailed	184.42
1970-01-31	USVRXRS	Grailed	186.76
1970-02-28	USVRXRS	Grailed	180.37
