Date	Company Code	Company Name	Stock Price
1959-01-31	USG92MV	H&M Hennes & Mauritz AB	107.87
1959-02-28	USG92MV	H&M Hennes & Mauritz AB	108.37
1959-03-31	USG92MV	H&M Hennes & Mauritz AB	106.82
1959-04-30	USG92MV	H&M Hennes & Mauritz AB	115.03
1959-05-31	USG92MV	H&M Hennes & Mauritz AB	118.36
1959-06-30	USG92MV	H&M Hennes & Mauritz AB	117.51
1959-07-31	USG92MV	H&M Hennes & Mauritz AB	116.82
1959-08-31	USG92MV	H&M Hennes & Mauritz AB	117.74
1959-09-30	USG92MV	H&M Hennes & Mauritz AB	116.87
1959-10-31	USG92MV	H&M Hennes & Mauritz AB	121.55
1959-11-30	USG92MV	H&M Hennes & Mauritz AB	116.7
1959-12-31	USG92MV	H&M Hennes & Mauritz AB	111.96
1960-01-31	USG92MV	H&M Hennes & Mauritz AB	110.88
1960-02-29	USG92MV	H&M Hennes & Mauritz AB	114.6
1960-03-31	USG92MV	H&M Hennes & Mauritz AB	111.0
1960-04-30	USG92MV	H&M Hennes & Mauritz AB	114.97
1960-05-31	USG92MV	H&M Hennes & Mauritz AB	111.97
1960-06-30	USG92MV	H&M Hennes & Mauritz AB	105.51
1960-07-31	USG92MV	H&M Hennes & Mauritz AB	104.73
1960-08-31	USG92MV	H&M Hennes & Mauritz AB	101.69
1960-09-30	USG92MV	H&M Hennes & Mauritz AB	98.81
1960-10-31	USG92MV	H&M Hennes & Mauritz AB	101.81
1960-11-30	USG92MV	H&M Hennes & Mauritz AB	94.54
1960-12-31	USG92MV	H&M Hennes & Mauritz AB	96.83
1961-01-31	USG92MV	H&M Hennes & Mauritz AB	97.7
1961-02-28	USG92MV	H&M Hennes & Mauritz AB	95.27
1961-03-31	USG92MV	H&M Hennes & Mauritz AB	96.44
1961-04-30	USG92MV	H&M Hennes & Mauritz AB	95.99
1961-05-31	USG92MV	H&M Hennes & Mauritz AB	97.18
1961-06-30	USG92MV	H&M Hennes & Mauritz AB	97.92
1961-07-31	USG92MV	H&M Hennes & Mauritz AB	98.64
1961-08-31	USG92MV	H&M Hennes & Mauritz AB	105.97
1961-09-30	USG92MV	H&M Hennes & Mauritz AB	103.36
1961-10-31	USG92MV	H&M Hennes & Mauritz AB	102.17
1961-11-30	USG92MV	H&M Hennes & Mauritz AB	110.09
1961-12-31	USG92MV	H&M Hennes & Mauritz AB	109.59
1962-01-31	USG92MV	H&M Hennes & Mauritz AB	109.36
1962-02-28	USG92MV	H&M Hennes & Mauritz AB	110.22
1962-03-31	USG92MV	H&M Hennes & Mauritz AB	109.11
1962-04-30	USG92MV	H&M Hennes & Mauritz AB	108.45
1962-05-31	USG92MV	H&M Hennes & Mauritz AB	112.86
1962-06-30	USG92MV	H&M Hennes & Mauritz AB	104.33
1962-07-31	USG92MV	H&M Hennes & Mauritz AB	103.93
1962-08-31	USG92MV	H&M Hennes & Mauritz AB	109.43
1962-09-30	USG92MV	H&M Hennes & Mauritz AB	111.41
1962-10-31	USG92MV	H&M Hennes & Mauritz AB	116.59
1962-11-30	USG92MV	H&M Hennes & Mauritz AB	123.24
1962-12-31	USG92MV	H&M Hennes & Mauritz AB	124.72
1963-01-31	USG92MV	H&M Hennes & Mauritz AB	122.8
1963-02-28	USG92MV	H&M Hennes & Mauritz AB	125.35
1963-03-31	USG92MV	H&M Hennes & Mauritz AB	118.2
1963-04-30	USG92MV	H&M Hennes & Mauritz AB	115.58
1963-05-31	USG92MV	H&M Hennes & Mauritz AB	115.19
1963-06-30	USG92MV	H&M Hennes & Mauritz AB	112.1
1963-07-31	USG92MV	H&M Hennes & Mauritz AB	117.11
1963-08-31	USG92MV	H&M Hennes & Mauritz AB	117.02
1963-09-30	USG92MV	H&M Hennes & Mauritz AB	115.4
1963-10-31	USG92MV	H&M Hennes & Mauritz AB	108.9
1963-11-30	USG92MV	H&M Hennes & Mauritz AB	115.77
1963-12-31	USG92MV	H&M Hennes & Mauritz AB	118.94
1964-01-31	USG92MV	H&M Hennes & Mauritz AB	126.3
1964-02-29	USG92MV	H&M Hennes & Mauritz AB	125.38
1964-03-31	USG92MV	H&M Hennes & Mauritz AB	119.02
1964-04-30	USG92MV	H&M Hennes & Mauritz AB	126.73
1964-05-31	USG92MV	H&M Hennes & Mauritz AB	128.84
1964-06-30	USG92MV	H&M Hennes & Mauritz AB	127.11
1964-07-31	USG92MV	H&M Hennes & Mauritz AB	125.14
1964-08-31	USG92MV	H&M Hennes & Mauritz AB	124.16
1964-09-30	USG92MV	H&M Hennes & Mauritz AB	127.01
1964-10-31	USG92MV	H&M Hennes & Mauritz AB	129.19
1964-11-30	USG92MV	H&M Hennes & Mauritz AB	128.48
1964-12-31	USG92MV	H&M Hennes & Mauritz AB	119.49
1965-01-31	USG92MV	H&M Hennes & Mauritz AB	123.98
1965-02-28	USG92MV	H&M Hennes & Mauritz AB	123.24
1965-03-31	USG92MV	H&M Hennes & Mauritz AB	118.78
1965-04-30	USG92MV	H&M Hennes & Mauritz AB	117.4
1965-05-31	USG92MV	H&M Hennes & Mauritz AB	123.82
1965-06-30	USG92MV	H&M Hennes & Mauritz AB	124.25
1965-07-31	USG92MV	H&M Hennes & Mauritz AB	119.55
1965-08-31	USG92MV	H&M Hennes & Mauritz AB	120.23
1965-09-30	USG92MV	H&M Hennes & Mauritz AB	121.98
1965-10-31	USG92MV	H&M Hennes & Mauritz AB	119.19
1965-11-30	USG92MV	H&M Hennes & Mauritz AB	124.84
1965-12-31	USG92MV	H&M Hennes & Mauritz AB	120.71
1966-01-31	USG92MV	H&M Hennes & Mauritz AB	123.56
1966-02-28	USG92MV	H&M Hennes & Mauritz AB	122.21
1966-03-31	USG92MV	H&M Hennes & Mauritz AB	127.41
1966-04-30	USG92MV	H&M Hennes & Mauritz AB	126.3
1966-05-31	USG92MV	H&M Hennes & Mauritz AB	126.43
1966-06-30	USG92MV	H&M Hennes & Mauritz AB	122.77
1966-07-31	USG92MV	H&M Hennes & Mauritz AB	114.96
1966-08-31	USG92MV	H&M Hennes & Mauritz AB	115.69
1966-09-30	USG92MV	H&M Hennes & Mauritz AB	116.27
1966-10-31	USG92MV	H&M Hennes & Mauritz AB	122.42
1966-11-30	USG92MV	H&M Hennes & Mauritz AB	123.86
1966-12-31	USG92MV	H&M Hennes & Mauritz AB	127.08
1967-01-31	USG92MV	H&M Hennes & Mauritz AB	125.36
1967-02-28	USG92MV	H&M Hennes & Mauritz AB	120.73
1967-03-31	USG92MV	H&M Hennes & Mauritz AB	118.08
1967-04-30	USG92MV	H&M Hennes & Mauritz AB	115.24
1967-05-31	USG92MV	H&M Hennes & Mauritz AB	109.64
1967-06-30	USG92MV	H&M Hennes & Mauritz AB	105.9
1967-07-31	USG92MV	H&M Hennes & Mauritz AB	100.35
1967-08-31	USG92MV	H&M Hennes & Mauritz AB	104.12
1967-09-30	USG92MV	H&M Hennes & Mauritz AB	98.09
1967-10-31	USG92MV	H&M Hennes & Mauritz AB	94.32
1967-11-30	USG92MV	H&M Hennes & Mauritz AB	92.49
1967-12-31	USG92MV	H&M Hennes & Mauritz AB	96.24
1968-01-31	USG92MV	H&M Hennes & Mauritz AB	101.64
1968-02-29	USG92MV	H&M Hennes & Mauritz AB	100.95
1968-03-31	USG92MV	H&M Hennes & Mauritz AB	101.59
1968-04-30	USG92MV	H&M Hennes & Mauritz AB	101.54
1968-05-31	USG92MV	H&M Hennes & Mauritz AB	97.67
1968-06-30	USG92MV	H&M Hennes & Mauritz AB	99.32
1968-07-31	USG92MV	H&M Hennes & Mauritz AB	101.35
1968-08-31	USG92MV	H&M Hennes & Mauritz AB	102.68
1968-09-30	USG92MV	H&M Hennes & Mauritz AB	106.79
1968-10-31	USG92MV	H&M Hennes & Mauritz AB	104.0
1968-11-30	USG92MV	H&M Hennes & Mauritz AB	101.23
1968-12-31	USG92MV	H&M Hennes & Mauritz AB	102.84
1969-01-31	USG92MV	H&M Hennes & Mauritz AB	102.9
1969-02-28	USG92MV	H&M Hennes & Mauritz AB	97.29
1969-03-31	USG92MV	H&M Hennes & Mauritz AB	97.11
1969-04-30	USG92MV	H&M Hennes & Mauritz AB	96.86
1969-05-31	USG92MV	H&M Hennes & Mauritz AB	97.33
1969-06-30	USG92MV	H&M Hennes & Mauritz AB	99.51
1969-07-31	USG92MV	H&M Hennes & Mauritz AB	105.42
1969-08-31	USG92MV	H&M Hennes & Mauritz AB	107.8
1969-09-30	USG92MV	H&M Hennes & Mauritz AB	105.41
1969-10-31	USG92MV	H&M Hennes & Mauritz AB	100.92
1969-11-30	USG92MV	H&M Hennes & Mauritz AB	105.2
1969-12-31	USG92MV	H&M Hennes & Mauritz AB	102.26
1970-01-31	USG92MV	H&M Hennes & Mauritz AB	102.34
1970-02-28	USG92MV	H&M Hennes & Mauritz AB	94.51
1970-03-31	USG92MV	H&M Hennes & Mauritz AB	91.18
1970-04-30	USG92MV	H&M Hennes & Mauritz AB	89.95
1970-05-31	USG92MV	H&M Hennes & Mauritz AB	85.52
1970-06-30	USG92MV	H&M Hennes & Mauritz AB	86.5
1970-07-31	USG92MV	H&M Hennes & Mauritz AB	86.34
1970-08-31	USG92MV	H&M Hennes & Mauritz AB	89.05
1970-09-30	USG92MV	H&M Hennes & Mauritz AB	90.81
1970-10-31	USG92MV	H&M Hennes & Mauritz AB	89.09
1970-11-30	USG92MV	H&M Hennes & Mauritz AB	93.09
1970-12-31	USG92MV	H&M Hennes & Mauritz AB	90.99
1971-01-31	USG92MV	H&M Hennes & Mauritz AB	90.37
1971-02-28	USG92MV	H&M Hennes & Mauritz AB	81.35
1971-03-31	USG92MV	H&M Hennes & Mauritz AB	85.06
1971-04-30	USG92MV	H&M Hennes & Mauritz AB	92.99
1971-05-31	USG92MV	H&M Hennes & Mauritz AB	97.82
1971-06-30	USG92MV	H&M Hennes & Mauritz AB	104.49
1971-07-31	USG92MV	H&M Hennes & Mauritz AB	100.3
1971-08-31	USG92MV	H&M Hennes & Mauritz AB	96.0
1971-09-30	USG92MV	H&M Hennes & Mauritz AB	98.13
1971-10-31	USG92MV	H&M Hennes & Mauritz AB	100.68
1971-11-30	USG92MV	H&M Hennes & Mauritz AB	107.86
1971-12-31	USG92MV	H&M Hennes & Mauritz AB	108.17
1972-01-31	USG92MV	H&M Hennes & Mauritz AB	101.57
1972-02-29	USG92MV	H&M Hennes & Mauritz AB	98.66
1972-03-31	USG92MV	H&M Hennes & Mauritz AB	98.56
1972-04-30	USG92MV	H&M Hennes & Mauritz AB	90.27
1972-05-31	USG92MV	H&M Hennes & Mauritz AB	93.57
1972-06-30	USG92MV	H&M Hennes & Mauritz AB	94.75
1972-07-31	USG92MV	H&M Hennes & Mauritz AB	97.38
1972-08-31	USG92MV	H&M Hennes & Mauritz AB	99.02
1972-09-30	USG92MV	H&M Hennes & Mauritz AB	90.67
1972-10-31	USG92MV	H&M Hennes & Mauritz AB	93.89
1972-11-30	USG92MV	H&M Hennes & Mauritz AB	102.73
1972-12-31	USG92MV	H&M Hennes & Mauritz AB	108.8
1973-01-31	USG92MV	H&M Hennes & Mauritz AB	106.16
1973-02-28	USG92MV	H&M Hennes & Mauritz AB	108.54
1973-03-31	USG92MV	H&M Hennes & Mauritz AB	106.62
1973-04-30	USG92MV	H&M Hennes & Mauritz AB	106.4
1973-05-31	USG92MV	H&M Hennes & Mauritz AB	105.27
1973-06-30	USG92MV	H&M Hennes & Mauritz AB	109.86
1973-07-31	USG92MV	H&M Hennes & Mauritz AB	115.34
1973-08-31	USG92MV	H&M Hennes & Mauritz AB	114.61
1973-09-30	USG92MV	H&M Hennes & Mauritz AB	114.72
1973-10-31	USG92MV	H&M Hennes & Mauritz AB	110.3
1973-11-30	USG92MV	H&M Hennes & Mauritz AB	109.25
1973-12-31	USG92MV	H&M Hennes & Mauritz AB	108.7
1974-01-31	USG92MV	H&M Hennes & Mauritz AB	109.41
1974-02-28	USG92MV	H&M Hennes & Mauritz AB	113.94
1974-03-31	USG92MV	H&M Hennes & Mauritz AB	104.25
1974-04-30	USG92MV	H&M Hennes & Mauritz AB	102.82
1974-05-31	USG92MV	H&M Hennes & Mauritz AB	102.31
1974-06-30	USG92MV	H&M Hennes & Mauritz AB	102.7
1974-07-31	USG92MV	H&M Hennes & Mauritz AB	100.79
1974-08-31	USG92MV	H&M Hennes & Mauritz AB	96.82
1974-09-30	USG92MV	H&M Hennes & Mauritz AB	98.53
1974-10-31	USG92MV	H&M Hennes & Mauritz AB	96.02
1974-11-30	USG92MV	H&M Hennes & Mauritz AB	96.84
1974-12-31	USG92MV	H&M Hennes & Mauritz AB	99.34
1975-01-31	USG92MV	H&M Hennes & Mauritz AB	98.04
1975-02-28	USG92MV	H&M Hennes & Mauritz AB	103.8
1975-03-31	USG92MV	H&M Hennes & Mauritz AB	101.28
1975-04-30	USG92MV	H&M Hennes & Mauritz AB	96.12
1975-05-31	USG92MV	H&M Hennes & Mauritz AB	90.71
1975-06-30	USG92MV	H&M Hennes & Mauritz AB	84.21
1975-07-31	USG92MV	H&M Hennes & Mauritz AB	79.53
1975-08-31	USG92MV	H&M Hennes & Mauritz AB	78.26
1975-09-30	USG92MV	H&M Hennes & Mauritz AB	74.35
1975-10-31	USG92MV	H&M Hennes & Mauritz AB	72.44
1975-11-30	USG92MV	H&M Hennes & Mauritz AB	75.21
1975-12-31	USG92MV	H&M Hennes & Mauritz AB	74.1
1976-01-31	USG92MV	H&M Hennes & Mauritz AB	78.55
1976-02-29	USG92MV	H&M Hennes & Mauritz AB	71.37
1976-03-31	USG92MV	H&M Hennes & Mauritz AB	63.93
1976-04-30	USG92MV	H&M Hennes & Mauritz AB	62.0729186351454
1976-05-31	USG92MV	H&M Hennes & Mauritz AB	68.21
