Date	Company Code	Company Name	Stock Price
1959-01-31	US5AJ14	H-E-B Grocery Company	116.46
1959-02-28	US5AJ14	H-E-B Grocery Company	119.26
1959-03-31	US5AJ14	H-E-B Grocery Company	124.17
1959-04-30	US5AJ14	H-E-B Grocery Company	126.29
1959-05-31	US5AJ14	H-E-B Grocery Company	124.93
1959-06-30	US5AJ14	H-E-B Grocery Company	125.26
1959-07-31	US5AJ14	H-E-B Grocery Company	120.16
1959-08-31	US5AJ14	H-E-B Grocery Company	111.68
1959-09-30	US5AJ14	H-E-B Grocery Company	109.42
1959-10-31	US5AJ14	H-E-B Grocery Company	105.65
1959-11-30	US5AJ14	H-E-B Grocery Company	102.11
1959-12-31	US5AJ14	H-E-B Grocery Company	100.71
1960-01-31	US5AJ14	H-E-B Grocery Company	93.96
1960-02-29	US5AJ14	H-E-B Grocery Company	95.89
1960-03-31	US5AJ14	H-E-B Grocery Company	94.27
1960-04-30	US5AJ14	H-E-B Grocery Company	94.25
1960-05-31	US5AJ14	H-E-B Grocery Company	88.94
1960-06-30	US5AJ14	H-E-B Grocery Company	88.76
1960-07-31	US5AJ14	H-E-B Grocery Company	92.84
1960-08-31	US5AJ14	H-E-B Grocery Company	93.52
1960-09-30	US5AJ14	H-E-B Grocery Company	86.34
1960-10-31	US5AJ14	H-E-B Grocery Company	95.29
1960-11-30	US5AJ14	H-E-B Grocery Company	90.57
1960-12-31	US5AJ14	H-E-B Grocery Company	97.35
1961-01-31	US5AJ14	H-E-B Grocery Company	97.93
1961-02-28	US5AJ14	H-E-B Grocery Company	101.8
1961-03-31	US5AJ14	H-E-B Grocery Company	99.12
1961-04-30	US5AJ14	H-E-B Grocery Company	97.35
1961-05-31	US5AJ14	H-E-B Grocery Company	96.18
1961-06-30	US5AJ14	H-E-B Grocery Company	93.96
1961-07-31	US5AJ14	H-E-B Grocery Company	89.1
1961-08-31	US5AJ14	H-E-B Grocery Company	90.09
1961-09-30	US5AJ14	H-E-B Grocery Company	87.72
1961-10-31	US5AJ14	H-E-B Grocery Company	86.99
1961-11-30	US5AJ14	H-E-B Grocery Company	89.14
1961-12-31	US5AJ14	H-E-B Grocery Company	90.52
1962-01-31	US5AJ14	H-E-B Grocery Company	92.3
1962-02-28	US5AJ14	H-E-B Grocery Company	89.63
1962-03-31	US5AJ14	H-E-B Grocery Company	88.94
1962-04-30	US5AJ14	H-E-B Grocery Company	81.19
1962-05-31	US5AJ14	H-E-B Grocery Company	78.64
1962-06-30	US5AJ14	H-E-B Grocery Company	82.66
1962-07-31	US5AJ14	H-E-B Grocery Company	77.37
1962-08-31	US5AJ14	H-E-B Grocery Company	80.08
1962-09-30	US5AJ14	H-E-B Grocery Company	80.59
1962-10-31	US5AJ14	H-E-B Grocery Company	79.51
1962-11-30	US5AJ14	H-E-B Grocery Company	76.05
1962-12-31	US5AJ14	H-E-B Grocery Company	75.86
1963-01-31	US5AJ14	H-E-B Grocery Company	75.99
1963-02-28	US5AJ14	H-E-B Grocery Company	68.18
1963-03-31	US5AJ14	H-E-B Grocery Company	68.41
1963-04-30	US5AJ14	H-E-B Grocery Company	68.54
1963-05-31	US5AJ14	H-E-B Grocery Company	66.18
1963-06-30	US5AJ14	H-E-B Grocery Company	70.21
1963-07-31	US5AJ14	H-E-B Grocery Company	72.96
1963-08-31	US5AJ14	H-E-B Grocery Company	73.32
1963-09-30	US5AJ14	H-E-B Grocery Company	69.26
1963-10-31	US5AJ14	H-E-B Grocery Company	73.68
1963-11-30	US5AJ14	H-E-B Grocery Company	78.07
1963-12-31	US5AJ14	H-E-B Grocery Company	77.66
1964-01-31	US5AJ14	H-E-B Grocery Company	86.88
1964-02-29	US5AJ14	H-E-B Grocery Company	84.35
1964-03-31	US5AJ14	H-E-B Grocery Company	89.73
1964-04-30	US5AJ14	H-E-B Grocery Company	94.2
1964-05-31	US5AJ14	H-E-B Grocery Company	100.09
1964-06-30	US5AJ14	H-E-B Grocery Company	101.13
1964-07-31	US5AJ14	H-E-B Grocery Company	100.85
1964-08-31	US5AJ14	H-E-B Grocery Company	101.31
1964-09-30	US5AJ14	H-E-B Grocery Company	100.11
1964-10-31	US5AJ14	H-E-B Grocery Company	101.46
1964-11-30	US5AJ14	H-E-B Grocery Company	99.5
1964-12-31	US5AJ14	H-E-B Grocery Company	95.46
1965-01-31	US5AJ14	H-E-B Grocery Company	104.07
1965-02-28	US5AJ14	H-E-B Grocery Company	98.06
1965-03-31	US5AJ14	H-E-B Grocery Company	103.1
1965-04-30	US5AJ14	H-E-B Grocery Company	105.2
1965-05-31	US5AJ14	H-E-B Grocery Company	103.26
1965-06-30	US5AJ14	H-E-B Grocery Company	106.35
1965-07-31	US5AJ14	H-E-B Grocery Company	102.34
1965-08-31	US5AJ14	H-E-B Grocery Company	101.22
1965-09-30	US5AJ14	H-E-B Grocery Company	99.71
1965-10-31	US5AJ14	H-E-B Grocery Company	104.59
1965-11-30	US5AJ14	H-E-B Grocery Company	98.42
1965-12-31	US5AJ14	H-E-B Grocery Company	99.16
1966-01-31	US5AJ14	H-E-B Grocery Company	96.81
1966-02-28	US5AJ14	H-E-B Grocery Company	99.27
1966-03-31	US5AJ14	H-E-B Grocery Company	100.07
1966-04-30	US5AJ14	H-E-B Grocery Company	97.32
1966-05-31	US5AJ14	H-E-B Grocery Company	97.86
1966-06-30	US5AJ14	H-E-B Grocery Company	92.73
1966-07-31	US5AJ14	H-E-B Grocery Company	92.48
1966-08-31	US5AJ14	H-E-B Grocery Company	91.89
1966-09-30	US5AJ14	H-E-B Grocery Company	95.04
1966-10-31	US5AJ14	H-E-B Grocery Company	91.53
1966-11-30	US5AJ14	H-E-B Grocery Company	90.91
1966-12-31	US5AJ14	H-E-B Grocery Company	95.32
1967-01-31	US5AJ14	H-E-B Grocery Company	95.54
1967-02-28	US5AJ14	H-E-B Grocery Company	93.17
1967-03-31	US5AJ14	H-E-B Grocery Company	96.82
1967-04-30	US5AJ14	H-E-B Grocery Company	92.98
1967-05-31	US5AJ14	H-E-B Grocery Company	89.62
1967-06-30	US5AJ14	H-E-B Grocery Company	88.37
1967-07-31	US5AJ14	H-E-B Grocery Company	90.17
1967-08-31	US5AJ14	H-E-B Grocery Company	94.66
1967-09-30	US5AJ14	H-E-B Grocery Company	96.94
1967-10-31	US5AJ14	H-E-B Grocery Company	97.57
1967-11-30	US5AJ14	H-E-B Grocery Company	101.97
1967-12-31	US5AJ14	H-E-B Grocery Company	100.85
1968-01-31	US5AJ14	H-E-B Grocery Company	99.31
1968-02-29	US5AJ14	H-E-B Grocery Company	101.03
1968-03-31	US5AJ14	H-E-B Grocery Company	108.53
1968-04-30	US5AJ14	H-E-B Grocery Company	107.72
1968-05-31	US5AJ14	H-E-B Grocery Company	104.41
1968-06-30	US5AJ14	H-E-B Grocery Company	105.86
1968-07-31	US5AJ14	H-E-B Grocery Company	102.66
1968-08-31	US5AJ14	H-E-B Grocery Company	108.34
1968-09-30	US5AJ14	H-E-B Grocery Company	110.86
1968-10-31	US5AJ14	H-E-B Grocery Company	109.56
1968-11-30	US5AJ14	H-E-B Grocery Company	114.56
1968-12-31	US5AJ14	H-E-B Grocery Company	111.04
1969-01-31	US5AJ14	H-E-B Grocery Company	106.9
1969-02-28	US5AJ14	H-E-B Grocery Company	107.15
1969-03-31	US5AJ14	H-E-B Grocery Company	106.56
1969-04-30	US5AJ14	H-E-B Grocery Company	110.09
1969-05-31	US5AJ14	H-E-B Grocery Company	105.59
1969-06-30	US5AJ14	H-E-B Grocery Company	106.64
1969-07-31	US5AJ14	H-E-B Grocery Company	108.58
1969-08-31	US5AJ14	H-E-B Grocery Company	108.73
1969-09-30	US5AJ14	H-E-B Grocery Company	109.21
1969-10-31	US5AJ14	H-E-B Grocery Company	109.19
1969-11-30	US5AJ14	H-E-B Grocery Company	105.75
1969-12-31	US5AJ14	H-E-B Grocery Company	105.26
1970-01-31	US5AJ14	H-E-B Grocery Company	111.73
1970-02-28	US5AJ14	H-E-B Grocery Company	116.6
1970-03-31	US5AJ14	H-E-B Grocery Company	112.67
1970-04-30	US5AJ14	H-E-B Grocery Company	112.58
1970-05-31	US5AJ14	H-E-B Grocery Company	113.16
1970-06-30	US5AJ14	H-E-B Grocery Company	115.99
1970-07-31	US5AJ14	H-E-B Grocery Company	115.64
1970-08-31	US5AJ14	H-E-B Grocery Company	119.87
1970-09-30	US5AJ14	H-E-B Grocery Company	123.03
1970-10-31	US5AJ14	H-E-B Grocery Company	120.22
1970-11-30	US5AJ14	H-E-B Grocery Company	123.37
1970-12-31	US5AJ14	H-E-B Grocery Company	129.65
1971-01-31	US5AJ14	H-E-B Grocery Company	127.67
1971-02-28	US5AJ14	H-E-B Grocery Company	124.02
1971-03-31	US5AJ14	H-E-B Grocery Company	120.61
1971-04-30	US5AJ14	H-E-B Grocery Company	115.54
1971-05-31	US5AJ14	H-E-B Grocery Company	120.54
1971-06-30	US5AJ14	H-E-B Grocery Company	121.06
1971-07-31	US5AJ14	H-E-B Grocery Company	119.2
1971-08-31	US5AJ14	H-E-B Grocery Company	121.64
1971-09-30	US5AJ14	H-E-B Grocery Company	117.67
1971-10-31	US5AJ14	H-E-B Grocery Company	109.71
1971-11-30	US5AJ14	H-E-B Grocery Company	107.36
1971-12-31	US5AJ14	H-E-B Grocery Company	110.5
1972-01-31	US5AJ14	H-E-B Grocery Company	113.13
1972-02-29	US5AJ14	H-E-B Grocery Company	107.8
