Date	Company Code	Company Name	Stock Price
1959-01-31	USKCIWN	Heritage Auctions	101.01
1959-02-28	USKCIWN	Heritage Auctions	99.22
1959-03-31	USKCIWN	Heritage Auctions	97.39
1959-04-30	USKCIWN	Heritage Auctions	96.66
1959-05-31	USKCIWN	Heritage Auctions	90.43
1959-06-30	USKCIWN	Heritage Auctions	81.13
1959-07-31	USKCIWN	Heritage Auctions	81.78
1959-08-31	USKCIWN	Heritage Auctions	80.04
1959-09-30	USKCIWN	Heritage Auctions	79.76
1959-10-31	USKCIWN	Heritage Auctions	75.73
1959-11-30	USKCIWN	Heritage Auctions	78.06
1959-12-31	USKCIWN	Heritage Auctions	71.34
1960-01-31	USKCIWN	Heritage Auctions	73.12
1960-02-29	USKCIWN	Heritage Auctions	74.92
1960-03-31	USKCIWN	Heritage Auctions	78.92
1960-04-30	USKCIWN	Heritage Auctions	81.42
1960-05-31	USKCIWN	Heritage Auctions	84.18
1960-06-30	USKCIWN	Heritage Auctions	91.1
1960-07-31	USKCIWN	Heritage Auctions	98.54
1960-08-31	USKCIWN	Heritage Auctions	100.25
1960-09-30	USKCIWN	Heritage Auctions	97.96
1960-10-31	USKCIWN	Heritage Auctions	101.17
1960-11-30	USKCIWN	Heritage Auctions	107.86
1960-12-31	USKCIWN	Heritage Auctions	107.89
1961-01-31	USKCIWN	Heritage Auctions	105.39
1961-02-28	USKCIWN	Heritage Auctions	104.29
1961-03-31	USKCIWN	Heritage Auctions	106.85
1961-04-30	USKCIWN	Heritage Auctions	113.98
1961-05-31	USKCIWN	Heritage Auctions	107.91
1961-06-30	USKCIWN	Heritage Auctions	106.8
1961-07-31	USKCIWN	Heritage Auctions	99.22
1961-08-31	USKCIWN	Heritage Auctions	98.4
1961-09-30	USKCIWN	Heritage Auctions	101.35
1961-10-31	USKCIWN	Heritage Auctions	108.62
1961-11-30	USKCIWN	Heritage Auctions	109.18
1961-12-31	USKCIWN	Heritage Auctions	108.3
1962-01-31	USKCIWN	Heritage Auctions	112.27
1962-02-28	USKCIWN	Heritage Auctions	112.52
1962-03-31	USKCIWN	Heritage Auctions	111.35
1962-04-30	USKCIWN	Heritage Auctions	104.27
1962-05-31	USKCIWN	Heritage Auctions	105.19
1962-06-30	USKCIWN	Heritage Auctions	103.51
1962-07-31	USKCIWN	Heritage Auctions	102.1
1962-08-31	USKCIWN	Heritage Auctions	95.78
1962-09-30	USKCIWN	Heritage Auctions	94.93
1962-10-31	USKCIWN	Heritage Auctions	85.4
1962-11-30	USKCIWN	Heritage Auctions	84.72
1962-12-31	USKCIWN	Heritage Auctions	85.62
1963-01-31	USKCIWN	Heritage Auctions	86.93
1963-02-28	USKCIWN	Heritage Auctions	89.99
1963-03-31	USKCIWN	Heritage Auctions	90.53
1963-04-30	USKCIWN	Heritage Auctions	87.41
1963-05-31	USKCIWN	Heritage Auctions	88.16
1963-06-30	USKCIWN	Heritage Auctions	87.84
1963-07-31	USKCIWN	Heritage Auctions	89.24
1963-08-31	USKCIWN	Heritage Auctions	87.57
1963-09-30	USKCIWN	Heritage Auctions	88.82
1963-10-31	USKCIWN	Heritage Auctions	94.78
1963-11-30	USKCIWN	Heritage Auctions	98.51
1963-12-31	USKCIWN	Heritage Auctions	101.12
1964-01-31	USKCIWN	Heritage Auctions	105.33
1964-02-29	USKCIWN	Heritage Auctions	104.48
1964-03-31	USKCIWN	Heritage Auctions	105.92
1964-04-30	USKCIWN	Heritage Auctions	102.16
1964-05-31	USKCIWN	Heritage Auctions	95.85
1964-06-30	USKCIWN	Heritage Auctions	98.33
1964-07-31	USKCIWN	Heritage Auctions	95.52
1964-08-31	USKCIWN	Heritage Auctions	94.41
1964-09-30	USKCIWN	Heritage Auctions	93.7
1964-10-31	USKCIWN	Heritage Auctions	93.72
1964-11-30	USKCIWN	Heritage Auctions	92.23
1964-12-31	USKCIWN	Heritage Auctions	83.34
1965-01-31	USKCIWN	Heritage Auctions	89.77
1965-02-28	USKCIWN	Heritage Auctions	95.66
1965-03-31	USKCIWN	Heritage Auctions	89.47
1965-04-30	USKCIWN	Heritage Auctions	90.23
1965-05-31	USKCIWN	Heritage Auctions	86.64
1965-06-30	USKCIWN	Heritage Auctions	80.04
1965-07-31	USKCIWN	Heritage Auctions	80.19
1965-08-31	USKCIWN	Heritage Auctions	80.4
1965-09-30	USKCIWN	Heritage Auctions	77.87
1965-10-31	USKCIWN	Heritage Auctions	79.21
1965-11-30	USKCIWN	Heritage Auctions	78.33
1965-12-31	USKCIWN	Heritage Auctions	80.22
