Date	Company Code	Company Name	Stock Price
1959-01-31	USTTSRD	Hollister Co.	118.69
1959-02-28	USTTSRD	Hollister Co.	116.33
1959-03-31	USTTSRD	Hollister Co.	110.02
1959-04-30	USTTSRD	Hollister Co.	110.04
1959-05-31	USTTSRD	Hollister Co.	104.05
1959-06-30	USTTSRD	Hollister Co.	107.08
1959-07-31	USTTSRD	Hollister Co.	106.49
1959-08-31	USTTSRD	Hollister Co.	111.77
1959-09-30	USTTSRD	Hollister Co.	106.75
1959-10-31	USTTSRD	Hollister Co.	102.97
1959-11-30	USTTSRD	Hollister Co.	100.79
1959-12-31	USTTSRD	Hollister Co.	97.19
1960-01-31	USTTSRD	Hollister Co.	95.36
1960-02-29	USTTSRD	Hollister Co.	98.24
1960-03-31	USTTSRD	Hollister Co.	99.46
1960-04-30	USTTSRD	Hollister Co.	98.1
1960-05-31	USTTSRD	Hollister Co.	93.71
1960-06-30	USTTSRD	Hollister Co.	95.74
1960-07-31	USTTSRD	Hollister Co.	92.93
1960-08-31	USTTSRD	Hollister Co.	92.09
1960-09-30	USTTSRD	Hollister Co.	92.33
1960-10-31	USTTSRD	Hollister Co.	96.79
1960-11-30	USTTSRD	Hollister Co.	95.74
1960-12-31	USTTSRD	Hollister Co.	96.54
1961-01-31	USTTSRD	Hollister Co.	91.63
1961-02-28	USTTSRD	Hollister Co.	91.56
1961-03-31	USTTSRD	Hollister Co.	92.05
1961-04-30	USTTSRD	Hollister Co.	89.95
1961-05-31	USTTSRD	Hollister Co.	88.45
1961-06-30	USTTSRD	Hollister Co.	93.11
1961-07-31	USTTSRD	Hollister Co.	90.4
1961-08-31	USTTSRD	Hollister Co.	91.07
1961-09-30	USTTSRD	Hollister Co.	96.69
1961-10-31	USTTSRD	Hollister Co.	98.13
1961-11-30	USTTSRD	Hollister Co.	101.59
1961-12-31	USTTSRD	Hollister Co.	93.99
1962-01-31	USTTSRD	Hollister Co.	93.94
1962-02-28	USTTSRD	Hollister Co.	94.57
1962-03-31	USTTSRD	Hollister Co.	93.71
1962-04-30	USTTSRD	Hollister Co.	95.86
1962-05-31	USTTSRD	Hollister Co.	102.61
1962-06-30	USTTSRD	Hollister Co.	104.02
1962-07-31	USTTSRD	Hollister Co.	108.37
1962-08-31	USTTSRD	Hollister Co.	108.21
1962-09-30	USTTSRD	Hollister Co.	102.66
1962-10-31	USTTSRD	Hollister Co.	98.84
1962-11-30	USTTSRD	Hollister Co.	94.52
1962-12-31	USTTSRD	Hollister Co.	90.19
1963-01-31	USTTSRD	Hollister Co.	97.45
1963-02-28	USTTSRD	Hollister Co.	98.36
1963-03-31	USTTSRD	Hollister Co.	99.11
1963-04-30	USTTSRD	Hollister Co.	98.67
1963-05-31	USTTSRD	Hollister Co.	99.8
1963-06-30	USTTSRD	Hollister Co.	103.9
1963-07-31	USTTSRD	Hollister Co.	103.51
1963-08-31	USTTSRD	Hollister Co.	100.72
1963-09-30	USTTSRD	Hollister Co.	104.14
1963-10-31	USTTSRD	Hollister Co.	102.17
1963-11-30	USTTSRD	Hollister Co.	95.71
1963-12-31	USTTSRD	Hollister Co.	97.96
1964-01-31	USTTSRD	Hollister Co.	97.12
1964-02-29	USTTSRD	Hollister Co.	101.28
1964-03-31	USTTSRD	Hollister Co.	102.84
1964-04-30	USTTSRD	Hollister Co.	101.26
1964-05-31	USTTSRD	Hollister Co.	103.12
1964-06-30	USTTSRD	Hollister Co.	102.66
1964-07-31	USTTSRD	Hollister Co.	105.08
1964-08-31	USTTSRD	Hollister Co.	113.06
1964-09-30	USTTSRD	Hollister Co.	107.54
1964-10-31	USTTSRD	Hollister Co.	108.97
1964-11-30	USTTSRD	Hollister Co.	102.84
1964-12-31	USTTSRD	Hollister Co.	107.37
1965-01-31	USTTSRD	Hollister Co.	105.17
1965-02-28	USTTSRD	Hollister Co.	99.45
1965-03-31	USTTSRD	Hollister Co.	94.39
1965-04-30	USTTSRD	Hollister Co.	97.86
1965-05-31	USTTSRD	Hollister Co.	95.91
1965-06-30	USTTSRD	Hollister Co.	95.85
1965-07-31	USTTSRD	Hollister Co.	100.34
