Date	Company Code	Company Name	Stock Price
1959-01-31	USBIB5U	HomeGoods	92.16
1959-02-28	USBIB5U	HomeGoods	92.99
1959-03-31	USBIB5U	HomeGoods	83.71
1959-04-30	USBIB5U	HomeGoods	89.3
1959-05-31	USBIB5U	HomeGoods	94.74
1959-06-30	USBIB5U	HomeGoods	100.87
1959-07-31	USBIB5U	HomeGoods	101.74
1959-08-31	USBIB5U	HomeGoods	107.79
1959-09-30	USBIB5U	HomeGoods	105.15
1959-10-31	USBIB5U	HomeGoods	108.0
1959-11-30	USBIB5U	HomeGoods	110.26
1959-12-31	USBIB5U	HomeGoods	112.3
1960-01-31	USBIB5U	HomeGoods	112.27
1960-02-29	USBIB5U	HomeGoods	110.87
1960-03-31	USBIB5U	HomeGoods	112.56
1960-04-30	USBIB5U	HomeGoods	115.82
1960-05-31	USBIB5U	HomeGoods	114.79
1960-06-30	USBIB5U	HomeGoods	113.79
1960-07-31	USBIB5U	HomeGoods	113.95
1960-08-31	USBIB5U	HomeGoods	114.1
1960-09-30	USBIB5U	HomeGoods	118.76
1960-10-31	USBIB5U	HomeGoods	121.23
1960-11-30	USBIB5U	HomeGoods	121.0
1960-12-31	USBIB5U	HomeGoods	121.95
1961-01-31	USBIB5U	HomeGoods	114.72
1961-02-28	USBIB5U	HomeGoods	114.37
1961-03-31	USBIB5U	HomeGoods	112.31
1961-04-30	USBIB5U	HomeGoods	111.93
1961-05-31	USBIB5U	HomeGoods	110.72
1961-06-30	USBIB5U	HomeGoods	120.2
1961-07-31	USBIB5U	HomeGoods	113.4
1961-08-31	USBIB5U	HomeGoods	110.9
1961-09-30	USBIB5U	HomeGoods	110.34
1961-10-31	USBIB5U	HomeGoods	105.52
1961-11-30	USBIB5U	HomeGoods	100.23
1961-12-31	USBIB5U	HomeGoods	96.69
1962-01-31	USBIB5U	HomeGoods	97.2
1962-02-28	USBIB5U	HomeGoods	99.3
1962-03-31	USBIB5U	HomeGoods	93.9
1962-04-30	USBIB5U	HomeGoods	94.43
1962-05-31	USBIB5U	HomeGoods	91.96
1962-06-30	USBIB5U	HomeGoods	93.27
1962-07-31	USBIB5U	HomeGoods	92.49
1962-08-31	USBIB5U	HomeGoods	92.77
1962-09-30	USBIB5U	HomeGoods	88.59
1962-10-31	USBIB5U	HomeGoods	88.18
1962-11-30	USBIB5U	HomeGoods	87.4
1962-12-31	USBIB5U	HomeGoods	81.28
1963-01-31	USBIB5U	HomeGoods	74.42
1963-02-28	USBIB5U	HomeGoods	79.74
1963-03-31	USBIB5U	HomeGoods	77.54
1963-04-30	USBIB5U	HomeGoods	79.59
1963-05-31	USBIB5U	HomeGoods	85.42
1963-06-30	USBIB5U	HomeGoods	86.46
1963-07-31	USBIB5U	HomeGoods	86.82
1963-08-31	USBIB5U	HomeGoods	84.81
1963-09-30	USBIB5U	HomeGoods	91.48
1963-10-31	USBIB5U	HomeGoods	97.41
1963-11-30	USBIB5U	HomeGoods	100.64
1963-12-31	USBIB5U	HomeGoods	97.66
1964-01-31	USBIB5U	HomeGoods	93.94
1964-02-29	USBIB5U	HomeGoods	93.53
1964-03-31	USBIB5U	HomeGoods	93.32
1964-04-30	USBIB5U	HomeGoods	89.07
1964-05-31	USBIB5U	HomeGoods	84.79
1964-06-30	USBIB5U	HomeGoods	85.12
1964-07-31	USBIB5U	HomeGoods	88.24
1964-08-31	USBIB5U	HomeGoods	86.3
1964-09-30	USBIB5U	HomeGoods	87.56
1964-10-31	USBIB5U	HomeGoods	87.25
1964-11-30	USBIB5U	HomeGoods	85.99
1964-12-31	USBIB5U	HomeGoods	91.16
1965-01-31	USBIB5U	HomeGoods	88.18
1965-02-28	USBIB5U	HomeGoods	89.44
1965-03-31	USBIB5U	HomeGoods	87.09
1965-04-30	USBIB5U	HomeGoods	82.8
1965-05-31	USBIB5U	HomeGoods	84.97
1965-06-30	USBIB5U	HomeGoods	87.1
1965-07-31	USBIB5U	HomeGoods	84.49
1965-08-31	USBIB5U	HomeGoods	84.25
1965-09-30	USBIB5U	HomeGoods	83.43
1965-10-31	USBIB5U	HomeGoods	85.38
1965-11-30	USBIB5U	HomeGoods	91.72
1965-12-31	USBIB5U	HomeGoods	91.65
1966-01-31	USBIB5U	HomeGoods	95.48
1966-02-28	USBIB5U	HomeGoods	96.96
1966-03-31	USBIB5U	HomeGoods	99.22
1966-04-30	USBIB5U	HomeGoods	105.0
1966-05-31	USBIB5U	HomeGoods	98.37
1966-06-30	USBIB5U	HomeGoods	99.07
1966-07-31	USBIB5U	HomeGoods	99.42
1966-08-31	USBIB5U	HomeGoods	101.96
1966-09-30	USBIB5U	HomeGoods	99.39
1966-10-31	USBIB5U	HomeGoods	104.03
1966-11-30	USBIB5U	HomeGoods	109.78
1966-12-31	USBIB5U	HomeGoods	114.52
1967-01-31	USBIB5U	HomeGoods	108.08
1967-02-28	USBIB5U	HomeGoods	102.63
1967-03-31	USBIB5U	HomeGoods	103.64
1967-04-30	USBIB5U	HomeGoods	100.28
1967-05-31	USBIB5U	HomeGoods	96.25
1967-06-30	USBIB5U	HomeGoods	93.28
1967-07-31	USBIB5U	HomeGoods	90.87
1967-08-31	USBIB5U	HomeGoods	92.37
1967-09-30	USBIB5U	HomeGoods	88.12
1967-10-31	USBIB5U	HomeGoods	87.11
1967-11-30	USBIB5U	HomeGoods	92.03
1967-12-31	USBIB5U	HomeGoods	87.54
1968-01-31	USBIB5U	HomeGoods	87.82
1968-02-29	USBIB5U	HomeGoods	91.23
1968-03-31	USBIB5U	HomeGoods	82.74
1968-04-30	USBIB5U	HomeGoods	85.01
1968-05-31	USBIB5U	HomeGoods	88.36
1968-06-30	USBIB5U	HomeGoods	86.11
1968-07-31	USBIB5U	HomeGoods	83.32
1968-08-31	USBIB5U	HomeGoods	82.83
1968-09-30	USBIB5U	HomeGoods	85.83
1968-10-31	USBIB5U	HomeGoods	85.61
1968-11-30	USBIB5U	HomeGoods	81.48
1968-12-31	USBIB5U	HomeGoods	76.09
1969-01-31	USBIB5U	HomeGoods	78.37
1969-02-28	USBIB5U	HomeGoods	83.75
1969-03-31	USBIB5U	HomeGoods	86.51
1969-04-30	USBIB5U	HomeGoods	86.63
1969-05-31	USBIB5U	HomeGoods	88.41
1969-06-30	USBIB5U	HomeGoods	97.05
1969-07-31	USBIB5U	HomeGoods	97.76
1969-08-31	USBIB5U	HomeGoods	102.03
1969-09-30	USBIB5U	HomeGoods	101.24
1969-10-31	USBIB5U	HomeGoods	101.51
1969-11-30	USBIB5U	HomeGoods	101.61
1969-12-31	USBIB5U	HomeGoods	94.13
1970-01-31	USBIB5U	HomeGoods	92.84
1970-02-28	USBIB5U	HomeGoods	93.41
1970-03-31	USBIB5U	HomeGoods	89.09
1970-04-30	USBIB5U	HomeGoods	87.3
1970-05-31	USBIB5U	HomeGoods	95.82
1970-06-30	USBIB5U	HomeGoods	95.6
1970-07-31	USBIB5U	HomeGoods	97.96
1970-08-31	USBIB5U	HomeGoods	92.98
1970-09-30	USBIB5U	HomeGoods	96.49
1970-10-31	USBIB5U	HomeGoods	91.65
1970-11-30	USBIB5U	HomeGoods	87.12
1970-12-31	USBIB5U	HomeGoods	92.58
1971-01-31	USBIB5U	HomeGoods	89.4
1971-02-28	USBIB5U	HomeGoods	88.95
1971-03-31	USBIB5U	HomeGoods	93.64
1971-04-30	USBIB5U	HomeGoods	100.67
1971-05-31	USBIB5U	HomeGoods	105.85
1971-06-30	USBIB5U	HomeGoods	97.68
1971-07-31	USBIB5U	HomeGoods	96.28
1971-08-31	USBIB5U	HomeGoods	95.23
1971-09-30	USBIB5U	HomeGoods	95.57
1971-10-31	USBIB5U	HomeGoods	98.26
1971-11-30	USBIB5U	HomeGoods	101.83
1971-12-31	USBIB5U	HomeGoods	105.17
1972-01-31	USBIB5U	HomeGoods	107.7
1972-02-29	USBIB5U	HomeGoods	105.01
1972-03-31	USBIB5U	HomeGoods	109.81
1972-04-30	USBIB5U	HomeGoods	110.21
1972-05-31	USBIB5U	HomeGoods	109.68
