Date	Company Code	Company Name	Stock Price
1959-01-31	USZZ32L	Home Depot Inc.	114.04
1959-02-28	USZZ32L	Home Depot Inc.	117.61
1959-03-31	USZZ32L	Home Depot Inc.	113.98
1959-04-30	USZZ32L	Home Depot Inc.	116.23
1959-05-31	USZZ32L	Home Depot Inc.	122.79
1959-06-30	USZZ32L	Home Depot Inc.	126.13
1959-07-31	USZZ32L	Home Depot Inc.	125.51
1959-08-31	USZZ32L	Home Depot Inc.	125.16
1959-09-30	USZZ32L	Home Depot Inc.	119.17
1959-10-31	USZZ32L	Home Depot Inc.	119.35
1959-11-30	USZZ32L	Home Depot Inc.	119.33
1959-12-31	USZZ32L	Home Depot Inc.	123.97
1960-01-31	USZZ32L	Home Depot Inc.	132.13
1960-02-29	USZZ32L	Home Depot Inc.	138.35
1960-03-31	USZZ32L	Home Depot Inc.	136.29
1960-04-30	USZZ32L	Home Depot Inc.	139.6
1960-05-31	USZZ32L	Home Depot Inc.	132.42
1960-06-30	USZZ32L	Home Depot Inc.	126.02
1960-07-31	USZZ32L	Home Depot Inc.	125.14
1960-08-31	USZZ32L	Home Depot Inc.	126.67
1960-09-30	USZZ32L	Home Depot Inc.	123.5
1960-10-31	USZZ32L	Home Depot Inc.	124.81
1960-11-30	USZZ32L	Home Depot Inc.	133.31
1960-12-31	USZZ32L	Home Depot Inc.	133.02
1961-01-31	USZZ32L	Home Depot Inc.	133.64
1961-02-28	USZZ32L	Home Depot Inc.	129.31
1961-03-31	USZZ32L	Home Depot Inc.	129.09
1961-04-30	USZZ32L	Home Depot Inc.	132.91
1961-05-31	USZZ32L	Home Depot Inc.	133.44
1961-06-30	USZZ32L	Home Depot Inc.	133.82
1961-07-31	USZZ32L	Home Depot Inc.	129.64
1961-08-31	USZZ32L	Home Depot Inc.	132.55
1961-09-30	USZZ32L	Home Depot Inc.	133.73
1961-10-31	USZZ32L	Home Depot Inc.	132.62
1961-11-30	USZZ32L	Home Depot Inc.	129.55
1961-12-31	USZZ32L	Home Depot Inc.	129.29
1962-01-31	USZZ32L	Home Depot Inc.	125.0
1962-02-28	USZZ32L	Home Depot Inc.	118.2
1962-03-31	USZZ32L	Home Depot Inc.	118.74
1962-04-30	USZZ32L	Home Depot Inc.	118.95
1962-05-31	USZZ32L	Home Depot Inc.	122.39
1962-06-30	USZZ32L	Home Depot Inc.	123.48
1962-07-31	USZZ32L	Home Depot Inc.	124.51
1962-08-31	USZZ32L	Home Depot Inc.	128.59
1962-09-30	USZZ32L	Home Depot Inc.	130.26
1962-10-31	USZZ32L	Home Depot Inc.	132.11
1962-11-30	USZZ32L	Home Depot Inc.	134.59
1962-12-31	USZZ32L	Home Depot Inc.	134.22
1963-01-31	USZZ32L	Home Depot Inc.	136.94
1963-02-28	USZZ32L	Home Depot Inc.	136.55
1963-03-31	USZZ32L	Home Depot Inc.	135.0
1963-04-30	USZZ32L	Home Depot Inc.	130.59
1963-05-31	USZZ32L	Home Depot Inc.	129.48
1963-06-30	USZZ32L	Home Depot Inc.	133.53
1963-07-31	USZZ32L	Home Depot Inc.	133.25
1963-08-31	USZZ32L	Home Depot Inc.	134.21
1963-09-30	USZZ32L	Home Depot Inc.	131.35
1963-10-31	USZZ32L	Home Depot Inc.	138.0
1963-11-30	USZZ32L	Home Depot Inc.	139.3
1963-12-31	USZZ32L	Home Depot Inc.	133.98
1964-01-31	USZZ32L	Home Depot Inc.	137.56
1964-02-29	USZZ32L	Home Depot Inc.	135.19
1964-03-31	USZZ32L	Home Depot Inc.	140.67
1964-04-30	USZZ32L	Home Depot Inc.	137.12
1964-05-31	USZZ32L	Home Depot Inc.	138.31
1964-06-30	USZZ32L	Home Depot Inc.	143.39
1964-07-31	USZZ32L	Home Depot Inc.	144.42
1964-08-31	USZZ32L	Home Depot Inc.	146.47
1964-09-30	USZZ32L	Home Depot Inc.	141.31
1964-10-31	USZZ32L	Home Depot Inc.	146.38
1964-11-30	USZZ32L	Home Depot Inc.	146.5
1964-12-31	USZZ32L	Home Depot Inc.	146.94
1965-01-31	USZZ32L	Home Depot Inc.	143.82
1965-02-28	USZZ32L	Home Depot Inc.	142.48
1965-03-31	USZZ32L	Home Depot Inc.	140.26
1965-04-30	USZZ32L	Home Depot Inc.	142.11
1965-05-31	USZZ32L	Home Depot Inc.	142.28
1965-06-30	USZZ32L	Home Depot Inc.	136.34
1965-07-31	USZZ32L	Home Depot Inc.	129.97
1965-08-31	USZZ32L	Home Depot Inc.	128.92
1965-09-30	USZZ32L	Home Depot Inc.	126.86
1965-10-31	USZZ32L	Home Depot Inc.	126.5
1965-11-30	USZZ32L	Home Depot Inc.	122.81
1965-12-31	USZZ32L	Home Depot Inc.	119.45
1966-01-31	USZZ32L	Home Depot Inc.	117.48
1966-02-28	USZZ32L	Home Depot Inc.	118.19
1966-03-31	USZZ32L	Home Depot Inc.	118.69
1966-04-30	USZZ32L	Home Depot Inc.	120.2
1966-05-31	USZZ32L	Home Depot Inc.	115.37
1966-06-30	USZZ32L	Home Depot Inc.	123.52
1966-07-31	USZZ32L	Home Depot Inc.	124.94
1966-08-31	USZZ32L	Home Depot Inc.	130.83
1966-09-30	USZZ32L	Home Depot Inc.	131.23
1966-10-31	USZZ32L	Home Depot Inc.	129.38
1966-11-30	USZZ32L	Home Depot Inc.	130.4
1966-12-31	USZZ32L	Home Depot Inc.	130.5
1967-01-31	USZZ32L	Home Depot Inc.	129.56
1967-02-28	USZZ32L	Home Depot Inc.	123.28
1967-03-31	USZZ32L	Home Depot Inc.	128.49
1967-04-30	USZZ32L	Home Depot Inc.	124.12
1967-05-31	USZZ32L	Home Depot Inc.	123.4
1967-06-30	USZZ32L	Home Depot Inc.	126.24
1967-07-31	USZZ32L	Home Depot Inc.	125.51
1967-08-31	USZZ32L	Home Depot Inc.	122.7
1967-09-30	USZZ32L	Home Depot Inc.	126.49
