Date	Company Code	Company Name	Stock Price
1959-01-31	USB7CD2	Honeywell International Inc.	102.85
1959-02-28	USB7CD2	Honeywell International Inc.	104.01
1959-03-31	USB7CD2	Honeywell International Inc.	111.61
1959-04-30	USB7CD2	Honeywell International Inc.	111.67
1959-05-31	USB7CD2	Honeywell International Inc.	109.59
1959-06-30	USB7CD2	Honeywell International Inc.	105.6
1959-07-31	USB7CD2	Honeywell International Inc.	102.48
1959-08-31	USB7CD2	Honeywell International Inc.	100.86
1959-09-30	USB7CD2	Honeywell International Inc.	107.46
1959-10-31	USB7CD2	Honeywell International Inc.	98.17
1959-11-30	USB7CD2	Honeywell International Inc.	101.71
1959-12-31	USB7CD2	Honeywell International Inc.	104.88
1960-01-31	USB7CD2	Honeywell International Inc.	105.08
1960-02-29	USB7CD2	Honeywell International Inc.	109.22
1960-03-31	USB7CD2	Honeywell International Inc.	110.3
1960-04-30	USB7CD2	Honeywell International Inc.	110.96
1960-05-31	USB7CD2	Honeywell International Inc.	104.61
1960-06-30	USB7CD2	Honeywell International Inc.	104.76
1960-07-31	USB7CD2	Honeywell International Inc.	102.42
1960-08-31	USB7CD2	Honeywell International Inc.	100.54
1960-09-30	USB7CD2	Honeywell International Inc.	105.45
1960-10-31	USB7CD2	Honeywell International Inc.	105.13
1960-11-30	USB7CD2	Honeywell International Inc.	106.44
1960-12-31	USB7CD2	Honeywell International Inc.	114.88
1961-01-31	USB7CD2	Honeywell International Inc.	117.65
1961-02-28	USB7CD2	Honeywell International Inc.	118.12
1961-03-31	USB7CD2	Honeywell International Inc.	120.45
1961-04-30	USB7CD2	Honeywell International Inc.	117.45
1961-05-31	USB7CD2	Honeywell International Inc.	116.85
1961-06-30	USB7CD2	Honeywell International Inc.	117.48
1961-07-31	USB7CD2	Honeywell International Inc.	115.6
1961-08-31	USB7CD2	Honeywell International Inc.	113.16
1961-09-30	USB7CD2	Honeywell International Inc.	110.82
1961-10-31	USB7CD2	Honeywell International Inc.	115.65
1961-11-30	USB7CD2	Honeywell International Inc.	112.94
1961-12-31	USB7CD2	Honeywell International Inc.	116.32
1962-01-31	USB7CD2	Honeywell International Inc.	119.06
1962-02-28	USB7CD2	Honeywell International Inc.	120.89
1962-03-31	USB7CD2	Honeywell International Inc.	122.67
1962-04-30	USB7CD2	Honeywell International Inc.	123.73
1962-05-31	USB7CD2	Honeywell International Inc.	118.94
1962-06-30	USB7CD2	Honeywell International Inc.	117.15
1962-07-31	USB7CD2	Honeywell International Inc.	116.74
1962-08-31	USB7CD2	Honeywell International Inc.	113.86
1962-09-30	USB7CD2	Honeywell International Inc.	120.59
1962-10-31	USB7CD2	Honeywell International Inc.	118.1
1962-11-30	USB7CD2	Honeywell International Inc.	116.12
1962-12-31	USB7CD2	Honeywell International Inc.	116.11
1963-01-31	USB7CD2	Honeywell International Inc.	115.09
1963-02-28	USB7CD2	Honeywell International Inc.	113.1
1963-03-31	USB7CD2	Honeywell International Inc.	117.47
1963-04-30	USB7CD2	Honeywell International Inc.	120.26
1963-05-31	USB7CD2	Honeywell International Inc.	121.04
1963-06-30	USB7CD2	Honeywell International Inc.	115.44
1963-07-31	USB7CD2	Honeywell International Inc.	121.0
1963-08-31	USB7CD2	Honeywell International Inc.	122.75
1963-09-30	USB7CD2	Honeywell International Inc.	122.46
1963-10-31	USB7CD2	Honeywell International Inc.	121.77
1963-11-30	USB7CD2	Honeywell International Inc.	125.53
1963-12-31	USB7CD2	Honeywell International Inc.	121.04
1964-01-31	USB7CD2	Honeywell International Inc.	125.76
1964-02-29	USB7CD2	Honeywell International Inc.	134.24
1964-03-31	USB7CD2	Honeywell International Inc.	134.17
1964-04-30	USB7CD2	Honeywell International Inc.	132.04
1964-05-31	USB7CD2	Honeywell International Inc.	134.83
1964-06-30	USB7CD2	Honeywell International Inc.	138.93
1964-07-31	USB7CD2	Honeywell International Inc.	144.76
1964-08-31	USB7CD2	Honeywell International Inc.	145.53
1964-09-30	USB7CD2	Honeywell International Inc.	138.63
1964-10-31	USB7CD2	Honeywell International Inc.	144.86
1964-11-30	USB7CD2	Honeywell International Inc.	146.19
1964-12-31	USB7CD2	Honeywell International Inc.	136.59
1965-01-31	USB7CD2	Honeywell International Inc.	136.3
1965-02-28	USB7CD2	Honeywell International Inc.	134.7
1965-03-31	USB7CD2	Honeywell International Inc.	138.67
1965-04-30	USB7CD2	Honeywell International Inc.	141.02
1965-05-31	USB7CD2	Honeywell International Inc.	134.99
1965-06-30	USB7CD2	Honeywell International Inc.	127.2
1965-07-31	USB7CD2	Honeywell International Inc.	132.04
1965-08-31	USB7CD2	Honeywell International Inc.	134.76
