Date	Company Code	Company Name	Stock Price
1959-01-31	USVZI7V	IBM Corp.	92.64
1959-02-28	USVZI7V	IBM Corp.	92.75
1959-03-31	USVZI7V	IBM Corp.	88.94
1959-04-30	USVZI7V	IBM Corp.	88.07
1959-05-31	USVZI7V	IBM Corp.	87.73
1959-06-30	USVZI7V	IBM Corp.	86.67
1959-07-31	USVZI7V	IBM Corp.	85.52
1959-08-31	USVZI7V	IBM Corp.	80.3
1959-09-30	USVZI7V	IBM Corp.	88.18
1959-10-31	USVZI7V	IBM Corp.	89.35
1959-11-30	USVZI7V	IBM Corp.	86.15
1959-12-31	USVZI7V	IBM Corp.	83.78
1960-01-31	USVZI7V	IBM Corp.	79.39
1960-02-29	USVZI7V	IBM Corp.	79.03
1960-03-31	USVZI7V	IBM Corp.	84.33
1960-04-30	USVZI7V	IBM Corp.	84.07
1960-05-31	USVZI7V	IBM Corp.	81.13
1960-06-30	USVZI7V	IBM Corp.	78.25
1960-07-31	USVZI7V	IBM Corp.	80.12
1960-08-31	USVZI7V	IBM Corp.	74.88
1960-09-30	USVZI7V	IBM Corp.	66.55
1960-10-31	USVZI7V	IBM Corp.	67.83
1960-11-30	USVZI7V	IBM Corp.	69.53
1960-12-31	USVZI7V	IBM Corp.	69.64
1961-01-31	USVZI7V	IBM Corp.	65.37
1961-02-28	USVZI7V	IBM Corp.	61.01475901341686
1961-03-31	USVZI7V	IBM Corp.	61.90950755046219
1961-04-30	USVZI7V	IBM Corp.	61.64
1961-05-31	USVZI7V	IBM Corp.	61.85004049656002
1961-06-30	USVZI7V	IBM Corp.	61.32
1961-07-31	USVZI7V	IBM Corp.	63.43
1961-08-31	USVZI7V	IBM Corp.	62.56177118672686
1961-09-30	USVZI7V	IBM Corp.	64.36
1961-10-31	USVZI7V	IBM Corp.	71.11
1961-11-30	USVZI7V	IBM Corp.	65.12
1961-12-31	USVZI7V	IBM Corp.	64.43
1962-01-31	USVZI7V	IBM Corp.	65.04
1962-02-28	USVZI7V	IBM Corp.	71.49
1962-03-31	USVZI7V	IBM Corp.	77.18
1962-04-30	USVZI7V	IBM Corp.	79.16
1962-05-31	USVZI7V	IBM Corp.	81.95
1962-06-30	USVZI7V	IBM Corp.	85.58
1962-07-31	USVZI7V	IBM Corp.	84.89
1962-08-31	USVZI7V	IBM Corp.	84.78
1962-09-30	USVZI7V	IBM Corp.	79.23
