Date	Company Code	Company Name	Stock Price
1959-01-31	USAIY5V	IBM Watson Health	99.72
1959-02-28	USAIY5V	IBM Watson Health	98.89
1959-03-31	USAIY5V	IBM Watson Health	98.52
1959-04-30	USAIY5V	IBM Watson Health	99.6
1959-05-31	USAIY5V	IBM Watson Health	99.02
1959-06-30	USAIY5V	IBM Watson Health	102.24
1959-07-31	USAIY5V	IBM Watson Health	100.36
1959-08-31	USAIY5V	IBM Watson Health	101.52
1959-09-30	USAIY5V	IBM Watson Health	102.57
1959-10-31	USAIY5V	IBM Watson Health	98.06
1959-11-30	USAIY5V	IBM Watson Health	100.6
1959-12-31	USAIY5V	IBM Watson Health	96.31
1960-01-31	USAIY5V	IBM Watson Health	98.94
1960-02-29	USAIY5V	IBM Watson Health	92.97
1960-03-31	USAIY5V	IBM Watson Health	91.21
1960-04-30	USAIY5V	IBM Watson Health	96.88
1960-05-31	USAIY5V	IBM Watson Health	96.7
1960-06-30	USAIY5V	IBM Watson Health	90.67
1960-07-31	USAIY5V	IBM Watson Health	90.28
1960-08-31	USAIY5V	IBM Watson Health	96.09
1960-09-30	USAIY5V	IBM Watson Health	92.08
1960-10-31	USAIY5V	IBM Watson Health	94.44
1960-11-30	USAIY5V	IBM Watson Health	93.46
1960-12-31	USAIY5V	IBM Watson Health	96.59
1961-01-31	USAIY5V	IBM Watson Health	90.69
1961-02-28	USAIY5V	IBM Watson Health	89.96
1961-03-31	USAIY5V	IBM Watson Health	95.17
1961-04-30	USAIY5V	IBM Watson Health	98.39
1961-05-31	USAIY5V	IBM Watson Health	94.56
1961-06-30	USAIY5V	IBM Watson Health	91.28
1961-07-31	USAIY5V	IBM Watson Health	95.03
1961-08-31	USAIY5V	IBM Watson Health	97.06
1961-09-30	USAIY5V	IBM Watson Health	95.25
1961-10-31	USAIY5V	IBM Watson Health	96.99
1961-11-30	USAIY5V	IBM Watson Health	100.39
1961-12-31	USAIY5V	IBM Watson Health	104.71
1962-01-31	USAIY5V	IBM Watson Health	107.54
1962-02-28	USAIY5V	IBM Watson Health	100.9
1962-03-31	USAIY5V	IBM Watson Health	103.58
1962-04-30	USAIY5V	IBM Watson Health	100.77
1962-05-31	USAIY5V	IBM Watson Health	105.37
1962-06-30	USAIY5V	IBM Watson Health	104.92
1962-07-31	USAIY5V	IBM Watson Health	103.15
1962-08-31	USAIY5V	IBM Watson Health	107.66
1962-09-30	USAIY5V	IBM Watson Health	100.12
1962-10-31	USAIY5V	IBM Watson Health	103.49
1962-11-30	USAIY5V	IBM Watson Health	104.0
1962-12-31	USAIY5V	IBM Watson Health	99.3
1963-01-31	USAIY5V	IBM Watson Health	98.32
1963-02-28	USAIY5V	IBM Watson Health	107.12
1963-03-31	USAIY5V	IBM Watson Health	109.52
1963-04-30	USAIY5V	IBM Watson Health	108.14
1963-05-31	USAIY5V	IBM Watson Health	107.79
1963-06-30	USAIY5V	IBM Watson Health	111.46
1963-07-31	USAIY5V	IBM Watson Health	103.34
1963-08-31	USAIY5V	IBM Watson Health	101.1
1963-09-30	USAIY5V	IBM Watson Health	101.89
1963-10-31	USAIY5V	IBM Watson Health	101.18
1963-11-30	USAIY5V	IBM Watson Health	108.31
1963-12-31	USAIY5V	IBM Watson Health	111.71
1964-01-31	USAIY5V	IBM Watson Health	114.5
1964-02-29	USAIY5V	IBM Watson Health	117.58
1964-03-31	USAIY5V	IBM Watson Health	113.89
1964-04-30	USAIY5V	IBM Watson Health	113.49
1964-05-31	USAIY5V	IBM Watson Health	107.54
1964-06-30	USAIY5V	IBM Watson Health	102.48
