Date	Company Code	Company Name	Stock Price
1959-01-31	UST6S1K	Instacart	105.36
1959-02-28	UST6S1K	Instacart	104.81
1959-03-31	UST6S1K	Instacart	101.58
1959-04-30	UST6S1K	Instacart	108.4
1959-05-31	UST6S1K	Instacart	107.66
1959-06-30	UST6S1K	Instacart	105.54
1959-07-31	UST6S1K	Instacart	101.32
1959-08-31	UST6S1K	Instacart	97.76
1959-09-30	UST6S1K	Instacart	99.26
1959-10-31	UST6S1K	Instacart	102.96
1959-11-30	UST6S1K	Instacart	97.96
1959-12-31	UST6S1K	Instacart	97.78
1960-01-31	UST6S1K	Instacart	100.27
1960-02-29	UST6S1K	Instacart	102.27
1960-03-31	UST6S1K	Instacart	102.98
1960-04-30	UST6S1K	Instacart	102.13
1960-05-31	UST6S1K	Instacart	97.71
1960-06-30	UST6S1K	Instacart	104.07
1960-07-31	UST6S1K	Instacart	107.4
1960-08-31	UST6S1K	Instacart	102.32
1960-09-30	UST6S1K	Instacart	107.76
1960-10-31	UST6S1K	Instacart	112.98
1960-11-30	UST6S1K	Instacart	113.15
1960-12-31	UST6S1K	Instacart	119.97
1961-01-31	UST6S1K	Instacart	121.43
1961-02-28	UST6S1K	Instacart	122.33
1961-03-31	UST6S1K	Instacart	121.96
1961-04-30	UST6S1K	Instacart	127.29
1961-05-31	UST6S1K	Instacart	119.28
1961-06-30	UST6S1K	Instacart	114.71
1961-07-31	UST6S1K	Instacart	115.94
1961-08-31	UST6S1K	Instacart	119.23
1961-09-30	UST6S1K	Instacart	120.18
1961-10-31	UST6S1K	Instacart	119.97
1961-11-30	UST6S1K	Instacart	116.51
1961-12-31	UST6S1K	Instacart	118.46
1962-01-31	UST6S1K	Instacart	120.06
1962-02-28	UST6S1K	Instacart	115.53
1962-03-31	UST6S1K	Instacart	114.16
1962-04-30	UST6S1K	Instacart	119.51
1962-05-31	UST6S1K	Instacart	113.31
1962-06-30	UST6S1K	Instacart	110.22
1962-07-31	UST6S1K	Instacart	116.03
1962-08-31	UST6S1K	Instacart	119.31
1962-09-30	UST6S1K	Instacart	118.2
1962-10-31	UST6S1K	Instacart	116.15
1962-11-30	UST6S1K	Instacart	113.56
1962-12-31	UST6S1K	Instacart	117.54
1963-01-31	UST6S1K	Instacart	119.43
1963-02-28	UST6S1K	Instacart	121.97
1963-03-31	UST6S1K	Instacart	122.25
1963-04-30	UST6S1K	Instacart	130.0
1963-05-31	UST6S1K	Instacart	131.47
1963-06-30	UST6S1K	Instacart	128.21
1963-07-31	UST6S1K	Instacart	127.98
1963-08-31	UST6S1K	Instacart	128.4
1963-09-30	UST6S1K	Instacart	133.78
1963-10-31	UST6S1K	Instacart	132.73
1963-11-30	UST6S1K	Instacart	129.14
1963-12-31	UST6S1K	Instacart	127.95
1964-01-31	UST6S1K	Instacart	129.55
1964-02-29	UST6S1K	Instacart	123.54
1964-03-31	UST6S1K	Instacart	118.61
1964-04-30	UST6S1K	Instacart	119.62
1964-05-31	UST6S1K	Instacart	119.4
1964-06-30	UST6S1K	Instacart	120.41
1964-07-31	UST6S1K	Instacart	117.09
1964-08-31	UST6S1K	Instacart	117.43
1964-09-30	UST6S1K	Instacart	117.31
1964-10-31	UST6S1K	Instacart	115.9
1964-11-30	UST6S1K	Instacart	114.65
1964-12-31	UST6S1K	Instacart	120.78
1965-01-31	UST6S1K	Instacart	117.67
1965-02-28	UST6S1K	Instacart	119.49
1965-03-31	UST6S1K	Instacart	115.39
1965-04-30	UST6S1K	Instacart	117.17
1965-05-31	UST6S1K	Instacart	119.13
1965-06-30	UST6S1K	Instacart	118.71
1965-07-31	UST6S1K	Instacart	121.57
1965-08-31	UST6S1K	Instacart	126.0
1965-09-30	UST6S1K	Instacart	121.6
1965-10-31	UST6S1K	Instacart	126.64
