Date	Company Code	Company Name	Stock Price
1959-01-31	USTCRDV	Intel Corp.	88.94
1959-02-28	USTCRDV	Intel Corp.	92.52
1959-03-31	USTCRDV	Intel Corp.	90.46
1959-04-30	USTCRDV	Intel Corp.	82.66
1959-05-31	USTCRDV	Intel Corp.	83.33
1959-06-30	USTCRDV	Intel Corp.	73.9
1959-07-31	USTCRDV	Intel Corp.	78.25
1959-08-31	USTCRDV	Intel Corp.	82.05
1959-09-30	USTCRDV	Intel Corp.	84.22
1959-10-31	USTCRDV	Intel Corp.	76.76
1959-11-30	USTCRDV	Intel Corp.	71.69
1959-12-31	USTCRDV	Intel Corp.	76.62
1960-01-31	USTCRDV	Intel Corp.	78.38
1960-02-29	USTCRDV	Intel Corp.	76.97
1960-03-31	USTCRDV	Intel Corp.	80.49
1960-04-30	USTCRDV	Intel Corp.	88.95
1960-05-31	USTCRDV	Intel Corp.	90.96
1960-06-30	USTCRDV	Intel Corp.	90.23
1960-07-31	USTCRDV	Intel Corp.	93.93
1960-08-31	USTCRDV	Intel Corp.	95.6
1960-09-30	USTCRDV	Intel Corp.	87.96
1960-10-31	USTCRDV	Intel Corp.	91.46
1960-11-30	USTCRDV	Intel Corp.	90.38
1960-12-31	USTCRDV	Intel Corp.	88.29
1961-01-31	USTCRDV	Intel Corp.	90.88
1961-02-28	USTCRDV	Intel Corp.	89.43
1961-03-31	USTCRDV	Intel Corp.	91.02
1961-04-30	USTCRDV	Intel Corp.	98.17
1961-05-31	USTCRDV	Intel Corp.	96.62
1961-06-30	USTCRDV	Intel Corp.	93.72
1961-07-31	USTCRDV	Intel Corp.	84.94
1961-08-31	USTCRDV	Intel Corp.	88.13
1961-09-30	USTCRDV	Intel Corp.	88.25
1961-10-31	USTCRDV	Intel Corp.	95.75
1961-11-30	USTCRDV	Intel Corp.	102.05
1961-12-31	USTCRDV	Intel Corp.	108.46
1962-01-31	USTCRDV	Intel Corp.	111.72
1962-02-28	USTCRDV	Intel Corp.	116.76
1962-03-31	USTCRDV	Intel Corp.	109.42
1962-04-30	USTCRDV	Intel Corp.	107.21
1962-05-31	USTCRDV	Intel Corp.	109.87
1962-06-30	USTCRDV	Intel Corp.	107.38
1962-07-31	USTCRDV	Intel Corp.	105.06
1962-08-31	USTCRDV	Intel Corp.	100.29
1962-09-30	USTCRDV	Intel Corp.	104.89
1962-10-31	USTCRDV	Intel Corp.	103.18
1962-11-30	USTCRDV	Intel Corp.	107.8
1962-12-31	USTCRDV	Intel Corp.	108.81
1963-01-31	USTCRDV	Intel Corp.	113.48
1963-02-28	USTCRDV	Intel Corp.	112.61
1963-03-31	USTCRDV	Intel Corp.	113.39
1963-04-30	USTCRDV	Intel Corp.	109.79
1963-05-31	USTCRDV	Intel Corp.	113.9
1963-06-30	USTCRDV	Intel Corp.	117.14
1963-07-31	USTCRDV	Intel Corp.	120.42
1963-08-31	USTCRDV	Intel Corp.	119.14
1963-09-30	USTCRDV	Intel Corp.	127.28
1963-10-31	USTCRDV	Intel Corp.	128.11
1963-11-30	USTCRDV	Intel Corp.	127.17
1963-12-31	USTCRDV	Intel Corp.	125.69
1964-01-31	USTCRDV	Intel Corp.	127.1
1964-02-29	USTCRDV	Intel Corp.	124.91
1964-03-31	USTCRDV	Intel Corp.	126.49
1964-04-30	USTCRDV	Intel Corp.	132.71
1964-05-31	USTCRDV	Intel Corp.	128.54
1964-06-30	USTCRDV	Intel Corp.	119.92
1964-07-31	USTCRDV	Intel Corp.	120.74
1964-08-31	USTCRDV	Intel Corp.	122.6
1964-09-30	USTCRDV	Intel Corp.	119.49
1964-10-31	USTCRDV	Intel Corp.	120.22
1964-11-30	USTCRDV	Intel Corp.	121.62
1964-12-31	USTCRDV	Intel Corp.	122.0
1965-01-31	USTCRDV	Intel Corp.	117.6
1965-02-28	USTCRDV	Intel Corp.	123.3
1965-03-31	USTCRDV	Intel Corp.	122.5
1965-04-30	USTCRDV	Intel Corp.	122.2
1965-05-31	USTCRDV	Intel Corp.	122.89
1965-06-30	USTCRDV	Intel Corp.	117.38
1965-07-31	USTCRDV	Intel Corp.	115.42
1965-08-31	USTCRDV	Intel Corp.	118.24
1965-09-30	USTCRDV	Intel Corp.	122.62
1965-10-31	USTCRDV	Intel Corp.	119.15
1965-11-30	USTCRDV	Intel Corp.	117.6
1965-12-31	USTCRDV	Intel Corp.	115.02
1966-01-31	USTCRDV	Intel Corp.	118.05
1966-02-28	USTCRDV	Intel Corp.	115.33
1966-03-31	USTCRDV	Intel Corp.	113.87
1966-04-30	USTCRDV	Intel Corp.	111.96
1966-05-31	USTCRDV	Intel Corp.	111.73
1966-06-30	USTCRDV	Intel Corp.	106.92
1966-07-31	USTCRDV	Intel Corp.	113.83
1966-08-31	USTCRDV	Intel Corp.	113.56
1966-09-30	USTCRDV	Intel Corp.	110.69
1966-10-31	USTCRDV	Intel Corp.	106.72
1966-11-30	USTCRDV	Intel Corp.	102.82
1966-12-31	USTCRDV	Intel Corp.	97.44
1967-01-31	USTCRDV	Intel Corp.	98.87
1967-02-28	USTCRDV	Intel Corp.	93.26
1967-03-31	USTCRDV	Intel Corp.	94.47
1967-04-30	USTCRDV	Intel Corp.	89.21
1967-05-31	USTCRDV	Intel Corp.	88.77
1967-06-30	USTCRDV	Intel Corp.	91.93
1967-07-31	USTCRDV	Intel Corp.	92.54
1967-08-31	USTCRDV	Intel Corp.	96.87
1967-09-30	USTCRDV	Intel Corp.	100.27
1967-10-31	USTCRDV	Intel Corp.	102.69
1967-11-30	USTCRDV	Intel Corp.	97.2
1967-12-31	USTCRDV	Intel Corp.	97.32
1968-01-31	USTCRDV	Intel Corp.	98.19
1968-02-29	USTCRDV	Intel Corp.	101.83
1968-03-31	USTCRDV	Intel Corp.	102.8
1968-04-30	USTCRDV	Intel Corp.	105.96
1968-05-31	USTCRDV	Intel Corp.	100.59
1968-06-30	USTCRDV	Intel Corp.	97.43
1968-07-31	USTCRDV	Intel Corp.	103.36
1968-08-31	USTCRDV	Intel Corp.	100.75
1968-09-30	USTCRDV	Intel Corp.	103.98
1968-10-31	USTCRDV	Intel Corp.	94.39
1968-11-30	USTCRDV	Intel Corp.	93.49
