Date	Company Code	Company Name	Stock Price
1959-01-31	USB74UV	J.C. Penney Company Inc.	115.29
1959-02-28	USB74UV	J.C. Penney Company Inc.	116.63
1959-03-31	USB74UV	J.C. Penney Company Inc.	114.08
1959-04-30	USB74UV	J.C. Penney Company Inc.	112.43
1959-05-31	USB74UV	J.C. Penney Company Inc.	116.17
1959-06-30	USB74UV	J.C. Penney Company Inc.	118.25
1959-07-31	USB74UV	J.C. Penney Company Inc.	118.13
1959-08-31	USB74UV	J.C. Penney Company Inc.	121.38
1959-09-30	USB74UV	J.C. Penney Company Inc.	124.24
1959-10-31	USB74UV	J.C. Penney Company Inc.	119.27
1959-11-30	USB74UV	J.C. Penney Company Inc.	121.44
1959-12-31	USB74UV	J.C. Penney Company Inc.	123.72
1960-01-31	USB74UV	J.C. Penney Company Inc.	126.03
1960-02-29	USB74UV	J.C. Penney Company Inc.	129.02
1960-03-31	USB74UV	J.C. Penney Company Inc.	129.3
1960-04-30	USB74UV	J.C. Penney Company Inc.	124.61
1960-05-31	USB74UV	J.C. Penney Company Inc.	124.32
1960-06-30	USB74UV	J.C. Penney Company Inc.	125.67
1960-07-31	USB74UV	J.C. Penney Company Inc.	129.07
1960-08-31	USB74UV	J.C. Penney Company Inc.	125.85
1960-09-30	USB74UV	J.C. Penney Company Inc.	121.37
1960-10-31	USB74UV	J.C. Penney Company Inc.	116.41
1960-11-30	USB74UV	J.C. Penney Company Inc.	118.3
1960-12-31	USB74UV	J.C. Penney Company Inc.	112.33
1961-01-31	USB74UV	J.C. Penney Company Inc.	113.47
1961-02-28	USB74UV	J.C. Penney Company Inc.	119.17
1961-03-31	USB74UV	J.C. Penney Company Inc.	114.71
1961-04-30	USB74UV	J.C. Penney Company Inc.	122.3
1961-05-31	USB74UV	J.C. Penney Company Inc.	120.42
1961-06-30	USB74UV	J.C. Penney Company Inc.	120.73
1961-07-31	USB74UV	J.C. Penney Company Inc.	121.37
1961-08-31	USB74UV	J.C. Penney Company Inc.	123.17
1961-09-30	USB74UV	J.C. Penney Company Inc.	117.03
1961-10-31	USB74UV	J.C. Penney Company Inc.	121.58
1961-11-30	USB74UV	J.C. Penney Company Inc.	130.47
1961-12-31	USB74UV	J.C. Penney Company Inc.	137.98
1962-01-31	USB74UV	J.C. Penney Company Inc.	135.11
1962-02-28	USB74UV	J.C. Penney Company Inc.	134.88
1962-03-31	USB74UV	J.C. Penney Company Inc.	137.27
1962-04-30	USB74UV	J.C. Penney Company Inc.	141.92
1962-05-31	USB74UV	J.C. Penney Company Inc.	141.72
1962-06-30	USB74UV	J.C. Penney Company Inc.	143.4
1962-07-31	USB74UV	J.C. Penney Company Inc.	145.03
1962-08-31	USB74UV	J.C. Penney Company Inc.	151.06
1962-09-30	USB74UV	J.C. Penney Company Inc.	152.89
1962-10-31	USB74UV	J.C. Penney Company Inc.	147.03
1962-11-30	USB74UV	J.C. Penney Company Inc.	154.02
1962-12-31	USB74UV	J.C. Penney Company Inc.	147.76
1963-01-31	USB74UV	J.C. Penney Company Inc.	155.08
1963-02-28	USB74UV	J.C. Penney Company Inc.	152.94
1963-03-31	USB74UV	J.C. Penney Company Inc.	155.36
1963-04-30	USB74UV	J.C. Penney Company Inc.	155.58
1963-05-31	USB74UV	J.C. Penney Company Inc.	154.35
1963-06-30	USB74UV	J.C. Penney Company Inc.	157.43
1963-07-31	USB74UV	J.C. Penney Company Inc.	161.59
1963-08-31	USB74UV	J.C. Penney Company Inc.	156.8
1963-09-30	USB74UV	J.C. Penney Company Inc.	166.47
1963-10-31	USB74UV	J.C. Penney Company Inc.	165.13
1963-11-30	USB74UV	J.C. Penney Company Inc.	172.01
1963-12-31	USB74UV	J.C. Penney Company Inc.	163.36
1964-01-31	USB74UV	J.C. Penney Company Inc.	165.7
1964-02-29	USB74UV	J.C. Penney Company Inc.	164.54
1964-03-31	USB74UV	J.C. Penney Company Inc.	164.08
1964-04-30	USB74UV	J.C. Penney Company Inc.	165.22
1964-05-31	USB74UV	J.C. Penney Company Inc.	171.12
1964-06-30	USB74UV	J.C. Penney Company Inc.	168.36
1964-07-31	USB74UV	J.C. Penney Company Inc.	164.17
1964-08-31	USB74UV	J.C. Penney Company Inc.	168.61
1964-09-30	USB74UV	J.C. Penney Company Inc.	167.22
1964-10-31	USB74UV	J.C. Penney Company Inc.	170.74
