Date	Company Code	Company Name	Stock Price
1959-01-31	USFAHXH	JD.com Inc.	125.85
1959-02-28	USFAHXH	JD.com Inc.	126.83
1959-03-31	USFAHXH	JD.com Inc.	130.14
1959-04-30	USFAHXH	JD.com Inc.	136.58
1959-05-31	USFAHXH	JD.com Inc.	137.93
1959-06-30	USFAHXH	JD.com Inc.	140.01
1959-07-31	USFAHXH	JD.com Inc.	142.08
1959-08-31	USFAHXH	JD.com Inc.	142.58
1959-09-30	USFAHXH	JD.com Inc.	146.03
1959-10-31	USFAHXH	JD.com Inc.	147.29
1959-11-30	USFAHXH	JD.com Inc.	148.32
1959-12-31	USFAHXH	JD.com Inc.	148.36
1960-01-31	USFAHXH	JD.com Inc.	145.62
1960-02-29	USFAHXH	JD.com Inc.	148.28
1960-03-31	USFAHXH	JD.com Inc.	148.38
1960-04-30	USFAHXH	JD.com Inc.	150.45
1960-05-31	USFAHXH	JD.com Inc.	145.76
1960-06-30	USFAHXH	JD.com Inc.	151.98
1960-07-31	USFAHXH	JD.com Inc.	153.42
1960-08-31	USFAHXH	JD.com Inc.	158.77
1960-09-30	USFAHXH	JD.com Inc.	150.68
1960-10-31	USFAHXH	JD.com Inc.	143.42
1960-11-30	USFAHXH	JD.com Inc.	147.47
1960-12-31	USFAHXH	JD.com Inc.	143.29
1961-01-31	USFAHXH	JD.com Inc.	143.13
1961-02-28	USFAHXH	JD.com Inc.	144.49
1961-03-31	USFAHXH	JD.com Inc.	139.82
1961-04-30	USFAHXH	JD.com Inc.	141.33
1961-05-31	USFAHXH	JD.com Inc.	140.12
1961-06-30	USFAHXH	JD.com Inc.	144.72
1961-07-31	USFAHXH	JD.com Inc.	142.17
1961-08-31	USFAHXH	JD.com Inc.	140.73
1961-09-30	USFAHXH	JD.com Inc.	138.85
1961-10-31	USFAHXH	JD.com Inc.	137.03
1961-11-30	USFAHXH	JD.com Inc.	138.61
1961-12-31	USFAHXH	JD.com Inc.	139.09
1962-01-31	USFAHXH	JD.com Inc.	141.28
1962-02-28	USFAHXH	JD.com Inc.	139.8
1962-03-31	USFAHXH	JD.com Inc.	138.3
1962-04-30	USFAHXH	JD.com Inc.	136.69
1962-05-31	USFAHXH	JD.com Inc.	139.88
1962-06-30	USFAHXH	JD.com Inc.	144.18
1962-07-31	USFAHXH	JD.com Inc.	145.69
1962-08-31	USFAHXH	JD.com Inc.	142.57
1962-09-30	USFAHXH	JD.com Inc.	143.96
1962-10-31	USFAHXH	JD.com Inc.	145.51
1962-11-30	USFAHXH	JD.com Inc.	139.83
1962-12-31	USFAHXH	JD.com Inc.	144.02
1963-01-31	USFAHXH	JD.com Inc.	147.85
1963-02-28	USFAHXH	JD.com Inc.	144.98
1963-03-31	USFAHXH	JD.com Inc.	144.23
1963-04-30	USFAHXH	JD.com Inc.	147.11
1963-05-31	USFAHXH	JD.com Inc.	145.59
1963-06-30	USFAHXH	JD.com Inc.	149.81
1963-07-31	USFAHXH	JD.com Inc.	147.68
1963-08-31	USFAHXH	JD.com Inc.	147.68
1963-09-30	USFAHXH	JD.com Inc.	146.42
1963-10-31	USFAHXH	JD.com Inc.	142.49
1963-11-30	USFAHXH	JD.com Inc.	146.99
1963-12-31	USFAHXH	JD.com Inc.	146.78
1964-01-31	USFAHXH	JD.com Inc.	146.91
1964-02-29	USFAHXH	JD.com Inc.	142.57
1964-03-31	USFAHXH	JD.com Inc.	138.1
1964-04-30	USFAHXH	JD.com Inc.	137.4
1964-05-31	USFAHXH	JD.com Inc.	139.3
1964-06-30	USFAHXH	JD.com Inc.	144.17
1964-07-31	USFAHXH	JD.com Inc.	145.4
1964-08-31	USFAHXH	JD.com Inc.	143.43
1964-09-30	USFAHXH	JD.com Inc.	145.94
1964-10-31	USFAHXH	JD.com Inc.	140.53
1964-11-30	USFAHXH	JD.com Inc.	136.73
1964-12-31	USFAHXH	JD.com Inc.	140.26
1965-01-31	USFAHXH	JD.com Inc.	139.9
1965-02-28	USFAHXH	JD.com Inc.	141.48
1965-03-31	USFAHXH	JD.com Inc.	133.58
1965-04-30	USFAHXH	JD.com Inc.	128.23
1965-05-31	USFAHXH	JD.com Inc.	131.46
1965-06-30	USFAHXH	JD.com Inc.	132.82
1965-07-31	USFAHXH	JD.com Inc.	132.76
1965-08-31	USFAHXH	JD.com Inc.	132.78
1965-09-30	USFAHXH	JD.com Inc.	136.56
1965-10-31	USFAHXH	JD.com Inc.	132.03
1965-11-30	USFAHXH	JD.com Inc.	130.89
1965-12-31	USFAHXH	JD.com Inc.	127.59
1966-01-31	USFAHXH	JD.com Inc.	128.93
1966-02-28	USFAHXH	JD.com Inc.	137.91
1966-03-31	USFAHXH	JD.com Inc.	132.65
1966-04-30	USFAHXH	JD.com Inc.	138.24
1966-05-31	USFAHXH	JD.com Inc.	129.93
1966-06-30	USFAHXH	JD.com Inc.	131.02
1966-07-31	USFAHXH	JD.com Inc.	127.9
1966-08-31	USFAHXH	JD.com Inc.	126.41
1966-09-30	USFAHXH	JD.com Inc.	123.56
1966-10-31	USFAHXH	JD.com Inc.	126.42
1966-11-30	USFAHXH	JD.com Inc.	127.02
1966-12-31	USFAHXH	JD.com Inc.	125.5
1967-01-31	USFAHXH	JD.com Inc.	124.58
1967-02-28	USFAHXH	JD.com Inc.	130.51
1967-03-31	USFAHXH	JD.com Inc.	130.02
1967-04-30	USFAHXH	JD.com Inc.	131.76
1967-05-31	USFAHXH	JD.com Inc.	138.63
1967-06-30	USFAHXH	JD.com Inc.	144.77
1967-07-31	USFAHXH	JD.com Inc.	146.69
1967-08-31	USFAHXH	JD.com Inc.	151.63
1967-09-30	USFAHXH	JD.com Inc.	151.58
1967-10-31	USFAHXH	JD.com Inc.	148.11
1967-11-30	USFAHXH	JD.com Inc.	151.27
1967-12-31	USFAHXH	JD.com Inc.	151.41
1968-01-31	USFAHXH	JD.com Inc.	150.39
1968-02-29	USFAHXH	JD.com Inc.	150.45
1968-03-31	USFAHXH	JD.com Inc.	154.12
1968-04-30	USFAHXH	JD.com Inc.	159.35
1968-05-31	USFAHXH	JD.com Inc.	153.96
1968-06-30	USFAHXH	JD.com Inc.	151.12
1968-07-31	USFAHXH	JD.com Inc.	153.67
1968-08-31	USFAHXH	JD.com Inc.	150.48
1968-09-30	USFAHXH	JD.com Inc.	145.15
1968-10-31	USFAHXH	JD.com Inc.	149.35
1968-11-30	USFAHXH	JD.com Inc.	155.1
1968-12-31	USFAHXH	JD.com Inc.	153.3
1969-01-31	USFAHXH	JD.com Inc.	151.01
1969-02-28	USFAHXH	JD.com Inc.	146.3
1969-03-31	USFAHXH	JD.com Inc.	141.93
1969-04-30	USFAHXH	JD.com Inc.	144.22
1969-05-31	USFAHXH	JD.com Inc.	145.56
1969-06-30	USFAHXH	JD.com Inc.	150.7
1969-07-31	USFAHXH	JD.com Inc.	143.34
1969-08-31	USFAHXH	JD.com Inc.	141.17
1969-09-30	USFAHXH	JD.com Inc.	143.81
1969-10-31	USFAHXH	JD.com Inc.	140.31
1969-11-30	USFAHXH	JD.com Inc.	140.88
1969-12-31	USFAHXH	JD.com Inc.	139.4
1970-01-31	USFAHXH	JD.com Inc.	137.06
1970-02-28	USFAHXH	JD.com Inc.	135.25
1970-03-31	USFAHXH	JD.com Inc.	141.23
1970-04-30	USFAHXH	JD.com Inc.	139.35
1970-05-31	USFAHXH	JD.com Inc.	137.01
1970-06-30	USFAHXH	JD.com Inc.	138.93
1970-07-31	USFAHXH	JD.com Inc.	133.54
1970-08-31	USFAHXH	JD.com Inc.	136.3
1970-09-30	USFAHXH	JD.com Inc.	142.73
1970-10-31	USFAHXH	JD.com Inc.	141.05
1970-11-30	USFAHXH	JD.com Inc.	141.19
1970-12-31	USFAHXH	JD.com Inc.	144.06
1971-01-31	USFAHXH	JD.com Inc.	150.49
1971-02-28	USFAHXH	JD.com Inc.	149.77
1971-03-31	USFAHXH	JD.com Inc.	149.79
1971-04-30	USFAHXH	JD.com Inc.	147.8
1971-05-31	USFAHXH	JD.com Inc.	146.83
1971-06-30	USFAHXH	JD.com Inc.	142.82
1971-07-31	USFAHXH	JD.com Inc.	148.33
1971-08-31	USFAHXH	JD.com Inc.	155.12
1971-09-30	USFAHXH	JD.com Inc.	154.84
1971-10-31	USFAHXH	JD.com Inc.	156.62
1971-11-30	USFAHXH	JD.com Inc.	160.2
1971-12-31	USFAHXH	JD.com Inc.	159.81
1972-01-31	USFAHXH	JD.com Inc.	162.45
1972-02-29	USFAHXH	JD.com Inc.	160.66
1972-03-31	USFAHXH	JD.com Inc.	162.88
1972-04-30	USFAHXH	JD.com Inc.	156.45
1972-05-31	USFAHXH	JD.com Inc.	162.9
1972-06-30	USFAHXH	JD.com Inc.	163.69
1972-07-31	USFAHXH	JD.com Inc.	161.3
1972-08-31	USFAHXH	JD.com Inc.	163.15
1972-09-30	USFAHXH	JD.com Inc.	162.36
1972-10-31	USFAHXH	JD.com Inc.	168.07
1972-11-30	USFAHXH	JD.com Inc.	167.95
1972-12-31	USFAHXH	JD.com Inc.	168.37
1973-01-31	USFAHXH	JD.com Inc.	165.62
1973-02-28	USFAHXH	JD.com Inc.	161.79
1973-03-31	USFAHXH	JD.com Inc.	163.83
1973-04-30	USFAHXH	JD.com Inc.	166.55
