Date	Company Code	Company Name	Stock Price
1959-01-31	US0S8M8	JPMorgan Chase & Co.	90.75
1959-02-28	US0S8M8	JPMorgan Chase & Co.	97.45
1959-03-31	US0S8M8	JPMorgan Chase & Co.	91.87
1959-04-30	US0S8M8	JPMorgan Chase & Co.	92.97
1959-05-31	US0S8M8	JPMorgan Chase & Co.	91.99
1959-06-30	US0S8M8	JPMorgan Chase & Co.	89.96
1959-07-31	US0S8M8	JPMorgan Chase & Co.	82.7
1959-08-31	US0S8M8	JPMorgan Chase & Co.	79.06
1959-09-30	US0S8M8	JPMorgan Chase & Co.	78.27
1959-10-31	US0S8M8	JPMorgan Chase & Co.	70.14
1959-11-30	US0S8M8	JPMorgan Chase & Co.	64.97
1959-12-31	US0S8M8	JPMorgan Chase & Co.	61.56809394250263
1960-01-31	US0S8M8	JPMorgan Chase & Co.	62.93
1960-02-29	US0S8M8	JPMorgan Chase & Co.	61.78
1960-03-31	US0S8M8	JPMorgan Chase & Co.	62.34740356586776
1960-04-30	US0S8M8	JPMorgan Chase & Co.	68.2
1960-05-31	US0S8M8	JPMorgan Chase & Co.	76.13
1960-06-30	US0S8M8	JPMorgan Chase & Co.	76.92
1960-07-31	US0S8M8	JPMorgan Chase & Co.	77.27
1960-08-31	US0S8M8	JPMorgan Chase & Co.	75.68
1960-09-30	US0S8M8	JPMorgan Chase & Co.	76.7
1960-10-31	US0S8M8	JPMorgan Chase & Co.	75.45
1960-11-30	US0S8M8	JPMorgan Chase & Co.	79.27
1960-12-31	US0S8M8	JPMorgan Chase & Co.	85.22
1961-01-31	US0S8M8	JPMorgan Chase & Co.	85.02
1961-02-28	US0S8M8	JPMorgan Chase & Co.	91.58
1961-03-31	US0S8M8	JPMorgan Chase & Co.	82.97
1961-04-30	US0S8M8	JPMorgan Chase & Co.	88.02
1961-05-31	US0S8M8	JPMorgan Chase & Co.	89.54
1961-06-30	US0S8M8	JPMorgan Chase & Co.	88.94
1961-07-31	US0S8M8	JPMorgan Chase & Co.	85.08
1961-08-31	US0S8M8	JPMorgan Chase & Co.	86.06
1961-09-30	US0S8M8	JPMorgan Chase & Co.	91.86
1961-10-31	US0S8M8	JPMorgan Chase & Co.	92.79
1961-11-30	US0S8M8	JPMorgan Chase & Co.	99.44
1961-12-31	US0S8M8	JPMorgan Chase & Co.	95.5
1962-01-31	US0S8M8	JPMorgan Chase & Co.	96.8
1962-02-28	US0S8M8	JPMorgan Chase & Co.	98.47
1962-03-31	US0S8M8	JPMorgan Chase & Co.	98.32
1962-04-30	US0S8M8	JPMorgan Chase & Co.	99.24
1962-05-31	US0S8M8	JPMorgan Chase & Co.	96.84
1962-06-30	US0S8M8	JPMorgan Chase & Co.	91.41
1962-07-31	US0S8M8	JPMorgan Chase & Co.	97.8
1962-08-31	US0S8M8	JPMorgan Chase & Co.	101.22
1962-09-30	US0S8M8	JPMorgan Chase & Co.	101.17
1962-10-31	US0S8M8	JPMorgan Chase & Co.	105.1
1962-11-30	US0S8M8	JPMorgan Chase & Co.	103.56
1962-12-31	US0S8M8	JPMorgan Chase & Co.	102.35
1963-01-31	US0S8M8	JPMorgan Chase & Co.	104.52
1963-02-28	US0S8M8	JPMorgan Chase & Co.	95.27
1963-03-31	US0S8M8	JPMorgan Chase & Co.	95.32
1963-04-30	US0S8M8	JPMorgan Chase & Co.	91.65
1963-05-31	US0S8M8	JPMorgan Chase & Co.	91.13
1963-06-30	US0S8M8	JPMorgan Chase & Co.	88.67
1963-07-31	US0S8M8	JPMorgan Chase & Co.	89.8
1963-08-31	US0S8M8	JPMorgan Chase & Co.	93.94
1963-09-30	US0S8M8	JPMorgan Chase & Co.	94.74
1963-10-31	US0S8M8	JPMorgan Chase & Co.	99.17
1963-11-30	US0S8M8	JPMorgan Chase & Co.	102.33
1963-12-31	US0S8M8	JPMorgan Chase & Co.	102.68
1964-01-31	US0S8M8	JPMorgan Chase & Co.	104.45
1964-02-29	US0S8M8	JPMorgan Chase & Co.	105.26
1964-03-31	US0S8M8	JPMorgan Chase & Co.	108.66
1964-04-30	US0S8M8	JPMorgan Chase & Co.	110.16
1964-05-31	US0S8M8	JPMorgan Chase & Co.	107.7
1964-06-30	US0S8M8	JPMorgan Chase & Co.	115.89
1964-07-31	US0S8M8	JPMorgan Chase & Co.	111.7
1964-08-31	US0S8M8	JPMorgan Chase & Co.	116.46
1964-09-30	US0S8M8	JPMorgan Chase & Co.	116.87
1964-10-31	US0S8M8	JPMorgan Chase & Co.	109.23
1964-11-30	US0S8M8	JPMorgan Chase & Co.	104.42
1964-12-31	US0S8M8	JPMorgan Chase & Co.	109.7
1965-01-31	US0S8M8	JPMorgan Chase & Co.	111.04
1965-02-28	US0S8M8	JPMorgan Chase & Co.	107.63
1965-03-31	US0S8M8	JPMorgan Chase & Co.	109.07
1965-04-30	US0S8M8	JPMorgan Chase & Co.	113.58
1965-05-31	US0S8M8	JPMorgan Chase & Co.	110.55
1965-06-30	US0S8M8	JPMorgan Chase & Co.	111.34
1965-07-31	US0S8M8	JPMorgan Chase & Co.	117.62
1965-08-31	US0S8M8	JPMorgan Chase & Co.	118.22
1965-09-30	US0S8M8	JPMorgan Chase & Co.	121.38
1965-10-31	US0S8M8	JPMorgan Chase & Co.	121.03
1965-11-30	US0S8M8	JPMorgan Chase & Co.	126.17
1965-12-31	US0S8M8	JPMorgan Chase & Co.	124.6
1966-01-31	US0S8M8	JPMorgan Chase & Co.	126.55
1966-02-28	US0S8M8	JPMorgan Chase & Co.	125.91
1966-03-31	US0S8M8	JPMorgan Chase & Co.	119.96
1966-04-30	US0S8M8	JPMorgan Chase & Co.	124.29
1966-05-31	US0S8M8	JPMorgan Chase & Co.	123.99
1966-06-30	US0S8M8	JPMorgan Chase & Co.	130.0
1966-07-31	US0S8M8	JPMorgan Chase & Co.	125.4
1966-08-31	US0S8M8	JPMorgan Chase & Co.	123.15
1966-09-30	US0S8M8	JPMorgan Chase & Co.	118.96
1966-10-31	US0S8M8	JPMorgan Chase & Co.	122.09
1966-11-30	US0S8M8	JPMorgan Chase & Co.	118.14
1966-12-31	US0S8M8	JPMorgan Chase & Co.	111.92
1967-01-31	US0S8M8	JPMorgan Chase & Co.	120.81
1967-02-28	US0S8M8	JPMorgan Chase & Co.	119.03
1967-03-31	US0S8M8	JPMorgan Chase & Co.	117.85
1967-04-30	US0S8M8	JPMorgan Chase & Co.	117.73
1967-05-31	US0S8M8	JPMorgan Chase & Co.	118.11
1967-06-30	US0S8M8	JPMorgan Chase & Co.	126.02
1967-07-31	US0S8M8	JPMorgan Chase & Co.	126.04
1967-08-31	US0S8M8	JPMorgan Chase & Co.	119.86
1967-09-30	US0S8M8	JPMorgan Chase & Co.	121.56
1967-10-31	US0S8M8	JPMorgan Chase & Co.	124.3
1967-11-30	US0S8M8	JPMorgan Chase & Co.	120.24
1967-12-31	US0S8M8	JPMorgan Chase & Co.	127.0
1968-01-31	US0S8M8	JPMorgan Chase & Co.	125.96
1968-02-29	US0S8M8	JPMorgan Chase & Co.	125.04
1968-03-31	US0S8M8	JPMorgan Chase & Co.	129.44
1968-04-30	US0S8M8	JPMorgan Chase & Co.	125.19
1968-05-31	US0S8M8	JPMorgan Chase & Co.	124.66
1968-06-30	US0S8M8	JPMorgan Chase & Co.	124.8
1968-07-31	US0S8M8	JPMorgan Chase & Co.	126.58
1968-08-31	US0S8M8	JPMorgan Chase & Co.	123.71
1968-09-30	US0S8M8	JPMorgan Chase & Co.	120.48
1968-10-31	US0S8M8	JPMorgan Chase & Co.	119.45
1968-11-30	US0S8M8	JPMorgan Chase & Co.	120.92
1968-12-31	US0S8M8	JPMorgan Chase & Co.	122.63
1969-01-31	US0S8M8	JPMorgan Chase & Co.	115.69
1969-02-28	US0S8M8	JPMorgan Chase & Co.	113.03
1969-03-31	US0S8M8	JPMorgan Chase & Co.	114.65
1969-04-30	US0S8M8	JPMorgan Chase & Co.	120.32
1969-05-31	US0S8M8	JPMorgan Chase & Co.	125.8
1969-06-30	US0S8M8	JPMorgan Chase & Co.	128.26
1969-07-31	US0S8M8	JPMorgan Chase & Co.	137.32
1969-08-31	US0S8M8	JPMorgan Chase & Co.	134.6
1969-09-30	US0S8M8	JPMorgan Chase & Co.	136.33
1969-10-31	US0S8M8	JPMorgan Chase & Co.	137.47
1969-11-30	US0S8M8	JPMorgan Chase & Co.	137.45
1969-12-31	US0S8M8	JPMorgan Chase & Co.	134.83
1970-01-31	US0S8M8	JPMorgan Chase & Co.	139.28
1970-02-28	US0S8M8	JPMorgan Chase & Co.	137.67
1970-03-31	US0S8M8	JPMorgan Chase & Co.	137.1
1970-04-30	US0S8M8	JPMorgan Chase & Co.	141.44
1970-05-31	US0S8M8	JPMorgan Chase & Co.	141.12
1970-06-30	US0S8M8	JPMorgan Chase & Co.	142.32
1970-07-31	US0S8M8	JPMorgan Chase & Co.	142.48
1970-08-31	US0S8M8	JPMorgan Chase & Co.	140.6
1970-09-30	US0S8M8	JPMorgan Chase & Co.	140.83
1970-10-31	US0S8M8	JPMorgan Chase & Co.	136.94
1970-11-30	US0S8M8	JPMorgan Chase & Co.	135.48
1970-12-31	US0S8M8	JPMorgan Chase & Co.	131.73
1971-01-31	US0S8M8	JPMorgan Chase & Co.	131.09
1971-02-28	US0S8M8	JPMorgan Chase & Co.	137.31
1971-03-31	US0S8M8	JPMorgan Chase & Co.	139.54
1971-04-30	US0S8M8	JPMorgan Chase & Co.	135.53
1971-05-31	US0S8M8	JPMorgan Chase & Co.	132.53
1971-06-30	US0S8M8	JPMorgan Chase & Co.	136.24
1971-07-31	US0S8M8	JPMorgan Chase & Co.	143.69
1971-08-31	US0S8M8	JPMorgan Chase & Co.	148.08
1971-09-30	US0S8M8	JPMorgan Chase & Co.	150.03
1971-10-31	US0S8M8	JPMorgan Chase & Co.	151.76
1971-11-30	US0S8M8	JPMorgan Chase & Co.	146.49
1971-12-31	US0S8M8	JPMorgan Chase & Co.	144.9
1972-01-31	US0S8M8	JPMorgan Chase & Co.	143.47
1972-02-29	US0S8M8	JPMorgan Chase & Co.	147.54
1972-03-31	US0S8M8	JPMorgan Chase & Co.	140.21
1972-04-30	US0S8M8	JPMorgan Chase & Co.	138.4
1972-05-31	US0S8M8	JPMorgan Chase & Co.	132.3
1972-06-30	US0S8M8	JPMorgan Chase & Co.	136.85
1972-07-31	US0S8M8	JPMorgan Chase & Co.	130.22
1972-08-31	US0S8M8	JPMorgan Chase & Co.	126.86
1972-09-30	US0S8M8	JPMorgan Chase & Co.	126.99
1972-10-31	US0S8M8	JPMorgan Chase & Co.	122.92
1972-11-30	US0S8M8	JPMorgan Chase & Co.	123.46
1972-12-31	US0S8M8	JPMorgan Chase & Co.	129.48
