Date	Company Code	Company Name	Stock Price
1959-01-31	USGWMGK	KB Home	113.99
1959-02-28	USGWMGK	KB Home	115.79
1959-03-31	USGWMGK	KB Home	121.7
1959-04-30	USGWMGK	KB Home	126.33
1959-05-31	USGWMGK	KB Home	126.4
1959-06-30	USGWMGK	KB Home	124.28
1959-07-31	USGWMGK	KB Home	119.29
1959-08-31	USGWMGK	KB Home	117.52
1959-09-30	USGWMGK	KB Home	120.93
1959-10-31	USGWMGK	KB Home	117.35
1959-11-30	USGWMGK	KB Home	115.12
1959-12-31	USGWMGK	KB Home	116.69
1960-01-31	USGWMGK	KB Home	116.14
1960-02-29	USGWMGK	KB Home	116.24
1960-03-31	USGWMGK	KB Home	119.28
1960-04-30	USGWMGK	KB Home	116.65
1960-05-31	USGWMGK	KB Home	119.38
1960-06-30	USGWMGK	KB Home	123.69
1960-07-31	USGWMGK	KB Home	117.63
1960-08-31	USGWMGK	KB Home	121.61
1960-09-30	USGWMGK	KB Home	113.39
1960-10-31	USGWMGK	KB Home	114.47
1960-11-30	USGWMGK	KB Home	118.25
1960-12-31	USGWMGK	KB Home	119.26
1961-01-31	USGWMGK	KB Home	115.04
1961-02-28	USGWMGK	KB Home	120.64
1961-03-31	USGWMGK	KB Home	116.69
1961-04-30	USGWMGK	KB Home	124.68
1961-05-31	USGWMGK	KB Home	125.04
1961-06-30	USGWMGK	KB Home	118.24
1961-07-31	USGWMGK	KB Home	120.78
1961-08-31	USGWMGK	KB Home	118.52
1961-09-30	USGWMGK	KB Home	113.78
1961-10-31	USGWMGK	KB Home	110.59
1961-11-30	USGWMGK	KB Home	106.01
1961-12-31	USGWMGK	KB Home	100.13
1962-01-31	USGWMGK	KB Home	103.26
1962-02-28	USGWMGK	KB Home	102.71
1962-03-31	USGWMGK	KB Home	99.68
1962-04-30	USGWMGK	KB Home	94.97
1962-05-31	USGWMGK	KB Home	96.09
1962-06-30	USGWMGK	KB Home	102.01
1962-07-31	USGWMGK	KB Home	98.93
1962-08-31	USGWMGK	KB Home	101.52
1962-09-30	USGWMGK	KB Home	105.63
1962-10-31	USGWMGK	KB Home	100.97
1962-11-30	USGWMGK	KB Home	103.56
1962-12-31	USGWMGK	KB Home	106.18
1963-01-31	USGWMGK	KB Home	106.09
1963-02-28	USGWMGK	KB Home	104.06
1963-03-31	USGWMGK	KB Home	105.19
1963-04-30	USGWMGK	KB Home	99.72
1963-05-31	USGWMGK	KB Home	100.41
1963-06-30	USGWMGK	KB Home	100.66
1963-07-31	USGWMGK	KB Home	97.94
1963-08-31	USGWMGK	KB Home	102.72
1963-09-30	USGWMGK	KB Home	103.8
1963-10-31	USGWMGK	KB Home	104.16
1963-11-30	USGWMGK	KB Home	107.23
1963-12-31	USGWMGK	KB Home	111.22
1964-01-31	USGWMGK	KB Home	104.91
1964-02-29	USGWMGK	KB Home	103.4
1964-03-31	USGWMGK	KB Home	108.68
1964-04-30	USGWMGK	KB Home	106.77
1964-05-31	USGWMGK	KB Home	103.6
1964-06-30	USGWMGK	KB Home	102.53
1964-07-31	USGWMGK	KB Home	98.14
1964-08-31	USGWMGK	KB Home	97.16
1964-09-30	USGWMGK	KB Home	94.89
1964-10-31	USGWMGK	KB Home	97.08
1964-11-30	USGWMGK	KB Home	98.13
1964-12-31	USGWMGK	KB Home	95.93
1965-01-31	USGWMGK	KB Home	101.32
1965-02-28	USGWMGK	KB Home	98.68
1965-03-31	USGWMGK	KB Home	101.18
1965-04-30	USGWMGK	KB Home	101.22
1965-05-31	USGWMGK	KB Home	98.96
1965-06-30	USGWMGK	KB Home	99.05
1965-07-31	USGWMGK	KB Home	101.57
1965-08-31	USGWMGK	KB Home	106.94
1965-09-30	USGWMGK	KB Home	109.63
1965-10-31	USGWMGK	KB Home	102.97
1965-11-30	USGWMGK	KB Home	109.95
1965-12-31	USGWMGK	KB Home	112.05
1966-01-31	USGWMGK	KB Home	112.31
1966-02-28	USGWMGK	KB Home	106.05
1966-03-31	USGWMGK	KB Home	101.91
1966-04-30	USGWMGK	KB Home	100.74
1966-05-31	USGWMGK	KB Home	101.65
1966-06-30	USGWMGK	KB Home	101.69
1966-07-31	USGWMGK	KB Home	96.98
1966-08-31	USGWMGK	KB Home	97.79
1966-09-30	USGWMGK	KB Home	97.09
1966-10-31	USGWMGK	KB Home	98.24
1966-11-30	USGWMGK	KB Home	101.87
1966-12-31	USGWMGK	KB Home	96.74
1967-01-31	USGWMGK	KB Home	96.67
1967-02-28	USGWMGK	KB Home	97.45
1967-03-31	USGWMGK	KB Home	101.74
1967-04-30	USGWMGK	KB Home	100.87
1967-05-31	USGWMGK	KB Home	105.87
1967-06-30	USGWMGK	KB Home	106.85
1967-07-31	USGWMGK	KB Home	110.23
1967-08-31	USGWMGK	KB Home	110.36
1967-09-30	USGWMGK	KB Home	109.61
1967-10-31	USGWMGK	KB Home	106.51
1967-11-30	USGWMGK	KB Home	105.2
1967-12-31	USGWMGK	KB Home	108.95
1968-01-31	USGWMGK	KB Home	113.14
1968-02-29	USGWMGK	KB Home	111.89
1968-03-31	USGWMGK	KB Home	114.24
1968-04-30	USGWMGK	KB Home	110.97
1968-05-31	USGWMGK	KB Home	112.75
1968-06-30	USGWMGK	KB Home	112.72
1968-07-31	USGWMGK	KB Home	114.59
1968-08-31	USGWMGK	KB Home	111.46
1968-09-30	USGWMGK	KB Home	111.77
1968-10-31	USGWMGK	KB Home	107.72
1968-11-30	USGWMGK	KB Home	106.63
1968-12-31	USGWMGK	KB Home	107.31
