Date	Company Code	Company Name	Stock Price
1959-01-31	USS0H4U	Kappa	98.38
1959-02-28	USS0H4U	Kappa	99.06
1959-03-31	USS0H4U	Kappa	103.82
1959-04-30	USS0H4U	Kappa	103.31
1959-05-31	USS0H4U	Kappa	102.95
1959-06-30	USS0H4U	Kappa	103.24
1959-07-31	USS0H4U	Kappa	104.16
1959-08-31	USS0H4U	Kappa	101.63
1959-09-30	USS0H4U	Kappa	108.24
1959-10-31	USS0H4U	Kappa	108.98
1959-11-30	USS0H4U	Kappa	104.78
1959-12-31	USS0H4U	Kappa	104.59
1960-01-31	USS0H4U	Kappa	105.87
1960-02-29	USS0H4U	Kappa	110.38
1960-03-31	USS0H4U	Kappa	104.63
1960-04-30	USS0H4U	Kappa	104.85
1960-05-31	USS0H4U	Kappa	108.07
1960-06-30	USS0H4U	Kappa	107.9
1960-07-31	USS0H4U	Kappa	108.42
1960-08-31	USS0H4U	Kappa	105.41
1960-09-30	USS0H4U	Kappa	109.14
1960-10-31	USS0H4U	Kappa	108.54
1960-11-30	USS0H4U	Kappa	115.49
1960-12-31	USS0H4U	Kappa	113.71
1961-01-31	USS0H4U	Kappa	117.06
1961-02-28	USS0H4U	Kappa	115.23
1961-03-31	USS0H4U	Kappa	113.67
1961-04-30	USS0H4U	Kappa	108.1
1961-05-31	USS0H4U	Kappa	103.95
1961-06-30	USS0H4U	Kappa	108.63
1961-07-31	USS0H4U	Kappa	102.46
1961-08-31	USS0H4U	Kappa	108.25
1961-09-30	USS0H4U	Kappa	109.91
1961-10-31	USS0H4U	Kappa	108.76
1961-11-30	USS0H4U	Kappa	106.41
1961-12-31	USS0H4U	Kappa	111.44
1962-01-31	USS0H4U	Kappa	111.55
1962-02-28	USS0H4U	Kappa	111.41
1962-03-31	USS0H4U	Kappa	119.46
1962-04-30	USS0H4U	Kappa	119.08
1962-05-31	USS0H4U	Kappa	116.49
1962-06-30	USS0H4U	Kappa	118.59
1962-07-31	USS0H4U	Kappa	121.79
1962-08-31	USS0H4U	Kappa	121.57
1962-09-30	USS0H4U	Kappa	125.73
1962-10-31	USS0H4U	Kappa	119.58
1962-11-30	USS0H4U	Kappa	121.65
1962-12-31	USS0H4U	Kappa	121.24
1963-01-31	USS0H4U	Kappa	120.94
1963-02-28	USS0H4U	Kappa	111.42
1963-03-31	USS0H4U	Kappa	110.34
1963-04-30	USS0H4U	Kappa	110.22
1963-05-31	USS0H4U	Kappa	112.41
1963-06-30	USS0H4U	Kappa	120.24
1963-07-31	USS0H4U	Kappa	124.94
1963-08-31	USS0H4U	Kappa	125.43
1963-09-30	USS0H4U	Kappa	125.92
1963-10-31	USS0H4U	Kappa	134.24
1963-11-30	USS0H4U	Kappa	141.09
1963-12-31	USS0H4U	Kappa	135.89
1964-01-31	USS0H4U	Kappa	134.01
1964-02-29	USS0H4U	Kappa	131.72
1964-03-31	USS0H4U	Kappa	140.13
1964-04-30	USS0H4U	Kappa	139.65
1964-05-31	USS0H4U	Kappa	145.41
1964-06-30	USS0H4U	Kappa	143.03
1964-07-31	USS0H4U	Kappa	144.77
1964-08-31	USS0H4U	Kappa	149.21
1964-09-30	USS0H4U	Kappa	153.88
1964-10-31	USS0H4U	Kappa	155.76
1964-11-30	USS0H4U	Kappa	153.45
1964-12-31	USS0H4U	Kappa	154.17
1965-01-31	USS0H4U	Kappa	157.2
1965-02-28	USS0H4U	Kappa	152.79
1965-03-31	USS0H4U	Kappa	154.53
1965-04-30	USS0H4U	Kappa	152.76
1965-05-31	USS0H4U	Kappa	160.12
1965-06-30	USS0H4U	Kappa	161.11
1965-07-31	USS0H4U	Kappa	168.95
1965-08-31	USS0H4U	Kappa	163.81
1965-09-30	USS0H4U	Kappa	165.12
1965-10-31	USS0H4U	Kappa	167.62
1965-11-30	USS0H4U	Kappa	167.55
1965-12-31	USS0H4U	Kappa	169.8
1966-01-31	USS0H4U	Kappa	168.52
1966-02-28	USS0H4U	Kappa	168.09
1966-03-31	USS0H4U	Kappa	170.11
1966-04-30	USS0H4U	Kappa	172.63
1966-05-31	USS0H4U	Kappa	180.12
1966-06-30	USS0H4U	Kappa	179.24
1966-07-31	USS0H4U	Kappa	178.67
1966-08-31	USS0H4U	Kappa	176.99
1966-09-30	USS0H4U	Kappa	175.32
1966-10-31	USS0H4U	Kappa	182.96
1966-11-30	USS0H4U	Kappa	186.63
1966-12-31	USS0H4U	Kappa	184.64
1967-01-31	USS0H4U	Kappa	183.98
1967-02-28	USS0H4U	Kappa	184.26
1967-03-31	USS0H4U	Kappa	179.54
1967-04-30	USS0H4U	Kappa	183.65
1967-05-31	USS0H4U	Kappa	190.2
1967-06-30	USS0H4U	Kappa	188.89
1967-07-31	USS0H4U	Kappa	186.75
1967-08-31	USS0H4U	Kappa	185.97
1967-09-30	USS0H4U	Kappa	177.66
1967-10-31	USS0H4U	Kappa	177.23
1967-11-30	USS0H4U	Kappa	170.1
1967-12-31	USS0H4U	Kappa	170.1
1968-01-31	USS0H4U	Kappa	171.07
1968-02-29	USS0H4U	Kappa	174.2
1968-03-31	USS0H4U	Kappa	165.29
1968-04-30	USS0H4U	Kappa	166.79
1968-05-31	USS0H4U	Kappa	172.01
1968-06-30	USS0H4U	Kappa	175.57
1968-07-31	USS0H4U	Kappa	170.4
1968-08-31	USS0H4U	Kappa	172.86
1968-09-30	USS0H4U	Kappa	175.28
1968-10-31	USS0H4U	Kappa	177.84
1968-11-30	USS0H4U	Kappa	171.42
1968-12-31	USS0H4U	Kappa	180.14
1969-01-31	USS0H4U	Kappa	179.62
1969-02-28	USS0H4U	Kappa	186.87
1969-03-31	USS0H4U	Kappa	188.24
1969-04-30	USS0H4U	Kappa	193.51
1969-05-31	USS0H4U	Kappa	195.46
1969-06-30	USS0H4U	Kappa	195.97
1969-07-31	USS0H4U	Kappa	192.4
1969-08-31	USS0H4U	Kappa	192.19
1969-09-30	USS0H4U	Kappa	194.74
1969-10-31	USS0H4U	Kappa	200.17
1969-11-30	USS0H4U	Kappa	207.15
1969-12-31	USS0H4U	Kappa	203.41
1970-01-31	USS0H4U	Kappa	208.47
1970-02-28	USS0H4U	Kappa	208.81
1970-03-31	USS0H4U	Kappa	202.98
1970-04-30	USS0H4U	Kappa	198.05
1970-05-31	USS0H4U	Kappa	198.76
1970-06-30	USS0H4U	Kappa	191.55
1970-07-31	USS0H4U	Kappa	189.13
1970-08-31	USS0H4U	Kappa	189.99
1970-09-30	USS0H4U	Kappa	192.4
1970-10-31	USS0H4U	Kappa	183.36
1970-11-30	USS0H4U	Kappa	183.43
1970-12-31	USS0H4U	Kappa	192.19
1971-01-31	USS0H4U	Kappa	192.65
1971-02-28	USS0H4U	Kappa	190.75
1971-03-31	USS0H4U	Kappa	191.73
1971-04-30	USS0H4U	Kappa	195.42
1971-05-31	USS0H4U	Kappa	190.48
1971-06-30	USS0H4U	Kappa	189.11
1971-07-31	USS0H4U	Kappa	187.9
1971-08-31	USS0H4U	Kappa	188.42
1971-09-30	USS0H4U	Kappa	193.67
1971-10-31	USS0H4U	Kappa	189.74
1971-11-30	USS0H4U	Kappa	192.41
1971-12-31	USS0H4U	Kappa	191.11
1972-01-31	USS0H4U	Kappa	186.74
1972-02-29	USS0H4U	Kappa	186.83
1972-03-31	USS0H4U	Kappa	183.76
1972-04-30	USS0H4U	Kappa	178.49
1972-05-31	USS0H4U	Kappa	183.52
1972-06-30	USS0H4U	Kappa	184.86
1972-07-31	USS0H4U	Kappa	182.9
1972-08-31	USS0H4U	Kappa	181.37
1972-09-30	USS0H4U	Kappa	188.32
1972-10-31	USS0H4U	Kappa	191.41
1972-11-30	USS0H4U	Kappa	189.79
1972-12-31	USS0H4U	Kappa	184.56
1973-01-31	USS0H4U	Kappa	182.64
