Date	Company Code	Company Name	Stock Price
1959-01-31	USD5G72	Kraft Heinz Co.	101.34
1959-02-28	USD5G72	Kraft Heinz Co.	97.24
1959-03-31	USD5G72	Kraft Heinz Co.	99.52
1959-04-30	USD5G72	Kraft Heinz Co.	98.34
1959-05-31	USD5G72	Kraft Heinz Co.	93.53
1959-06-30	USD5G72	Kraft Heinz Co.	84.67
1959-07-31	USD5G72	Kraft Heinz Co.	87.13
1959-08-31	USD5G72	Kraft Heinz Co.	82.19
1959-09-30	USD5G72	Kraft Heinz Co.	84.16
1959-10-31	USD5G72	Kraft Heinz Co.	82.1
1959-11-30	USD5G72	Kraft Heinz Co.	85.51
1959-12-31	USD5G72	Kraft Heinz Co.	90.08
1960-01-31	USD5G72	Kraft Heinz Co.	91.48
1960-02-29	USD5G72	Kraft Heinz Co.	86.1
1960-03-31	USD5G72	Kraft Heinz Co.	86.21
1960-04-30	USD5G72	Kraft Heinz Co.	81.87
1960-05-31	USD5G72	Kraft Heinz Co.	80.42
1960-06-30	USD5G72	Kraft Heinz Co.	88.99
1960-07-31	USD5G72	Kraft Heinz Co.	94.27
1960-08-31	USD5G72	Kraft Heinz Co.	91.48
1960-09-30	USD5G72	Kraft Heinz Co.	94.71
1960-10-31	USD5G72	Kraft Heinz Co.	95.52
1960-11-30	USD5G72	Kraft Heinz Co.	92.81
1960-12-31	USD5G72	Kraft Heinz Co.	94.51
1961-01-31	USD5G72	Kraft Heinz Co.	87.1
1961-02-28	USD5G72	Kraft Heinz Co.	86.76
1961-03-31	USD5G72	Kraft Heinz Co.	85.29
1961-04-30	USD5G72	Kraft Heinz Co.	84.26
1961-05-31	USD5G72	Kraft Heinz Co.	85.99
1961-06-30	USD5G72	Kraft Heinz Co.	79.84
1961-07-31	USD5G72	Kraft Heinz Co.	74.52
1961-08-31	USD5G72	Kraft Heinz Co.	74.15
1961-09-30	USD5G72	Kraft Heinz Co.	70.97
1961-10-31	USD5G72	Kraft Heinz Co.	69.49
1961-11-30	USD5G72	Kraft Heinz Co.	69.1
1961-12-31	USD5G72	Kraft Heinz Co.	68.57
1962-01-31	USD5G72	Kraft Heinz Co.	68.36
1962-02-28	USD5G72	Kraft Heinz Co.	70.35
1962-03-31	USD5G72	Kraft Heinz Co.	78.39
1962-04-30	USD5G72	Kraft Heinz Co.	86.37
1962-05-31	USD5G72	Kraft Heinz Co.	87.69
1962-06-30	USD5G72	Kraft Heinz Co.	86.3
1962-07-31	USD5G72	Kraft Heinz Co.	83.23
1962-08-31	USD5G72	Kraft Heinz Co.	84.91
1962-09-30	USD5G72	Kraft Heinz Co.	85.86
1962-10-31	USD5G72	Kraft Heinz Co.	85.96
1962-11-30	USD5G72	Kraft Heinz Co.	94.99
1962-12-31	USD5G72	Kraft Heinz Co.	97.17
1963-01-31	USD5G72	Kraft Heinz Co.	103.09
1963-02-28	USD5G72	Kraft Heinz Co.	102.18
1963-03-31	USD5G72	Kraft Heinz Co.	99.84
1963-04-30	USD5G72	Kraft Heinz Co.	98.57
1963-05-31	USD5G72	Kraft Heinz Co.	101.79
1963-06-30	USD5G72	Kraft Heinz Co.	101.1
1963-07-31	USD5G72	Kraft Heinz Co.	101.09
1963-08-31	USD5G72	Kraft Heinz Co.	99.88
1963-09-30	USD5G72	Kraft Heinz Co.	97.18
1963-10-31	USD5G72	Kraft Heinz Co.	98.89
1963-11-30	USD5G72	Kraft Heinz Co.	99.51
1963-12-31	USD5G72	Kraft Heinz Co.	104.9
1964-01-31	USD5G72	Kraft Heinz Co.	99.04
1964-02-29	USD5G72	Kraft Heinz Co.	100.22
1964-03-31	USD5G72	Kraft Heinz Co.	100.77
1964-04-30	USD5G72	Kraft Heinz Co.	101.79
1964-05-31	USD5G72	Kraft Heinz Co.	101.17
1964-06-30	USD5G72	Kraft Heinz Co.	99.63
1964-07-31	USD5G72	Kraft Heinz Co.	100.4
1964-08-31	USD5G72	Kraft Heinz Co.	98.26
1964-09-30	USD5G72	Kraft Heinz Co.	99.18
1964-10-31	USD5G72	Kraft Heinz Co.	102.88
1964-11-30	USD5G72	Kraft Heinz Co.	103.24
1964-12-31	USD5G72	Kraft Heinz Co.	96.65
1965-01-31	USD5G72	Kraft Heinz Co.	96.18
1965-02-28	USD5G72	Kraft Heinz Co.	91.13
1965-03-31	USD5G72	Kraft Heinz Co.	82.81
1965-04-30	USD5G72	Kraft Heinz Co.	81.25
1965-05-31	USD5G72	Kraft Heinz Co.	80.82
1965-06-30	USD5G72	Kraft Heinz Co.	78.64
1965-07-31	USD5G72	Kraft Heinz Co.	76.64
1965-08-31	USD5G72	Kraft Heinz Co.	74.14
1965-09-30	USD5G72	Kraft Heinz Co.	70.12
1965-10-31	USD5G72	Kraft Heinz Co.	70.95
1965-11-30	USD5G72	Kraft Heinz Co.	72.87
1965-12-31	USD5G72	Kraft Heinz Co.	66.12
1966-01-31	USD5G72	Kraft Heinz Co.	67.25
1966-02-28	USD5G72	Kraft Heinz Co.	70.42
1966-03-31	USD5G72	Kraft Heinz Co.	67.69
1966-04-30	USD5G72	Kraft Heinz Co.	66.74
1966-05-31	USD5G72	Kraft Heinz Co.	66.61
1966-06-30	USD5G72	Kraft Heinz Co.	62.83
1966-07-31	USD5G72	Kraft Heinz Co.	62.95936819303474
1966-08-31	USD5G72	Kraft Heinz Co.	62.61782745419274
1966-09-30	USD5G72	Kraft Heinz Co.	64.91
1966-10-31	USD5G72	Kraft Heinz Co.	67.47
1966-11-30	USD5G72	Kraft Heinz Co.	70.0
1966-12-31	USD5G72	Kraft Heinz Co.	70.68
1967-01-31	USD5G72	Kraft Heinz Co.	78.82
1967-02-28	USD5G72	Kraft Heinz Co.	79.86
1967-03-31	USD5G72	Kraft Heinz Co.	78.49
1967-04-30	USD5G72	Kraft Heinz Co.	79.45
1967-05-31	USD5G72	Kraft Heinz Co.	71.84
1967-06-30	USD5G72	Kraft Heinz Co.	69.55
1967-07-31	USD5G72	Kraft Heinz Co.	73.24
1967-08-31	USD5G72	Kraft Heinz Co.	70.65
1967-09-30	USD5G72	Kraft Heinz Co.	72.89
1967-10-31	USD5G72	Kraft Heinz Co.	71.06
1967-11-30	USD5G72	Kraft Heinz Co.	76.97
