Date	Company Code	Company Name	Stock Price
1959-01-31	USH0NIE	Kroger Co.	112.35
1959-02-28	USH0NIE	Kroger Co.	107.13
1959-03-31	USH0NIE	Kroger Co.	104.72
1959-04-30	USH0NIE	Kroger Co.	108.09
1959-05-31	USH0NIE	Kroger Co.	104.39
1959-06-30	USH0NIE	Kroger Co.	100.71
1959-07-31	USH0NIE	Kroger Co.	101.83
1959-08-31	USH0NIE	Kroger Co.	100.88
1959-09-30	USH0NIE	Kroger Co.	101.47
1959-10-31	USH0NIE	Kroger Co.	101.27
1959-11-30	USH0NIE	Kroger Co.	98.71
1959-12-31	USH0NIE	Kroger Co.	98.72
1960-01-31	USH0NIE	Kroger Co.	90.59
1960-02-29	USH0NIE	Kroger Co.	85.49
1960-03-31	USH0NIE	Kroger Co.	78.64
1960-04-30	USH0NIE	Kroger Co.	76.08
1960-05-31	USH0NIE	Kroger Co.	80.31
1960-06-30	USH0NIE	Kroger Co.	83.74
1960-07-31	USH0NIE	Kroger Co.	90.39
1960-08-31	USH0NIE	Kroger Co.	90.69
1960-09-30	USH0NIE	Kroger Co.	91.96
1960-10-31	USH0NIE	Kroger Co.	89.61
1960-11-30	USH0NIE	Kroger Co.	93.61
1960-12-31	USH0NIE	Kroger Co.	97.32
1961-01-31	USH0NIE	Kroger Co.	101.45
1961-02-28	USH0NIE	Kroger Co.	98.11
1961-03-31	USH0NIE	Kroger Co.	96.33
1961-04-30	USH0NIE	Kroger Co.	97.5
1961-05-31	USH0NIE	Kroger Co.	97.85
1961-06-30	USH0NIE	Kroger Co.	97.51
1961-07-31	USH0NIE	Kroger Co.	99.68
1961-08-31	USH0NIE	Kroger Co.	95.1
1961-09-30	USH0NIE	Kroger Co.	94.96
1961-10-31	USH0NIE	Kroger Co.	101.42
1961-11-30	USH0NIE	Kroger Co.	99.43
1961-12-31	USH0NIE	Kroger Co.	100.84
1962-01-31	USH0NIE	Kroger Co.	95.18
1962-02-28	USH0NIE	Kroger Co.	89.14
1962-03-31	USH0NIE	Kroger Co.	87.77
1962-04-30	USH0NIE	Kroger Co.	84.72
1962-05-31	USH0NIE	Kroger Co.	84.01
1962-06-30	USH0NIE	Kroger Co.	83.91
1962-07-31	USH0NIE	Kroger Co.	83.81
1962-08-31	USH0NIE	Kroger Co.	79.07
1962-09-30	USH0NIE	Kroger Co.	76.25
1962-10-31	USH0NIE	Kroger Co.	74.77
1962-11-30	USH0NIE	Kroger Co.	70.47
1962-12-31	USH0NIE	Kroger Co.	76.22
1963-01-31	USH0NIE	Kroger Co.	83.52
1963-02-28	USH0NIE	Kroger Co.	87.27
1963-03-31	USH0NIE	Kroger Co.	85.88
1963-04-30	USH0NIE	Kroger Co.	82.06
1963-05-31	USH0NIE	Kroger Co.	86.02
1963-06-30	USH0NIE	Kroger Co.	91.35
1963-07-31	USH0NIE	Kroger Co.	96.85
1963-08-31	USH0NIE	Kroger Co.	99.21
1963-09-30	USH0NIE	Kroger Co.	100.84
1963-10-31	USH0NIE	Kroger Co.	93.79
1963-11-30	USH0NIE	Kroger Co.	95.83
1963-12-31	USH0NIE	Kroger Co.	99.21
1964-01-31	USH0NIE	Kroger Co.	91.71
1964-02-29	USH0NIE	Kroger Co.	90.41
1964-03-31	USH0NIE	Kroger Co.	92.47
1964-04-30	USH0NIE	Kroger Co.	95.12
1964-05-31	USH0NIE	Kroger Co.	93.59
1964-06-30	USH0NIE	Kroger Co.	92.94
1964-07-31	USH0NIE	Kroger Co.	89.98
1964-08-31	USH0NIE	Kroger Co.	91.34
1964-09-30	USH0NIE	Kroger Co.	91.61
1964-10-31	USH0NIE	Kroger Co.	88.32
1964-11-30	USH0NIE	Kroger Co.	85.44
1964-12-31	USH0NIE	Kroger Co.	84.17
1965-01-31	USH0NIE	Kroger Co.	82.89
1965-02-28	USH0NIE	Kroger Co.	84.69
1965-03-31	USH0NIE	Kroger Co.	87.02
1965-04-30	USH0NIE	Kroger Co.	87.81
1965-05-31	USH0NIE	Kroger Co.	90.28
1965-06-30	USH0NIE	Kroger Co.	91.22
1965-07-31	USH0NIE	Kroger Co.	90.73
1965-08-31	USH0NIE	Kroger Co.	91.61
1965-09-30	USH0NIE	Kroger Co.	87.46
1965-10-31	USH0NIE	Kroger Co.	86.86
1965-11-30	USH0NIE	Kroger Co.	81.67
1965-12-31	USH0NIE	Kroger Co.	87.23
1966-01-31	USH0NIE	Kroger Co.	77.94
1966-02-28	USH0NIE	Kroger Co.	85.91
1966-03-31	USH0NIE	Kroger Co.	85.46
1966-04-30	USH0NIE	Kroger Co.	81.96
1966-05-31	USH0NIE	Kroger Co.	81.96
1966-06-30	USH0NIE	Kroger Co.	77.07
1966-07-31	USH0NIE	Kroger Co.	86.68
1966-08-31	USH0NIE	Kroger Co.	84.3
1966-09-30	USH0NIE	Kroger Co.	85.02
1966-10-31	USH0NIE	Kroger Co.	89.45
1966-11-30	USH0NIE	Kroger Co.	89.5
1966-12-31	USH0NIE	Kroger Co.	88.52
1967-01-31	USH0NIE	Kroger Co.	89.1
1967-02-28	USH0NIE	Kroger Co.	90.43
1967-03-31	USH0NIE	Kroger Co.	96.79
1967-04-30	USH0NIE	Kroger Co.	96.47
1967-05-31	USH0NIE	Kroger Co.	93.61
1967-06-30	USH0NIE	Kroger Co.	99.74
1967-07-31	USH0NIE	Kroger Co.	102.91
1967-08-31	USH0NIE	Kroger Co.	99.54
1967-09-30	USH0NIE	Kroger Co.	105.77
1967-10-31	USH0NIE	Kroger Co.	102.68
1967-11-30	USH0NIE	Kroger Co.	101.6
1967-12-31	USH0NIE	Kroger Co.	104.65
1968-01-31	USH0NIE	Kroger Co.	107.8
1968-02-29	USH0NIE	Kroger Co.	110.74
1968-03-31	USH0NIE	Kroger Co.	111.88
1968-04-30	USH0NIE	Kroger Co.	108.68
1968-05-31	USH0NIE	Kroger Co.	109.61
1968-06-30	USH0NIE	Kroger Co.	115.12
1968-07-31	USH0NIE	Kroger Co.	116.55
1968-08-31	USH0NIE	Kroger Co.	116.6
1968-09-30	USH0NIE	Kroger Co.	112.94
1968-10-31	USH0NIE	Kroger Co.	118.74
1968-11-30	USH0NIE	Kroger Co.	124.04
1968-12-31	USH0NIE	Kroger Co.	122.53
1969-01-31	USH0NIE	Kroger Co.	128.71
1969-02-28	USH0NIE	Kroger Co.	132.32
1969-03-31	USH0NIE	Kroger Co.	133.97
1969-04-30	USH0NIE	Kroger Co.	137.17
1969-05-31	USH0NIE	Kroger Co.	137.72
1969-06-30	USH0NIE	Kroger Co.	132.51
1969-07-31	USH0NIE	Kroger Co.	135.83
1969-08-31	USH0NIE	Kroger Co.	131.27
1969-09-30	USH0NIE	Kroger Co.	124.72
1969-10-31	USH0NIE	Kroger Co.	123.6
1969-11-30	USH0NIE	Kroger Co.	122.17
1969-12-31	USH0NIE	Kroger Co.	120.39
1970-01-31	USH0NIE	Kroger Co.	122.94
1970-02-28	USH0NIE	Kroger Co.	123.7
1970-03-31	USH0NIE	Kroger Co.	123.22
1970-04-30	USH0NIE	Kroger Co.	124.33
1970-05-31	USH0NIE	Kroger Co.	127.16
1970-06-30	USH0NIE	Kroger Co.	122.16
1970-07-31	USH0NIE	Kroger Co.	117.6
1970-08-31	USH0NIE	Kroger Co.	117.75
1970-09-30	USH0NIE	Kroger Co.	124.65
1970-10-31	USH0NIE	Kroger Co.	118.15
1970-11-30	USH0NIE	Kroger Co.	119.9
1970-12-31	USH0NIE	Kroger Co.	112.43
1971-01-31	USH0NIE	Kroger Co.	113.41
1971-02-28	USH0NIE	Kroger Co.	107.56
1971-03-31	USH0NIE	Kroger Co.	101.51
1971-04-30	USH0NIE	Kroger Co.	106.08
1971-05-31	USH0NIE	Kroger Co.	107.08
1971-06-30	USH0NIE	Kroger Co.	100.51
1971-07-31	USH0NIE	Kroger Co.	108.1
1971-08-31	USH0NIE	Kroger Co.	107.61
1971-09-30	USH0NIE	Kroger Co.	111.65
1971-10-31	USH0NIE	Kroger Co.	108.95
1971-11-30	USH0NIE	Kroger Co.	116.84
1971-12-31	USH0NIE	Kroger Co.	120.52
1972-01-31	USH0NIE	Kroger Co.	128.69
1972-02-29	USH0NIE	Kroger Co.	134.75
1972-03-31	USH0NIE	Kroger Co.	137.92
