Date	Company Code	Company Name	Stock Price
1959-01-31	US05LYB	L Brands Inc.	107.99
1959-02-28	US05LYB	L Brands Inc.	108.64
1959-03-31	US05LYB	L Brands Inc.	108.23
1959-04-30	US05LYB	L Brands Inc.	103.4
1959-05-31	US05LYB	L Brands Inc.	100.13
1959-06-30	US05LYB	L Brands Inc.	103.29
1959-07-31	US05LYB	L Brands Inc.	102.67
1959-08-31	US05LYB	L Brands Inc.	110.56
1959-09-30	US05LYB	L Brands Inc.	113.03
1959-10-31	US05LYB	L Brands Inc.	112.29
1959-11-30	US05LYB	L Brands Inc.	111.18
1959-12-31	US05LYB	L Brands Inc.	117.26
1960-01-31	US05LYB	L Brands Inc.	114.09
1960-02-29	US05LYB	L Brands Inc.	116.11
1960-03-31	US05LYB	L Brands Inc.	113.63
1960-04-30	US05LYB	L Brands Inc.	115.97
1960-05-31	US05LYB	L Brands Inc.	121.26
1960-06-30	US05LYB	L Brands Inc.	123.13
1960-07-31	US05LYB	L Brands Inc.	126.32
1960-08-31	US05LYB	L Brands Inc.	121.35
1960-09-30	US05LYB	L Brands Inc.	121.95
1960-10-31	US05LYB	L Brands Inc.	117.59
1960-11-30	US05LYB	L Brands Inc.	119.3
1960-12-31	US05LYB	L Brands Inc.	122.15
1961-01-31	US05LYB	L Brands Inc.	119.85
1961-02-28	US05LYB	L Brands Inc.	120.17
1961-03-31	US05LYB	L Brands Inc.	116.51
1961-04-30	US05LYB	L Brands Inc.	116.63
1961-05-31	US05LYB	L Brands Inc.	107.78
1961-06-30	US05LYB	L Brands Inc.	105.16
1961-07-31	US05LYB	L Brands Inc.	99.21
1961-08-31	US05LYB	L Brands Inc.	105.04
1961-09-30	US05LYB	L Brands Inc.	105.13
1961-10-31	US05LYB	L Brands Inc.	111.01
1961-11-30	US05LYB	L Brands Inc.	109.86
1961-12-31	US05LYB	L Brands Inc.	108.61
1962-01-31	US05LYB	L Brands Inc.	104.11
1962-02-28	US05LYB	L Brands Inc.	101.88
1962-03-31	US05LYB	L Brands Inc.	102.47
1962-04-30	US05LYB	L Brands Inc.	102.22
1962-05-31	US05LYB	L Brands Inc.	99.13
1962-06-30	US05LYB	L Brands Inc.	99.63
1962-07-31	US05LYB	L Brands Inc.	94.23
1962-08-31	US05LYB	L Brands Inc.	92.1
1962-09-30	US05LYB	L Brands Inc.	89.93
1962-10-31	US05LYB	L Brands Inc.	87.17
1962-11-30	US05LYB	L Brands Inc.	90.13
1962-12-31	US05LYB	L Brands Inc.	90.27
1963-01-31	US05LYB	L Brands Inc.	88.57
1963-02-28	US05LYB	L Brands Inc.	92.99
1963-03-31	US05LYB	L Brands Inc.	93.18
1963-04-30	US05LYB	L Brands Inc.	88.81
1963-05-31	US05LYB	L Brands Inc.	95.64
1963-06-30	US05LYB	L Brands Inc.	97.57
1963-07-31	US05LYB	L Brands Inc.	96.16
1963-08-31	US05LYB	L Brands Inc.	94.92
1963-09-30	US05LYB	L Brands Inc.	100.98
1963-10-31	US05LYB	L Brands Inc.	104.6
1963-11-30	US05LYB	L Brands Inc.	112.46
1963-12-31	US05LYB	L Brands Inc.	114.54
1964-01-31	US05LYB	L Brands Inc.	110.29
1964-02-29	US05LYB	L Brands Inc.	107.77
1964-03-31	US05LYB	L Brands Inc.	114.31
1964-04-30	US05LYB	L Brands Inc.	108.99
1964-05-31	US05LYB	L Brands Inc.	113.72
1964-06-30	US05LYB	L Brands Inc.	111.95
1964-07-31	US05LYB	L Brands Inc.	104.28
1964-08-31	US05LYB	L Brands Inc.	104.17
1964-09-30	US05LYB	L Brands Inc.	109.63
1964-10-31	US05LYB	L Brands Inc.	106.18
1964-11-30	US05LYB	L Brands Inc.	98.98
1964-12-31	US05LYB	L Brands Inc.	96.54
1965-01-31	US05LYB	L Brands Inc.	94.04
1965-02-28	US05LYB	L Brands Inc.	88.11
1965-03-31	US05LYB	L Brands Inc.	97.54
1965-04-30	US05LYB	L Brands Inc.	101.74
1965-05-31	US05LYB	L Brands Inc.	95.08
1965-06-30	US05LYB	L Brands Inc.	101.23
1965-07-31	US05LYB	L Brands Inc.	99.01
1965-08-31	US05LYB	L Brands Inc.	99.64
1965-09-30	US05LYB	L Brands Inc.	96.24
1965-10-31	US05LYB	L Brands Inc.	87.48
1965-11-30	US05LYB	L Brands Inc.	87.5
1965-12-31	US05LYB	L Brands Inc.	86.45
1966-01-31	US05LYB	L Brands Inc.	89.38
1966-02-28	US05LYB	L Brands Inc.	88.26
1966-03-31	US05LYB	L Brands Inc.	83.54
1966-04-30	US05LYB	L Brands Inc.	81.79
1966-05-31	US05LYB	L Brands Inc.	91.49
1966-06-30	US05LYB	L Brands Inc.	97.0
1966-07-31	US05LYB	L Brands Inc.	101.62
1966-08-31	US05LYB	L Brands Inc.	102.83
1966-09-30	US05LYB	L Brands Inc.	109.21
1966-10-31	US05LYB	L Brands Inc.	108.6
1966-11-30	US05LYB	L Brands Inc.	104.31
1966-12-31	US05LYB	L Brands Inc.	101.57
1967-01-31	US05LYB	L Brands Inc.	105.93
1967-02-28	US05LYB	L Brands Inc.	98.57
1967-03-31	US05LYB	L Brands Inc.	99.41
1967-04-30	US05LYB	L Brands Inc.	103.03
1967-05-31	US05LYB	L Brands Inc.	109.29
1967-06-30	US05LYB	L Brands Inc.	105.81
1967-07-31	US05LYB	L Brands Inc.	107.66
1967-08-31	US05LYB	L Brands Inc.	109.02
1967-09-30	US05LYB	L Brands Inc.	107.82
1967-10-31	US05LYB	L Brands Inc.	112.69
1967-11-30	US05LYB	L Brands Inc.	112.62
1967-12-31	US05LYB	L Brands Inc.	112.47
1968-01-31	US05LYB	L Brands Inc.	114.63
1968-02-29	US05LYB	L Brands Inc.	115.9
1968-03-31	US05LYB	L Brands Inc.	113.54
1968-04-30	US05LYB	L Brands Inc.	116.02
1968-05-31	US05LYB	L Brands Inc.	114.71
1968-06-30	US05LYB	L Brands Inc.	115.61
1968-07-31	US05LYB	L Brands Inc.	122.96
1968-08-31	US05LYB	L Brands Inc.	124.43
1968-09-30	US05LYB	L Brands Inc.	131.34
1968-10-31	US05LYB	L Brands Inc.	130.13
1968-11-30	US05LYB	L Brands Inc.	124.09
1968-12-31	US05LYB	L Brands Inc.	125.83
1969-01-31	US05LYB	L Brands Inc.	132.62
1969-02-28	US05LYB	L Brands Inc.	135.41
1969-03-31	US05LYB	L Brands Inc.	142.22
1969-04-30	US05LYB	L Brands Inc.	135.88
1969-05-31	US05LYB	L Brands Inc.	136.63
1969-06-30	US05LYB	L Brands Inc.	136.63
1969-07-31	US05LYB	L Brands Inc.	132.33
1969-08-31	US05LYB	L Brands Inc.	129.87
1969-09-30	US05LYB	L Brands Inc.	127.86
1969-10-31	US05LYB	L Brands Inc.	124.36
1969-11-30	US05LYB	L Brands Inc.	125.83
1969-12-31	US05LYB	L Brands Inc.	127.36
1970-01-31	US05LYB	L Brands Inc.	125.22
1970-02-28	US05LYB	L Brands Inc.	123.02
1970-03-31	US05LYB	L Brands Inc.	122.93
1970-04-30	US05LYB	L Brands Inc.	122.74
1970-05-31	US05LYB	L Brands Inc.	123.3
1970-06-30	US05LYB	L Brands Inc.	121.02
1970-07-31	US05LYB	L Brands Inc.	115.23
1970-08-31	US05LYB	L Brands Inc.	122.72
1970-09-30	US05LYB	L Brands Inc.	123.97
1970-10-31	US05LYB	L Brands Inc.	126.37
1970-11-30	US05LYB	L Brands Inc.	133.29
1970-12-31	US05LYB	L Brands Inc.	130.45
1971-01-31	US05LYB	L Brands Inc.	125.5
1971-02-28	US05LYB	L Brands Inc.	126.32
1971-03-31	US05LYB	L Brands Inc.	122.12
1971-04-30	US05LYB	L Brands Inc.	128.33
1971-05-31	US05LYB	L Brands Inc.	126.62
1971-06-30	US05LYB	L Brands Inc.	122.53
1971-07-31	US05LYB	L Brands Inc.	119.15
1971-08-31	US05LYB	L Brands Inc.	113.85
1971-09-30	US05LYB	L Brands Inc.	106.24
1971-10-31	US05LYB	L Brands Inc.	112.45
1971-11-30	US05LYB	L Brands Inc.	104.09
1971-12-31	US05LYB	L Brands Inc.	104.67
1972-01-31	US05LYB	L Brands Inc.	112.47
1972-02-29	US05LYB	L Brands Inc.	117.23
1972-03-31	US05LYB	L Brands Inc.	123.85
1972-04-30	US05LYB	L Brands Inc.	119.81
1972-05-31	US05LYB	L Brands Inc.	121.59
1972-06-30	US05LYB	L Brands Inc.	123.21
1972-07-31	US05LYB	L Brands Inc.	121.55
1972-08-31	US05LYB	L Brands Inc.	126.46
1972-09-30	US05LYB	L Brands Inc.	125.92
1972-10-31	US05LYB	L Brands Inc.	125.05
1972-11-30	US05LYB	L Brands Inc.	131.04
1972-12-31	US05LYB	L Brands Inc.	126.04
1973-01-31	US05LYB	L Brands Inc.	127.4
1973-02-28	US05LYB	L Brands Inc.	124.26
1973-03-31	US05LYB	L Brands Inc.	122.32
1973-04-30	US05LYB	L Brands Inc.	117.65
1973-05-31	US05LYB	L Brands Inc.	119.04
1973-06-30	US05LYB	L Brands Inc.	119.37
1973-07-31	US05LYB	L Brands Inc.	114.5
1973-08-31	US05LYB	L Brands Inc.	110.98
1973-09-30	US05LYB	L Brands Inc.	112.42
1973-10-31	US05LYB	L Brands Inc.	111.4
1973-11-30	US05LYB	L Brands Inc.	106.79
1973-12-31	US05LYB	L Brands Inc.	106.8
1974-01-31	US05LYB	L Brands Inc.	106.17
1974-02-28	US05LYB	L Brands Inc.	105.25
1974-03-31	US05LYB	L Brands Inc.	111.15
1974-04-30	US05LYB	L Brands Inc.	114.26
1974-05-31	US05LYB	L Brands Inc.	114.37
1974-06-30	US05LYB	L Brands Inc.	119.11
1974-07-31	US05LYB	L Brands Inc.	113.0
1974-08-31	US05LYB	L Brands Inc.	111.33
1974-09-30	US05LYB	L Brands Inc.	120.31
1974-10-31	US05LYB	L Brands Inc.	114.22
1974-11-30	US05LYB	L Brands Inc.	109.03
1974-12-31	US05LYB	L Brands Inc.	108.84
1975-01-31	US05LYB	L Brands Inc.	107.1
1975-02-28	US05LYB	L Brands Inc.	109.63
1975-03-31	US05LYB	L Brands Inc.	114.07
1975-04-30	US05LYB	L Brands Inc.	120.37
1975-05-31	US05LYB	L Brands Inc.	117.94
1975-06-30	US05LYB	L Brands Inc.	110.82
1975-07-31	US05LYB	L Brands Inc.	110.78
1975-08-31	US05LYB	L Brands Inc.	109.52
1975-09-30	US05LYB	L Brands Inc.	111.98
1975-10-31	US05LYB	L Brands Inc.	109.81
1975-11-30	US05LYB	L Brands Inc.	111.84
1975-12-31	US05LYB	L Brands Inc.	113.63
1976-01-31	US05LYB	L Brands Inc.	110.58
1976-02-29	US05LYB	L Brands Inc.	109.91
1976-03-31	US05LYB	L Brands Inc.	107.93
1976-04-30	US05LYB	L Brands Inc.	110.84
1976-05-31	US05LYB	L Brands Inc.	105.22
1976-06-30	US05LYB	L Brands Inc.	103.59
1976-07-31	US05LYB	L Brands Inc.	104.46
1976-08-31	US05LYB	L Brands Inc.	104.92
1976-09-30	US05LYB	L Brands Inc.	100.99
1976-10-31	US05LYB	L Brands Inc.	100.29
1976-11-30	US05LYB	L Brands Inc.	98.26
1976-12-31	US05LYB	L Brands Inc.	102.02
1977-01-31	US05LYB	L Brands Inc.	102.22
1977-02-28	US05LYB	L Brands Inc.	101.57
1977-03-31	US05LYB	L Brands Inc.	106.47
1977-04-30	US05LYB	L Brands Inc.	114.24
1977-05-31	US05LYB	L Brands Inc.	111.88
1977-06-30	US05LYB	L Brands Inc.	106.47
1977-07-31	US05LYB	L Brands Inc.	111.76
1977-08-31	US05LYB	L Brands Inc.	105.48
1977-09-30	US05LYB	L Brands Inc.	97.05
1977-10-31	US05LYB	L Brands Inc.	98.05
1977-11-30	US05LYB	L Brands Inc.	104.5
1977-12-31	US05LYB	L Brands Inc.	102.22
1978-01-31	US05LYB	L Brands Inc.	94.77
