Date	Company Code	Company Name	Stock Price
1959-01-31	US1CCRM	Lennar Corp.	97.28
1959-02-28	US1CCRM	Lennar Corp.	105.4
1959-03-31	US1CCRM	Lennar Corp.	103.31
1959-04-30	US1CCRM	Lennar Corp.	107.49
1959-05-31	US1CCRM	Lennar Corp.	102.01
1959-06-30	US1CCRM	Lennar Corp.	100.83
1959-07-31	US1CCRM	Lennar Corp.	103.65
1959-08-31	US1CCRM	Lennar Corp.	110.08
1959-09-30	US1CCRM	Lennar Corp.	106.35
1959-10-31	US1CCRM	Lennar Corp.	106.38
1959-11-30	US1CCRM	Lennar Corp.	107.37
1959-12-31	US1CCRM	Lennar Corp.	105.52
1960-01-31	US1CCRM	Lennar Corp.	103.41
1960-02-29	US1CCRM	Lennar Corp.	100.87
1960-03-31	US1CCRM	Lennar Corp.	110.47
1960-04-30	US1CCRM	Lennar Corp.	113.57
1960-05-31	US1CCRM	Lennar Corp.	112.2
1960-06-30	US1CCRM	Lennar Corp.	112.55
1960-07-31	US1CCRM	Lennar Corp.	112.36
1960-08-31	US1CCRM	Lennar Corp.	116.12
1960-09-30	US1CCRM	Lennar Corp.	118.19
1960-10-31	US1CCRM	Lennar Corp.	113.47
1960-11-30	US1CCRM	Lennar Corp.	115.42
1960-12-31	US1CCRM	Lennar Corp.	116.11
1961-01-31	US1CCRM	Lennar Corp.	114.87
1961-02-28	US1CCRM	Lennar Corp.	113.95
1961-03-31	US1CCRM	Lennar Corp.	113.24
1961-04-30	US1CCRM	Lennar Corp.	107.9
1961-05-31	US1CCRM	Lennar Corp.	109.71
1961-06-30	US1CCRM	Lennar Corp.	108.06
1961-07-31	US1CCRM	Lennar Corp.	108.31
1961-08-31	US1CCRM	Lennar Corp.	109.37
1961-09-30	US1CCRM	Lennar Corp.	106.98
1961-10-31	US1CCRM	Lennar Corp.	111.86
1961-11-30	US1CCRM	Lennar Corp.	117.92
1961-12-31	US1CCRM	Lennar Corp.	117.2
1962-01-31	US1CCRM	Lennar Corp.	119.36
1962-02-28	US1CCRM	Lennar Corp.	113.46
1962-03-31	US1CCRM	Lennar Corp.	109.82
1962-04-30	US1CCRM	Lennar Corp.	108.55
1962-05-31	US1CCRM	Lennar Corp.	115.8
1962-06-30	US1CCRM	Lennar Corp.	117.5
1962-07-31	US1CCRM	Lennar Corp.	114.79
1962-08-31	US1CCRM	Lennar Corp.	117.69
1962-09-30	US1CCRM	Lennar Corp.	119.25
1962-10-31	US1CCRM	Lennar Corp.	117.86
1962-11-30	US1CCRM	Lennar Corp.	118.68
1962-12-31	US1CCRM	Lennar Corp.	121.84
1963-01-31	US1CCRM	Lennar Corp.	124.99
1963-02-28	US1CCRM	Lennar Corp.	123.86
1963-03-31	US1CCRM	Lennar Corp.	126.18
1963-04-30	US1CCRM	Lennar Corp.	129.31
1963-05-31	US1CCRM	Lennar Corp.	128.91
1963-06-30	US1CCRM	Lennar Corp.	129.9
1963-07-31	US1CCRM	Lennar Corp.	130.04
1963-08-31	US1CCRM	Lennar Corp.	134.79
1963-09-30	US1CCRM	Lennar Corp.	132.84
1963-10-31	US1CCRM	Lennar Corp.	133.18
1963-11-30	US1CCRM	Lennar Corp.	133.34
1963-12-31	US1CCRM	Lennar Corp.	140.37
1964-01-31	US1CCRM	Lennar Corp.	137.61
1964-02-29	US1CCRM	Lennar Corp.	134.98
1964-03-31	US1CCRM	Lennar Corp.	130.54
1964-04-30	US1CCRM	Lennar Corp.	134.5
1964-05-31	US1CCRM	Lennar Corp.	131.45
1964-06-30	US1CCRM	Lennar Corp.	133.75
1964-07-31	US1CCRM	Lennar Corp.	137.72
1964-08-31	US1CCRM	Lennar Corp.	135.73
1964-09-30	US1CCRM	Lennar Corp.	129.96
1964-10-31	US1CCRM	Lennar Corp.	138.91
1964-11-30	US1CCRM	Lennar Corp.	130.87
1964-12-31	US1CCRM	Lennar Corp.	131.94
1965-01-31	US1CCRM	Lennar Corp.	137.33
1965-02-28	US1CCRM	Lennar Corp.	142.62
1965-03-31	US1CCRM	Lennar Corp.	138.49
1965-04-30	US1CCRM	Lennar Corp.	139.95
1965-05-31	US1CCRM	Lennar Corp.	135.26
1965-06-30	US1CCRM	Lennar Corp.	136.85
1965-07-31	US1CCRM	Lennar Corp.	140.87
1965-08-31	US1CCRM	Lennar Corp.	141.26
1965-09-30	US1CCRM	Lennar Corp.	143.1
1965-10-31	US1CCRM	Lennar Corp.	140.64
1965-11-30	US1CCRM	Lennar Corp.	142.52
1965-12-31	US1CCRM	Lennar Corp.	138.55
1966-01-31	US1CCRM	Lennar Corp.	143.5
1966-02-28	US1CCRM	Lennar Corp.	144.74
1966-03-31	US1CCRM	Lennar Corp.	143.23
1966-04-30	US1CCRM	Lennar Corp.	138.14
1966-05-31	US1CCRM	Lennar Corp.	141.15
1966-06-30	US1CCRM	Lennar Corp.	138.67
1966-07-31	US1CCRM	Lennar Corp.	136.7
1966-08-31	US1CCRM	Lennar Corp.	136.16
1966-09-30	US1CCRM	Lennar Corp.	136.76
1966-10-31	US1CCRM	Lennar Corp.	139.22
1966-11-30	US1CCRM	Lennar Corp.	135.39
1966-12-31	US1CCRM	Lennar Corp.	143.11
1967-01-31	US1CCRM	Lennar Corp.	144.66
1967-02-28	US1CCRM	Lennar Corp.	145.52
1967-03-31	US1CCRM	Lennar Corp.	147.87
1967-04-30	US1CCRM	Lennar Corp.	144.63
1967-05-31	US1CCRM	Lennar Corp.	147.47
1967-06-30	US1CCRM	Lennar Corp.	145.41
1967-07-31	US1CCRM	Lennar Corp.	151.03
1967-08-31	US1CCRM	Lennar Corp.	145.09
1967-09-30	US1CCRM	Lennar Corp.	139.1
1967-10-31	US1CCRM	Lennar Corp.	139.49
1967-11-30	US1CCRM	Lennar Corp.	139.53
1967-12-31	US1CCRM	Lennar Corp.	147.51
1968-01-31	US1CCRM	Lennar Corp.	144.43
1968-02-29	US1CCRM	Lennar Corp.	142.88
1968-03-31	US1CCRM	Lennar Corp.	141.19
1968-04-30	US1CCRM	Lennar Corp.	136.37
1968-05-31	US1CCRM	Lennar Corp.	139.86
1968-06-30	US1CCRM	Lennar Corp.	139.38
1968-07-31	US1CCRM	Lennar Corp.	132.98
1968-08-31	US1CCRM	Lennar Corp.	126.59
1968-09-30	US1CCRM	Lennar Corp.	134.74
1968-10-31	US1CCRM	Lennar Corp.	135.01
1968-11-30	US1CCRM	Lennar Corp.	135.61
1968-12-31	US1CCRM	Lennar Corp.	134.54
1969-01-31	US1CCRM	Lennar Corp.	132.85
1969-02-28	US1CCRM	Lennar Corp.	127.13
1969-03-31	US1CCRM	Lennar Corp.	131.59
1969-04-30	US1CCRM	Lennar Corp.	127.18
1969-05-31	US1CCRM	Lennar Corp.	129.1
1969-06-30	US1CCRM	Lennar Corp.	124.12
1969-07-31	US1CCRM	Lennar Corp.	126.1
1969-08-31	US1CCRM	Lennar Corp.	116.95
1969-09-30	US1CCRM	Lennar Corp.	112.95
1969-10-31	US1CCRM	Lennar Corp.	112.3
1969-11-30	US1CCRM	Lennar Corp.	103.53
1969-12-31	US1CCRM	Lennar Corp.	96.68
1970-01-31	US1CCRM	Lennar Corp.	98.21
1970-02-28	US1CCRM	Lennar Corp.	96.6
1970-03-31	US1CCRM	Lennar Corp.	98.28
1970-04-30	US1CCRM	Lennar Corp.	101.18
1970-05-31	US1CCRM	Lennar Corp.	103.05
1970-06-30	US1CCRM	Lennar Corp.	102.83
1970-07-31	US1CCRM	Lennar Corp.	99.56
1970-08-31	US1CCRM	Lennar Corp.	92.74
1970-09-30	US1CCRM	Lennar Corp.	86.72
1970-10-31	US1CCRM	Lennar Corp.	90.79
1970-11-30	US1CCRM	Lennar Corp.	87.2
1970-12-31	US1CCRM	Lennar Corp.	91.53
1971-01-31	US1CCRM	Lennar Corp.	91.77
1971-02-28	US1CCRM	Lennar Corp.	94.98
1971-03-31	US1CCRM	Lennar Corp.	94.02
1971-04-30	US1CCRM	Lennar Corp.	93.85
1971-05-31	US1CCRM	Lennar Corp.	96.93
1971-06-30	US1CCRM	Lennar Corp.	100.38
1971-07-31	US1CCRM	Lennar Corp.	98.1
1971-08-31	US1CCRM	Lennar Corp.	92.71
1971-09-30	US1CCRM	Lennar Corp.	90.15
1971-10-31	US1CCRM	Lennar Corp.	90.49
1971-11-30	US1CCRM	Lennar Corp.	92.94
1971-12-31	US1CCRM	Lennar Corp.	93.22
1972-01-31	US1CCRM	Lennar Corp.	89.43
1972-02-29	US1CCRM	Lennar Corp.	83.82
1972-03-31	US1CCRM	Lennar Corp.	76.6
1972-04-30	US1CCRM	Lennar Corp.	81.33
1972-05-31	US1CCRM	Lennar Corp.	80.5
1972-06-30	US1CCRM	Lennar Corp.	73.43
1972-07-31	US1CCRM	Lennar Corp.	79.59
1972-08-31	US1CCRM	Lennar Corp.	79.8
1972-09-30	US1CCRM	Lennar Corp.	79.69
1972-10-31	US1CCRM	Lennar Corp.	76.57
1972-11-30	US1CCRM	Lennar Corp.	76.4
1972-12-31	US1CCRM	Lennar Corp.	74.41
1973-01-31	US1CCRM	Lennar Corp.	69.2
1973-02-28	US1CCRM	Lennar Corp.	67.04
1973-03-31	US1CCRM	Lennar Corp.	62.9
1973-04-30	US1CCRM	Lennar Corp.	67.72
1973-05-31	US1CCRM	Lennar Corp.	72.08
1973-06-30	US1CCRM	Lennar Corp.	73.69
1973-07-31	US1CCRM	Lennar Corp.	75.43
1973-08-31	US1CCRM	Lennar Corp.	74.27
1973-09-30	US1CCRM	Lennar Corp.	75.61
1973-10-31	US1CCRM	Lennar Corp.	76.1
1973-11-30	US1CCRM	Lennar Corp.	71.38
1973-12-31	US1CCRM	Lennar Corp.	66.72
1974-01-31	US1CCRM	Lennar Corp.	65.76
1974-02-28	US1CCRM	Lennar Corp.	70.08
1974-03-31	US1CCRM	Lennar Corp.	66.39
1974-04-30	US1CCRM	Lennar Corp.	65.84
1974-05-31	US1CCRM	Lennar Corp.	70.38
1974-06-30	US1CCRM	Lennar Corp.	65.21
1974-07-31	US1CCRM	Lennar Corp.	69.16
1974-08-31	US1CCRM	Lennar Corp.	68.13
1974-09-30	US1CCRM	Lennar Corp.	66.25
1974-10-31	US1CCRM	Lennar Corp.	60.53
1974-11-30	US1CCRM	Lennar Corp.	61.08967481171734
1974-12-31	US1CCRM	Lennar Corp.	62.67122618428338
1975-01-31	US1CCRM	Lennar Corp.	65.45
1975-02-28	US1CCRM	Lennar Corp.	71.57
1975-03-31	US1CCRM	Lennar Corp.	66.72
1975-04-30	US1CCRM	Lennar Corp.	71.11
1975-05-31	US1CCRM	Lennar Corp.	77.38
1975-06-30	US1CCRM	Lennar Corp.	82.26
1975-07-31	US1CCRM	Lennar Corp.	81.58
1975-08-31	US1CCRM	Lennar Corp.	78.61
1975-09-30	US1CCRM	Lennar Corp.	74.35
1975-10-31	US1CCRM	Lennar Corp.	68.64
1975-11-30	US1CCRM	Lennar Corp.	75.22
1975-12-31	US1CCRM	Lennar Corp.	76.84
1976-01-31	US1CCRM	Lennar Corp.	79.27
1976-02-29	US1CCRM	Lennar Corp.	81.04
1976-03-31	US1CCRM	Lennar Corp.	77.58
1976-04-30	US1CCRM	Lennar Corp.	71.32
1976-05-31	US1CCRM	Lennar Corp.	73.3
1976-06-30	US1CCRM	Lennar Corp.	78.09
1976-07-31	US1CCRM	Lennar Corp.	79.6
1976-08-31	US1CCRM	Lennar Corp.	83.69
1976-09-30	US1CCRM	Lennar Corp.	83.04
1976-10-31	US1CCRM	Lennar Corp.	91.86
1976-11-30	US1CCRM	Lennar Corp.	86.16
1976-12-31	US1CCRM	Lennar Corp.	79.7
1977-01-31	US1CCRM	Lennar Corp.	81.46
1977-02-28	US1CCRM	Lennar Corp.	76.52
1977-03-31	US1CCRM	Lennar Corp.	77.72
1977-04-30	US1CCRM	Lennar Corp.	73.35
1977-05-31	US1CCRM	Lennar Corp.	70.44
1977-06-30	US1CCRM	Lennar Corp.	70.28
1977-07-31	US1CCRM	Lennar Corp.	69.32
1977-08-31	US1CCRM	Lennar Corp.	71.78
1977-09-30	US1CCRM	Lennar Corp.	73.58
1977-10-31	US1CCRM	Lennar Corp.	77.26
1977-11-30	US1CCRM	Lennar Corp.	78.31
1977-12-31	US1CCRM	Lennar Corp.	77.84
1978-01-31	US1CCRM	Lennar Corp.	87.78
1978-02-28	US1CCRM	Lennar Corp.	87.16
1978-03-31	US1CCRM	Lennar Corp.	86.86
1978-04-30	US1CCRM	Lennar Corp.	89.87
1978-05-31	US1CCRM	Lennar Corp.	87.0
1978-06-30	US1CCRM	Lennar Corp.	93.04
1978-07-31	US1CCRM	Lennar Corp.	91.34
1978-08-31	US1CCRM	Lennar Corp.	95.14
1978-09-30	US1CCRM	Lennar Corp.	92.0
1978-10-31	US1CCRM	Lennar Corp.	93.75
1978-11-30	US1CCRM	Lennar Corp.	96.52
1978-12-31	US1CCRM	Lennar Corp.	92.15
1979-01-31	US1CCRM	Lennar Corp.	85.79
1979-02-28	US1CCRM	Lennar Corp.	85.12
1979-03-31	US1CCRM	Lennar Corp.	84.56
1979-04-30	US1CCRM	Lennar Corp.	80.98
1979-05-31	US1CCRM	Lennar Corp.	74.0
1979-06-30	US1CCRM	Lennar Corp.	71.98
1979-07-31	US1CCRM	Lennar Corp.	74.21
1979-08-31	US1CCRM	Lennar Corp.	67.57
1979-09-30	US1CCRM	Lennar Corp.	69.29
1979-10-31	US1CCRM	Lennar Corp.	61.89
1979-11-30	US1CCRM	Lennar Corp.	69.58
1979-12-31	US1CCRM	Lennar Corp.	62.45
1980-01-31	US1CCRM	Lennar Corp.	60.61
1980-02-29	US1CCRM	Lennar Corp.	67.15
1980-03-31	US1CCRM	Lennar Corp.	67.15
1980-04-30	US1CCRM	Lennar Corp.	64.49
1980-05-31	US1CCRM	Lennar Corp.	60.32
1980-06-30	US1CCRM	Lennar Corp.	62.21
1980-07-31	US1CCRM	Lennar Corp.	61.09564459279801
1980-08-31	US1CCRM	Lennar Corp.	62.685982704362935
1980-09-30	US1CCRM	Lennar Corp.	66.17
1980-10-31	US1CCRM	Lennar Corp.	70.18
1980-11-30	US1CCRM	Lennar Corp.	69.38
1980-12-31	US1CCRM	Lennar Corp.	61.43
1981-01-31	US1CCRM	Lennar Corp.	62.818008832088516
1981-02-28	US1CCRM	Lennar Corp.	68.72
1981-03-31	US1CCRM	Lennar Corp.	66.63
1981-04-30	US1CCRM	Lennar Corp.	74.84
1981-05-31	US1CCRM	Lennar Corp.	77.56
1981-06-30	US1CCRM	Lennar Corp.	76.21
1981-07-31	US1CCRM	Lennar Corp.	75.03
1981-08-31	US1CCRM	Lennar Corp.	75.76
1981-09-30	US1CCRM	Lennar Corp.	74.82
1981-10-31	US1CCRM	Lennar Corp.	78.81
1981-11-30	US1CCRM	Lennar Corp.	76.98
1981-12-31	US1CCRM	Lennar Corp.	75.57
1982-01-31	US1CCRM	Lennar Corp.	77.85
1982-02-28	US1CCRM	Lennar Corp.	79.59
1982-03-31	US1CCRM	Lennar Corp.	78.07
1982-04-30	US1CCRM	Lennar Corp.	76.4
1982-05-31	US1CCRM	Lennar Corp.	69.38
1982-06-30	US1CCRM	Lennar Corp.	72.46
1982-07-31	US1CCRM	Lennar Corp.	72.34
1982-08-31	US1CCRM	Lennar Corp.	71.12
1982-09-30	US1CCRM	Lennar Corp.	68.74
1982-10-31	US1CCRM	Lennar Corp.	71.77
1982-11-30	US1CCRM	Lennar Corp.	75.59
1982-12-31	US1CCRM	Lennar Corp.	80.03
1983-01-31	US1CCRM	Lennar Corp.	77.21
1983-02-28	US1CCRM	Lennar Corp.	68.6
1983-03-31	US1CCRM	Lennar Corp.	69.35
1983-04-30	US1CCRM	Lennar Corp.	68.14
1983-05-31	US1CCRM	Lennar Corp.	71.5
1983-06-30	US1CCRM	Lennar Corp.	64.9
1983-07-31	US1CCRM	Lennar Corp.	73.73
1983-08-31	US1CCRM	Lennar Corp.	64.63
1983-09-30	US1CCRM	Lennar Corp.	67.28
1983-10-31	US1CCRM	Lennar Corp.	74.37
1983-11-30	US1CCRM	Lennar Corp.	69.83
1983-12-31	US1CCRM	Lennar Corp.	71.66
1984-01-31	US1CCRM	Lennar Corp.	70.86
1984-02-29	US1CCRM	Lennar Corp.	71.19
1984-03-31	US1CCRM	Lennar Corp.	75.41
1984-04-30	US1CCRM	Lennar Corp.	77.06
1984-05-31	US1CCRM	Lennar Corp.	83.49
1984-06-30	US1CCRM	Lennar Corp.	80.83
1984-07-31	US1CCRM	Lennar Corp.	82.33
1984-08-31	US1CCRM	Lennar Corp.	85.33
1984-09-30	US1CCRM	Lennar Corp.	83.64
1984-10-31	US1CCRM	Lennar Corp.	83.79
1984-11-30	US1CCRM	Lennar Corp.	78.34
1984-12-31	US1CCRM	Lennar Corp.	72.79
1985-01-31	US1CCRM	Lennar Corp.	75.54
1985-02-28	US1CCRM	Lennar Corp.	73.02
1985-03-31	US1CCRM	Lennar Corp.	72.4
1985-04-30	US1CCRM	Lennar Corp.	72.93
1985-05-31	US1CCRM	Lennar Corp.	77.51
1985-06-30	US1CCRM	Lennar Corp.	77.27
1985-07-31	US1CCRM	Lennar Corp.	76.74
1985-08-31	US1CCRM	Lennar Corp.	77.26
1985-09-30	US1CCRM	Lennar Corp.	82.02
1985-10-31	US1CCRM	Lennar Corp.	80.82
1985-11-30	US1CCRM	Lennar Corp.	80.96
1985-12-31	US1CCRM	Lennar Corp.	78.08
1986-01-31	US1CCRM	Lennar Corp.	82.96
1986-02-28	US1CCRM	Lennar Corp.	82.71
1986-03-31	US1CCRM	Lennar Corp.	86.85
1986-04-30	US1CCRM	Lennar Corp.	87.55
1986-05-31	US1CCRM	Lennar Corp.	86.87
1986-06-30	US1CCRM	Lennar Corp.	85.17
1986-07-31	US1CCRM	Lennar Corp.	84.9
1986-08-31	US1CCRM	Lennar Corp.	81.83
1986-09-30	US1CCRM	Lennar Corp.	84.22
1986-10-31	US1CCRM	Lennar Corp.	78.95
1986-11-30	US1CCRM	Lennar Corp.	81.44
1986-12-31	US1CCRM	Lennar Corp.	84.11
1987-01-31	US1CCRM	Lennar Corp.	85.27
1987-02-28	US1CCRM	Lennar Corp.	86.93
1987-03-31	US1CCRM	Lennar Corp.	91.49
1987-04-30	US1CCRM	Lennar Corp.	90.73
1987-05-31	US1CCRM	Lennar Corp.	93.16
1987-06-30	US1CCRM	Lennar Corp.	96.35
1987-07-31	US1CCRM	Lennar Corp.	89.98
1987-08-31	US1CCRM	Lennar Corp.	90.67
1987-09-30	US1CCRM	Lennar Corp.	87.14
1987-10-31	US1CCRM	Lennar Corp.	85.84
1987-11-30	US1CCRM	Lennar Corp.	94.02
1987-12-31	US1CCRM	Lennar Corp.	95.78
1988-01-31	US1CCRM	Lennar Corp.	102.76
1988-02-29	US1CCRM	Lennar Corp.	98.62
1988-03-31	US1CCRM	Lennar Corp.	100.94
1988-04-30	US1CCRM	Lennar Corp.	95.68
1988-05-31	US1CCRM	Lennar Corp.	95.49
1988-06-30	US1CCRM	Lennar Corp.	96.52
1988-07-31	US1CCRM	Lennar Corp.	93.82
1988-08-31	US1CCRM	Lennar Corp.	95.87
1988-09-30	US1CCRM	Lennar Corp.	94.17
1988-10-31	US1CCRM	Lennar Corp.	95.65
1988-11-30	US1CCRM	Lennar Corp.	94.53
1988-12-31	US1CCRM	Lennar Corp.	94.93
1989-01-31	US1CCRM	Lennar Corp.	94.72
1989-02-28	US1CCRM	Lennar Corp.	88.01
1989-03-31	US1CCRM	Lennar Corp.	92.32
1989-04-30	US1CCRM	Lennar Corp.	87.33
1989-05-31	US1CCRM	Lennar Corp.	86.58
1989-06-30	US1CCRM	Lennar Corp.	88.51
1989-07-31	US1CCRM	Lennar Corp.	95.96
1989-08-31	US1CCRM	Lennar Corp.	99.31
1989-09-30	US1CCRM	Lennar Corp.	98.87
1989-10-31	US1CCRM	Lennar Corp.	101.07
1989-11-30	US1CCRM	Lennar Corp.	99.4
1989-12-31	US1CCRM	Lennar Corp.	105.84
1990-01-31	US1CCRM	Lennar Corp.	103.13
1990-02-28	US1CCRM	Lennar Corp.	100.21
1990-03-31	US1CCRM	Lennar Corp.	101.53
1990-04-30	US1CCRM	Lennar Corp.	93.73
1990-05-31	US1CCRM	Lennar Corp.	97.2
1990-06-30	US1CCRM	Lennar Corp.	99.32
1990-07-31	US1CCRM	Lennar Corp.	99.3
1990-08-31	US1CCRM	Lennar Corp.	100.24
1990-09-30	US1CCRM	Lennar Corp.	93.8
1990-10-31	US1CCRM	Lennar Corp.	89.19
1990-11-30	US1CCRM	Lennar Corp.	88.93
1990-12-31	US1CCRM	Lennar Corp.	82.12
1991-01-31	US1CCRM	Lennar Corp.	85.76
1991-02-28	US1CCRM	Lennar Corp.	81.14
1991-03-31	US1CCRM	Lennar Corp.	80.57
1991-04-30	US1CCRM	Lennar Corp.	77.38
1991-05-31	US1CCRM	Lennar Corp.	85.71
1991-06-30	US1CCRM	Lennar Corp.	86.58
1991-07-31	US1CCRM	Lennar Corp.	84.25
1991-08-31	US1CCRM	Lennar Corp.	80.46
1991-09-30	US1CCRM	Lennar Corp.	77.3
1991-10-31	US1CCRM	Lennar Corp.	74.32
