Date	Company Code	Company Name	Stock Price
1959-01-31	USH7TSD	Letgo	97.13
1959-02-28	USH7TSD	Letgo	94.35
1959-03-31	USH7TSD	Letgo	95.21
1959-04-30	USH7TSD	Letgo	91.73
1959-05-31	USH7TSD	Letgo	91.41
1959-06-30	USH7TSD	Letgo	98.49
1959-07-31	USH7TSD	Letgo	103.87
1959-08-31	USH7TSD	Letgo	102.68
1959-09-30	USH7TSD	Letgo	101.46
1959-10-31	USH7TSD	Letgo	100.28
1959-11-30	USH7TSD	Letgo	95.3
1959-12-31	USH7TSD	Letgo	93.19
1960-01-31	USH7TSD	Letgo	89.33
1960-02-29	USH7TSD	Letgo	85.22
1960-03-31	USH7TSD	Letgo	89.24
1960-04-30	USH7TSD	Letgo	86.01
1960-05-31	USH7TSD	Letgo	88.03
1960-06-30	USH7TSD	Letgo	83.69
1960-07-31	USH7TSD	Letgo	84.2
1960-08-31	USH7TSD	Letgo	91.0
1960-09-30	USH7TSD	Letgo	92.89
1960-10-31	USH7TSD	Letgo	90.5
1960-11-30	USH7TSD	Letgo	90.16
1960-12-31	USH7TSD	Letgo	95.05
1961-01-31	USH7TSD	Letgo	90.38
1961-02-28	USH7TSD	Letgo	91.64
1961-03-31	USH7TSD	Letgo	91.37
1961-04-30	USH7TSD	Letgo	95.4
1961-05-31	USH7TSD	Letgo	92.71
1961-06-30	USH7TSD	Letgo	85.5
1961-07-31	USH7TSD	Letgo	80.89
1961-08-31	USH7TSD	Letgo	79.09
1961-09-30	USH7TSD	Letgo	79.31
1961-10-31	USH7TSD	Letgo	75.65
1961-11-30	USH7TSD	Letgo	80.21
1961-12-31	USH7TSD	Letgo	84.37
1962-01-31	USH7TSD	Letgo	83.8
1962-02-28	USH7TSD	Letgo	90.77
1962-03-31	USH7TSD	Letgo	84.25
1962-04-30	USH7TSD	Letgo	80.29
1962-05-31	USH7TSD	Letgo	83.84
1962-06-30	USH7TSD	Letgo	85.1
1962-07-31	USH7TSD	Letgo	91.21
1962-08-31	USH7TSD	Letgo	100.26
1962-09-30	USH7TSD	Letgo	96.17
1962-10-31	USH7TSD	Letgo	96.76
1962-11-30	USH7TSD	Letgo	104.53
1962-12-31	USH7TSD	Letgo	102.79
1963-01-31	USH7TSD	Letgo	99.67
1963-02-28	USH7TSD	Letgo	103.1
1963-03-31	USH7TSD	Letgo	106.23
1963-04-30	USH7TSD	Letgo	101.54
1963-05-31	USH7TSD	Letgo	94.78
