Date	Company Code	Company Name	Stock Price
1959-01-31	USCT2TS	Li Auto Inc.	105.24
1959-02-28	USCT2TS	Li Auto Inc.	106.74
1959-03-31	USCT2TS	Li Auto Inc.	111.5
1959-04-30	USCT2TS	Li Auto Inc.	111.29
1959-05-31	USCT2TS	Li Auto Inc.	111.67
1959-06-30	USCT2TS	Li Auto Inc.	111.43
1959-07-31	USCT2TS	Li Auto Inc.	113.65
1959-08-31	USCT2TS	Li Auto Inc.	108.19
1959-09-30	USCT2TS	Li Auto Inc.	115.1
1959-10-31	USCT2TS	Li Auto Inc.	109.03
1959-11-30	USCT2TS	Li Auto Inc.	112.1
1959-12-31	USCT2TS	Li Auto Inc.	113.03
1960-01-31	USCT2TS	Li Auto Inc.	113.88
1960-02-29	USCT2TS	Li Auto Inc.	116.44
1960-03-31	USCT2TS	Li Auto Inc.	117.94
1960-04-30	USCT2TS	Li Auto Inc.	117.28
1960-05-31	USCT2TS	Li Auto Inc.	118.9
1960-06-30	USCT2TS	Li Auto Inc.	118.77
1960-07-31	USCT2TS	Li Auto Inc.	121.07
1960-08-31	USCT2TS	Li Auto Inc.	122.02
1960-09-30	USCT2TS	Li Auto Inc.	124.73
1960-10-31	USCT2TS	Li Auto Inc.	127.36
1960-11-30	USCT2TS	Li Auto Inc.	126.44
1960-12-31	USCT2TS	Li Auto Inc.	125.52
1961-01-31	USCT2TS	Li Auto Inc.	125.35
1961-02-28	USCT2TS	Li Auto Inc.	130.17
1961-03-31	USCT2TS	Li Auto Inc.	122.5
1961-04-30	USCT2TS	Li Auto Inc.	128.22
1961-05-31	USCT2TS	Li Auto Inc.	124.94
1961-06-30	USCT2TS	Li Auto Inc.	125.91
1961-07-31	USCT2TS	Li Auto Inc.	123.15
1961-08-31	USCT2TS	Li Auto Inc.	118.87
1961-09-30	USCT2TS	Li Auto Inc.	114.53
1961-10-31	USCT2TS	Li Auto Inc.	112.24
1961-11-30	USCT2TS	Li Auto Inc.	112.43
1961-12-31	USCT2TS	Li Auto Inc.	109.9
1962-01-31	USCT2TS	Li Auto Inc.	114.34
1962-02-28	USCT2TS	Li Auto Inc.	111.23
1962-03-31	USCT2TS	Li Auto Inc.	112.16
1962-04-30	USCT2TS	Li Auto Inc.	116.36
1962-05-31	USCT2TS	Li Auto Inc.	114.9
1962-06-30	USCT2TS	Li Auto Inc.	116.86
1962-07-31	USCT2TS	Li Auto Inc.	121.12
1962-08-31	USCT2TS	Li Auto Inc.	114.67
1962-09-30	USCT2TS	Li Auto Inc.	119.72
1962-10-31	USCT2TS	Li Auto Inc.	115.78
1962-11-30	USCT2TS	Li Auto Inc.	117.65
1962-12-31	USCT2TS	Li Auto Inc.	116.79
1963-01-31	USCT2TS	Li Auto Inc.	123.07
1963-02-28	USCT2TS	Li Auto Inc.	129.35
1963-03-31	USCT2TS	Li Auto Inc.	130.68
1963-04-30	USCT2TS	Li Auto Inc.	126.01
1963-05-31	USCT2TS	Li Auto Inc.	122.57
1963-06-30	USCT2TS	Li Auto Inc.	121.13
1963-07-31	USCT2TS	Li Auto Inc.	126.71
1963-08-31	USCT2TS	Li Auto Inc.	130.61
1963-09-30	USCT2TS	Li Auto Inc.	127.13
1963-10-31	USCT2TS	Li Auto Inc.	118.96
1963-11-30	USCT2TS	Li Auto Inc.	118.28
1963-12-31	USCT2TS	Li Auto Inc.	125.81
1964-01-31	USCT2TS	Li Auto Inc.	127.55
1964-02-29	USCT2TS	Li Auto Inc.	127.06
1964-03-31	USCT2TS	Li Auto Inc.	123.93
1964-04-30	USCT2TS	Li Auto Inc.	115.46
1964-05-31	USCT2TS	Li Auto Inc.	118.55
1964-06-30	USCT2TS	Li Auto Inc.	114.97
1964-07-31	USCT2TS	Li Auto Inc.	113.68
