Date	Company Code	Company Name	Stock Price
1959-01-31	USFTEWB	LinkedIn Corp.	101.9
1959-02-28	USFTEWB	LinkedIn Corp.	102.28
1959-03-31	USFTEWB	LinkedIn Corp.	103.4
1959-04-30	USFTEWB	LinkedIn Corp.	103.35
1959-05-31	USFTEWB	LinkedIn Corp.	100.84
1959-06-30	USFTEWB	LinkedIn Corp.	95.74
1959-07-31	USFTEWB	LinkedIn Corp.	94.26
1959-08-31	USFTEWB	LinkedIn Corp.	102.28
1959-09-30	USFTEWB	LinkedIn Corp.	100.39
1959-10-31	USFTEWB	LinkedIn Corp.	94.85
1959-11-30	USFTEWB	LinkedIn Corp.	96.94
1959-12-31	USFTEWB	LinkedIn Corp.	97.6
1960-01-31	USFTEWB	LinkedIn Corp.	99.92
1960-02-29	USFTEWB	LinkedIn Corp.	97.28
1960-03-31	USFTEWB	LinkedIn Corp.	101.43
1960-04-30	USFTEWB	LinkedIn Corp.	105.49
1960-05-31	USFTEWB	LinkedIn Corp.	108.83
1960-06-30	USFTEWB	LinkedIn Corp.	113.57
1960-07-31	USFTEWB	LinkedIn Corp.	109.94
1960-08-31	USFTEWB	LinkedIn Corp.	109.49
1960-09-30	USFTEWB	LinkedIn Corp.	102.1
1960-10-31	USFTEWB	LinkedIn Corp.	101.34
1960-11-30	USFTEWB	LinkedIn Corp.	102.93
1960-12-31	USFTEWB	LinkedIn Corp.	108.15
1961-01-31	USFTEWB	LinkedIn Corp.	100.36
1961-02-28	USFTEWB	LinkedIn Corp.	99.66
1961-03-31	USFTEWB	LinkedIn Corp.	92.91
1961-04-30	USFTEWB	LinkedIn Corp.	93.5
1961-05-31	USFTEWB	LinkedIn Corp.	91.5
1961-06-30	USFTEWB	LinkedIn Corp.	91.91
1961-07-31	USFTEWB	LinkedIn Corp.	98.5
1961-08-31	USFTEWB	LinkedIn Corp.	96.49
1961-09-30	USFTEWB	LinkedIn Corp.	97.05
1961-10-31	USFTEWB	LinkedIn Corp.	104.37
1961-11-30	USFTEWB	LinkedIn Corp.	96.57
1961-12-31	USFTEWB	LinkedIn Corp.	101.16
1962-01-31	USFTEWB	LinkedIn Corp.	98.38
1962-02-28	USFTEWB	LinkedIn Corp.	98.35
1962-03-31	USFTEWB	LinkedIn Corp.	99.69
1962-04-30	USFTEWB	LinkedIn Corp.	101.42
1962-05-31	USFTEWB	LinkedIn Corp.	103.31
1962-06-30	USFTEWB	LinkedIn Corp.	98.05
1962-07-31	USFTEWB	LinkedIn Corp.	91.15
1962-08-31	USFTEWB	LinkedIn Corp.	82.01
1962-09-30	USFTEWB	LinkedIn Corp.	79.78
1962-10-31	USFTEWB	LinkedIn Corp.	84.31
1962-11-30	USFTEWB	LinkedIn Corp.	80.6
1962-12-31	USFTEWB	LinkedIn Corp.	74.19
1963-01-31	USFTEWB	LinkedIn Corp.	70.91
1963-02-28	USFTEWB	LinkedIn Corp.	73.08
1963-03-31	USFTEWB	LinkedIn Corp.	70.92
1963-04-30	USFTEWB	LinkedIn Corp.	66.27
1963-05-31	USFTEWB	LinkedIn Corp.	67.43
1963-06-30	USFTEWB	LinkedIn Corp.	63.65
1963-07-31	USFTEWB	LinkedIn Corp.	62.34618098394089
1963-08-31	USFTEWB	LinkedIn Corp.	66.85
1963-09-30	USFTEWB	LinkedIn Corp.	65.98
1963-10-31	USFTEWB	LinkedIn Corp.	68.14
1963-11-30	USFTEWB	LinkedIn Corp.	71.73
1963-12-31	USFTEWB	LinkedIn Corp.	73.57
1964-01-31	USFTEWB	LinkedIn Corp.	78.61
