Date	Company Code	Company Name	Stock Price
1959-01-31	USSRW4Y	Loblaw Companies Ltd.	99.74
1959-02-28	USSRW4Y	Loblaw Companies Ltd.	93.44
1959-03-31	USSRW4Y	Loblaw Companies Ltd.	93.17
1959-04-30	USSRW4Y	Loblaw Companies Ltd.	89.74
1959-05-31	USSRW4Y	Loblaw Companies Ltd.	90.0
1959-06-30	USSRW4Y	Loblaw Companies Ltd.	92.78
1959-07-31	USSRW4Y	Loblaw Companies Ltd.	97.38
1959-08-31	USSRW4Y	Loblaw Companies Ltd.	99.89
1959-09-30	USSRW4Y	Loblaw Companies Ltd.	99.94
1959-10-31	USSRW4Y	Loblaw Companies Ltd.	102.04
1959-11-30	USSRW4Y	Loblaw Companies Ltd.	99.11
1959-12-31	USSRW4Y	Loblaw Companies Ltd.	99.21
1960-01-31	USSRW4Y	Loblaw Companies Ltd.	105.51
1960-02-29	USSRW4Y	Loblaw Companies Ltd.	104.02
1960-03-31	USSRW4Y	Loblaw Companies Ltd.	101.8
1960-04-30	USSRW4Y	Loblaw Companies Ltd.	101.95
1960-05-31	USSRW4Y	Loblaw Companies Ltd.	108.46
1960-06-30	USSRW4Y	Loblaw Companies Ltd.	114.16
1960-07-31	USSRW4Y	Loblaw Companies Ltd.	116.84
1960-08-31	USSRW4Y	Loblaw Companies Ltd.	117.78
1960-09-30	USSRW4Y	Loblaw Companies Ltd.	116.23
1960-10-31	USSRW4Y	Loblaw Companies Ltd.	115.14
1960-11-30	USSRW4Y	Loblaw Companies Ltd.	123.17
1960-12-31	USSRW4Y	Loblaw Companies Ltd.	120.13
1961-01-31	USSRW4Y	Loblaw Companies Ltd.	127.68
1961-02-28	USSRW4Y	Loblaw Companies Ltd.	119.71
1961-03-31	USSRW4Y	Loblaw Companies Ltd.	127.19
1961-04-30	USSRW4Y	Loblaw Companies Ltd.	121.46
1961-05-31	USSRW4Y	Loblaw Companies Ltd.	121.18
1961-06-30	USSRW4Y	Loblaw Companies Ltd.	129.84
1961-07-31	USSRW4Y	Loblaw Companies Ltd.	137.23
1961-08-31	USSRW4Y	Loblaw Companies Ltd.	133.72
1961-09-30	USSRW4Y	Loblaw Companies Ltd.	131.85
1961-10-31	USSRW4Y	Loblaw Companies Ltd.	135.31
1961-11-30	USSRW4Y	Loblaw Companies Ltd.	141.52
1961-12-31	USSRW4Y	Loblaw Companies Ltd.	142.92
1962-01-31	USSRW4Y	Loblaw Companies Ltd.	147.49
1962-02-28	USSRW4Y	Loblaw Companies Ltd.	148.87
1962-03-31	USSRW4Y	Loblaw Companies Ltd.	144.92
1962-04-30	USSRW4Y	Loblaw Companies Ltd.	145.24
1962-05-31	USSRW4Y	Loblaw Companies Ltd.	146.86
1962-06-30	USSRW4Y	Loblaw Companies Ltd.	145.08
1962-07-31	USSRW4Y	Loblaw Companies Ltd.	138.65
1962-08-31	USSRW4Y	Loblaw Companies Ltd.	133.76
1962-09-30	USSRW4Y	Loblaw Companies Ltd.	132.69
1962-10-31	USSRW4Y	Loblaw Companies Ltd.	130.39
1962-11-30	USSRW4Y	Loblaw Companies Ltd.	129.48
1962-12-31	USSRW4Y	Loblaw Companies Ltd.	129.34
1963-01-31	USSRW4Y	Loblaw Companies Ltd.	126.6
1963-02-28	USSRW4Y	Loblaw Companies Ltd.	132.42
1963-03-31	USSRW4Y	Loblaw Companies Ltd.	127.92
1963-04-30	USSRW4Y	Loblaw Companies Ltd.	126.74
1963-05-31	USSRW4Y	Loblaw Companies Ltd.	129.57
1963-06-30	USSRW4Y	Loblaw Companies Ltd.	129.03
1963-07-31	USSRW4Y	Loblaw Companies Ltd.	130.18
1963-08-31	USSRW4Y	Loblaw Companies Ltd.	124.74
1963-09-30	USSRW4Y	Loblaw Companies Ltd.	132.44
1963-10-31	USSRW4Y	Loblaw Companies Ltd.	132.27
1963-11-30	USSRW4Y	Loblaw Companies Ltd.	135.5
1963-12-31	USSRW4Y	Loblaw Companies Ltd.	134.85
1964-01-31	USSRW4Y	Loblaw Companies Ltd.	136.07
1964-02-29	USSRW4Y	Loblaw Companies Ltd.	143.89
1964-03-31	USSRW4Y	Loblaw Companies Ltd.	143.02
1964-04-30	USSRW4Y	Loblaw Companies Ltd.	137.59
1964-05-31	USSRW4Y	Loblaw Companies Ltd.	141.05
1964-06-30	USSRW4Y	Loblaw Companies Ltd.	143.69
1964-07-31	USSRW4Y	Loblaw Companies Ltd.	137.05
1964-08-31	USSRW4Y	Loblaw Companies Ltd.	131.66
1964-09-30	USSRW4Y	Loblaw Companies Ltd.	127.99
1964-10-31	USSRW4Y	Loblaw Companies Ltd.	125.92
1964-11-30	USSRW4Y	Loblaw Companies Ltd.	133.78
1964-12-31	USSRW4Y	Loblaw Companies Ltd.	130.47
1965-01-31	USSRW4Y	Loblaw Companies Ltd.	124.69
1965-02-28	USSRW4Y	Loblaw Companies Ltd.	123.41
1965-03-31	USSRW4Y	Loblaw Companies Ltd.	116.21
1965-04-30	USSRW4Y	Loblaw Companies Ltd.	113.54
