Date	Company Code	Company Name	Stock Price
1959-01-31	USGST7Q	Lockheed Martin Corp.	104.95
1959-02-28	USGST7Q	Lockheed Martin Corp.	101.55
1959-03-31	USGST7Q	Lockheed Martin Corp.	100.1
1959-04-30	USGST7Q	Lockheed Martin Corp.	99.26
1959-05-31	USGST7Q	Lockheed Martin Corp.	98.87
1959-06-30	USGST7Q	Lockheed Martin Corp.	103.58
1959-07-31	USGST7Q	Lockheed Martin Corp.	103.12
1959-08-31	USGST7Q	Lockheed Martin Corp.	102.15
1959-09-30	USGST7Q	Lockheed Martin Corp.	101.75
1959-10-31	USGST7Q	Lockheed Martin Corp.	102.42
1959-11-30	USGST7Q	Lockheed Martin Corp.	98.13
1959-12-31	USGST7Q	Lockheed Martin Corp.	91.48
1960-01-31	USGST7Q	Lockheed Martin Corp.	94.65
1960-02-29	USGST7Q	Lockheed Martin Corp.	97.71
1960-03-31	USGST7Q	Lockheed Martin Corp.	94.7
1960-04-30	USGST7Q	Lockheed Martin Corp.	95.86
1960-05-31	USGST7Q	Lockheed Martin Corp.	102.09
1960-06-30	USGST7Q	Lockheed Martin Corp.	101.13
1960-07-31	USGST7Q	Lockheed Martin Corp.	105.12
1960-08-31	USGST7Q	Lockheed Martin Corp.	112.18
1960-09-30	USGST7Q	Lockheed Martin Corp.	112.11
1960-10-31	USGST7Q	Lockheed Martin Corp.	109.33
1960-11-30	USGST7Q	Lockheed Martin Corp.	114.66
1960-12-31	USGST7Q	Lockheed Martin Corp.	109.63
1961-01-31	USGST7Q	Lockheed Martin Corp.	108.79
1961-02-28	USGST7Q	Lockheed Martin Corp.	105.58
1961-03-31	USGST7Q	Lockheed Martin Corp.	104.49
1961-04-30	USGST7Q	Lockheed Martin Corp.	103.33
1961-05-31	USGST7Q	Lockheed Martin Corp.	107.09
1961-06-30	USGST7Q	Lockheed Martin Corp.	101.62
1961-07-31	USGST7Q	Lockheed Martin Corp.	98.66
1961-08-31	USGST7Q	Lockheed Martin Corp.	101.95
1961-09-30	USGST7Q	Lockheed Martin Corp.	103.66
1961-10-31	USGST7Q	Lockheed Martin Corp.	105.16
1961-11-30	USGST7Q	Lockheed Martin Corp.	104.35
1961-12-31	USGST7Q	Lockheed Martin Corp.	101.82
1962-01-31	USGST7Q	Lockheed Martin Corp.	104.46
1962-02-28	USGST7Q	Lockheed Martin Corp.	109.57
1962-03-31	USGST7Q	Lockheed Martin Corp.	112.4
1962-04-30	USGST7Q	Lockheed Martin Corp.	115.81
1962-05-31	USGST7Q	Lockheed Martin Corp.	115.04
1962-06-30	USGST7Q	Lockheed Martin Corp.	122.17
1962-07-31	USGST7Q	Lockheed Martin Corp.	124.31
1962-08-31	USGST7Q	Lockheed Martin Corp.	123.43
1962-09-30	USGST7Q	Lockheed Martin Corp.	123.47
1962-10-31	USGST7Q	Lockheed Martin Corp.	114.6
1962-11-30	USGST7Q	Lockheed Martin Corp.	115.6
1962-12-31	USGST7Q	Lockheed Martin Corp.	113.22
1963-01-31	USGST7Q	Lockheed Martin Corp.	109.88
1963-02-28	USGST7Q	Lockheed Martin Corp.	110.93
1963-03-31	USGST7Q	Lockheed Martin Corp.	115.64
1963-04-30	USGST7Q	Lockheed Martin Corp.	113.91
1963-05-31	USGST7Q	Lockheed Martin Corp.	115.14
1963-06-30	USGST7Q	Lockheed Martin Corp.	111.43
1963-07-31	USGST7Q	Lockheed Martin Corp.	109.37
1963-08-31	USGST7Q	Lockheed Martin Corp.	110.48
1963-09-30	USGST7Q	Lockheed Martin Corp.	108.84
1963-10-31	USGST7Q	Lockheed Martin Corp.	109.09
1963-11-30	USGST7Q	Lockheed Martin Corp.	108.48
1963-12-31	USGST7Q	Lockheed Martin Corp.	104.95
1964-01-31	USGST7Q	Lockheed Martin Corp.	104.7
1964-02-29	USGST7Q	Lockheed Martin Corp.	101.2
1964-03-31	USGST7Q	Lockheed Martin Corp.	100.0
1964-04-30	USGST7Q	Lockheed Martin Corp.	98.53
1964-05-31	USGST7Q	Lockheed Martin Corp.	98.07
1964-06-30	USGST7Q	Lockheed Martin Corp.	98.91
1964-07-31	USGST7Q	Lockheed Martin Corp.	95.78
1964-08-31	USGST7Q	Lockheed Martin Corp.	94.34
1964-09-30	USGST7Q	Lockheed Martin Corp.	93.68
1964-10-31	USGST7Q	Lockheed Martin Corp.	96.34
1964-11-30	USGST7Q	Lockheed Martin Corp.	99.56
1964-12-31	USGST7Q	Lockheed Martin Corp.	92.2
1965-01-31	USGST7Q	Lockheed Martin Corp.	90.9
1965-02-28	USGST7Q	Lockheed Martin Corp.	91.41
1965-03-31	USGST7Q	Lockheed Martin Corp.	84.41
1965-04-30	USGST7Q	Lockheed Martin Corp.	81.12
1965-05-31	USGST7Q	Lockheed Martin Corp.	81.1
1965-06-30	USGST7Q	Lockheed Martin Corp.	87.53
1965-07-31	USGST7Q	Lockheed Martin Corp.	88.77
1965-08-31	USGST7Q	Lockheed Martin Corp.	84.81
1965-09-30	USGST7Q	Lockheed Martin Corp.	81.95
1965-10-31	USGST7Q	Lockheed Martin Corp.	86.73
1965-11-30	USGST7Q	Lockheed Martin Corp.	88.81
1965-12-31	USGST7Q	Lockheed Martin Corp.	94.16
1966-01-31	USGST7Q	Lockheed Martin Corp.	92.65
1966-02-28	USGST7Q	Lockheed Martin Corp.	90.67
1966-03-31	USGST7Q	Lockheed Martin Corp.	91.38
1966-04-30	USGST7Q	Lockheed Martin Corp.	93.27
1966-05-31	USGST7Q	Lockheed Martin Corp.	86.65
1966-06-30	USGST7Q	Lockheed Martin Corp.	88.08
1966-07-31	USGST7Q	Lockheed Martin Corp.	85.96
1966-08-31	USGST7Q	Lockheed Martin Corp.	88.27
1966-09-30	USGST7Q	Lockheed Martin Corp.	89.14
1966-10-31	USGST7Q	Lockheed Martin Corp.	83.3
1966-11-30	USGST7Q	Lockheed Martin Corp.	83.08
1966-12-31	USGST7Q	Lockheed Martin Corp.	77.4
1967-01-31	USGST7Q	Lockheed Martin Corp.	78.98
1967-02-28	USGST7Q	Lockheed Martin Corp.	81.12
1967-03-31	USGST7Q	Lockheed Martin Corp.	88.38
1967-04-30	USGST7Q	Lockheed Martin Corp.	88.94
1967-05-31	USGST7Q	Lockheed Martin Corp.	91.96
1967-06-30	USGST7Q	Lockheed Martin Corp.	85.4
1967-07-31	USGST7Q	Lockheed Martin Corp.	81.15
1967-08-31	USGST7Q	Lockheed Martin Corp.	82.77
1967-09-30	USGST7Q	Lockheed Martin Corp.	83.2
1967-10-31	USGST7Q	Lockheed Martin Corp.	89.48
1967-11-30	USGST7Q	Lockheed Martin Corp.	82.56
1967-12-31	USGST7Q	Lockheed Martin Corp.	87.86
1968-01-31	USGST7Q	Lockheed Martin Corp.	88.51
1968-02-29	USGST7Q	Lockheed Martin Corp.	89.9
1968-03-31	USGST7Q	Lockheed Martin Corp.	91.71
1968-04-30	USGST7Q	Lockheed Martin Corp.	84.15
1968-05-31	USGST7Q	Lockheed Martin Corp.	85.03
1968-06-30	USGST7Q	Lockheed Martin Corp.	87.51
1968-07-31	USGST7Q	Lockheed Martin Corp.	82.74
1968-08-31	USGST7Q	Lockheed Martin Corp.	78.76
1968-09-30	USGST7Q	Lockheed Martin Corp.	82.48
1968-10-31	USGST7Q	Lockheed Martin Corp.	76.47
1968-11-30	USGST7Q	Lockheed Martin Corp.	80.37
1968-12-31	USGST7Q	Lockheed Martin Corp.	82.8
1969-01-31	USGST7Q	Lockheed Martin Corp.	82.76
1969-02-28	USGST7Q	Lockheed Martin Corp.	84.01
1969-03-31	USGST7Q	Lockheed Martin Corp.	91.51
1969-04-30	USGST7Q	Lockheed Martin Corp.	96.24
1969-05-31	USGST7Q	Lockheed Martin Corp.	91.72
1969-06-30	USGST7Q	Lockheed Martin Corp.	87.04
1969-07-31	USGST7Q	Lockheed Martin Corp.	89.81
1969-08-31	USGST7Q	Lockheed Martin Corp.	92.47
1969-09-30	USGST7Q	Lockheed Martin Corp.	91.68
1969-10-31	USGST7Q	Lockheed Martin Corp.	93.05
1969-11-30	USGST7Q	Lockheed Martin Corp.	89.87
1969-12-31	USGST7Q	Lockheed Martin Corp.	84.87
1970-01-31	USGST7Q	Lockheed Martin Corp.	86.84
1970-02-28	USGST7Q	Lockheed Martin Corp.	89.49
1970-03-31	USGST7Q	Lockheed Martin Corp.	87.93
1970-04-30	USGST7Q	Lockheed Martin Corp.	81.05
1970-05-31	USGST7Q	Lockheed Martin Corp.	80.91
1970-06-30	USGST7Q	Lockheed Martin Corp.	76.06
1970-07-31	USGST7Q	Lockheed Martin Corp.	75.03
1970-08-31	USGST7Q	Lockheed Martin Corp.	74.75
1970-09-30	USGST7Q	Lockheed Martin Corp.	65.47
1970-10-31	USGST7Q	Lockheed Martin Corp.	69.88
1970-11-30	USGST7Q	Lockheed Martin Corp.	69.45
1970-12-31	USGST7Q	Lockheed Martin Corp.	72.96
1971-01-31	USGST7Q	Lockheed Martin Corp.	72.2
1971-02-28	USGST7Q	Lockheed Martin Corp.	75.67
1971-03-31	USGST7Q	Lockheed Martin Corp.	78.35
1971-04-30	USGST7Q	Lockheed Martin Corp.	83.29
1971-05-31	USGST7Q	Lockheed Martin Corp.	84.12
1971-06-30	USGST7Q	Lockheed Martin Corp.	85.62
1971-07-31	USGST7Q	Lockheed Martin Corp.	85.85
1971-08-31	USGST7Q	Lockheed Martin Corp.	88.98
1971-09-30	USGST7Q	Lockheed Martin Corp.	87.63
1971-10-31	USGST7Q	Lockheed Martin Corp.	90.34
1971-11-30	USGST7Q	Lockheed Martin Corp.	91.45
1971-12-31	USGST7Q	Lockheed Martin Corp.	94.43
1972-01-31	USGST7Q	Lockheed Martin Corp.	96.93
1972-02-29	USGST7Q	Lockheed Martin Corp.	94.76
1972-03-31	USGST7Q	Lockheed Martin Corp.	89.71
1972-04-30	USGST7Q	Lockheed Martin Corp.	93.33
1972-05-31	USGST7Q	Lockheed Martin Corp.	94.35
1972-06-30	USGST7Q	Lockheed Martin Corp.	91.24
1972-07-31	USGST7Q	Lockheed Martin Corp.	88.47
1972-08-31	USGST7Q	Lockheed Martin Corp.	84.17
1972-09-30	USGST7Q	Lockheed Martin Corp.	78.51
1972-10-31	USGST7Q	Lockheed Martin Corp.	79.15
1972-11-30	USGST7Q	Lockheed Martin Corp.	78.8
1972-12-31	USGST7Q	Lockheed Martin Corp.	80.58
1973-01-31	USGST7Q	Lockheed Martin Corp.	77.53
1973-02-28	USGST7Q	Lockheed Martin Corp.	75.69
1973-03-31	USGST7Q	Lockheed Martin Corp.	74.14
1973-04-30	USGST7Q	Lockheed Martin Corp.	76.68
1973-05-31	USGST7Q	Lockheed Martin Corp.	76.39
1973-06-30	USGST7Q	Lockheed Martin Corp.	73.16
1973-07-31	USGST7Q	Lockheed Martin Corp.	82.02
1973-08-31	USGST7Q	Lockheed Martin Corp.	87.23
1973-09-30	USGST7Q	Lockheed Martin Corp.	86.62
1973-10-31	USGST7Q	Lockheed Martin Corp.	84.65
1973-11-30	USGST7Q	Lockheed Martin Corp.	85.73
1973-12-31	USGST7Q	Lockheed Martin Corp.	82.32
