Date	Company Code	Company Name	Stock Price
1959-01-31	US9SZN1	Lowe’s Companies Inc.	117.0
1959-02-28	US9SZN1	Lowe’s Companies Inc.	112.58
1959-03-31	US9SZN1	Lowe’s Companies Inc.	114.52
1959-04-30	US9SZN1	Lowe’s Companies Inc.	113.98
1959-05-31	US9SZN1	Lowe’s Companies Inc.	123.39
1959-06-30	US9SZN1	Lowe’s Companies Inc.	128.67
1959-07-31	US9SZN1	Lowe’s Companies Inc.	132.08
1959-08-31	US9SZN1	Lowe’s Companies Inc.	128.65
1959-09-30	US9SZN1	Lowe’s Companies Inc.	135.92
1959-10-31	US9SZN1	Lowe’s Companies Inc.	137.25
1959-11-30	US9SZN1	Lowe’s Companies Inc.	137.7
1959-12-31	US9SZN1	Lowe’s Companies Inc.	139.58
1960-01-31	US9SZN1	Lowe’s Companies Inc.	141.18
1960-02-29	US9SZN1	Lowe’s Companies Inc.	141.64
1960-03-31	US9SZN1	Lowe’s Companies Inc.	139.74
1960-04-30	US9SZN1	Lowe’s Companies Inc.	148.24
1960-05-31	US9SZN1	Lowe’s Companies Inc.	149.6
1960-06-30	US9SZN1	Lowe’s Companies Inc.	146.34
1960-07-31	US9SZN1	Lowe’s Companies Inc.	146.65
1960-08-31	US9SZN1	Lowe’s Companies Inc.	150.97
1960-09-30	US9SZN1	Lowe’s Companies Inc.	146.59
1960-10-31	US9SZN1	Lowe’s Companies Inc.	141.36
1960-11-30	US9SZN1	Lowe’s Companies Inc.	137.58
1960-12-31	US9SZN1	Lowe’s Companies Inc.	140.32
1961-01-31	US9SZN1	Lowe’s Companies Inc.	142.56
1961-02-28	US9SZN1	Lowe’s Companies Inc.	150.3
1961-03-31	US9SZN1	Lowe’s Companies Inc.	149.77
1961-04-30	US9SZN1	Lowe’s Companies Inc.	147.13
1961-05-31	US9SZN1	Lowe’s Companies Inc.	145.84
1961-06-30	US9SZN1	Lowe’s Companies Inc.	144.3
1961-07-31	US9SZN1	Lowe’s Companies Inc.	145.07
1961-08-31	US9SZN1	Lowe’s Companies Inc.	143.44
1961-09-30	US9SZN1	Lowe’s Companies Inc.	146.39
1961-10-31	US9SZN1	Lowe’s Companies Inc.	145.81
1961-11-30	US9SZN1	Lowe’s Companies Inc.	146.85
1961-12-31	US9SZN1	Lowe’s Companies Inc.	149.36
1962-01-31	US9SZN1	Lowe’s Companies Inc.	149.11
1962-02-28	US9SZN1	Lowe’s Companies Inc.	145.86
1962-03-31	US9SZN1	Lowe’s Companies Inc.	154.09
1962-04-30	US9SZN1	Lowe’s Companies Inc.	157.51
1962-05-31	US9SZN1	Lowe’s Companies Inc.	150.32
1962-06-30	US9SZN1	Lowe’s Companies Inc.	149.5
1962-07-31	US9SZN1	Lowe’s Companies Inc.	150.94
1962-08-31	US9SZN1	Lowe’s Companies Inc.	144.54
1962-09-30	US9SZN1	Lowe’s Companies Inc.	137.4
1962-10-31	US9SZN1	Lowe’s Companies Inc.	140.37
1962-11-30	US9SZN1	Lowe’s Companies Inc.	136.49
1962-12-31	US9SZN1	Lowe’s Companies Inc.	142.04
1963-01-31	US9SZN1	Lowe’s Companies Inc.	138.2
1963-02-28	US9SZN1	Lowe’s Companies Inc.	135.86
1963-03-31	US9SZN1	Lowe’s Companies Inc.	130.99
1963-04-30	US9SZN1	Lowe’s Companies Inc.	130.84
1963-05-31	US9SZN1	Lowe’s Companies Inc.	130.57
1963-06-30	US9SZN1	Lowe’s Companies Inc.	138.77
1963-07-31	US9SZN1	Lowe’s Companies Inc.	145.84
1963-08-31	US9SZN1	Lowe’s Companies Inc.	152.36
1963-09-30	US9SZN1	Lowe’s Companies Inc.	151.68
1963-10-31	US9SZN1	Lowe’s Companies Inc.	151.68
1963-11-30	US9SZN1	Lowe’s Companies Inc.	149.75
1963-12-31	US9SZN1	Lowe’s Companies Inc.	143.48
1964-01-31	US9SZN1	Lowe’s Companies Inc.	139.19
1964-02-29	US9SZN1	Lowe’s Companies Inc.	139.33
1964-03-31	US9SZN1	Lowe’s Companies Inc.	136.11
1964-04-30	US9SZN1	Lowe’s Companies Inc.	141.75
1964-05-31	US9SZN1	Lowe’s Companies Inc.	149.3
1964-06-30	US9SZN1	Lowe’s Companies Inc.	146.23
1964-07-31	US9SZN1	Lowe’s Companies Inc.	148.68
1964-08-31	US9SZN1	Lowe’s Companies Inc.	153.88
1964-09-30	US9SZN1	Lowe’s Companies Inc.	154.61
1964-10-31	US9SZN1	Lowe’s Companies Inc.	158.87
1964-11-30	US9SZN1	Lowe’s Companies Inc.	156.87
1964-12-31	US9SZN1	Lowe’s Companies Inc.	155.63
1965-01-31	US9SZN1	Lowe’s Companies Inc.	155.68
1965-02-28	US9SZN1	Lowe’s Companies Inc.	155.5
1965-03-31	US9SZN1	Lowe’s Companies Inc.	161.41
1965-04-30	US9SZN1	Lowe’s Companies Inc.	160.86
1965-05-31	US9SZN1	Lowe’s Companies Inc.	166.22
1965-06-30	US9SZN1	Lowe’s Companies Inc.	169.53
1965-07-31	US9SZN1	Lowe’s Companies Inc.	167.15
1965-08-31	US9SZN1	Lowe’s Companies Inc.	169.17
1965-09-30	US9SZN1	Lowe’s Companies Inc.	168.24
1965-10-31	US9SZN1	Lowe’s Companies Inc.	162.12
1965-11-30	US9SZN1	Lowe’s Companies Inc.	161.94
1965-12-31	US9SZN1	Lowe’s Companies Inc.	160.97
1966-01-31	US9SZN1	Lowe’s Companies Inc.	162.59
1966-02-28	US9SZN1	Lowe’s Companies Inc.	166.4
1966-03-31	US9SZN1	Lowe’s Companies Inc.	160.08
1966-04-30	US9SZN1	Lowe’s Companies Inc.	160.47
1966-05-31	US9SZN1	Lowe’s Companies Inc.	156.5
1966-06-30	US9SZN1	Lowe’s Companies Inc.	152.19
1966-07-31	US9SZN1	Lowe’s Companies Inc.	157.53
1966-08-31	US9SZN1	Lowe’s Companies Inc.	157.91
1966-09-30	US9SZN1	Lowe’s Companies Inc.	160.16
1966-10-31	US9SZN1	Lowe’s Companies Inc.	158.22
1966-11-30	US9SZN1	Lowe’s Companies Inc.	156.51
1966-12-31	US9SZN1	Lowe’s Companies Inc.	147.91
1967-01-31	US9SZN1	Lowe’s Companies Inc.	142.2
1967-02-28	US9SZN1	Lowe’s Companies Inc.	134.22
1967-03-31	US9SZN1	Lowe’s Companies Inc.	134.83
1967-04-30	US9SZN1	Lowe’s Companies Inc.	130.74
