Date	Company Code	Company Name	Stock Price
1959-01-31	USKTBTK	Lucid Motors Inc.	87.14
1959-02-28	USKTBTK	Lucid Motors Inc.	82.49
1959-03-31	USKTBTK	Lucid Motors Inc.	82.19
1959-04-30	USKTBTK	Lucid Motors Inc.	84.1
1959-05-31	USKTBTK	Lucid Motors Inc.	85.24
1959-06-30	USKTBTK	Lucid Motors Inc.	90.46
1959-07-31	USKTBTK	Lucid Motors Inc.	90.64
1959-08-31	USKTBTK	Lucid Motors Inc.	89.99
1959-09-30	USKTBTK	Lucid Motors Inc.	98.17
1959-10-31	USKTBTK	Lucid Motors Inc.	96.92
1959-11-30	USKTBTK	Lucid Motors Inc.	101.89
1959-12-31	USKTBTK	Lucid Motors Inc.	97.63
1960-01-31	USKTBTK	Lucid Motors Inc.	103.44
1960-02-29	USKTBTK	Lucid Motors Inc.	104.21
1960-03-31	USKTBTK	Lucid Motors Inc.	107.91
1960-04-30	USKTBTK	Lucid Motors Inc.	115.87
1960-05-31	USKTBTK	Lucid Motors Inc.	114.09
1960-06-30	USKTBTK	Lucid Motors Inc.	120.53
1960-07-31	USKTBTK	Lucid Motors Inc.	114.9
1960-08-31	USKTBTK	Lucid Motors Inc.	115.42
1960-09-30	USKTBTK	Lucid Motors Inc.	121.29
1960-10-31	USKTBTK	Lucid Motors Inc.	121.99
1960-11-30	USKTBTK	Lucid Motors Inc.	124.21
1960-12-31	USKTBTK	Lucid Motors Inc.	118.51
1961-01-31	USKTBTK	Lucid Motors Inc.	124.22
1961-02-28	USKTBTK	Lucid Motors Inc.	129.16
1961-03-31	USKTBTK	Lucid Motors Inc.	129.37
1961-04-30	USKTBTK	Lucid Motors Inc.	127.79
1961-05-31	USKTBTK	Lucid Motors Inc.	134.85
1961-06-30	USKTBTK	Lucid Motors Inc.	133.31
1961-07-31	USKTBTK	Lucid Motors Inc.	134.11
1961-08-31	USKTBTK	Lucid Motors Inc.	137.84
1961-09-30	USKTBTK	Lucid Motors Inc.	141.95
1961-10-31	USKTBTK	Lucid Motors Inc.	141.36
1961-11-30	USKTBTK	Lucid Motors Inc.	145.85
1961-12-31	USKTBTK	Lucid Motors Inc.	148.55
1962-01-31	USKTBTK	Lucid Motors Inc.	148.02
1962-02-28	USKTBTK	Lucid Motors Inc.	145.01
1962-03-31	USKTBTK	Lucid Motors Inc.	146.66
1962-04-30	USKTBTK	Lucid Motors Inc.	141.81
1962-05-31	USKTBTK	Lucid Motors Inc.	140.3
1962-06-30	USKTBTK	Lucid Motors Inc.	145.78
1962-07-31	USKTBTK	Lucid Motors Inc.	145.36
1962-08-31	USKTBTK	Lucid Motors Inc.	146.04
1962-09-30	USKTBTK	Lucid Motors Inc.	149.2
1962-10-31	USKTBTK	Lucid Motors Inc.	150.73
1962-11-30	USKTBTK	Lucid Motors Inc.	155.31
1962-12-31	USKTBTK	Lucid Motors Inc.	154.87
1963-01-31	USKTBTK	Lucid Motors Inc.	155.68
1963-02-28	USKTBTK	Lucid Motors Inc.	159.88
1963-03-31	USKTBTK	Lucid Motors Inc.	156.75
1963-04-30	USKTBTK	Lucid Motors Inc.	154.27
1963-05-31	USKTBTK	Lucid Motors Inc.	157.81
1963-06-30	USKTBTK	Lucid Motors Inc.	157.24
1963-07-31	USKTBTK	Lucid Motors Inc.	155.23
1963-08-31	USKTBTK	Lucid Motors Inc.	155.81
1963-09-30	USKTBTK	Lucid Motors Inc.	155.25
1963-10-31	USKTBTK	Lucid Motors Inc.	150.99
1963-11-30	USKTBTK	Lucid Motors Inc.	155.28
1963-12-31	USKTBTK	Lucid Motors Inc.	159.99
1964-01-31	USKTBTK	Lucid Motors Inc.	162.94
1964-02-29	USKTBTK	Lucid Motors Inc.	159.01
1964-03-31	USKTBTK	Lucid Motors Inc.	157.73
1964-04-30	USKTBTK	Lucid Motors Inc.	156.86
1964-05-31	USKTBTK	Lucid Motors Inc.	158.9
1964-06-30	USKTBTK	Lucid Motors Inc.	164.84
1964-07-31	USKTBTK	Lucid Motors Inc.	162.43
1964-08-31	USKTBTK	Lucid Motors Inc.	171.1
1964-09-30	USKTBTK	Lucid Motors Inc.	171.04
1964-10-31	USKTBTK	Lucid Motors Inc.	171.16
1964-11-30	USKTBTK	Lucid Motors Inc.	169.36
1964-12-31	USKTBTK	Lucid Motors Inc.	170.56
1965-01-31	USKTBTK	Lucid Motors Inc.	174.18
1965-02-28	USKTBTK	Lucid Motors Inc.	174.58
