Date	Company Code	Company Name	Stock Price
1959-01-31	USBZG82	Lululemon Athletica Inc.	93.9
1959-02-28	USBZG82	Lululemon Athletica Inc.	103.5
1959-03-31	USBZG82	Lululemon Athletica Inc.	102.93
1959-04-30	USBZG82	Lululemon Athletica Inc.	106.13
1959-05-31	USBZG82	Lululemon Athletica Inc.	111.11
1959-06-30	USBZG82	Lululemon Athletica Inc.	108.18
1959-07-31	USBZG82	Lululemon Athletica Inc.	100.38
1959-08-31	USBZG82	Lululemon Athletica Inc.	93.04
1959-09-30	USBZG82	Lululemon Athletica Inc.	94.26
1959-10-31	USBZG82	Lululemon Athletica Inc.	96.6
1959-11-30	USBZG82	Lululemon Athletica Inc.	93.61
1959-12-31	USBZG82	Lululemon Athletica Inc.	92.5
1960-01-31	USBZG82	Lululemon Athletica Inc.	92.29
1960-02-29	USBZG82	Lululemon Athletica Inc.	91.95
1960-03-31	USBZG82	Lululemon Athletica Inc.	90.07
1960-04-30	USBZG82	Lululemon Athletica Inc.	91.98
1960-05-31	USBZG82	Lululemon Athletica Inc.	83.92
1960-06-30	USBZG82	Lululemon Athletica Inc.	86.3
1960-07-31	USBZG82	Lululemon Athletica Inc.	84.38
1960-08-31	USBZG82	Lululemon Athletica Inc.	80.21
1960-09-30	USBZG82	Lululemon Athletica Inc.	80.81
1960-10-31	USBZG82	Lululemon Athletica Inc.	83.89
1960-11-30	USBZG82	Lululemon Athletica Inc.	81.42
1960-12-31	USBZG82	Lululemon Athletica Inc.	87.54
1961-01-31	USBZG82	Lululemon Athletica Inc.	87.96
1961-02-28	USBZG82	Lululemon Athletica Inc.	85.6
1961-03-31	USBZG82	Lululemon Athletica Inc.	83.37
1961-04-30	USBZG82	Lululemon Athletica Inc.	82.59
1961-05-31	USBZG82	Lululemon Athletica Inc.	89.43
1961-06-30	USBZG82	Lululemon Athletica Inc.	87.29
1961-07-31	USBZG82	Lululemon Athletica Inc.	83.3
1961-08-31	USBZG82	Lululemon Athletica Inc.	78.81
1961-09-30	USBZG82	Lululemon Athletica Inc.	80.29
1961-10-31	USBZG82	Lululemon Athletica Inc.	83.68
1961-11-30	USBZG82	Lululemon Athletica Inc.	85.65
1961-12-31	USBZG82	Lululemon Athletica Inc.	88.62
1962-01-31	USBZG82	Lululemon Athletica Inc.	82.94
1962-02-28	USBZG82	Lululemon Athletica Inc.	83.82
1962-03-31	USBZG82	Lululemon Athletica Inc.	75.35
1962-04-30	USBZG82	Lululemon Athletica Inc.	74.93
1962-05-31	USBZG82	Lululemon Athletica Inc.	79.76
1962-06-30	USBZG82	Lululemon Athletica Inc.	81.85
1962-07-31	USBZG82	Lululemon Athletica Inc.	74.74
1962-08-31	USBZG82	Lululemon Athletica Inc.	74.72
1962-09-30	USBZG82	Lululemon Athletica Inc.	67.39
1962-10-31	USBZG82	Lululemon Athletica Inc.	62.38704324644345
1962-11-30	USBZG82	Lululemon Athletica Inc.	66.28
1962-12-31	USBZG82	Lululemon Athletica Inc.	69.07
1963-01-31	USBZG82	Lululemon Athletica Inc.	67.57
1963-02-28	USBZG82	Lululemon Athletica Inc.	66.12
1963-03-31	USBZG82	Lululemon Athletica Inc.	65.01
1963-04-30	USBZG82	Lululemon Athletica Inc.	61.44
1963-05-31	USBZG82	Lululemon Athletica Inc.	62.78
1963-06-30	USBZG82	Lululemon Athletica Inc.	69.86
1963-07-31	USBZG82	Lululemon Athletica Inc.	69.62
1963-08-31	USBZG82	Lululemon Athletica Inc.	69.16
1963-09-30	USBZG82	Lululemon Athletica Inc.	67.47
1963-10-31	USBZG82	Lululemon Athletica Inc.	60.59
1963-11-30	USBZG82	Lululemon Athletica Inc.	65.88
1963-12-31	USBZG82	Lululemon Athletica Inc.	67.13
1964-01-31	USBZG82	Lululemon Athletica Inc.	64.08
1964-02-29	USBZG82	Lululemon Athletica Inc.	61.06448207918498
1964-03-31	USBZG82	Lululemon Athletica Inc.	67.93
1964-04-30	USBZG82	Lululemon Athletica Inc.	67.95
1964-05-31	USBZG82	Lululemon Athletica Inc.	70.63
1964-06-30	USBZG82	Lululemon Athletica Inc.	74.95
1964-07-31	USBZG82	Lululemon Athletica Inc.	76.86
1964-08-31	USBZG82	Lululemon Athletica Inc.	76.23
1964-09-30	USBZG82	Lululemon Athletica Inc.	73.88
1964-10-31	USBZG82	Lululemon Athletica Inc.	72.81
1964-11-30	USBZG82	Lululemon Athletica Inc.	70.15
1964-12-31	USBZG82	Lululemon Athletica Inc.	72.1
