Date	Company Code	Company Name	Stock Price
1959-01-31	USJMGZ8	Macy’s Inc.	118.87
1959-02-28	USJMGZ8	Macy’s Inc.	123.73
1959-03-31	USJMGZ8	Macy’s Inc.	127.52
1959-04-30	USJMGZ8	Macy’s Inc.	128.53
1959-05-31	USJMGZ8	Macy’s Inc.	127.89
1959-06-30	USJMGZ8	Macy’s Inc.	121.38
1959-07-31	USJMGZ8	Macy’s Inc.	123.87
1959-08-31	USJMGZ8	Macy’s Inc.	120.49
1959-09-30	USJMGZ8	Macy’s Inc.	122.1
1959-10-31	USJMGZ8	Macy’s Inc.	131.28
1959-11-30	USJMGZ8	Macy’s Inc.	127.82
1959-12-31	USJMGZ8	Macy’s Inc.	130.8
1960-01-31	USJMGZ8	Macy’s Inc.	133.53
1960-02-29	USJMGZ8	Macy’s Inc.	133.16
1960-03-31	USJMGZ8	Macy’s Inc.	129.35
1960-04-30	USJMGZ8	Macy’s Inc.	136.92
1960-05-31	USJMGZ8	Macy’s Inc.	132.87
1960-06-30	USJMGZ8	Macy’s Inc.	126.71
1960-07-31	USJMGZ8	Macy’s Inc.	124.82
1960-08-31	USJMGZ8	Macy’s Inc.	128.67
1960-09-30	USJMGZ8	Macy’s Inc.	128.7
1960-10-31	USJMGZ8	Macy’s Inc.	126.1
1960-11-30	USJMGZ8	Macy’s Inc.	123.48
1960-12-31	USJMGZ8	Macy’s Inc.	122.99
1961-01-31	USJMGZ8	Macy’s Inc.	125.48
1961-02-28	USJMGZ8	Macy’s Inc.	125.44
1961-03-31	USJMGZ8	Macy’s Inc.	119.37
1961-04-30	USJMGZ8	Macy’s Inc.	116.85
1961-05-31	USJMGZ8	Macy’s Inc.	108.87
1961-06-30	USJMGZ8	Macy’s Inc.	105.47
1961-07-31	USJMGZ8	Macy’s Inc.	106.47
1961-08-31	USJMGZ8	Macy’s Inc.	104.49
1961-09-30	USJMGZ8	Macy’s Inc.	113.09
1961-10-31	USJMGZ8	Macy’s Inc.	113.28
1961-11-30	USJMGZ8	Macy’s Inc.	118.83
1961-12-31	USJMGZ8	Macy’s Inc.	115.3
1962-01-31	USJMGZ8	Macy’s Inc.	113.26
1962-02-28	USJMGZ8	Macy’s Inc.	109.34
1962-03-31	USJMGZ8	Macy’s Inc.	115.35
1962-04-30	USJMGZ8	Macy’s Inc.	113.63
1962-05-31	USJMGZ8	Macy’s Inc.	110.06
1962-06-30	USJMGZ8	Macy’s Inc.	108.0
1962-07-31	USJMGZ8	Macy’s Inc.	105.53
1962-08-31	USJMGZ8	Macy’s Inc.	107.84
1962-09-30	USJMGZ8	Macy’s Inc.	117.35
1962-10-31	USJMGZ8	Macy’s Inc.	118.98
1962-11-30	USJMGZ8	Macy’s Inc.	118.59
1962-12-31	USJMGZ8	Macy’s Inc.	124.51
1963-01-31	USJMGZ8	Macy’s Inc.	120.99
1963-02-28	USJMGZ8	Macy’s Inc.	119.7
1963-03-31	USJMGZ8	Macy’s Inc.	122.09
1963-04-30	USJMGZ8	Macy’s Inc.	122.95
1963-05-31	USJMGZ8	Macy’s Inc.	122.08
1963-06-30	USJMGZ8	Macy’s Inc.	116.01
1963-07-31	USJMGZ8	Macy’s Inc.	116.31
1963-08-31	USJMGZ8	Macy’s Inc.	118.85
1963-09-30	USJMGZ8	Macy’s Inc.	118.62
1963-10-31	USJMGZ8	Macy’s Inc.	119.48
1963-11-30	USJMGZ8	Macy’s Inc.	123.66
1963-12-31	USJMGZ8	Macy’s Inc.	119.83
1964-01-31	USJMGZ8	Macy’s Inc.	119.49
1964-02-29	USJMGZ8	Macy’s Inc.	119.12
1964-03-31	USJMGZ8	Macy’s Inc.	115.37
1964-04-30	USJMGZ8	Macy’s Inc.	118.04
1964-05-31	USJMGZ8	Macy’s Inc.	118.27
1964-06-30	USJMGZ8	Macy’s Inc.	118.64
1964-07-31	USJMGZ8	Macy’s Inc.	114.81
1964-08-31	USJMGZ8	Macy’s Inc.	111.34
1964-09-30	USJMGZ8	Macy’s Inc.	111.84
1964-10-31	USJMGZ8	Macy’s Inc.	115.49
1964-11-30	USJMGZ8	Macy’s Inc.	114.86
1964-12-31	USJMGZ8	Macy’s Inc.	114.1
1965-01-31	USJMGZ8	Macy’s Inc.	111.25
1965-02-28	USJMGZ8	Macy’s Inc.	107.08
1965-03-31	USJMGZ8	Macy’s Inc.	105.43
1965-04-30	USJMGZ8	Macy’s Inc.	103.79
1965-05-31	USJMGZ8	Macy’s Inc.	102.78
1965-06-30	USJMGZ8	Macy’s Inc.	102.8
1965-07-31	USJMGZ8	Macy’s Inc.	99.83
1965-08-31	USJMGZ8	Macy’s Inc.	99.82
1965-09-30	USJMGZ8	Macy’s Inc.	101.95
1965-10-31	USJMGZ8	Macy’s Inc.	101.47
1965-11-30	USJMGZ8	Macy’s Inc.	101.98
1965-12-31	USJMGZ8	Macy’s Inc.	97.22
1966-01-31	USJMGZ8	Macy’s Inc.	89.92
1966-02-28	USJMGZ8	Macy’s Inc.	87.72
1966-03-31	USJMGZ8	Macy’s Inc.	91.44
1966-04-30	USJMGZ8	Macy’s Inc.	92.64
1966-05-31	USJMGZ8	Macy’s Inc.	95.53
1966-06-30	USJMGZ8	Macy’s Inc.	88.33
1966-07-31	USJMGZ8	Macy’s Inc.	88.23
1966-08-31	USJMGZ8	Macy’s Inc.	94.37
1966-09-30	USJMGZ8	Macy’s Inc.	103.57
1966-10-31	USJMGZ8	Macy’s Inc.	108.96
1966-11-30	USJMGZ8	Macy’s Inc.	109.05
1966-12-31	USJMGZ8	Macy’s Inc.	106.94
1967-01-31	USJMGZ8	Macy’s Inc.	112.36
1967-02-28	USJMGZ8	Macy’s Inc.	116.69
1967-03-31	USJMGZ8	Macy’s Inc.	112.49
1967-04-30	USJMGZ8	Macy’s Inc.	111.38
1967-05-31	USJMGZ8	Macy’s Inc.	118.16
1967-06-30	USJMGZ8	Macy’s Inc.	118.15
1967-07-31	USJMGZ8	Macy’s Inc.	114.09
1967-08-31	USJMGZ8	Macy’s Inc.	117.02
1967-09-30	USJMGZ8	Macy’s Inc.	112.9
1967-10-31	USJMGZ8	Macy’s Inc.	111.7
1967-11-30	USJMGZ8	Macy’s Inc.	107.17
1967-12-31	USJMGZ8	Macy’s Inc.	105.67
1968-01-31	USJMGZ8	Macy’s Inc.	110.18
1968-02-29	USJMGZ8	Macy’s Inc.	106.42
1968-03-31	USJMGZ8	Macy’s Inc.	112.61
1968-04-30	USJMGZ8	Macy’s Inc.	115.08
1968-05-31	USJMGZ8	Macy’s Inc.	115.72
1968-06-30	USJMGZ8	Macy’s Inc.	109.48
1968-07-31	USJMGZ8	Macy’s Inc.	112.49
1968-08-31	USJMGZ8	Macy’s Inc.	110.27
1968-09-30	USJMGZ8	Macy’s Inc.	119.45
1968-10-31	USJMGZ8	Macy’s Inc.	126.53
1968-11-30	USJMGZ8	Macy’s Inc.	132.18
1968-12-31	USJMGZ8	Macy’s Inc.	132.0
1969-01-31	USJMGZ8	Macy’s Inc.	136.74
