Date	Company Code	Company Name	Stock Price
1959-01-31	US5883L	Marshalls	96.35
1959-02-28	US5883L	Marshalls	97.65
1959-03-31	US5883L	Marshalls	100.72
1959-04-30	US5883L	Marshalls	96.15
1959-05-31	US5883L	Marshalls	98.9
1959-06-30	US5883L	Marshalls	96.28
1959-07-31	US5883L	Marshalls	98.79
1959-08-31	US5883L	Marshalls	91.47
1959-09-30	US5883L	Marshalls	92.28
1959-10-31	US5883L	Marshalls	92.32
1959-11-30	US5883L	Marshalls	96.33
1959-12-31	US5883L	Marshalls	103.98
1960-01-31	US5883L	Marshalls	104.68
1960-02-29	US5883L	Marshalls	96.07
1960-03-31	US5883L	Marshalls	92.84
1960-04-30	US5883L	Marshalls	92.85
1960-05-31	US5883L	Marshalls	89.92
1960-06-30	US5883L	Marshalls	93.54
1960-07-31	US5883L	Marshalls	92.53
1960-08-31	US5883L	Marshalls	93.24
1960-09-30	US5883L	Marshalls	94.51
1960-10-31	US5883L	Marshalls	93.35
1960-11-30	US5883L	Marshalls	93.83
1960-12-31	US5883L	Marshalls	89.13
1961-01-31	US5883L	Marshalls	89.29
1961-02-28	US5883L	Marshalls	89.92
1961-03-31	US5883L	Marshalls	89.81
1961-04-30	US5883L	Marshalls	90.05
1961-05-31	US5883L	Marshalls	86.67
1961-06-30	US5883L	Marshalls	81.07
1961-07-31	US5883L	Marshalls	81.58
1961-08-31	US5883L	Marshalls	87.11
1961-09-30	US5883L	Marshalls	82.92
1961-10-31	US5883L	Marshalls	80.89
1961-11-30	US5883L	Marshalls	73.37
1961-12-31	US5883L	Marshalls	69.58
1962-01-31	US5883L	Marshalls	71.79
1962-02-28	US5883L	Marshalls	71.28
1962-03-31	US5883L	Marshalls	67.83
1962-04-30	US5883L	Marshalls	69.63
1962-05-31	US5883L	Marshalls	67.48
1962-06-30	US5883L	Marshalls	62.67
1962-07-31	US5883L	Marshalls	61.47261683047893
1962-08-31	US5883L	Marshalls	64.67
1962-09-30	US5883L	Marshalls	68.74
1962-10-31	US5883L	Marshalls	67.36
1962-11-30	US5883L	Marshalls	65.49
1962-12-31	US5883L	Marshalls	66.25
1963-01-31	US5883L	Marshalls	69.88
1963-02-28	US5883L	Marshalls	72.87
1963-03-31	US5883L	Marshalls	67.08
1963-04-30	US5883L	Marshalls	71.68
1963-05-31	US5883L	Marshalls	71.28
