Date	Company Code	Company Name	Stock Price
1959-01-31	USI2B59	Mastercard Inc.	113.29
1959-02-28	USI2B59	Mastercard Inc.	111.28
1959-03-31	USI2B59	Mastercard Inc.	109.6
1959-04-30	USI2B59	Mastercard Inc.	105.08
1959-05-31	USI2B59	Mastercard Inc.	106.85
1959-06-30	USI2B59	Mastercard Inc.	101.18
1959-07-31	USI2B59	Mastercard Inc.	101.62
1959-08-31	USI2B59	Mastercard Inc.	94.59
1959-09-30	USI2B59	Mastercard Inc.	94.44
1959-10-31	USI2B59	Mastercard Inc.	87.99
1959-11-30	USI2B59	Mastercard Inc.	90.5
1959-12-31	USI2B59	Mastercard Inc.	99.51
1960-01-31	USI2B59	Mastercard Inc.	93.94
1960-02-29	USI2B59	Mastercard Inc.	99.4
1960-03-31	USI2B59	Mastercard Inc.	102.23
1960-04-30	USI2B59	Mastercard Inc.	110.43
1960-05-31	USI2B59	Mastercard Inc.	110.08
1960-06-30	USI2B59	Mastercard Inc.	108.21
1960-07-31	USI2B59	Mastercard Inc.	108.9
1960-08-31	USI2B59	Mastercard Inc.	105.16
1960-09-30	USI2B59	Mastercard Inc.	114.93
1960-10-31	USI2B59	Mastercard Inc.	106.63
1960-11-30	USI2B59	Mastercard Inc.	110.66
1960-12-31	USI2B59	Mastercard Inc.	110.39
1961-01-31	USI2B59	Mastercard Inc.	113.06
1961-02-28	USI2B59	Mastercard Inc.	114.33
1961-03-31	USI2B59	Mastercard Inc.	121.59
1961-04-30	USI2B59	Mastercard Inc.	115.85
1961-05-31	USI2B59	Mastercard Inc.	113.12
1961-06-30	USI2B59	Mastercard Inc.	118.43
1961-07-31	USI2B59	Mastercard Inc.	121.97
1961-08-31	USI2B59	Mastercard Inc.	127.71
1961-09-30	USI2B59	Mastercard Inc.	121.14
1961-10-31	USI2B59	Mastercard Inc.	119.05
1961-11-30	USI2B59	Mastercard Inc.	125.91
1961-12-31	USI2B59	Mastercard Inc.	123.43
1962-01-31	USI2B59	Mastercard Inc.	122.75
1962-02-28	USI2B59	Mastercard Inc.	122.61
1962-03-31	USI2B59	Mastercard Inc.	120.33
1962-04-30	USI2B59	Mastercard Inc.	120.58
1962-05-31	USI2B59	Mastercard Inc.	113.65
1962-06-30	USI2B59	Mastercard Inc.	108.97
1962-07-31	USI2B59	Mastercard Inc.	104.67
1962-08-31	USI2B59	Mastercard Inc.	108.6
1962-09-30	USI2B59	Mastercard Inc.	105.38
1962-10-31	USI2B59	Mastercard Inc.	106.53
1962-11-30	USI2B59	Mastercard Inc.	105.17
1962-12-31	USI2B59	Mastercard Inc.	106.16
1963-01-31	USI2B59	Mastercard Inc.	104.03
1963-02-28	USI2B59	Mastercard Inc.	102.7
1963-03-31	USI2B59	Mastercard Inc.	99.38
1963-04-30	USI2B59	Mastercard Inc.	98.19
1963-05-31	USI2B59	Mastercard Inc.	96.24
1963-06-30	USI2B59	Mastercard Inc.	97.66
1963-07-31	USI2B59	Mastercard Inc.	96.12
1963-08-31	USI2B59	Mastercard Inc.	92.41
1963-09-30	USI2B59	Mastercard Inc.	94.65
1963-10-31	USI2B59	Mastercard Inc.	95.42
1963-11-30	USI2B59	Mastercard Inc.	92.49
1963-12-31	USI2B59	Mastercard Inc.	87.74
1964-01-31	USI2B59	Mastercard Inc.	81.42
1964-02-29	USI2B59	Mastercard Inc.	85.25
1964-03-31	USI2B59	Mastercard Inc.	83.73
1964-04-30	USI2B59	Mastercard Inc.	86.62
1964-05-31	USI2B59	Mastercard Inc.	87.85
1964-06-30	USI2B59	Mastercard Inc.	81.29
1964-07-31	USI2B59	Mastercard Inc.	78.69
1964-08-31	USI2B59	Mastercard Inc.	76.32
1964-09-30	USI2B59	Mastercard Inc.	74.14
1964-10-31	USI2B59	Mastercard Inc.	72.15
1964-11-30	USI2B59	Mastercard Inc.	72.21
1964-12-31	USI2B59	Mastercard Inc.	74.01
1965-01-31	USI2B59	Mastercard Inc.	73.36
1965-02-28	USI2B59	Mastercard Inc.	79.0
1965-03-31	USI2B59	Mastercard Inc.	78.51
1965-04-30	USI2B59	Mastercard Inc.	80.79
1965-05-31	USI2B59	Mastercard Inc.	88.77
1965-06-30	USI2B59	Mastercard Inc.	89.9
1965-07-31	USI2B59	Mastercard Inc.	89.3
1965-08-31	USI2B59	Mastercard Inc.	89.0
1965-09-30	USI2B59	Mastercard Inc.	93.85
1965-10-31	USI2B59	Mastercard Inc.	93.57
1965-11-30	USI2B59	Mastercard Inc.	92.65
1965-12-31	USI2B59	Mastercard Inc.	89.18
1966-01-31	USI2B59	Mastercard Inc.	91.19
1966-02-28	USI2B59	Mastercard Inc.	90.89
1966-03-31	USI2B59	Mastercard Inc.	91.31
1966-04-30	USI2B59	Mastercard Inc.	92.62
1966-05-31	USI2B59	Mastercard Inc.	94.43
1966-06-30	USI2B59	Mastercard Inc.	98.46
1966-07-31	USI2B59	Mastercard Inc.	97.17
1966-08-31	USI2B59	Mastercard Inc.	96.93
1966-09-30	USI2B59	Mastercard Inc.	103.04
1966-10-31	USI2B59	Mastercard Inc.	102.3
1966-11-30	USI2B59	Mastercard Inc.	102.97
1966-12-31	USI2B59	Mastercard Inc.	100.57
1967-01-31	USI2B59	Mastercard Inc.	93.84
1967-02-28	USI2B59	Mastercard Inc.	96.81
1967-03-31	USI2B59	Mastercard Inc.	89.4
1967-04-30	USI2B59	Mastercard Inc.	96.31
1967-05-31	USI2B59	Mastercard Inc.	99.5
1967-06-30	USI2B59	Mastercard Inc.	102.17
1967-07-31	USI2B59	Mastercard Inc.	101.8
1967-08-31	USI2B59	Mastercard Inc.	100.74
1967-09-30	USI2B59	Mastercard Inc.	104.3
