Date	Company Code	Company Name	Stock Price
1959-01-31	US0HQVD	Mercari	102.81
1959-02-28	US0HQVD	Mercari	102.14
1959-03-31	US0HQVD	Mercari	102.84
1959-04-30	US0HQVD	Mercari	95.09
1959-05-31	US0HQVD	Mercari	92.86
1959-06-30	US0HQVD	Mercari	95.53
1959-07-31	US0HQVD	Mercari	101.55
1959-08-31	US0HQVD	Mercari	104.86
1959-09-30	US0HQVD	Mercari	105.25
1959-10-31	US0HQVD	Mercari	104.6
1959-11-30	US0HQVD	Mercari	104.58
1959-12-31	US0HQVD	Mercari	99.2
1960-01-31	US0HQVD	Mercari	98.45
1960-02-29	US0HQVD	Mercari	97.1
1960-03-31	US0HQVD	Mercari	89.82
1960-04-30	US0HQVD	Mercari	90.93
1960-05-31	US0HQVD	Mercari	95.59
1960-06-30	US0HQVD	Mercari	91.3
1960-07-31	US0HQVD	Mercari	88.97
1960-08-31	US0HQVD	Mercari	91.46
1960-09-30	US0HQVD	Mercari	93.28
1960-10-31	US0HQVD	Mercari	92.77
1960-11-30	US0HQVD	Mercari	101.9
1960-12-31	US0HQVD	Mercari	106.33
1961-01-31	US0HQVD	Mercari	105.3
1961-02-28	US0HQVD	Mercari	111.92
1961-03-31	US0HQVD	Mercari	112.29
1961-04-30	US0HQVD	Mercari	112.58
1961-05-31	US0HQVD	Mercari	113.18
1961-06-30	US0HQVD	Mercari	110.32
1961-07-31	US0HQVD	Mercari	118.41
1961-08-31	US0HQVD	Mercari	115.65
1961-09-30	US0HQVD	Mercari	115.43
1961-10-31	US0HQVD	Mercari	111.56
1961-11-30	US0HQVD	Mercari	117.62
1961-12-31	US0HQVD	Mercari	118.86
1962-01-31	US0HQVD	Mercari	119.63
1962-02-28	US0HQVD	Mercari	121.24
1962-03-31	US0HQVD	Mercari	124.83
1962-04-30	US0HQVD	Mercari	124.81
1962-05-31	US0HQVD	Mercari	118.94
1962-06-30	US0HQVD	Mercari	119.2
1962-07-31	US0HQVD	Mercari	119.52
1962-08-31	US0HQVD	Mercari	116.4
1962-09-30	US0HQVD	Mercari	114.36
1962-10-31	US0HQVD	Mercari	112.73
1962-11-30	US0HQVD	Mercari	118.9
1962-12-31	US0HQVD	Mercari	119.01
1963-01-31	US0HQVD	Mercari	124.18
1963-02-28	US0HQVD	Mercari	122.41
1963-03-31	US0HQVD	Mercari	126.71
1963-04-30	US0HQVD	Mercari	126.15
1963-05-31	US0HQVD	Mercari	133.5
1963-06-30	US0HQVD	Mercari	134.89
1963-07-31	US0HQVD	Mercari	129.84
1963-08-31	US0HQVD	Mercari	122.47
1963-09-30	US0HQVD	Mercari	122.32
1963-10-31	US0HQVD	Mercari	125.68
1963-11-30	US0HQVD	Mercari	123.56
1963-12-31	US0HQVD	Mercari	119.39
1964-01-31	US0HQVD	Mercari	121.99
1964-02-29	US0HQVD	Mercari	114.95
1964-03-31	US0HQVD	Mercari	115.32
1964-04-30	US0HQVD	Mercari	120.31
1964-05-31	US0HQVD	Mercari	124.01
1964-06-30	US0HQVD	Mercari	115.26
1964-07-31	US0HQVD	Mercari	114.43
1964-08-31	US0HQVD	Mercari	116.44
1964-09-30	US0HQVD	Mercari	112.42
1964-10-31	US0HQVD	Mercari	109.3
1964-11-30	US0HQVD	Mercari	109.86
1964-12-31	US0HQVD	Mercari	114.95
1965-01-31	US0HQVD	Mercari	116.23
1965-02-28	US0HQVD	Mercari	109.61
1965-03-31	US0HQVD	Mercari	111.47
1965-04-30	US0HQVD	Mercari	115.27
1965-05-31	US0HQVD	Mercari	114.39
1965-06-30	US0HQVD	Mercari	111.78
1965-07-31	US0HQVD	Mercari	107.6
1965-08-31	US0HQVD	Mercari	102.38
1965-09-30	US0HQVD	Mercari	97.15
1965-10-31	US0HQVD	Mercari	92.54
1965-11-30	US0HQVD	Mercari	91.67
1965-12-31	US0HQVD	Mercari	91.52
1966-01-31	US0HQVD	Mercari	92.39
1966-02-28	US0HQVD	Mercari	98.67
1966-03-31	US0HQVD	Mercari	94.28
1966-04-30	US0HQVD	Mercari	94.68
1966-05-31	US0HQVD	Mercari	88.2
1966-06-30	US0HQVD	Mercari	86.84
1966-07-31	US0HQVD	Mercari	82.73
1966-08-31	US0HQVD	Mercari	81.84
1966-09-30	US0HQVD	Mercari	84.32
1966-10-31	US0HQVD	Mercari	87.33
1966-11-30	US0HQVD	Mercari	90.96
1966-12-31	US0HQVD	Mercari	90.84
1967-01-31	US0HQVD	Mercari	98.24
1967-02-28	US0HQVD	Mercari	107.34
1967-03-31	US0HQVD	Mercari	105.65
1967-04-30	US0HQVD	Mercari	105.36
1967-05-31	US0HQVD	Mercari	107.05
1967-06-30	US0HQVD	Mercari	109.26
1967-07-31	US0HQVD	Mercari	111.45
1967-08-31	US0HQVD	Mercari	117.38
1967-09-30	US0HQVD	Mercari	120.94
1967-10-31	US0HQVD	Mercari	114.2
1967-11-30	US0HQVD	Mercari	113.92
1967-12-31	US0HQVD	Mercari	119.38
1968-01-31	US0HQVD	Mercari	118.29
1968-02-29	US0HQVD	Mercari	112.37
1968-03-31	US0HQVD	Mercari	116.24
1968-04-30	US0HQVD	Mercari	117.14
1968-05-31	US0HQVD	Mercari	117.75
1968-06-30	US0HQVD	Mercari	122.43
1968-07-31	US0HQVD	Mercari	120.48
1968-08-31	US0HQVD	Mercari	114.22
1968-09-30	US0HQVD	Mercari	116.53
1968-10-31	US0HQVD	Mercari	114.77
1968-11-30	US0HQVD	Mercari	113.32
1968-12-31	US0HQVD	Mercari	120.08
1969-01-31	US0HQVD	Mercari	121.02
1969-02-28	US0HQVD	Mercari	114.8
1969-03-31	US0HQVD	Mercari	121.76
1969-04-30	US0HQVD	Mercari	120.73
1969-05-31	US0HQVD	Mercari	118.33
1969-06-30	US0HQVD	Mercari	121.51
1969-07-31	US0HQVD	Mercari	115.39
1969-08-31	US0HQVD	Mercari	117.88
1969-09-30	US0HQVD	Mercari	110.8
1969-10-31	US0HQVD	Mercari	112.28
1969-11-30	US0HQVD	Mercari	113.68
1969-12-31	US0HQVD	Mercari	115.71
1970-01-31	US0HQVD	Mercari	111.66
1970-02-28	US0HQVD	Mercari	110.93
1970-03-31	US0HQVD	Mercari	105.36
1970-04-30	US0HQVD	Mercari	113.4
1970-05-31	US0HQVD	Mercari	107.85
1970-06-30	US0HQVD	Mercari	103.65
1970-07-31	US0HQVD	Mercari	96.51
1970-08-31	US0HQVD	Mercari	96.59
1970-09-30	US0HQVD	Mercari	100.7
1970-10-31	US0HQVD	Mercari	104.48
1970-11-30	US0HQVD	Mercari	105.46
1970-12-31	US0HQVD	Mercari	109.68
1971-01-31	US0HQVD	Mercari	107.94
1971-02-28	US0HQVD	Mercari	109.68
1971-03-31	US0HQVD	Mercari	108.72
1971-04-30	US0HQVD	Mercari	104.92
1971-05-31	US0HQVD	Mercari	105.02
1971-06-30	US0HQVD	Mercari	109.49
1971-07-31	US0HQVD	Mercari	113.66
1971-08-31	US0HQVD	Mercari	104.27
1971-09-30	US0HQVD	Mercari	109.11
1971-10-31	US0HQVD	Mercari	115.08
1971-11-30	US0HQVD	Mercari	113.64
1971-12-31	US0HQVD	Mercari	107.2
1972-01-31	US0HQVD	Mercari	108.55
1972-02-29	US0HQVD	Mercari	108.68
1972-03-31	US0HQVD	Mercari	106.8
1972-04-30	US0HQVD	Mercari	104.8
1972-05-31	US0HQVD	Mercari	111.68
1972-06-30	US0HQVD	Mercari	112.09
1972-07-31	US0HQVD	Mercari	112.04
1972-08-31	US0HQVD	Mercari	108.77
1972-09-30	US0HQVD	Mercari	106.62
1972-10-31	US0HQVD	Mercari	101.88
1972-11-30	US0HQVD	Mercari	101.46
1972-12-31	US0HQVD	Mercari	109.1
1973-01-31	US0HQVD	Mercari	109.2
1973-02-28	US0HQVD	Mercari	111.19
1973-03-31	US0HQVD	Mercari	105.79
1973-04-30	US0HQVD	Mercari	101.51
1973-05-31	US0HQVD	Mercari	98.14
1973-06-30	US0HQVD	Mercari	99.93
1973-07-31	US0HQVD	Mercari	97.64
1973-08-31	US0HQVD	Mercari	92.54
1973-09-30	US0HQVD	Mercari	96.1
1973-10-31	US0HQVD	Mercari	98.29
1973-11-30	US0HQVD	Mercari	99.87
1973-12-31	US0HQVD	Mercari	96.6
1974-01-31	US0HQVD	Mercari	98.17
1974-02-28	US0HQVD	Mercari	94.67
1974-03-31	US0HQVD	Mercari	91.66
1974-04-30	US0HQVD	Mercari	88.42
1974-05-31	US0HQVD	Mercari	84.76
1974-06-30	US0HQVD	Mercari	83.3
1974-07-31	US0HQVD	Mercari	83.89
1974-08-31	US0HQVD	Mercari	83.93
1974-09-30	US0HQVD	Mercari	83.44
1974-10-31	US0HQVD	Mercari	82.78
1974-11-30	US0HQVD	Mercari	85.72
1974-12-31	US0HQVD	Mercari	89.76
1975-01-31	US0HQVD	Mercari	86.64
1975-02-28	US0HQVD	Mercari	82.39
1975-03-31	US0HQVD	Mercari	87.89
1975-04-30	US0HQVD	Mercari	80.47
1975-05-31	US0HQVD	Mercari	76.31
1975-06-30	US0HQVD	Mercari	71.48
1975-07-31	US0HQVD	Mercari	69.73
1975-08-31	US0HQVD	Mercari	71.27
1975-09-30	US0HQVD	Mercari	73.44
1975-10-31	US0HQVD	Mercari	74.19
1975-11-30	US0HQVD	Mercari	72.85
1975-12-31	US0HQVD	Mercari	74.81
1976-01-31	US0HQVD	Mercari	72.38
1976-02-29	US0HQVD	Mercari	73.59
1976-03-31	US0HQVD	Mercari	76.97
1976-04-30	US0HQVD	Mercari	77.09
1976-05-31	US0HQVD	Mercari	75.55
1976-06-30	US0HQVD	Mercari	72.81
1976-07-31	US0HQVD	Mercari	70.35
1976-08-31	US0HQVD	Mercari	70.33
1976-09-30	US0HQVD	Mercari	74.38
1976-10-31	US0HQVD	Mercari	76.79
1976-11-30	US0HQVD	Mercari	69.8
1976-12-31	US0HQVD	Mercari	72.49
1977-01-31	US0HQVD	Mercari	78.75
1977-02-28	US0HQVD	Mercari	81.85
1977-03-31	US0HQVD	Mercari	81.79
1977-04-30	US0HQVD	Mercari	73.37
1977-05-31	US0HQVD	Mercari	74.2
1977-06-30	US0HQVD	Mercari	72.52
1977-07-31	US0HQVD	Mercari	75.29
1977-08-31	US0HQVD	Mercari	80.36
1977-09-30	US0HQVD	Mercari	85.14
1977-10-31	US0HQVD	Mercari	90.55
1977-11-30	US0HQVD	Mercari	96.57
1977-12-31	US0HQVD	Mercari	95.92
1978-01-31	US0HQVD	Mercari	94.12
