Date	Company Code	Company Name	Stock Price
1959-01-31	USBS61G	Metro Inc.	120.27
1959-02-28	USBS61G	Metro Inc.	117.45
1959-03-31	USBS61G	Metro Inc.	116.32
1959-04-30	USBS61G	Metro Inc.	114.05
1959-05-31	USBS61G	Metro Inc.	118.1
1959-06-30	USBS61G	Metro Inc.	124.95
1959-07-31	USBS61G	Metro Inc.	119.45
1959-08-31	USBS61G	Metro Inc.	115.42
1959-09-30	USBS61G	Metro Inc.	117.54
1959-10-31	USBS61G	Metro Inc.	112.02
1959-11-30	USBS61G	Metro Inc.	109.71
1959-12-31	USBS61G	Metro Inc.	107.84
1960-01-31	USBS61G	Metro Inc.	112.52
1960-02-29	USBS61G	Metro Inc.	108.23
1960-03-31	USBS61G	Metro Inc.	112.79
1960-04-30	USBS61G	Metro Inc.	118.04
1960-05-31	USBS61G	Metro Inc.	121.69
1960-06-30	USBS61G	Metro Inc.	125.31
1960-07-31	USBS61G	Metro Inc.	130.89
1960-08-31	USBS61G	Metro Inc.	135.02
1960-09-30	USBS61G	Metro Inc.	137.71
1960-10-31	USBS61G	Metro Inc.	138.57
1960-11-30	USBS61G	Metro Inc.	138.99
1960-12-31	USBS61G	Metro Inc.	136.61
1961-01-31	USBS61G	Metro Inc.	137.62
1961-02-28	USBS61G	Metro Inc.	142.92
1961-03-31	USBS61G	Metro Inc.	148.95
1961-04-30	USBS61G	Metro Inc.	151.08
1961-05-31	USBS61G	Metro Inc.	148.84
1961-06-30	USBS61G	Metro Inc.	146.32
1961-07-31	USBS61G	Metro Inc.	139.11
1961-08-31	USBS61G	Metro Inc.	139.73
1961-09-30	USBS61G	Metro Inc.	144.2
1961-10-31	USBS61G	Metro Inc.	144.56
1961-11-30	USBS61G	Metro Inc.	142.35
1961-12-31	USBS61G	Metro Inc.	139.32
1962-01-31	USBS61G	Metro Inc.	135.54
1962-02-28	USBS61G	Metro Inc.	130.18
1962-03-31	USBS61G	Metro Inc.	131.65
1962-04-30	USBS61G	Metro Inc.	124.36
1962-05-31	USBS61G	Metro Inc.	127.6
1962-06-30	USBS61G	Metro Inc.	128.76
1962-07-31	USBS61G	Metro Inc.	125.07
1962-08-31	USBS61G	Metro Inc.	124.53
1962-09-30	USBS61G	Metro Inc.	123.33
1962-10-31	USBS61G	Metro Inc.	124.61
1962-11-30	USBS61G	Metro Inc.	117.62
1962-12-31	USBS61G	Metro Inc.	119.85
1963-01-31	USBS61G	Metro Inc.	121.83
1963-02-28	USBS61G	Metro Inc.	122.91
1963-03-31	USBS61G	Metro Inc.	125.27
1963-04-30	USBS61G	Metro Inc.	125.41
1963-05-31	USBS61G	Metro Inc.	126.35
1963-06-30	USBS61G	Metro Inc.	124.33
1963-07-31	USBS61G	Metro Inc.	123.39
1963-08-31	USBS61G	Metro Inc.	115.77
1963-09-30	USBS61G	Metro Inc.	117.72
1963-10-31	USBS61G	Metro Inc.	113.12
1963-11-30	USBS61G	Metro Inc.	108.55
1963-12-31	USBS61G	Metro Inc.	108.91
1964-01-31	USBS61G	Metro Inc.	110.33
1964-02-29	USBS61G	Metro Inc.	112.42
1964-03-31	USBS61G	Metro Inc.	104.95
1964-04-30	USBS61G	Metro Inc.	104.73
1964-05-31	USBS61G	Metro Inc.	101.74
1964-06-30	USBS61G	Metro Inc.	95.17
1964-07-31	USBS61G	Metro Inc.	100.46
1964-08-31	USBS61G	Metro Inc.	108.09
1964-09-30	USBS61G	Metro Inc.	111.72
1964-10-31	USBS61G	Metro Inc.	102.79
1964-11-30	USBS61G	Metro Inc.	103.19
1964-12-31	USBS61G	Metro Inc.	105.95
1965-01-31	USBS61G	Metro Inc.	106.02
1965-02-28	USBS61G	Metro Inc.	107.14
1965-03-31	USBS61G	Metro Inc.	111.93
1965-04-30	USBS61G	Metro Inc.	116.65
1965-05-31	USBS61G	Metro Inc.	116.12
1965-06-30	USBS61G	Metro Inc.	120.07
1965-07-31	USBS61G	Metro Inc.	117.36
1965-08-31	USBS61G	Metro Inc.	120.73
1965-09-30	USBS61G	Metro Inc.	119.53
1965-10-31	USBS61G	Metro Inc.	116.89
1965-11-30	USBS61G	Metro Inc.	109.65
1965-12-31	USBS61G	Metro Inc.	111.47
1966-01-31	USBS61G	Metro Inc.	116.58
1966-02-28	USBS61G	Metro Inc.	116.36
1966-03-31	USBS61G	Metro Inc.	123.07
1966-04-30	USBS61G	Metro Inc.	123.41
1966-05-31	USBS61G	Metro Inc.	128.0
1966-06-30	USBS61G	Metro Inc.	129.51
1966-07-31	USBS61G	Metro Inc.	135.18
1966-08-31	USBS61G	Metro Inc.	135.86
