Date	Company Code	Company Name	Stock Price
1959-01-31	USA2HPL	Microsoft Corp.	120.98
1959-02-28	USA2HPL	Microsoft Corp.	123.1
1959-03-31	USA2HPL	Microsoft Corp.	117.54
1959-04-30	USA2HPL	Microsoft Corp.	115.97
1959-05-31	USA2HPL	Microsoft Corp.	118.51
1959-06-30	USA2HPL	Microsoft Corp.	119.02
1959-07-31	USA2HPL	Microsoft Corp.	123.8
1959-08-31	USA2HPL	Microsoft Corp.	121.36
1959-09-30	USA2HPL	Microsoft Corp.	118.57
1959-10-31	USA2HPL	Microsoft Corp.	121.18
1959-11-30	USA2HPL	Microsoft Corp.	118.53
1959-12-31	USA2HPL	Microsoft Corp.	115.5
1960-01-31	USA2HPL	Microsoft Corp.	120.08
1960-02-29	USA2HPL	Microsoft Corp.	118.3
1960-03-31	USA2HPL	Microsoft Corp.	117.15
1960-04-30	USA2HPL	Microsoft Corp.	119.18
1960-05-31	USA2HPL	Microsoft Corp.	113.29
1960-06-30	USA2HPL	Microsoft Corp.	115.78
1960-07-31	USA2HPL	Microsoft Corp.	111.62
1960-08-31	USA2HPL	Microsoft Corp.	109.81
1960-09-30	USA2HPL	Microsoft Corp.	111.01
1960-10-31	USA2HPL	Microsoft Corp.	109.39
1960-11-30	USA2HPL	Microsoft Corp.	112.38
1960-12-31	USA2HPL	Microsoft Corp.	111.58
1961-01-31	USA2HPL	Microsoft Corp.	109.87
1961-02-28	USA2HPL	Microsoft Corp.	107.2
1961-03-31	USA2HPL	Microsoft Corp.	106.84
1961-04-30	USA2HPL	Microsoft Corp.	97.6
1961-05-31	USA2HPL	Microsoft Corp.	95.03
1961-06-30	USA2HPL	Microsoft Corp.	91.86
1961-07-31	USA2HPL	Microsoft Corp.	98.39
1961-08-31	USA2HPL	Microsoft Corp.	97.55
1961-09-30	USA2HPL	Microsoft Corp.	98.35
1961-10-31	USA2HPL	Microsoft Corp.	100.52
1961-11-30	USA2HPL	Microsoft Corp.	102.96
1961-12-31	USA2HPL	Microsoft Corp.	100.84
1962-01-31	USA2HPL	Microsoft Corp.	106.27
1962-02-28	USA2HPL	Microsoft Corp.	105.77
1962-03-31	USA2HPL	Microsoft Corp.	106.45
1962-04-30	USA2HPL	Microsoft Corp.	100.3
1962-05-31	USA2HPL	Microsoft Corp.	103.17
1962-06-30	USA2HPL	Microsoft Corp.	102.36
1962-07-31	USA2HPL	Microsoft Corp.	97.3
1962-08-31	USA2HPL	Microsoft Corp.	104.17
1962-09-30	USA2HPL	Microsoft Corp.	110.41
