Date	Company Code	Company Name	Stock Price
1959-01-31	USL6F24	ModCloth	97.01
1959-02-28	USL6F24	ModCloth	93.75
1959-03-31	USL6F24	ModCloth	90.47
1959-04-30	USL6F24	ModCloth	93.47
1959-05-31	USL6F24	ModCloth	88.96
1959-06-30	USL6F24	ModCloth	91.07
1959-07-31	USL6F24	ModCloth	95.05
1959-08-31	USL6F24	ModCloth	91.65
1959-09-30	USL6F24	ModCloth	95.98
1959-10-31	USL6F24	ModCloth	102.77
1959-11-30	USL6F24	ModCloth	104.47
1959-12-31	USL6F24	ModCloth	106.9
1960-01-31	USL6F24	ModCloth	105.19
1960-02-29	USL6F24	ModCloth	106.67
1960-03-31	USL6F24	ModCloth	108.16
1960-04-30	USL6F24	ModCloth	112.86
1960-05-31	USL6F24	ModCloth	112.33
1960-06-30	USL6F24	ModCloth	111.94
1960-07-31	USL6F24	ModCloth	105.41
1960-08-31	USL6F24	ModCloth	110.13
1960-09-30	USL6F24	ModCloth	111.67
1960-10-31	USL6F24	ModCloth	113.62
1960-11-30	USL6F24	ModCloth	109.06
1960-12-31	USL6F24	ModCloth	109.71
1961-01-31	USL6F24	ModCloth	106.28
1961-02-28	USL6F24	ModCloth	103.03
1961-03-31	USL6F24	ModCloth	103.19
1961-04-30	USL6F24	ModCloth	103.53
1961-05-31	USL6F24	ModCloth	106.6
1961-06-30	USL6F24	ModCloth	108.11
1961-07-31	USL6F24	ModCloth	106.74
1961-08-31	USL6F24	ModCloth	102.42
1961-09-30	USL6F24	ModCloth	98.93
1961-10-31	USL6F24	ModCloth	94.47
1961-11-30	USL6F24	ModCloth	93.22
1961-12-31	USL6F24	ModCloth	100.78
1962-01-31	USL6F24	ModCloth	101.98
1962-02-28	USL6F24	ModCloth	102.98
1962-03-31	USL6F24	ModCloth	102.68
1962-04-30	USL6F24	ModCloth	98.83
1962-05-31	USL6F24	ModCloth	92.59
1962-06-30	USL6F24	ModCloth	90.76
1962-07-31	USL6F24	ModCloth	90.79
1962-08-31	USL6F24	ModCloth	92.47
1962-09-30	USL6F24	ModCloth	98.3
1962-10-31	USL6F24	ModCloth	99.05
1962-11-30	USL6F24	ModCloth	94.55
1962-12-31	USL6F24	ModCloth	94.64
1963-01-31	USL6F24	ModCloth	93.19
1963-02-28	USL6F24	ModCloth	96.38
1963-03-31	USL6F24	ModCloth	96.45
1963-04-30	USL6F24	ModCloth	95.65
1963-05-31	USL6F24	ModCloth	87.59
1963-06-30	USL6F24	ModCloth	87.45
1963-07-31	USL6F24	ModCloth	89.53
1963-08-31	USL6F24	ModCloth	90.59
1963-09-30	USL6F24	ModCloth	89.36
1963-10-31	USL6F24	ModCloth	92.0
1963-11-30	USL6F24	ModCloth	90.16
1963-12-31	USL6F24	ModCloth	91.96
1964-01-31	USL6F24	ModCloth	92.33
1964-02-29	USL6F24	ModCloth	96.51
1964-03-31	USL6F24	ModCloth	94.77
1964-04-30	USL6F24	ModCloth	98.4
1964-05-31	USL6F24	ModCloth	93.82
1964-06-30	USL6F24	ModCloth	96.77
1964-07-31	USL6F24	ModCloth	95.88
1964-08-31	USL6F24	ModCloth	94.9
1964-09-30	USL6F24	ModCloth	93.7
1964-10-31	USL6F24	ModCloth	98.24
1964-11-30	USL6F24	ModCloth	103.28
1964-12-31	USL6F24	ModCloth	99.17
1965-01-31	USL6F24	ModCloth	98.51
1965-02-28	USL6F24	ModCloth	97.57
1965-03-31	USL6F24	ModCloth	97.01
1965-04-30	USL6F24	ModCloth	98.57
1965-05-31	USL6F24	ModCloth	92.63
1965-06-30	USL6F24	ModCloth	87.46
1965-07-31	USL6F24	ModCloth	80.7
1965-08-31	USL6F24	ModCloth	77.62
1965-09-30	USL6F24	ModCloth	75.57
1965-10-31	USL6F24	ModCloth	74.49
1965-11-30	USL6F24	ModCloth	76.47
1965-12-31	USL6F24	ModCloth	80.43
1966-01-31	USL6F24	ModCloth	81.68
1966-02-28	USL6F24	ModCloth	82.25
1966-03-31	USL6F24	ModCloth	84.36
1966-04-30	USL6F24	ModCloth	83.63
1966-05-31	USL6F24	ModCloth	82.02
1966-06-30	USL6F24	ModCloth	83.49
1966-07-31	USL6F24	ModCloth	90.54
1966-08-31	USL6F24	ModCloth	92.13
1966-09-30	USL6F24	ModCloth	89.89
1966-10-31	USL6F24	ModCloth	87.52
1966-11-30	USL6F24	ModCloth	87.09
1966-12-31	USL6F24	ModCloth	92.51
1967-01-31	USL6F24	ModCloth	91.28
1967-02-28	USL6F24	ModCloth	83.59
1967-03-31	USL6F24	ModCloth	84.94
1967-04-30	USL6F24	ModCloth	87.91
1967-05-31	USL6F24	ModCloth	89.22
1967-06-30	USL6F24	ModCloth	91.36
1967-07-31	USL6F24	ModCloth	96.22
1967-08-31	USL6F24	ModCloth	98.37
1967-09-30	USL6F24	ModCloth	90.03
1967-10-31	USL6F24	ModCloth	93.45
1967-11-30	USL6F24	ModCloth	88.47
1967-12-31	USL6F24	ModCloth	88.09
1968-01-31	USL6F24	ModCloth	83.45
1968-02-29	USL6F24	ModCloth	91.85
1968-03-31	USL6F24	ModCloth	92.49
1968-04-30	USL6F24	ModCloth	93.01
1968-05-31	USL6F24	ModCloth	87.13
1968-06-30	USL6F24	ModCloth	87.71
1968-07-31	USL6F24	ModCloth	90.89
1968-08-31	USL6F24	ModCloth	95.36
1968-09-30	USL6F24	ModCloth	92.59
1968-10-31	USL6F24	ModCloth	91.63
1968-11-30	USL6F24	ModCloth	91.57
1968-12-31	USL6F24	ModCloth	94.08
1969-01-31	USL6F24	ModCloth	92.93
1969-02-28	USL6F24	ModCloth	87.89
1969-03-31	USL6F24	ModCloth	89.7
1969-04-30	USL6F24	ModCloth	87.14
1969-05-31	USL6F24	ModCloth	90.12
1969-06-30	USL6F24	ModCloth	82.59
1969-07-31	USL6F24	ModCloth	87.44
1969-08-31	USL6F24	ModCloth	86.31
1969-09-30	USL6F24	ModCloth	92.3
1969-10-31	USL6F24	ModCloth	93.58
1969-11-30	USL6F24	ModCloth	95.44
1969-12-31	USL6F24	ModCloth	103.67
1970-01-31	USL6F24	ModCloth	104.67
1970-02-28	USL6F24	ModCloth	99.15
1970-03-31	USL6F24	ModCloth	100.1
1970-04-30	USL6F24	ModCloth	95.41
1970-05-31	USL6F24	ModCloth	93.92
1970-06-30	USL6F24	ModCloth	92.55
1970-07-31	USL6F24	ModCloth	94.4
1970-08-31	USL6F24	ModCloth	93.5
1970-09-30	USL6F24	ModCloth	89.93
1970-10-31	USL6F24	ModCloth	88.13
1970-11-30	USL6F24	ModCloth	95.78
1970-12-31	USL6F24	ModCloth	99.44
1971-01-31	USL6F24	ModCloth	98.56
1971-02-28	USL6F24	ModCloth	100.23
1971-03-31	USL6F24	ModCloth	98.96
1971-04-30	USL6F24	ModCloth	98.83
1971-05-31	USL6F24	ModCloth	99.8
1971-06-30	USL6F24	ModCloth	102.11
1971-07-31	USL6F24	ModCloth	102.63
1971-08-31	USL6F24	ModCloth	97.56
1971-09-30	USL6F24	ModCloth	89.37
1971-10-31	USL6F24	ModCloth	86.76
1971-11-30	USL6F24	ModCloth	85.96
1971-12-31	USL6F24	ModCloth	82.01
1972-01-31	USL6F24	ModCloth	86.87
1972-02-29	USL6F24	ModCloth	90.12
1972-03-31	USL6F24	ModCloth	87.23
1972-04-30	USL6F24	ModCloth	91.9
1972-05-31	USL6F24	ModCloth	86.83
1972-06-30	USL6F24	ModCloth	79.45
1972-07-31	USL6F24	ModCloth	79.09
1972-08-31	USL6F24	ModCloth	80.84
1972-09-30	USL6F24	ModCloth	74.64
1972-10-31	USL6F24	ModCloth	74.96
1972-11-30	USL6F24	ModCloth	73.7
1972-12-31	USL6F24	ModCloth	79.41
1973-01-31	USL6F24	ModCloth	81.01
1973-02-28	USL6F24	ModCloth	87.66
1973-03-31	USL6F24	ModCloth	84.45
1973-04-30	USL6F24	ModCloth	87.02
1973-05-31	USL6F24	ModCloth	84.42
1973-06-30	USL6F24	ModCloth	88.05
1973-07-31	USL6F24	ModCloth	81.13
1973-08-31	USL6F24	ModCloth	83.7
1973-09-30	USL6F24	ModCloth	78.66
1973-10-31	USL6F24	ModCloth	78.0
1973-11-30	USL6F24	ModCloth	83.29
1973-12-31	USL6F24	ModCloth	86.91
1974-01-31	USL6F24	ModCloth	89.34
1974-02-28	USL6F24	ModCloth	91.05
1974-03-31	USL6F24	ModCloth	83.93
1974-04-30	USL6F24	ModCloth	90.97
1974-05-31	USL6F24	ModCloth	82.26
1974-06-30	USL6F24	ModCloth	86.85
1974-07-31	USL6F24	ModCloth	85.97
1974-08-31	USL6F24	ModCloth	93.15
1974-09-30	USL6F24	ModCloth	92.15
1974-10-31	USL6F24	ModCloth	94.36
1974-11-30	USL6F24	ModCloth	93.6
1974-12-31	USL6F24	ModCloth	87.16
1975-01-31	USL6F24	ModCloth	91.37
1975-02-28	USL6F24	ModCloth	88.29
1975-03-31	USL6F24	ModCloth	89.79
1975-04-30	USL6F24	ModCloth	89.19
1975-05-31	USL6F24	ModCloth	86.47
1975-06-30	USL6F24	ModCloth	89.55
1975-07-31	USL6F24	ModCloth	87.15
1975-08-31	USL6F24	ModCloth	86.7
1975-09-30	USL6F24	ModCloth	82.27
1975-10-31	USL6F24	ModCloth	85.58
1975-11-30	USL6F24	ModCloth	85.49
1975-12-31	USL6F24	ModCloth	88.92
1976-01-31	USL6F24	ModCloth	86.3
1976-02-29	USL6F24	ModCloth	86.8
1976-03-31	USL6F24	ModCloth	86.55
1976-04-30	USL6F24	ModCloth	92.68
1976-05-31	USL6F24	ModCloth	93.48
1976-06-30	USL6F24	ModCloth	99.31
1976-07-31	USL6F24	ModCloth	101.65
1976-08-31	USL6F24	ModCloth	103.99
1976-09-30	USL6F24	ModCloth	109.75
1976-10-31	USL6F24	ModCloth	107.84
1976-11-30	USL6F24	ModCloth	107.23
1976-12-31	USL6F24	ModCloth	110.14
1977-01-31	USL6F24	ModCloth	110.73
1977-02-28	USL6F24	ModCloth	106.27
1977-03-31	USL6F24	ModCloth	112.4
