Date	Company Code	Company Name	Stock Price
1959-01-31	USODKUD	Mondelez International Inc.	112.6
1959-02-28	USODKUD	Mondelez International Inc.	110.93
1959-03-31	USODKUD	Mondelez International Inc.	108.96
1959-04-30	USODKUD	Mondelez International Inc.	112.64
1959-05-31	USODKUD	Mondelez International Inc.	107.3
1959-06-30	USODKUD	Mondelez International Inc.	101.63
1959-07-31	USODKUD	Mondelez International Inc.	106.65
1959-08-31	USODKUD	Mondelez International Inc.	107.67
1959-09-30	USODKUD	Mondelez International Inc.	108.53
1959-10-31	USODKUD	Mondelez International Inc.	116.31
1959-11-30	USODKUD	Mondelez International Inc.	108.06
1959-12-31	USODKUD	Mondelez International Inc.	101.0
1960-01-31	USODKUD	Mondelez International Inc.	103.13
1960-02-29	USODKUD	Mondelez International Inc.	101.59
1960-03-31	USODKUD	Mondelez International Inc.	98.14
1960-04-30	USODKUD	Mondelez International Inc.	100.27
1960-05-31	USODKUD	Mondelez International Inc.	99.54
1960-06-30	USODKUD	Mondelez International Inc.	91.13
1960-07-31	USODKUD	Mondelez International Inc.	83.09
1960-08-31	USODKUD	Mondelez International Inc.	84.65
1960-09-30	USODKUD	Mondelez International Inc.	82.62
1960-10-31	USODKUD	Mondelez International Inc.	86.03
1960-11-30	USODKUD	Mondelez International Inc.	88.69
1960-12-31	USODKUD	Mondelez International Inc.	86.27
1961-01-31	USODKUD	Mondelez International Inc.	90.97
1961-02-28	USODKUD	Mondelez International Inc.	86.35
1961-03-31	USODKUD	Mondelez International Inc.	82.63
1961-04-30	USODKUD	Mondelez International Inc.	87.31
1961-05-31	USODKUD	Mondelez International Inc.	83.26
1961-06-30	USODKUD	Mondelez International Inc.	76.66
1961-07-31	USODKUD	Mondelez International Inc.	83.32
1961-08-31	USODKUD	Mondelez International Inc.	82.04
1961-09-30	USODKUD	Mondelez International Inc.	80.99
1961-10-31	USODKUD	Mondelez International Inc.	83.25
1961-11-30	USODKUD	Mondelez International Inc.	82.48
1961-12-31	USODKUD	Mondelez International Inc.	86.32
1962-01-31	USODKUD	Mondelez International Inc.	86.75
1962-02-28	USODKUD	Mondelez International Inc.	80.08
1962-03-31	USODKUD	Mondelez International Inc.	84.09
1962-04-30	USODKUD	Mondelez International Inc.	78.74
1962-05-31	USODKUD	Mondelez International Inc.	74.04
1962-06-30	USODKUD	Mondelez International Inc.	75.97
1962-07-31	USODKUD	Mondelez International Inc.	68.05
1962-08-31	USODKUD	Mondelez International Inc.	67.08
1962-09-30	USODKUD	Mondelez International Inc.	62.36
1962-10-31	USODKUD	Mondelez International Inc.	62.70309991901233
1962-11-30	USODKUD	Mondelez International Inc.	60.0
1962-12-31	USODKUD	Mondelez International Inc.	66.87
1963-01-31	USODKUD	Mondelez International Inc.	60.4
1963-02-28	USODKUD	Mondelez International Inc.	66.13
1963-03-31	USODKUD	Mondelez International Inc.	65.15
1963-04-30	USODKUD	Mondelez International Inc.	66.51
1963-05-31	USODKUD	Mondelez International Inc.	73.37
1963-06-30	USODKUD	Mondelez International Inc.	71.56
1963-07-31	USODKUD	Mondelez International Inc.	75.12
1963-08-31	USODKUD	Mondelez International Inc.	73.46
1963-09-30	USODKUD	Mondelez International Inc.	70.14
1963-10-31	USODKUD	Mondelez International Inc.	70.53
1963-11-30	USODKUD	Mondelez International Inc.	72.38
1963-12-31	USODKUD	Mondelez International Inc.	76.97
1964-01-31	USODKUD	Mondelez International Inc.	85.91
1964-02-29	USODKUD	Mondelez International Inc.	87.69
1964-03-31	USODKUD	Mondelez International Inc.	84.38
1964-04-30	USODKUD	Mondelez International Inc.	80.44
1964-05-31	USODKUD	Mondelez International Inc.	84.28
1964-06-30	USODKUD	Mondelez International Inc.	83.5
1964-07-31	USODKUD	Mondelez International Inc.	82.09
1964-08-31	USODKUD	Mondelez International Inc.	81.9
1964-09-30	USODKUD	Mondelez International Inc.	83.79
1964-10-31	USODKUD	Mondelez International Inc.	85.12
1964-11-30	USODKUD	Mondelez International Inc.	83.25
1964-12-31	USODKUD	Mondelez International Inc.	89.08
1965-01-31	USODKUD	Mondelez International Inc.	92.09
1965-02-28	USODKUD	Mondelez International Inc.	88.3
1965-03-31	USODKUD	Mondelez International Inc.	82.82
1965-04-30	USODKUD	Mondelez International Inc.	74.62
1965-05-31	USODKUD	Mondelez International Inc.	79.11
1965-06-30	USODKUD	Mondelez International Inc.	75.51
1965-07-31	USODKUD	Mondelez International Inc.	77.8
1965-08-31	USODKUD	Mondelez International Inc.	69.19
1965-09-30	USODKUD	Mondelez International Inc.	68.41
1965-10-31	USODKUD	Mondelez International Inc.	64.46
1965-11-30	USODKUD	Mondelez International Inc.	64.65
1965-12-31	USODKUD	Mondelez International Inc.	60.94
1966-01-31	USODKUD	Mondelez International Inc.	65.41
1966-02-28	USODKUD	Mondelez International Inc.	67.07
1966-03-31	USODKUD	Mondelez International Inc.	67.37
1966-04-30	USODKUD	Mondelez International Inc.	67.35
1966-05-31	USODKUD	Mondelez International Inc.	72.37
1966-06-30	USODKUD	Mondelez International Inc.	73.14
1966-07-31	USODKUD	Mondelez International Inc.	72.33
1966-08-31	USODKUD	Mondelez International Inc.	73.48
1966-09-30	USODKUD	Mondelez International Inc.	70.74
1966-10-31	USODKUD	Mondelez International Inc.	71.55
1966-11-30	USODKUD	Mondelez International Inc.	75.95
1966-12-31	USODKUD	Mondelez International Inc.	73.45
1967-01-31	USODKUD	Mondelez International Inc.	69.55
1967-02-28	USODKUD	Mondelez International Inc.	71.34
1967-03-31	USODKUD	Mondelez International Inc.	73.28
1967-04-30	USODKUD	Mondelez International Inc.	67.72
1967-05-31	USODKUD	Mondelez International Inc.	65.79
1967-06-30	USODKUD	Mondelez International Inc.	62.99648669212063
1967-07-31	USODKUD	Mondelez International Inc.	61.26268926667011
1967-08-31	USODKUD	Mondelez International Inc.	61.30135819940454
1967-09-30	USODKUD	Mondelez International Inc.	65.33
1967-10-31	USODKUD	Mondelez International Inc.	64.95
