Date	Company Code	Company Name	Stock Price
1959-01-31	USKR9TR	NIO Inc.	107.45
1959-02-28	USKR9TR	NIO Inc.	106.86
1959-03-31	USKR9TR	NIO Inc.	114.21
1959-04-30	USKR9TR	NIO Inc.	114.16
1959-05-31	USKR9TR	NIO Inc.	115.06
1959-06-30	USKR9TR	NIO Inc.	120.91
1959-07-31	USKR9TR	NIO Inc.	129.04
1959-08-31	USKR9TR	NIO Inc.	128.44
1959-09-30	USKR9TR	NIO Inc.	122.38
1959-10-31	USKR9TR	NIO Inc.	115.95
1959-11-30	USKR9TR	NIO Inc.	115.85
1959-12-31	USKR9TR	NIO Inc.	116.09
1960-01-31	USKR9TR	NIO Inc.	119.08
1960-02-29	USKR9TR	NIO Inc.	121.6
1960-03-31	USKR9TR	NIO Inc.	124.93
1960-04-30	USKR9TR	NIO Inc.	134.36
1960-05-31	USKR9TR	NIO Inc.	131.49
1960-06-30	USKR9TR	NIO Inc.	129.63
1960-07-31	USKR9TR	NIO Inc.	121.85
1960-08-31	USKR9TR	NIO Inc.	116.19
1960-09-30	USKR9TR	NIO Inc.	120.84
1960-10-31	USKR9TR	NIO Inc.	119.28
1960-11-30	USKR9TR	NIO Inc.	122.1
1960-12-31	USKR9TR	NIO Inc.	122.35
1961-01-31	USKR9TR	NIO Inc.	124.15
1961-02-28	USKR9TR	NIO Inc.	116.0
1961-03-31	USKR9TR	NIO Inc.	117.75
1961-04-30	USKR9TR	NIO Inc.	112.17
1961-05-31	USKR9TR	NIO Inc.	110.89
1961-06-30	USKR9TR	NIO Inc.	116.59
1961-07-31	USKR9TR	NIO Inc.	113.81
1961-08-31	USKR9TR	NIO Inc.	115.07
1961-09-30	USKR9TR	NIO Inc.	116.28
1961-10-31	USKR9TR	NIO Inc.	113.68
1961-11-30	USKR9TR	NIO Inc.	116.14
1961-12-31	USKR9TR	NIO Inc.	112.79
1962-01-31	USKR9TR	NIO Inc.	119.69
1962-02-28	USKR9TR	NIO Inc.	116.69
1962-03-31	USKR9TR	NIO Inc.	111.59
1962-04-30	USKR9TR	NIO Inc.	108.43
1962-05-31	USKR9TR	NIO Inc.	111.42
1962-06-30	USKR9TR	NIO Inc.	109.7
1962-07-31	USKR9TR	NIO Inc.	107.47
1962-08-31	USKR9TR	NIO Inc.	113.88
1962-09-30	USKR9TR	NIO Inc.	114.62
1962-10-31	USKR9TR	NIO Inc.	112.65
1962-11-30	USKR9TR	NIO Inc.	120.5
1962-12-31	USKR9TR	NIO Inc.	115.67
1963-01-31	USKR9TR	NIO Inc.	119.2
1963-02-28	USKR9TR	NIO Inc.	120.33
1963-03-31	USKR9TR	NIO Inc.	122.54
1963-04-30	USKR9TR	NIO Inc.	128.9
1963-05-31	USKR9TR	NIO Inc.	131.23
1963-06-30	USKR9TR	NIO Inc.	130.75
1963-07-31	USKR9TR	NIO Inc.	129.01
1963-08-31	USKR9TR	NIO Inc.	130.13
1963-09-30	USKR9TR	NIO Inc.	134.47
1963-10-31	USKR9TR	NIO Inc.	137.54
1963-11-30	USKR9TR	NIO Inc.	128.31
1963-12-31	USKR9TR	NIO Inc.	121.17
1964-01-31	USKR9TR	NIO Inc.	118.63
1964-02-29	USKR9TR	NIO Inc.	116.68
1964-03-31	USKR9TR	NIO Inc.	119.93
1964-04-30	USKR9TR	NIO Inc.	114.85
1964-05-31	USKR9TR	NIO Inc.	116.64
1964-06-30	USKR9TR	NIO Inc.	122.1
1964-07-31	USKR9TR	NIO Inc.	121.29
1964-08-31	USKR9TR	NIO Inc.	119.64
1964-09-30	USKR9TR	NIO Inc.	116.59
1964-10-31	USKR9TR	NIO Inc.	115.31
1964-11-30	USKR9TR	NIO Inc.	116.66
1964-12-31	USKR9TR	NIO Inc.	117.14
1965-01-31	USKR9TR	NIO Inc.	118.12
1965-02-28	USKR9TR	NIO Inc.	116.01
1965-03-31	USKR9TR	NIO Inc.	122.99
1965-04-30	USKR9TR	NIO Inc.	127.24
1965-05-31	USKR9TR	NIO Inc.	132.01
1965-06-30	USKR9TR	NIO Inc.	136.29
1965-07-31	USKR9TR	NIO Inc.	132.29
1965-08-31	USKR9TR	NIO Inc.	132.49
1965-09-30	USKR9TR	NIO Inc.	134.52
1965-10-31	USKR9TR	NIO Inc.	136.72
1965-11-30	USKR9TR	NIO Inc.	144.44
1965-12-31	USKR9TR	NIO Inc.	142.14
1966-01-31	USKR9TR	NIO Inc.	149.74
1966-02-28	USKR9TR	NIO Inc.	150.86
1966-03-31	USKR9TR	NIO Inc.	144.6
1966-04-30	USKR9TR	NIO Inc.	149.02
1966-05-31	USKR9TR	NIO Inc.	147.5
1966-06-30	USKR9TR	NIO Inc.	150.5
1966-07-31	USKR9TR	NIO Inc.	149.84
1966-08-31	USKR9TR	NIO Inc.	152.27
1966-09-30	USKR9TR	NIO Inc.	146.94
1966-10-31	USKR9TR	NIO Inc.	155.99
1966-11-30	USKR9TR	NIO Inc.	153.44
1966-12-31	USKR9TR	NIO Inc.	157.07
1967-01-31	USKR9TR	NIO Inc.	158.75
1967-02-28	USKR9TR	NIO Inc.	158.29
1967-03-31	USKR9TR	NIO Inc.	163.95
1967-04-30	USKR9TR	NIO Inc.	172.04
1967-05-31	USKR9TR	NIO Inc.	168.7
1967-06-30	USKR9TR	NIO Inc.	163.34
1967-07-31	USKR9TR	NIO Inc.	161.84
1967-08-31	USKR9TR	NIO Inc.	164.03
1967-09-30	USKR9TR	NIO Inc.	163.91
1967-10-31	USKR9TR	NIO Inc.	160.37
1967-11-30	USKR9TR	NIO Inc.	156.92
1967-12-31	USKR9TR	NIO Inc.	159.85
1968-01-31	USKR9TR	NIO Inc.	163.28
1968-02-29	USKR9TR	NIO Inc.	160.9
1968-03-31	USKR9TR	NIO Inc.	166.36
1968-04-30	USKR9TR	NIO Inc.	163.17
1968-05-31	USKR9TR	NIO Inc.	163.3
1968-06-30	USKR9TR	NIO Inc.	167.64
1968-07-31	USKR9TR	NIO Inc.	170.36
1968-08-31	USKR9TR	NIO Inc.	164.86
1968-09-30	USKR9TR	NIO Inc.	166.71
1968-10-31	USKR9TR	NIO Inc.	164.2
1968-11-30	USKR9TR	NIO Inc.	166.37
1968-12-31	USKR9TR	NIO Inc.	161.95
1969-01-31	USKR9TR	NIO Inc.	160.77
1969-02-28	USKR9TR	NIO Inc.	167.9
1969-03-31	USKR9TR	NIO Inc.	171.85
1969-04-30	USKR9TR	NIO Inc.	174.25
1969-05-31	USKR9TR	NIO Inc.	178.68
1969-06-30	USKR9TR	NIO Inc.	174.28
1969-07-31	USKR9TR	NIO Inc.	174.23
1969-08-31	USKR9TR	NIO Inc.	178.95
1969-09-30	USKR9TR	NIO Inc.	178.4
1969-10-31	USKR9TR	NIO Inc.	173.92
1969-11-30	USKR9TR	NIO Inc.	174.89
1969-12-31	USKR9TR	NIO Inc.	181.41
1970-01-31	USKR9TR	NIO Inc.	178.71
1970-02-28	USKR9TR	NIO Inc.	178.5
1970-03-31	USKR9TR	NIO Inc.	173.72
1970-04-30	USKR9TR	NIO Inc.	172.96
1970-05-31	USKR9TR	NIO Inc.	175.31
1970-06-30	USKR9TR	NIO Inc.	176.91
1970-07-31	USKR9TR	NIO Inc.	177.61
1970-08-31	USKR9TR	NIO Inc.	180.46
1970-09-30	USKR9TR	NIO Inc.	182.32
1970-10-31	USKR9TR	NIO Inc.	180.49
1970-11-30	USKR9TR	NIO Inc.	176.13
1970-12-31	USKR9TR	NIO Inc.	176.67
1971-01-31	USKR9TR	NIO Inc.	175.39
1971-02-28	USKR9TR	NIO Inc.	169.36
1971-03-31	USKR9TR	NIO Inc.	168.77
1971-04-30	USKR9TR	NIO Inc.	170.51
