Date	Company Code	Company Name	Stock Price
1959-01-31	US8KY1F	NVIDIA Corp.	109.59
1959-02-28	US8KY1F	NVIDIA Corp.	104.56
1959-03-31	US8KY1F	NVIDIA Corp.	104.18
1959-04-30	US8KY1F	NVIDIA Corp.	100.84
1959-05-31	US8KY1F	NVIDIA Corp.	104.79
1959-06-30	US8KY1F	NVIDIA Corp.	110.64
1959-07-31	US8KY1F	NVIDIA Corp.	107.32
1959-08-31	US8KY1F	NVIDIA Corp.	111.44
1959-09-30	US8KY1F	NVIDIA Corp.	112.83
1959-10-31	US8KY1F	NVIDIA Corp.	112.65
1959-11-30	US8KY1F	NVIDIA Corp.	112.08
1959-12-31	US8KY1F	NVIDIA Corp.	112.87
1960-01-31	US8KY1F	NVIDIA Corp.	111.93
1960-02-29	US8KY1F	NVIDIA Corp.	109.03
1960-03-31	US8KY1F	NVIDIA Corp.	109.17
1960-04-30	US8KY1F	NVIDIA Corp.	103.19
1960-05-31	US8KY1F	NVIDIA Corp.	102.51
1960-06-30	US8KY1F	NVIDIA Corp.	109.3
1960-07-31	US8KY1F	NVIDIA Corp.	110.42
1960-08-31	US8KY1F	NVIDIA Corp.	116.59
1960-09-30	US8KY1F	NVIDIA Corp.	113.23
1960-10-31	US8KY1F	NVIDIA Corp.	104.21
1960-11-30	US8KY1F	NVIDIA Corp.	98.98
1960-12-31	US8KY1F	NVIDIA Corp.	105.39
1961-01-31	US8KY1F	NVIDIA Corp.	99.85
1961-02-28	US8KY1F	NVIDIA Corp.	104.79
1961-03-31	US8KY1F	NVIDIA Corp.	109.7
1961-04-30	US8KY1F	NVIDIA Corp.	106.06
1961-05-31	US8KY1F	NVIDIA Corp.	107.95
1961-06-30	US8KY1F	NVIDIA Corp.	101.42
1961-07-31	US8KY1F	NVIDIA Corp.	102.66
1961-08-31	US8KY1F	NVIDIA Corp.	102.95
1961-09-30	US8KY1F	NVIDIA Corp.	107.04
1961-10-31	US8KY1F	NVIDIA Corp.	101.87
1961-11-30	US8KY1F	NVIDIA Corp.	98.95
1961-12-31	US8KY1F	NVIDIA Corp.	97.19
1962-01-31	US8KY1F	NVIDIA Corp.	91.32
1962-02-28	US8KY1F	NVIDIA Corp.	95.91
1962-03-31	US8KY1F	NVIDIA Corp.	95.19
1962-04-30	US8KY1F	NVIDIA Corp.	90.62
1962-05-31	US8KY1F	NVIDIA Corp.	87.79
1962-06-30	US8KY1F	NVIDIA Corp.	88.87
1962-07-31	US8KY1F	NVIDIA Corp.	88.09
1962-08-31	US8KY1F	NVIDIA Corp.	87.77
1962-09-30	US8KY1F	NVIDIA Corp.	94.66
1962-10-31	US8KY1F	NVIDIA Corp.	88.47
1962-11-30	US8KY1F	NVIDIA Corp.	81.61
1962-12-31	US8KY1F	NVIDIA Corp.	83.83
1963-01-31	US8KY1F	NVIDIA Corp.	79.84
1963-02-28	US8KY1F	NVIDIA Corp.	86.3
1963-03-31	US8KY1F	NVIDIA Corp.	80.42
1963-04-30	US8KY1F	NVIDIA Corp.	73.05
1963-05-31	US8KY1F	NVIDIA Corp.	71.29
1963-06-30	US8KY1F	NVIDIA Corp.	71.38
1963-07-31	US8KY1F	NVIDIA Corp.	77.44
1963-08-31	US8KY1F	NVIDIA Corp.	78.15
1963-09-30	US8KY1F	NVIDIA Corp.	85.23
1963-10-31	US8KY1F	NVIDIA Corp.	85.24
1963-11-30	US8KY1F	NVIDIA Corp.	87.77
1963-12-31	US8KY1F	NVIDIA Corp.	88.91
