Date	Company Code	Company Name	Stock Price
1959-01-31	USZXA2A	Neiman Marcus	111.04
1959-02-28	USZXA2A	Neiman Marcus	109.64
1959-03-31	USZXA2A	Neiman Marcus	112.86
1959-04-30	USZXA2A	Neiman Marcus	110.69
1959-05-31	USZXA2A	Neiman Marcus	105.56
1959-06-30	USZXA2A	Neiman Marcus	106.51
1959-07-31	USZXA2A	Neiman Marcus	111.1
1959-08-31	USZXA2A	Neiman Marcus	109.26
1959-09-30	USZXA2A	Neiman Marcus	104.73
1959-10-31	USZXA2A	Neiman Marcus	103.97
1959-11-30	USZXA2A	Neiman Marcus	109.0
1959-12-31	USZXA2A	Neiman Marcus	106.98
1960-01-31	USZXA2A	Neiman Marcus	113.07
1960-02-29	USZXA2A	Neiman Marcus	104.57
1960-03-31	USZXA2A	Neiman Marcus	108.7
1960-04-30	USZXA2A	Neiman Marcus	108.9
1960-05-31	USZXA2A	Neiman Marcus	108.66
1960-06-30	USZXA2A	Neiman Marcus	109.49
1960-07-31	USZXA2A	Neiman Marcus	117.29
1960-08-31	USZXA2A	Neiman Marcus	109.35
1960-09-30	USZXA2A	Neiman Marcus	109.54
1960-10-31	USZXA2A	Neiman Marcus	109.04
1960-11-30	USZXA2A	Neiman Marcus	115.7
1960-12-31	USZXA2A	Neiman Marcus	109.73
1961-01-31	USZXA2A	Neiman Marcus	104.23
1961-02-28	USZXA2A	Neiman Marcus	104.67
1961-03-31	USZXA2A	Neiman Marcus	99.99
1961-04-30	USZXA2A	Neiman Marcus	100.66
1961-05-31	USZXA2A	Neiman Marcus	101.82
1961-06-30	USZXA2A	Neiman Marcus	103.46
1961-07-31	USZXA2A	Neiman Marcus	107.27
1961-08-31	USZXA2A	Neiman Marcus	108.6
1961-09-30	USZXA2A	Neiman Marcus	104.71
1961-10-31	USZXA2A	Neiman Marcus	97.84
1961-11-30	USZXA2A	Neiman Marcus	104.67
1961-12-31	USZXA2A	Neiman Marcus	97.66
1962-01-31	USZXA2A	Neiman Marcus	99.07
1962-02-28	USZXA2A	Neiman Marcus	94.98
1962-03-31	USZXA2A	Neiman Marcus	99.46
1962-04-30	USZXA2A	Neiman Marcus	105.54
1962-05-31	USZXA2A	Neiman Marcus	107.82
1962-06-30	USZXA2A	Neiman Marcus	102.72
1962-07-31	USZXA2A	Neiman Marcus	105.01
1962-08-31	USZXA2A	Neiman Marcus	105.28
1962-09-30	USZXA2A	Neiman Marcus	107.07
1962-10-31	USZXA2A	Neiman Marcus	113.72
1962-11-30	USZXA2A	Neiman Marcus	113.33
1962-12-31	USZXA2A	Neiman Marcus	115.2
1963-01-31	USZXA2A	Neiman Marcus	117.33
1963-02-28	USZXA2A	Neiman Marcus	113.18
1963-03-31	USZXA2A	Neiman Marcus	110.54
1963-04-30	USZXA2A	Neiman Marcus	107.09
1963-05-31	USZXA2A	Neiman Marcus	105.19
1963-06-30	USZXA2A	Neiman Marcus	97.43
1963-07-31	USZXA2A	Neiman Marcus	98.7
1963-08-31	USZXA2A	Neiman Marcus	101.7
1963-09-30	USZXA2A	Neiman Marcus	102.63
1963-10-31	USZXA2A	Neiman Marcus	102.44
1963-11-30	USZXA2A	Neiman Marcus	96.39
1963-12-31	USZXA2A	Neiman Marcus	90.89
1964-01-31	USZXA2A	Neiman Marcus	91.09
1964-02-29	USZXA2A	Neiman Marcus	92.24
1964-03-31	USZXA2A	Neiman Marcus	91.07
1964-04-30	USZXA2A	Neiman Marcus	91.79
1964-05-31	USZXA2A	Neiman Marcus	87.67
1964-06-30	USZXA2A	Neiman Marcus	88.42
1964-07-31	USZXA2A	Neiman Marcus	87.39
1964-08-31	USZXA2A	Neiman Marcus	84.38
1964-09-30	USZXA2A	Neiman Marcus	80.28
1964-10-31	USZXA2A	Neiman Marcus	81.9
1964-11-30	USZXA2A	Neiman Marcus	86.71
1964-12-31	USZXA2A	Neiman Marcus	92.05
1965-01-31	USZXA2A	Neiman Marcus	93.33
1965-02-28	USZXA2A	Neiman Marcus	95.71
1965-03-31	USZXA2A	Neiman Marcus	98.64
1965-04-30	USZXA2A	Neiman Marcus	101.71
1965-05-31	USZXA2A	Neiman Marcus	99.26
1965-06-30	USZXA2A	Neiman Marcus	97.03
1965-07-31	USZXA2A	Neiman Marcus	100.72
1965-08-31	USZXA2A	Neiman Marcus	99.72
1965-09-30	USZXA2A	Neiman Marcus	95.74
1965-10-31	USZXA2A	Neiman Marcus	97.62
1965-11-30	USZXA2A	Neiman Marcus	92.54
1965-12-31	USZXA2A	Neiman Marcus	96.56
1966-01-31	USZXA2A	Neiman Marcus	92.01
1966-02-28	USZXA2A	Neiman Marcus	93.12
1966-03-31	USZXA2A	Neiman Marcus	92.4
1966-04-30	USZXA2A	Neiman Marcus	100.68
1966-05-31	USZXA2A	Neiman Marcus	102.35
1966-06-30	USZXA2A	Neiman Marcus	98.88
1966-07-31	USZXA2A	Neiman Marcus	100.35
1966-08-31	USZXA2A	Neiman Marcus	102.5
1966-09-30	USZXA2A	Neiman Marcus	96.62
1966-10-31	USZXA2A	Neiman Marcus	91.62
1966-11-30	USZXA2A	Neiman Marcus	98.33
1966-12-31	USZXA2A	Neiman Marcus	99.14
1967-01-31	USZXA2A	Neiman Marcus	97.78
1967-02-28	USZXA2A	Neiman Marcus	92.29
1967-03-31	USZXA2A	Neiman Marcus	92.24
1967-04-30	USZXA2A	Neiman Marcus	90.43
1967-05-31	USZXA2A	Neiman Marcus	94.4
1967-06-30	USZXA2A	Neiman Marcus	97.51
1967-07-31	USZXA2A	Neiman Marcus	103.95
1967-08-31	USZXA2A	Neiman Marcus	102.58
1967-09-30	USZXA2A	Neiman Marcus	108.17
1967-10-31	USZXA2A	Neiman Marcus	109.32
1967-11-30	USZXA2A	Neiman Marcus	115.72
1967-12-31	USZXA2A	Neiman Marcus	112.58
1968-01-31	USZXA2A	Neiman Marcus	112.63
1968-02-29	USZXA2A	Neiman Marcus	113.85
1968-03-31	USZXA2A	Neiman Marcus	112.01
1968-04-30	USZXA2A	Neiman Marcus	113.56
1968-05-31	USZXA2A	Neiman Marcus	113.88
1968-06-30	USZXA2A	Neiman Marcus	114.93
1968-07-31	USZXA2A	Neiman Marcus	118.32
1968-08-31	USZXA2A	Neiman Marcus	116.07
1968-09-30	USZXA2A	Neiman Marcus	114.71
1968-10-31	USZXA2A	Neiman Marcus	112.83
1968-11-30	USZXA2A	Neiman Marcus	111.92
1968-12-31	USZXA2A	Neiman Marcus	109.26
1969-01-31	USZXA2A	Neiman Marcus	115.9
1969-02-28	USZXA2A	Neiman Marcus	117.98
1969-03-31	USZXA2A	Neiman Marcus	120.31
1969-04-30	USZXA2A	Neiman Marcus	114.62
1969-05-31	USZXA2A	Neiman Marcus	113.53
1969-06-30	USZXA2A	Neiman Marcus	110.04
1969-07-31	USZXA2A	Neiman Marcus	112.59
1969-08-31	USZXA2A	Neiman Marcus	114.27
1969-09-30	USZXA2A	Neiman Marcus	106.72
1969-10-31	USZXA2A	Neiman Marcus	105.09
1969-11-30	USZXA2A	Neiman Marcus	108.26
1969-12-31	USZXA2A	Neiman Marcus	108.22
1970-01-31	USZXA2A	Neiman Marcus	115.64
1970-02-28	USZXA2A	Neiman Marcus	119.65
1970-03-31	USZXA2A	Neiman Marcus	120.05
1970-04-30	USZXA2A	Neiman Marcus	119.42
1970-05-31	USZXA2A	Neiman Marcus	119.38
1970-06-30	USZXA2A	Neiman Marcus	114.44
1970-07-31	USZXA2A	Neiman Marcus	113.88
1970-08-31	USZXA2A	Neiman Marcus	109.71
1970-09-30	USZXA2A	Neiman Marcus	111.89
1970-10-31	USZXA2A	Neiman Marcus	112.76
1970-11-30	USZXA2A	Neiman Marcus	109.26
1970-12-31	USZXA2A	Neiman Marcus	106.29
1971-01-31	USZXA2A	Neiman Marcus	107.75
1971-02-28	USZXA2A	Neiman Marcus	107.05
1971-03-31	USZXA2A	Neiman Marcus	107.62
1971-04-30	USZXA2A	Neiman Marcus	113.19
1971-05-31	USZXA2A	Neiman Marcus	115.29
1971-06-30	USZXA2A	Neiman Marcus	114.86
1971-07-31	USZXA2A	Neiman Marcus	114.5
1971-08-31	USZXA2A	Neiman Marcus	118.32
1971-09-30	USZXA2A	Neiman Marcus	112.46
1971-10-31	USZXA2A	Neiman Marcus	110.93
1971-11-30	USZXA2A	Neiman Marcus	110.11
1971-12-31	USZXA2A	Neiman Marcus	112.35
1972-01-31	USZXA2A	Neiman Marcus	106.88
1972-02-29	USZXA2A	Neiman Marcus	108.19
1972-03-31	USZXA2A	Neiman Marcus	107.15
1972-04-30	USZXA2A	Neiman Marcus	109.47
1972-05-31	USZXA2A	Neiman Marcus	107.64
1972-06-30	USZXA2A	Neiman Marcus	109.37
1972-07-31	USZXA2A	Neiman Marcus	110.53
1972-08-31	USZXA2A	Neiman Marcus	111.03
1972-09-30	USZXA2A	Neiman Marcus	108.5
1972-10-31	USZXA2A	Neiman Marcus	104.98
1972-11-30	USZXA2A	Neiman Marcus	105.86
1972-12-31	USZXA2A	Neiman Marcus	112.34
1973-01-31	USZXA2A	Neiman Marcus	110.1
1973-02-28	USZXA2A	Neiman Marcus	114.3
1973-03-31	USZXA2A	Neiman Marcus	109.63
1973-04-30	USZXA2A	Neiman Marcus	107.14
1973-05-31	USZXA2A	Neiman Marcus	105.16
1973-06-30	USZXA2A	Neiman Marcus	100.79
1973-07-31	USZXA2A	Neiman Marcus	94.47
1973-08-31	USZXA2A	Neiman Marcus	95.37
1973-09-30	USZXA2A	Neiman Marcus	97.86
1973-10-31	USZXA2A	Neiman Marcus	105.06
1973-11-30	USZXA2A	Neiman Marcus	107.79
1973-12-31	USZXA2A	Neiman Marcus	109.26
1974-01-31	USZXA2A	Neiman Marcus	109.37
1974-02-28	USZXA2A	Neiman Marcus	102.52
1974-03-31	USZXA2A	Neiman Marcus	101.96
1974-04-30	USZXA2A	Neiman Marcus	99.51
1974-05-31	USZXA2A	Neiman Marcus	104.99
1974-06-30	USZXA2A	Neiman Marcus	105.47
