Date	Company Code	Company Name	Stock Price
1959-01-31	US60Q8C	Netflix Inc.	106.63
1959-02-28	US60Q8C	Netflix Inc.	108.16
1959-03-31	US60Q8C	Netflix Inc.	109.87
1959-04-30	US60Q8C	Netflix Inc.	110.31
1959-05-31	US60Q8C	Netflix Inc.	107.46
1959-06-30	US60Q8C	Netflix Inc.	107.33
1959-07-31	US60Q8C	Netflix Inc.	109.2
1959-08-31	US60Q8C	Netflix Inc.	103.55
1959-09-30	US60Q8C	Netflix Inc.	103.8
1959-10-31	US60Q8C	Netflix Inc.	102.75
1959-11-30	US60Q8C	Netflix Inc.	105.48
1959-12-31	US60Q8C	Netflix Inc.	106.44
1960-01-31	US60Q8C	Netflix Inc.	105.39
1960-02-29	US60Q8C	Netflix Inc.	104.37
1960-03-31	US60Q8C	Netflix Inc.	96.23
1960-04-30	US60Q8C	Netflix Inc.	93.62
1960-05-31	US60Q8C	Netflix Inc.	99.09
1960-06-30	US60Q8C	Netflix Inc.	105.89
1960-07-31	US60Q8C	Netflix Inc.	104.5
1960-08-31	US60Q8C	Netflix Inc.	102.05
1960-09-30	US60Q8C	Netflix Inc.	94.68
1960-10-31	US60Q8C	Netflix Inc.	94.97
1960-11-30	US60Q8C	Netflix Inc.	95.15
1960-12-31	US60Q8C	Netflix Inc.	95.72
1961-01-31	US60Q8C	Netflix Inc.	90.14
1961-02-28	US60Q8C	Netflix Inc.	87.35
1961-03-31	US60Q8C	Netflix Inc.	89.65
1961-04-30	US60Q8C	Netflix Inc.	92.86
1961-05-31	US60Q8C	Netflix Inc.	96.04
1961-06-30	US60Q8C	Netflix Inc.	99.3
1961-07-31	US60Q8C	Netflix Inc.	97.36
1961-08-31	US60Q8C	Netflix Inc.	104.79
1961-09-30	US60Q8C	Netflix Inc.	98.4
1961-10-31	US60Q8C	Netflix Inc.	94.87
1961-11-30	US60Q8C	Netflix Inc.	89.59
1961-12-31	US60Q8C	Netflix Inc.	90.09
1962-01-31	US60Q8C	Netflix Inc.	87.06
1962-02-28	US60Q8C	Netflix Inc.	91.71
1962-03-31	US60Q8C	Netflix Inc.	97.93
1962-04-30	US60Q8C	Netflix Inc.	97.2
1962-05-31	US60Q8C	Netflix Inc.	102.11
1962-06-30	US60Q8C	Netflix Inc.	104.52
1962-07-31	US60Q8C	Netflix Inc.	104.08
1962-08-31	US60Q8C	Netflix Inc.	99.77
1962-09-30	US60Q8C	Netflix Inc.	95.88
1962-10-31	US60Q8C	Netflix Inc.	88.73
1962-11-30	US60Q8C	Netflix Inc.	88.64
1962-12-31	US60Q8C	Netflix Inc.	86.48
1963-01-31	US60Q8C	Netflix Inc.	87.71
1963-02-28	US60Q8C	Netflix Inc.	85.01
1963-03-31	US60Q8C	Netflix Inc.	91.32
1963-04-30	US60Q8C	Netflix Inc.	89.87
1963-05-31	US60Q8C	Netflix Inc.	90.37
1963-06-30	US60Q8C	Netflix Inc.	95.79
1963-07-31	US60Q8C	Netflix Inc.	97.81
1963-08-31	US60Q8C	Netflix Inc.	97.48
1963-09-30	US60Q8C	Netflix Inc.	100.0
1963-10-31	US60Q8C	Netflix Inc.	92.12
1963-11-30	US60Q8C	Netflix Inc.	93.22
1963-12-31	US60Q8C	Netflix Inc.	92.54
1964-01-31	US60Q8C	Netflix Inc.	93.27
1964-02-29	US60Q8C	Netflix Inc.	89.75
1964-03-31	US60Q8C	Netflix Inc.	87.99
1964-04-30	US60Q8C	Netflix Inc.	83.99
1964-05-31	US60Q8C	Netflix Inc.	75.88
1964-06-30	US60Q8C	Netflix Inc.	65.97
1964-07-31	US60Q8C	Netflix Inc.	70.2
1964-08-31	US60Q8C	Netflix Inc.	74.31
1964-09-30	US60Q8C	Netflix Inc.	75.55
1964-10-31	US60Q8C	Netflix Inc.	82.39
1964-11-30	US60Q8C	Netflix Inc.	83.68
1964-12-31	US60Q8C	Netflix Inc.	83.71
1965-01-31	US60Q8C	Netflix Inc.	90.74
1965-02-28	US60Q8C	Netflix Inc.	90.15
1965-03-31	US60Q8C	Netflix Inc.	94.44
1965-04-30	US60Q8C	Netflix Inc.	95.38
1965-05-31	US60Q8C	Netflix Inc.	94.0
1965-06-30	US60Q8C	Netflix Inc.	93.94
1965-07-31	US60Q8C	Netflix Inc.	97.17
1965-08-31	US60Q8C	Netflix Inc.	100.11
1965-09-30	US60Q8C	Netflix Inc.	107.03
1965-10-31	US60Q8C	Netflix Inc.	110.15
1965-11-30	US60Q8C	Netflix Inc.	112.92
1965-12-31	US60Q8C	Netflix Inc.	115.04
1966-01-31	US60Q8C	Netflix Inc.	119.99
1966-02-28	US60Q8C	Netflix Inc.	124.79
1966-03-31	US60Q8C	Netflix Inc.	122.46
1966-04-30	US60Q8C	Netflix Inc.	120.76
1966-05-31	US60Q8C	Netflix Inc.	121.79
1966-06-30	US60Q8C	Netflix Inc.	114.3
1966-07-31	US60Q8C	Netflix Inc.	111.72
1966-08-31	US60Q8C	Netflix Inc.	113.65
1966-09-30	US60Q8C	Netflix Inc.	117.54
1966-10-31	US60Q8C	Netflix Inc.	115.52
1966-11-30	US60Q8C	Netflix Inc.	113.12
1966-12-31	US60Q8C	Netflix Inc.	116.16
1967-01-31	US60Q8C	Netflix Inc.	120.06
1967-02-28	US60Q8C	Netflix Inc.	126.94
1967-03-31	US60Q8C	Netflix Inc.	128.7
1967-04-30	US60Q8C	Netflix Inc.	131.88
1967-05-31	US60Q8C	Netflix Inc.	132.67
1967-06-30	US60Q8C	Netflix Inc.	133.91
1967-07-31	US60Q8C	Netflix Inc.	133.42
1967-08-31	US60Q8C	Netflix Inc.	140.79
1967-09-30	US60Q8C	Netflix Inc.	142.52
1967-10-31	US60Q8C	Netflix Inc.	141.16
1967-11-30	US60Q8C	Netflix Inc.	141.86
1967-12-31	US60Q8C	Netflix Inc.	150.39
1968-01-31	US60Q8C	Netflix Inc.	149.8
1968-02-29	US60Q8C	Netflix Inc.	153.15
1968-03-31	US60Q8C	Netflix Inc.	154.83
1968-04-30	US60Q8C	Netflix Inc.	158.74
1968-05-31	US60Q8C	Netflix Inc.	161.46
1968-06-30	US60Q8C	Netflix Inc.	161.44
1968-07-31	US60Q8C	Netflix Inc.	158.12
1968-08-31	US60Q8C	Netflix Inc.	159.84
1968-09-30	US60Q8C	Netflix Inc.	161.94
1968-10-31	US60Q8C	Netflix Inc.	161.38
1968-11-30	US60Q8C	Netflix Inc.	163.14
1968-12-31	US60Q8C	Netflix Inc.	169.85
1969-01-31	US60Q8C	Netflix Inc.	169.45
1969-02-28	US60Q8C	Netflix Inc.	169.37
1969-03-31	US60Q8C	Netflix Inc.	171.98
1969-04-30	US60Q8C	Netflix Inc.	171.06
1969-05-31	US60Q8C	Netflix Inc.	176.24
1969-06-30	US60Q8C	Netflix Inc.	174.62
1969-07-31	US60Q8C	Netflix Inc.	176.83
1969-08-31	US60Q8C	Netflix Inc.	174.29
1969-09-30	US60Q8C	Netflix Inc.	175.86
1969-10-31	US60Q8C	Netflix Inc.	179.78
1969-11-30	US60Q8C	Netflix Inc.	184.13
1969-12-31	US60Q8C	Netflix Inc.	186.74
1970-01-31	US60Q8C	Netflix Inc.	191.71
1970-02-28	US60Q8C	Netflix Inc.	187.68
1970-03-31	US60Q8C	Netflix Inc.	194.01
1970-04-30	US60Q8C	Netflix Inc.	195.37
1970-05-31	US60Q8C	Netflix Inc.	191.75
1970-06-30	US60Q8C	Netflix Inc.	191.37
1970-07-31	US60Q8C	Netflix Inc.	193.42
1970-08-31	US60Q8C	Netflix Inc.	193.32
1970-09-30	US60Q8C	Netflix Inc.	189.12
1970-10-31	US60Q8C	Netflix Inc.	187.9
1970-11-30	US60Q8C	Netflix Inc.	185.82
1970-12-31	US60Q8C	Netflix Inc.	185.27
1971-01-31	US60Q8C	Netflix Inc.	194.91
1971-02-28	US60Q8C	Netflix Inc.	196.14
1971-03-31	US60Q8C	Netflix Inc.	199.7
1971-04-30	US60Q8C	Netflix Inc.	196.1
1971-05-31	US60Q8C	Netflix Inc.	191.36
1971-06-30	US60Q8C	Netflix Inc.	187.68
1971-07-31	US60Q8C	Netflix Inc.	188.77
1971-08-31	US60Q8C	Netflix Inc.	191.57
1971-09-30	US60Q8C	Netflix Inc.	188.04
1971-10-31	US60Q8C	Netflix Inc.	183.29
1971-11-30	US60Q8C	Netflix Inc.	180.75
1971-12-31	US60Q8C	Netflix Inc.	179.44
1972-01-31	US60Q8C	Netflix Inc.	178.39
1972-02-29	US60Q8C	Netflix Inc.	174.75
1972-03-31	US60Q8C	Netflix Inc.	180.6
1972-04-30	US60Q8C	Netflix Inc.	178.98
1972-05-31	US60Q8C	Netflix Inc.	178.73
1972-06-30	US60Q8C	Netflix Inc.	176.28
1972-07-31	US60Q8C	Netflix Inc.	177.9
1972-08-31	US60Q8C	Netflix Inc.	179.86
1972-09-30	US60Q8C	Netflix Inc.	183.52
1972-10-31	US60Q8C	Netflix Inc.	181.96
1972-11-30	US60Q8C	Netflix Inc.	172.37
1972-12-31	US60Q8C	Netflix Inc.	178.22
1973-01-31	US60Q8C	Netflix Inc.	179.29
1973-02-28	US60Q8C	Netflix Inc.	176.72
1973-03-31	US60Q8C	Netflix Inc.	175.53
1973-04-30	US60Q8C	Netflix Inc.	167.75
1973-05-31	US60Q8C	Netflix Inc.	164.39
1973-06-30	US60Q8C	Netflix Inc.	171.46
1973-07-31	US60Q8C	Netflix Inc.	166.78
1973-08-31	US60Q8C	Netflix Inc.	168.91
1973-09-30	US60Q8C	Netflix Inc.	174.88
1973-10-31	US60Q8C	Netflix Inc.	172.72
1973-11-30	US60Q8C	Netflix Inc.	173.5
1973-12-31	US60Q8C	Netflix Inc.	172.58
1974-01-31	US60Q8C	Netflix Inc.	168.74
1974-02-28	US60Q8C	Netflix Inc.	168.99
1974-03-31	US60Q8C	Netflix Inc.	165.78
1974-04-30	US60Q8C	Netflix Inc.	164.22
1974-05-31	US60Q8C	Netflix Inc.	166.86
1974-06-30	US60Q8C	Netflix Inc.	162.8
1974-07-31	US60Q8C	Netflix Inc.	156.13
1974-08-31	US60Q8C	Netflix Inc.	153.72
1974-09-30	US60Q8C	Netflix Inc.	148.07
1974-10-31	US60Q8C	Netflix Inc.	143.67
1974-11-30	US60Q8C	Netflix Inc.	142.67
1974-12-31	US60Q8C	Netflix Inc.	144.51
1975-01-31	US60Q8C	Netflix Inc.	137.3
1975-02-28	US60Q8C	Netflix Inc.	141.26
1975-03-31	US60Q8C	Netflix Inc.	143.12
1975-04-30	US60Q8C	Netflix Inc.	139.44
1975-05-31	US60Q8C	Netflix Inc.	138.83
1975-06-30	US60Q8C	Netflix Inc.	142.22
1975-07-31	US60Q8C	Netflix Inc.	144.85
1975-08-31	US60Q8C	Netflix Inc.	147.94
1975-09-30	US60Q8C	Netflix Inc.	143.2
1975-10-31	US60Q8C	Netflix Inc.	146.57
1975-11-30	US60Q8C	Netflix Inc.	148.6
1975-12-31	US60Q8C	Netflix Inc.	146.84
1976-01-31	US60Q8C	Netflix Inc.	140.92
1976-02-29	US60Q8C	Netflix Inc.	137.09
1976-03-31	US60Q8C	Netflix Inc.	141.54
1976-04-30	US60Q8C	Netflix Inc.	144.11
1976-05-31	US60Q8C	Netflix Inc.	150.78
1976-06-30	US60Q8C	Netflix Inc.	152.47
1976-07-31	US60Q8C	Netflix Inc.	152.9
1976-08-31	US60Q8C	Netflix Inc.	161.18
1976-09-30	US60Q8C	Netflix Inc.	162.35
1976-10-31	US60Q8C	Netflix Inc.	163.37
1976-11-30	US60Q8C	Netflix Inc.	155.35
1976-12-31	US60Q8C	Netflix Inc.	163.57
1977-01-31	US60Q8C	Netflix Inc.	164.58
1977-02-28	US60Q8C	Netflix Inc.	167.53
1977-03-31	US60Q8C	Netflix Inc.	167.28
1977-04-30	US60Q8C	Netflix Inc.	164.55
1977-05-31	US60Q8C	Netflix Inc.	163.21
1977-06-30	US60Q8C	Netflix Inc.	164.5
1977-07-31	US60Q8C	Netflix Inc.	162.61
1977-08-31	US60Q8C	Netflix Inc.	163.66
1977-09-30	US60Q8C	Netflix Inc.	159.69
1977-10-31	US60Q8C	Netflix Inc.	159.7
1977-11-30	US60Q8C	Netflix Inc.	160.75
1977-12-31	US60Q8C	Netflix Inc.	167.66
1978-01-31	US60Q8C	Netflix Inc.	168.27
1978-02-28	US60Q8C	Netflix Inc.	165.76
1978-03-31	US60Q8C	Netflix Inc.	160.01
1978-04-30	US60Q8C	Netflix Inc.	163.51
1978-05-31	US60Q8C	Netflix Inc.	161.34
1978-06-30	US60Q8C	Netflix Inc.	167.73
1978-07-31	US60Q8C	Netflix Inc.	167.66
1978-08-31	US60Q8C	Netflix Inc.	169.47
1978-09-30	US60Q8C	Netflix Inc.	169.49
1978-10-31	US60Q8C	Netflix Inc.	171.71
1978-11-30	US60Q8C	Netflix Inc.	173.44
1978-12-31	US60Q8C	Netflix Inc.	170.91
1979-01-31	US60Q8C	Netflix Inc.	171.73
1979-02-28	US60Q8C	Netflix Inc.	168.36
1979-03-31	US60Q8C	Netflix Inc.	167.99
1979-04-30	US60Q8C	Netflix Inc.	166.53
1979-05-31	US60Q8C	Netflix Inc.	167.81
1979-06-30	US60Q8C	Netflix Inc.	168.04
1979-07-31	US60Q8C	Netflix Inc.	167.31
1979-08-31	US60Q8C	Netflix Inc.	171.22
1979-09-30	US60Q8C	Netflix Inc.	171.71
1979-10-31	US60Q8C	Netflix Inc.	170.14
1979-11-30	US60Q8C	Netflix Inc.	170.65
1979-12-31	US60Q8C	Netflix Inc.	165.41
1980-01-31	US60Q8C	Netflix Inc.	165.22
1980-02-29	US60Q8C	Netflix Inc.	167.87
1980-03-31	US60Q8C	Netflix Inc.	162.09
1980-04-30	US60Q8C	Netflix Inc.	159.73
1980-05-31	US60Q8C	Netflix Inc.	161.84
1980-06-30	US60Q8C	Netflix Inc.	156.29
1980-07-31	US60Q8C	Netflix Inc.	157.0
1980-08-31	US60Q8C	Netflix Inc.	152.68
1980-09-30	US60Q8C	Netflix Inc.	156.45
1980-10-31	US60Q8C	Netflix Inc.	160.89
1980-11-30	US60Q8C	Netflix Inc.	159.53
1980-12-31	US60Q8C	Netflix Inc.	151.14
1981-01-31	US60Q8C	Netflix Inc.	159.55
1981-02-28	US60Q8C	Netflix Inc.	159.97
1981-03-31	US60Q8C	Netflix Inc.	165.99
1981-04-30	US60Q8C	Netflix Inc.	171.38
