Date	Company Code	Company Name	Stock Price
1959-01-31	USRDGKF	New Balance	94.32
1959-02-28	USRDGKF	New Balance	92.5
1959-03-31	USRDGKF	New Balance	95.87
1959-04-30	USRDGKF	New Balance	89.87
1959-05-31	USRDGKF	New Balance	90.27
1959-06-30	USRDGKF	New Balance	86.53
1959-07-31	USRDGKF	New Balance	84.22
1959-08-31	USRDGKF	New Balance	92.28
1959-09-30	USRDGKF	New Balance	92.11
1959-10-31	USRDGKF	New Balance	89.89
1959-11-30	USRDGKF	New Balance	82.25
1959-12-31	USRDGKF	New Balance	79.1
1960-01-31	USRDGKF	New Balance	80.45
1960-02-29	USRDGKF	New Balance	83.53
1960-03-31	USRDGKF	New Balance	81.79
1960-04-30	USRDGKF	New Balance	81.29
1960-05-31	USRDGKF	New Balance	84.21
1960-06-30	USRDGKF	New Balance	81.73
1960-07-31	USRDGKF	New Balance	80.1
1960-08-31	USRDGKF	New Balance	72.65
1960-09-30	USRDGKF	New Balance	81.39
1960-10-31	USRDGKF	New Balance	83.18
1960-11-30	USRDGKF	New Balance	87.25
1960-12-31	USRDGKF	New Balance	87.9
1961-01-31	USRDGKF	New Balance	85.67
1961-02-28	USRDGKF	New Balance	79.59
1961-03-31	USRDGKF	New Balance	79.06
1961-04-30	USRDGKF	New Balance	77.7
1961-05-31	USRDGKF	New Balance	76.53
1961-06-30	USRDGKF	New Balance	77.72
1961-07-31	USRDGKF	New Balance	82.23
1961-08-31	USRDGKF	New Balance	79.24
1961-09-30	USRDGKF	New Balance	78.41
1961-10-31	USRDGKF	New Balance	83.35
1961-11-30	USRDGKF	New Balance	78.04
1961-12-31	USRDGKF	New Balance	75.85
1962-01-31	USRDGKF	New Balance	71.52
1962-02-28	USRDGKF	New Balance	73.44
1962-03-31	USRDGKF	New Balance	71.75
1962-04-30	USRDGKF	New Balance	70.41
1962-05-31	USRDGKF	New Balance	67.18
1962-06-30	USRDGKF	New Balance	72.22
1962-07-31	USRDGKF	New Balance	68.78
1962-08-31	USRDGKF	New Balance	70.18
1962-09-30	USRDGKF	New Balance	78.07
1962-10-31	USRDGKF	New Balance	82.66
1962-11-30	USRDGKF	New Balance	77.99
1962-12-31	USRDGKF	New Balance	73.42
1963-01-31	USRDGKF	New Balance	75.47
1963-02-28	USRDGKF	New Balance	83.13
1963-03-31	USRDGKF	New Balance	77.28
1963-04-30	USRDGKF	New Balance	77.09
1963-05-31	USRDGKF	New Balance	76.84
1963-06-30	USRDGKF	New Balance	75.24
1963-07-31	USRDGKF	New Balance	67.99
1963-08-31	USRDGKF	New Balance	67.96
1963-09-30	USRDGKF	New Balance	72.78
1963-10-31	USRDGKF	New Balance	74.7
1963-11-30	USRDGKF	New Balance	65.66
