Date	Company Code	Company Name	Stock Price
1959-01-31	USHMXM9	Nike Inc.	90.12
1959-02-28	USHMXM9	Nike Inc.	84.73
1959-03-31	USHMXM9	Nike Inc.	86.16
1959-04-30	USHMXM9	Nike Inc.	82.85
1959-05-31	USHMXM9	Nike Inc.	81.44
1959-06-30	USHMXM9	Nike Inc.	80.44
1959-07-31	USHMXM9	Nike Inc.	75.39
1959-08-31	USHMXM9	Nike Inc.	73.07
1959-09-30	USHMXM9	Nike Inc.	81.18
1959-10-31	USHMXM9	Nike Inc.	85.28
1959-11-30	USHMXM9	Nike Inc.	87.42
1959-12-31	USHMXM9	Nike Inc.	87.25
1960-01-31	USHMXM9	Nike Inc.	81.87
1960-02-29	USHMXM9	Nike Inc.	82.68
1960-03-31	USHMXM9	Nike Inc.	86.57
1960-04-30	USHMXM9	Nike Inc.	85.48
1960-05-31	USHMXM9	Nike Inc.	85.37
1960-06-30	USHMXM9	Nike Inc.	94.4
1960-07-31	USHMXM9	Nike Inc.	93.3
1960-08-31	USHMXM9	Nike Inc.	92.26
1960-09-30	USHMXM9	Nike Inc.	100.96
1960-10-31	USHMXM9	Nike Inc.	107.52
1960-11-30	USHMXM9	Nike Inc.	105.74
1960-12-31	USHMXM9	Nike Inc.	103.18
1961-01-31	USHMXM9	Nike Inc.	101.04
1961-02-28	USHMXM9	Nike Inc.	101.55
1961-03-31	USHMXM9	Nike Inc.	99.6
1961-04-30	USHMXM9	Nike Inc.	102.95
1961-05-31	USHMXM9	Nike Inc.	108.05
1961-06-30	USHMXM9	Nike Inc.	103.35
1961-07-31	USHMXM9	Nike Inc.	106.52
1961-08-31	USHMXM9	Nike Inc.	111.22
1961-09-30	USHMXM9	Nike Inc.	113.0
1961-10-31	USHMXM9	Nike Inc.	109.0
1961-11-30	USHMXM9	Nike Inc.	109.97
1961-12-31	USHMXM9	Nike Inc.	104.28
1962-01-31	USHMXM9	Nike Inc.	105.2
1962-02-28	USHMXM9	Nike Inc.	108.49
1962-03-31	USHMXM9	Nike Inc.	109.23
1962-04-30	USHMXM9	Nike Inc.	109.6
1962-05-31	USHMXM9	Nike Inc.	100.81
1962-06-30	USHMXM9	Nike Inc.	102.41
1962-07-31	USHMXM9	Nike Inc.	101.89
1962-08-31	USHMXM9	Nike Inc.	109.41
1962-09-30	USHMXM9	Nike Inc.	103.66
1962-10-31	USHMXM9	Nike Inc.	103.04
1962-11-30	USHMXM9	Nike Inc.	101.6
1962-12-31	USHMXM9	Nike Inc.	100.84
1963-01-31	USHMXM9	Nike Inc.	104.29
1963-02-28	USHMXM9	Nike Inc.	106.46
