Date	Company Code	Company Name	Stock Price
1959-01-31	USY9LIF	Nordstrom Inc.	92.94
1959-02-28	USY9LIF	Nordstrom Inc.	95.62
1959-03-31	USY9LIF	Nordstrom Inc.	91.07
1959-04-30	USY9LIF	Nordstrom Inc.	88.87
1959-05-31	USY9LIF	Nordstrom Inc.	93.08
1959-06-30	USY9LIF	Nordstrom Inc.	94.98
1959-07-31	USY9LIF	Nordstrom Inc.	97.29
1959-08-31	USY9LIF	Nordstrom Inc.	104.26
1959-09-30	USY9LIF	Nordstrom Inc.	100.35
1959-10-31	USY9LIF	Nordstrom Inc.	102.21
1959-11-30	USY9LIF	Nordstrom Inc.	110.69
1959-12-31	USY9LIF	Nordstrom Inc.	114.91
1960-01-31	USY9LIF	Nordstrom Inc.	116.36
1960-02-29	USY9LIF	Nordstrom Inc.	116.65
1960-03-31	USY9LIF	Nordstrom Inc.	123.48
1960-04-30	USY9LIF	Nordstrom Inc.	124.34
1960-05-31	USY9LIF	Nordstrom Inc.	123.01
1960-06-30	USY9LIF	Nordstrom Inc.	126.3
1960-07-31	USY9LIF	Nordstrom Inc.	126.75
1960-08-31	USY9LIF	Nordstrom Inc.	125.65
1960-09-30	USY9LIF	Nordstrom Inc.	124.27
1960-10-31	USY9LIF	Nordstrom Inc.	121.41
1960-11-30	USY9LIF	Nordstrom Inc.	119.63
1960-12-31	USY9LIF	Nordstrom Inc.	121.9
1961-01-31	USY9LIF	Nordstrom Inc.	127.64
1961-02-28	USY9LIF	Nordstrom Inc.	124.9
1961-03-31	USY9LIF	Nordstrom Inc.	127.91
1961-04-30	USY9LIF	Nordstrom Inc.	129.26
1961-05-31	USY9LIF	Nordstrom Inc.	130.36
1961-06-30	USY9LIF	Nordstrom Inc.	124.13
1961-07-31	USY9LIF	Nordstrom Inc.	127.11
1961-08-31	USY9LIF	Nordstrom Inc.	130.75
1961-09-30	USY9LIF	Nordstrom Inc.	124.74
1961-10-31	USY9LIF	Nordstrom Inc.	130.3
1961-11-30	USY9LIF	Nordstrom Inc.	130.56
1961-12-31	USY9LIF	Nordstrom Inc.	125.34
1962-01-31	USY9LIF	Nordstrom Inc.	122.13
1962-02-28	USY9LIF	Nordstrom Inc.	118.83
1962-03-31	USY9LIF	Nordstrom Inc.	121.97
1962-04-30	USY9LIF	Nordstrom Inc.	124.8
1962-05-31	USY9LIF	Nordstrom Inc.	118.72
1962-06-30	USY9LIF	Nordstrom Inc.	116.77
1962-07-31	USY9LIF	Nordstrom Inc.	123.03
1962-08-31	USY9LIF	Nordstrom Inc.	126.7
1962-09-30	USY9LIF	Nordstrom Inc.	131.13
1962-10-31	USY9LIF	Nordstrom Inc.	128.41
1962-11-30	USY9LIF	Nordstrom Inc.	126.64
1962-12-31	USY9LIF	Nordstrom Inc.	127.48
1963-01-31	USY9LIF	Nordstrom Inc.	130.52
1963-02-28	USY9LIF	Nordstrom Inc.	132.2
1963-03-31	USY9LIF	Nordstrom Inc.	135.0
1963-04-30	USY9LIF	Nordstrom Inc.	133.74
1963-05-31	USY9LIF	Nordstrom Inc.	132.59
1963-06-30	USY9LIF	Nordstrom Inc.	126.05
1963-07-31	USY9LIF	Nordstrom Inc.	127.17
1963-08-31	USY9LIF	Nordstrom Inc.	127.9
1963-09-30	USY9LIF	Nordstrom Inc.	127.45
1963-10-31	USY9LIF	Nordstrom Inc.	131.98
1963-11-30	USY9LIF	Nordstrom Inc.	133.66
1963-12-31	USY9LIF	Nordstrom Inc.	135.18
1964-01-31	USY9LIF	Nordstrom Inc.	130.14
1964-02-29	USY9LIF	Nordstrom Inc.	131.89
1964-03-31	USY9LIF	Nordstrom Inc.	132.53
1964-04-30	USY9LIF	Nordstrom Inc.	129.87
1964-05-31	USY9LIF	Nordstrom Inc.	129.54
1964-06-30	USY9LIF	Nordstrom Inc.	128.18
1964-07-31	USY9LIF	Nordstrom Inc.	131.45
1964-08-31	USY9LIF	Nordstrom Inc.	129.93
1964-09-30	USY9LIF	Nordstrom Inc.	128.35
1964-10-31	USY9LIF	Nordstrom Inc.	128.72
1964-11-30	USY9LIF	Nordstrom Inc.	129.34
1964-12-31	USY9LIF	Nordstrom Inc.	126.6
1965-01-31	USY9LIF	Nordstrom Inc.	125.78
1965-02-28	USY9LIF	Nordstrom Inc.	129.21
1965-03-31	USY9LIF	Nordstrom Inc.	130.9
1965-04-30	USY9LIF	Nordstrom Inc.	128.29
1965-05-31	USY9LIF	Nordstrom Inc.	126.54
1965-06-30	USY9LIF	Nordstrom Inc.	122.57
1965-07-31	USY9LIF	Nordstrom Inc.	122.69
1965-08-31	USY9LIF	Nordstrom Inc.	122.73
1965-09-30	USY9LIF	Nordstrom Inc.	124.71
1965-10-31	USY9LIF	Nordstrom Inc.	125.86
1965-11-30	USY9LIF	Nordstrom Inc.	129.6
1965-12-31	USY9LIF	Nordstrom Inc.	124.43
1966-01-31	USY9LIF	Nordstrom Inc.	122.38
1966-02-28	USY9LIF	Nordstrom Inc.	119.53
1966-03-31	USY9LIF	Nordstrom Inc.	126.59
1966-04-30	USY9LIF	Nordstrom Inc.	129.29
1966-05-31	USY9LIF	Nordstrom Inc.	129.26
1966-06-30	USY9LIF	Nordstrom Inc.	130.5
1966-07-31	USY9LIF	Nordstrom Inc.	131.91
1966-08-31	USY9LIF	Nordstrom Inc.	136.66
1966-09-30	USY9LIF	Nordstrom Inc.	137.9
1966-10-31	USY9LIF	Nordstrom Inc.	137.02
1966-11-30	USY9LIF	Nordstrom Inc.	132.88
1966-12-31	USY9LIF	Nordstrom Inc.	130.38
1967-01-31	USY9LIF	Nordstrom Inc.	125.1
1967-02-28	USY9LIF	Nordstrom Inc.	125.14
1967-03-31	USY9LIF	Nordstrom Inc.	126.86
1967-04-30	USY9LIF	Nordstrom Inc.	128.43
1967-05-31	USY9LIF	Nordstrom Inc.	124.67
1967-06-30	USY9LIF	Nordstrom Inc.	119.74
1967-07-31	USY9LIF	Nordstrom Inc.	127.88
1967-08-31	USY9LIF	Nordstrom Inc.	132.32
1967-09-30	USY9LIF	Nordstrom Inc.	131.62
1967-10-31	USY9LIF	Nordstrom Inc.	134.27
1967-11-30	USY9LIF	Nordstrom Inc.	134.51
