Date	Company Code	Company Name	Stock Price
1959-01-31	USS6UOD	Northrop Grumman Corp.	108.31
1959-02-28	USS6UOD	Northrop Grumman Corp.	111.91
1959-03-31	USS6UOD	Northrop Grumman Corp.	107.47
1959-04-30	USS6UOD	Northrop Grumman Corp.	110.66
1959-05-31	USS6UOD	Northrop Grumman Corp.	107.04
1959-06-30	USS6UOD	Northrop Grumman Corp.	102.58
1959-07-31	USS6UOD	Northrop Grumman Corp.	97.1
1959-08-31	USS6UOD	Northrop Grumman Corp.	93.15
1959-09-30	USS6UOD	Northrop Grumman Corp.	94.95
1959-10-31	USS6UOD	Northrop Grumman Corp.	93.37
1959-11-30	USS6UOD	Northrop Grumman Corp.	99.9
1959-12-31	USS6UOD	Northrop Grumman Corp.	100.13
1960-01-31	USS6UOD	Northrop Grumman Corp.	92.38
1960-02-29	USS6UOD	Northrop Grumman Corp.	98.43
1960-03-31	USS6UOD	Northrop Grumman Corp.	101.6
1960-04-30	USS6UOD	Northrop Grumman Corp.	102.33
1960-05-31	USS6UOD	Northrop Grumman Corp.	94.1
1960-06-30	USS6UOD	Northrop Grumman Corp.	97.24
1960-07-31	USS6UOD	Northrop Grumman Corp.	100.23
1960-08-31	USS6UOD	Northrop Grumman Corp.	98.02
1960-09-30	USS6UOD	Northrop Grumman Corp.	99.4
1960-10-31	USS6UOD	Northrop Grumman Corp.	92.18
1960-11-30	USS6UOD	Northrop Grumman Corp.	91.33
1960-12-31	USS6UOD	Northrop Grumman Corp.	87.98
1961-01-31	USS6UOD	Northrop Grumman Corp.	90.82
1961-02-28	USS6UOD	Northrop Grumman Corp.	91.09
1961-03-31	USS6UOD	Northrop Grumman Corp.	90.68
1961-04-30	USS6UOD	Northrop Grumman Corp.	94.37
1961-05-31	USS6UOD	Northrop Grumman Corp.	92.11
1961-06-30	USS6UOD	Northrop Grumman Corp.	93.14
1961-07-31	USS6UOD	Northrop Grumman Corp.	93.36
1961-08-31	USS6UOD	Northrop Grumman Corp.	94.76
1961-09-30	USS6UOD	Northrop Grumman Corp.	97.13
1961-10-31	USS6UOD	Northrop Grumman Corp.	100.0
1961-11-30	USS6UOD	Northrop Grumman Corp.	102.84
1961-12-31	USS6UOD	Northrop Grumman Corp.	105.38
1962-01-31	USS6UOD	Northrop Grumman Corp.	104.55
1962-02-28	USS6UOD	Northrop Grumman Corp.	104.42
1962-03-31	USS6UOD	Northrop Grumman Corp.	107.56
1962-04-30	USS6UOD	Northrop Grumman Corp.	110.07
1962-05-31	USS6UOD	Northrop Grumman Corp.	109.33
1962-06-30	USS6UOD	Northrop Grumman Corp.	104.88
1962-07-31	USS6UOD	Northrop Grumman Corp.	96.67
1962-08-31	USS6UOD	Northrop Grumman Corp.	91.81
1962-09-30	USS6UOD	Northrop Grumman Corp.	98.02
1962-10-31	USS6UOD	Northrop Grumman Corp.	91.06
1962-11-30	USS6UOD	Northrop Grumman Corp.	95.21
1962-12-31	USS6UOD	Northrop Grumman Corp.	91.86
1963-01-31	USS6UOD	Northrop Grumman Corp.	87.56
1963-02-28	USS6UOD	Northrop Grumman Corp.	84.3
1963-03-31	USS6UOD	Northrop Grumman Corp.	76.51
1963-04-30	USS6UOD	Northrop Grumman Corp.	77.49
1963-05-31	USS6UOD	Northrop Grumman Corp.	81.41
1963-06-30	USS6UOD	Northrop Grumman Corp.	77.11
1963-07-31	USS6UOD	Northrop Grumman Corp.	81.39
1963-08-31	USS6UOD	Northrop Grumman Corp.	80.01
1963-09-30	USS6UOD	Northrop Grumman Corp.	78.83
1963-10-31	USS6UOD	Northrop Grumman Corp.	84.1
1963-11-30	USS6UOD	Northrop Grumman Corp.	87.06
1963-12-31	USS6UOD	Northrop Grumman Corp.	90.16
1964-01-31	USS6UOD	Northrop Grumman Corp.	95.32
1964-02-29	USS6UOD	Northrop Grumman Corp.	96.95
1964-03-31	USS6UOD	Northrop Grumman Corp.	94.12
1964-04-30	USS6UOD	Northrop Grumman Corp.	102.59
1964-05-31	USS6UOD	Northrop Grumman Corp.	106.1
1964-06-30	USS6UOD	Northrop Grumman Corp.	113.26
1964-07-31	USS6UOD	Northrop Grumman Corp.	113.22
1964-08-31	USS6UOD	Northrop Grumman Corp.	112.75
1964-09-30	USS6UOD	Northrop Grumman Corp.	109.05
1964-10-31	USS6UOD	Northrop Grumman Corp.	108.05
1964-11-30	USS6UOD	Northrop Grumman Corp.	106.21
1964-12-31	USS6UOD	Northrop Grumman Corp.	101.67
1965-01-31	USS6UOD	Northrop Grumman Corp.	100.55
1965-02-28	USS6UOD	Northrop Grumman Corp.	100.77
1965-03-31	USS6UOD	Northrop Grumman Corp.	98.79
1965-04-30	USS6UOD	Northrop Grumman Corp.	101.94
1965-05-31	USS6UOD	Northrop Grumman Corp.	105.11
1965-06-30	USS6UOD	Northrop Grumman Corp.	102.76
1965-07-31	USS6UOD	Northrop Grumman Corp.	103.94
1965-08-31	USS6UOD	Northrop Grumman Corp.	99.09
1965-09-30	USS6UOD	Northrop Grumman Corp.	100.35
1965-10-31	USS6UOD	Northrop Grumman Corp.	95.05
