Date	Company Code	Company Name	Stock Price
1959-01-31	USQF3YZ	OfferUp	107.64
1959-02-28	USQF3YZ	OfferUp	108.17
1959-03-31	USQF3YZ	OfferUp	110.43
1959-04-30	USQF3YZ	OfferUp	113.53
1959-05-31	USQF3YZ	OfferUp	117.6
1959-06-30	USQF3YZ	OfferUp	120.04
1959-07-31	USQF3YZ	OfferUp	121.61
1959-08-31	USQF3YZ	OfferUp	120.44
1959-09-30	USQF3YZ	OfferUp	123.41
1959-10-31	USQF3YZ	OfferUp	130.17
1959-11-30	USQF3YZ	OfferUp	122.76
1959-12-31	USQF3YZ	OfferUp	122.48
1960-01-31	USQF3YZ	OfferUp	128.41
1960-02-29	USQF3YZ	OfferUp	128.91
1960-03-31	USQF3YZ	OfferUp	127.67
1960-04-30	USQF3YZ	OfferUp	127.08
1960-05-31	USQF3YZ	OfferUp	130.4
1960-06-30	USQF3YZ	OfferUp	137.71
1960-07-31	USQF3YZ	OfferUp	143.7
1960-08-31	USQF3YZ	OfferUp	139.97
1960-09-30	USQF3YZ	OfferUp	138.84
1960-10-31	USQF3YZ	OfferUp	141.73
1960-11-30	USQF3YZ	OfferUp	132.91
1960-12-31	USQF3YZ	OfferUp	130.87
1961-01-31	USQF3YZ	OfferUp	136.2
1961-02-28	USQF3YZ	OfferUp	143.42
1961-03-31	USQF3YZ	OfferUp	148.64
1961-04-30	USQF3YZ	OfferUp	147.01
1961-05-31	USQF3YZ	OfferUp	143.68
1961-06-30	USQF3YZ	OfferUp	145.61
1961-07-31	USQF3YZ	OfferUp	140.37
1961-08-31	USQF3YZ	OfferUp	143.32
1961-09-30	USQF3YZ	OfferUp	143.02
1961-10-31	USQF3YZ	OfferUp	142.37
1961-11-30	USQF3YZ	OfferUp	137.69
1961-12-31	USQF3YZ	OfferUp	134.8
1962-01-31	USQF3YZ	OfferUp	138.99
1962-02-28	USQF3YZ	OfferUp	138.11
1962-03-31	USQF3YZ	OfferUp	144.32
1962-04-30	USQF3YZ	OfferUp	145.77
1962-05-31	USQF3YZ	OfferUp	143.26
1962-06-30	USQF3YZ	OfferUp	144.53
1962-07-31	USQF3YZ	OfferUp	141.51
1962-08-31	USQF3YZ	OfferUp	141.04
1962-09-30	USQF3YZ	OfferUp	135.82
1962-10-31	USQF3YZ	OfferUp	136.21
1962-11-30	USQF3YZ	OfferUp	133.59
1962-12-31	USQF3YZ	OfferUp	133.11
1963-01-31	USQF3YZ	OfferUp	134.44
1963-02-28	USQF3YZ	OfferUp	140.96
1963-03-31	USQF3YZ	OfferUp	138.47
1963-04-30	USQF3YZ	OfferUp	137.93
1963-05-31	USQF3YZ	OfferUp	139.54
1963-06-30	USQF3YZ	OfferUp	141.96
1963-07-31	USQF3YZ	OfferUp	145.66
1963-08-31	USQF3YZ	OfferUp	145.5
1963-09-30	USQF3YZ	OfferUp	141.06
1963-10-31	USQF3YZ	OfferUp	140.23
1963-11-30	USQF3YZ	OfferUp	144.1
