Date	Company Code	Company Name	Stock Price
1959-01-31	US67IHT	Ollie’s Bargain Outlet	102.17
1959-02-28	US67IHT	Ollie’s Bargain Outlet	108.54
1959-03-31	US67IHT	Ollie’s Bargain Outlet	108.17
1959-04-30	US67IHT	Ollie’s Bargain Outlet	113.95
1959-05-31	US67IHT	Ollie’s Bargain Outlet	110.16
1959-06-30	US67IHT	Ollie’s Bargain Outlet	114.31
1959-07-31	US67IHT	Ollie’s Bargain Outlet	116.93
1959-08-31	US67IHT	Ollie’s Bargain Outlet	113.49
1959-09-30	US67IHT	Ollie’s Bargain Outlet	114.35
1959-10-31	US67IHT	Ollie’s Bargain Outlet	110.5
1959-11-30	US67IHT	Ollie’s Bargain Outlet	110.07
1959-12-31	US67IHT	Ollie’s Bargain Outlet	100.91
1960-01-31	US67IHT	Ollie’s Bargain Outlet	100.98
1960-02-29	US67IHT	Ollie’s Bargain Outlet	104.89
1960-03-31	US67IHT	Ollie’s Bargain Outlet	102.57
1960-04-30	US67IHT	Ollie’s Bargain Outlet	107.03
1960-05-31	US67IHT	Ollie’s Bargain Outlet	104.9
1960-06-30	US67IHT	Ollie’s Bargain Outlet	109.32
1960-07-31	US67IHT	Ollie’s Bargain Outlet	110.55
1960-08-31	US67IHT	Ollie’s Bargain Outlet	110.62
1960-09-30	US67IHT	Ollie’s Bargain Outlet	108.46
1960-10-31	US67IHT	Ollie’s Bargain Outlet	106.9
1960-11-30	US67IHT	Ollie’s Bargain Outlet	100.62
1960-12-31	US67IHT	Ollie’s Bargain Outlet	95.92
1961-01-31	US67IHT	Ollie’s Bargain Outlet	94.2
1961-02-28	US67IHT	Ollie’s Bargain Outlet	92.71
1961-03-31	US67IHT	Ollie’s Bargain Outlet	98.04
1961-04-30	US67IHT	Ollie’s Bargain Outlet	94.06
1961-05-31	US67IHT	Ollie’s Bargain Outlet	91.46
1961-06-30	US67IHT	Ollie’s Bargain Outlet	92.98
1961-07-31	US67IHT	Ollie’s Bargain Outlet	98.03
1961-08-31	US67IHT	Ollie’s Bargain Outlet	96.58
1961-09-30	US67IHT	Ollie’s Bargain Outlet	90.02
1961-10-31	US67IHT	Ollie’s Bargain Outlet	85.6
1961-11-30	US67IHT	Ollie’s Bargain Outlet	84.2
1961-12-31	US67IHT	Ollie’s Bargain Outlet	80.43
1962-01-31	US67IHT	Ollie’s Bargain Outlet	81.75
1962-02-28	US67IHT	Ollie’s Bargain Outlet	77.56
1962-03-31	US67IHT	Ollie’s Bargain Outlet	73.42
1962-04-30	US67IHT	Ollie’s Bargain Outlet	72.98
1962-05-31	US67IHT	Ollie’s Bargain Outlet	69.99
1962-06-30	US67IHT	Ollie’s Bargain Outlet	75.5
1962-07-31	US67IHT	Ollie’s Bargain Outlet	74.43
1962-08-31	US67IHT	Ollie’s Bargain Outlet	71.97
1962-09-30	US67IHT	Ollie’s Bargain Outlet	64.66
1962-10-31	US67IHT	Ollie’s Bargain Outlet	70.59
1962-11-30	US67IHT	Ollie’s Bargain Outlet	66.01
1962-12-31	US67IHT	Ollie’s Bargain Outlet	66.66
1963-01-31	US67IHT	Ollie’s Bargain Outlet	64.22
1963-02-28	US67IHT	Ollie’s Bargain Outlet	63.4
1963-03-31	US67IHT	Ollie’s Bargain Outlet	64.06
1963-04-30	US67IHT	Ollie’s Bargain Outlet	70.18
1963-05-31	US67IHT	Ollie’s Bargain Outlet	67.77
1963-06-30	US67IHT	Ollie’s Bargain Outlet	64.5
1963-07-31	US67IHT	Ollie’s Bargain Outlet	62.17
1963-08-31	US67IHT	Ollie’s Bargain Outlet	62.01
1963-09-30	US67IHT	Ollie’s Bargain Outlet	63.54
1963-10-31	US67IHT	Ollie’s Bargain Outlet	62.37
1963-11-30	US67IHT	Ollie’s Bargain Outlet	61.42321848356834
1963-12-31	US67IHT	Ollie’s Bargain Outlet	62.97
1964-01-31	US67IHT	Ollie’s Bargain Outlet	62.837518859996216
1964-02-29	US67IHT	Ollie’s Bargain Outlet	64.96
1964-03-31	US67IHT	Ollie’s Bargain Outlet	70.0
1964-04-30	US67IHT	Ollie’s Bargain Outlet	66.93
1964-05-31	US67IHT	Ollie’s Bargain Outlet	70.77
1964-06-30	US67IHT	Ollie’s Bargain Outlet	76.85
1964-07-31	US67IHT	Ollie’s Bargain Outlet	75.74
1964-08-31	US67IHT	Ollie’s Bargain Outlet	74.58
1964-09-30	US67IHT	Ollie’s Bargain Outlet	74.58
1964-10-31	US67IHT	Ollie’s Bargain Outlet	67.62
1964-11-30	US67IHT	Ollie’s Bargain Outlet	65.53
1964-12-31	US67IHT	Ollie’s Bargain Outlet	60.34
1965-01-31	US67IHT	Ollie’s Bargain Outlet	61.37470691349442
1965-02-28	US67IHT	Ollie’s Bargain Outlet	60.04
1965-03-31	US67IHT	Ollie’s Bargain Outlet	61.73029953780504
1965-04-30	US67IHT	Ollie’s Bargain Outlet	67.56
1965-05-31	US67IHT	Ollie’s Bargain Outlet	72.93
1965-06-30	US67IHT	Ollie’s Bargain Outlet	77.71
1965-07-31	US67IHT	Ollie’s Bargain Outlet	71.62
1965-08-31	US67IHT	Ollie’s Bargain Outlet	78.5
1965-09-30	US67IHT	Ollie’s Bargain Outlet	79.77
1965-10-31	US67IHT	Ollie’s Bargain Outlet	88.54
1965-11-30	US67IHT	Ollie’s Bargain Outlet	92.89
1965-12-31	US67IHT	Ollie’s Bargain Outlet	93.23
1966-01-31	US67IHT	Ollie’s Bargain Outlet	86.24
1966-02-28	US67IHT	Ollie’s Bargain Outlet	81.33
1966-03-31	US67IHT	Ollie’s Bargain Outlet	81.12
1966-04-30	US67IHT	Ollie’s Bargain Outlet	86.69
1966-05-31	US67IHT	Ollie’s Bargain Outlet	80.77
1966-06-30	US67IHT	Ollie’s Bargain Outlet	79.15
1966-07-31	US67IHT	Ollie’s Bargain Outlet	80.39
1966-08-31	US67IHT	Ollie’s Bargain Outlet	75.97
1966-09-30	US67IHT	Ollie’s Bargain Outlet	76.55
1966-10-31	US67IHT	Ollie’s Bargain Outlet	79.25
1966-11-30	US67IHT	Ollie’s Bargain Outlet	77.65
1966-12-31	US67IHT	Ollie’s Bargain Outlet	78.9
1967-01-31	US67IHT	Ollie’s Bargain Outlet	81.78
1967-02-28	US67IHT	Ollie’s Bargain Outlet	85.5
1967-03-31	US67IHT	Ollie’s Bargain Outlet	81.44
1967-04-30	US67IHT	Ollie’s Bargain Outlet	81.0
1967-05-31	US67IHT	Ollie’s Bargain Outlet	77.92
1967-06-30	US67IHT	Ollie’s Bargain Outlet	80.06
1967-07-31	US67IHT	Ollie’s Bargain Outlet	74.84
1967-08-31	US67IHT	Ollie’s Bargain Outlet	67.11
1967-09-30	US67IHT	Ollie’s Bargain Outlet	65.47
1967-10-31	US67IHT	Ollie’s Bargain Outlet	71.05
1967-11-30	US67IHT	Ollie’s Bargain Outlet	72.26
1967-12-31	US67IHT	Ollie’s Bargain Outlet	76.05
