Date	Company Code	Company Name	Stock Price
1959-01-31	USF1IMI	Oracle Corp.	110.02
1959-02-28	USF1IMI	Oracle Corp.	115.69
1959-03-31	USF1IMI	Oracle Corp.	116.96
1959-04-30	USF1IMI	Oracle Corp.	117.2
1959-05-31	USF1IMI	Oracle Corp.	115.76
1959-06-30	USF1IMI	Oracle Corp.	113.84
1959-07-31	USF1IMI	Oracle Corp.	109.14
1959-08-31	USF1IMI	Oracle Corp.	114.46
1959-09-30	USF1IMI	Oracle Corp.	122.03
1959-10-31	USF1IMI	Oracle Corp.	127.3
1959-11-30	USF1IMI	Oracle Corp.	126.2
1959-12-31	USF1IMI	Oracle Corp.	126.29
1960-01-31	USF1IMI	Oracle Corp.	125.96
1960-02-29	USF1IMI	Oracle Corp.	126.68
1960-03-31	USF1IMI	Oracle Corp.	128.58
1960-04-30	USF1IMI	Oracle Corp.	134.57
1960-05-31	USF1IMI	Oracle Corp.	138.92
1960-06-30	USF1IMI	Oracle Corp.	134.92
1960-07-31	USF1IMI	Oracle Corp.	141.52
1960-08-31	USF1IMI	Oracle Corp.	146.94
1960-09-30	USF1IMI	Oracle Corp.	144.75
1960-10-31	USF1IMI	Oracle Corp.	145.58
1960-11-30	USF1IMI	Oracle Corp.	145.29
1960-12-31	USF1IMI	Oracle Corp.	147.38
1961-01-31	USF1IMI	Oracle Corp.	142.34
1961-02-28	USF1IMI	Oracle Corp.	140.67
1961-03-31	USF1IMI	Oracle Corp.	139.48
1961-04-30	USF1IMI	Oracle Corp.	143.47
1961-05-31	USF1IMI	Oracle Corp.	142.41
1961-06-30	USF1IMI	Oracle Corp.	143.86
1961-07-31	USF1IMI	Oracle Corp.	145.63
1961-08-31	USF1IMI	Oracle Corp.	150.27
1961-09-30	USF1IMI	Oracle Corp.	151.97
1961-10-31	USF1IMI	Oracle Corp.	146.57
1961-11-30	USF1IMI	Oracle Corp.	148.0
1961-12-31	USF1IMI	Oracle Corp.	149.93
1962-01-31	USF1IMI	Oracle Corp.	149.17
1962-02-28	USF1IMI	Oracle Corp.	145.78
1962-03-31	USF1IMI	Oracle Corp.	146.54
1962-04-30	USF1IMI	Oracle Corp.	150.66
1962-05-31	USF1IMI	Oracle Corp.	152.66
1962-06-30	USF1IMI	Oracle Corp.	150.47
1962-07-31	USF1IMI	Oracle Corp.	149.61
1962-08-31	USF1IMI	Oracle Corp.	145.59
1962-09-30	USF1IMI	Oracle Corp.	142.98
1962-10-31	USF1IMI	Oracle Corp.	145.91
1962-11-30	USF1IMI	Oracle Corp.	145.96
1962-12-31	USF1IMI	Oracle Corp.	142.59
1963-01-31	USF1IMI	Oracle Corp.	142.74
1963-02-28	USF1IMI	Oracle Corp.	142.52
1963-03-31	USF1IMI	Oracle Corp.	142.95
1963-04-30	USF1IMI	Oracle Corp.	141.91
1963-05-31	USF1IMI	Oracle Corp.	146.67
1963-06-30	USF1IMI	Oracle Corp.	141.47
1963-07-31	USF1IMI	Oracle Corp.	141.22
1963-08-31	USF1IMI	Oracle Corp.	140.97
1963-09-30	USF1IMI	Oracle Corp.	138.33
1963-10-31	USF1IMI	Oracle Corp.	143.18
1963-11-30	USF1IMI	Oracle Corp.	141.24
1963-12-31	USF1IMI	Oracle Corp.	140.27
1964-01-31	USF1IMI	Oracle Corp.	141.77
1964-02-29	USF1IMI	Oracle Corp.	137.72
1964-03-31	USF1IMI	Oracle Corp.	130.58
1964-04-30	USF1IMI	Oracle Corp.	128.3
1964-05-31	USF1IMI	Oracle Corp.	129.01
1964-06-30	USF1IMI	Oracle Corp.	134.58
1964-07-31	USF1IMI	Oracle Corp.	139.26
1964-08-31	USF1IMI	Oracle Corp.	132.88
1964-09-30	USF1IMI	Oracle Corp.	128.07
1964-10-31	USF1IMI	Oracle Corp.	128.04
1964-11-30	USF1IMI	Oracle Corp.	124.37
1964-12-31	USF1IMI	Oracle Corp.	122.94
1965-01-31	USF1IMI	Oracle Corp.	124.85
1965-02-28	USF1IMI	Oracle Corp.	124.4
1965-03-31	USF1IMI	Oracle Corp.	118.5
1965-04-30	USF1IMI	Oracle Corp.	117.21
1965-05-31	USF1IMI	Oracle Corp.	116.48
1965-06-30	USF1IMI	Oracle Corp.	119.14
1965-07-31	USF1IMI	Oracle Corp.	119.39
1965-08-31	USF1IMI	Oracle Corp.	123.46
1965-09-30	USF1IMI	Oracle Corp.	122.3
1965-10-31	USF1IMI	Oracle Corp.	122.67
1965-11-30	USF1IMI	Oracle Corp.	128.61
1965-12-31	USF1IMI	Oracle Corp.	128.36
1966-01-31	USF1IMI	Oracle Corp.	133.16
1966-02-28	USF1IMI	Oracle Corp.	136.74
1966-03-31	USF1IMI	Oracle Corp.	142.14
1966-04-30	USF1IMI	Oracle Corp.	144.81
1966-05-31	USF1IMI	Oracle Corp.	145.92
1966-06-30	USF1IMI	Oracle Corp.	144.14
1966-07-31	USF1IMI	Oracle Corp.	143.71
1966-08-31	USF1IMI	Oracle Corp.	151.45
1966-09-30	USF1IMI	Oracle Corp.	156.57
1966-10-31	USF1IMI	Oracle Corp.	160.66
1966-11-30	USF1IMI	Oracle Corp.	164.01
1966-12-31	USF1IMI	Oracle Corp.	164.99
1967-01-31	USF1IMI	Oracle Corp.	162.42
1967-02-28	USF1IMI	Oracle Corp.	160.85
1967-03-31	USF1IMI	Oracle Corp.	159.95
1967-04-30	USF1IMI	Oracle Corp.	157.08
1967-05-31	USF1IMI	Oracle Corp.	154.41
1967-06-30	USF1IMI	Oracle Corp.	157.91
1967-07-31	USF1IMI	Oracle Corp.	160.51
1967-08-31	USF1IMI	Oracle Corp.	155.63
1967-09-30	USF1IMI	Oracle Corp.	162.01
1967-10-31	USF1IMI	Oracle Corp.	156.65
1967-11-30	USF1IMI	Oracle Corp.	155.72
1967-12-31	USF1IMI	Oracle Corp.	152.66
1968-01-31	USF1IMI	Oracle Corp.	156.54
1968-02-29	USF1IMI	Oracle Corp.	153.38
1968-03-31	USF1IMI	Oracle Corp.	153.34
1968-04-30	USF1IMI	Oracle Corp.	151.13
1968-05-31	USF1IMI	Oracle Corp.	151.3
1968-06-30	USF1IMI	Oracle Corp.	154.21
1968-07-31	USF1IMI	Oracle Corp.	147.89
1968-08-31	USF1IMI	Oracle Corp.	151.8
1968-09-30	USF1IMI	Oracle Corp.	154.39
1968-10-31	USF1IMI	Oracle Corp.	158.35
1968-11-30	USF1IMI	Oracle Corp.	159.84
1968-12-31	USF1IMI	Oracle Corp.	156.44
1969-01-31	USF1IMI	Oracle Corp.	160.47
1969-02-28	USF1IMI	Oracle Corp.	159.87
1969-03-31	USF1IMI	Oracle Corp.	160.62
1969-04-30	USF1IMI	Oracle Corp.	163.67
1969-05-31	USF1IMI	Oracle Corp.	171.52
1969-06-30	USF1IMI	Oracle Corp.	175.77
1969-07-31	USF1IMI	Oracle Corp.	169.35
1969-08-31	USF1IMI	Oracle Corp.	169.22
1969-09-30	USF1IMI	Oracle Corp.	173.88
1969-10-31	USF1IMI	Oracle Corp.	169.66
1969-11-30	USF1IMI	Oracle Corp.	173.45
1969-12-31	USF1IMI	Oracle Corp.	178.18
1970-01-31	USF1IMI	Oracle Corp.	184.94
1970-02-28	USF1IMI	Oracle Corp.	188.3
1970-03-31	USF1IMI	Oracle Corp.	187.58
1970-04-30	USF1IMI	Oracle Corp.	189.47
1970-05-31	USF1IMI	Oracle Corp.	187.54
1970-06-30	USF1IMI	Oracle Corp.	186.4
1970-07-31	USF1IMI	Oracle Corp.	181.43
1970-08-31	USF1IMI	Oracle Corp.	182.26
1970-09-30	USF1IMI	Oracle Corp.	189.51
1970-10-31	USF1IMI	Oracle Corp.	187.95
1970-11-30	USF1IMI	Oracle Corp.	185.32
1970-12-31	USF1IMI	Oracle Corp.	183.16
1971-01-31	USF1IMI	Oracle Corp.	180.75
1971-02-28	USF1IMI	Oracle Corp.	182.72
1971-03-31	USF1IMI	Oracle Corp.	174.16
1971-04-30	USF1IMI	Oracle Corp.	172.45
1971-05-31	USF1IMI	Oracle Corp.	173.85
1971-06-30	USF1IMI	Oracle Corp.	174.74
1971-07-31	USF1IMI	Oracle Corp.	178.58
1971-08-31	USF1IMI	Oracle Corp.	178.82
1971-09-30	USF1IMI	Oracle Corp.	183.89
1971-10-31	USF1IMI	Oracle Corp.	186.03
1971-11-30	USF1IMI	Oracle Corp.	184.1
1971-12-31	USF1IMI	Oracle Corp.	186.18
1972-01-31	USF1IMI	Oracle Corp.	188.86
1972-02-29	USF1IMI	Oracle Corp.	189.42
1972-03-31	USF1IMI	Oracle Corp.	194.58
1972-04-30	USF1IMI	Oracle Corp.	196.84
1972-05-31	USF1IMI	Oracle Corp.	196.84
1972-06-30	USF1IMI	Oracle Corp.	192.8
1972-07-31	USF1IMI	Oracle Corp.	190.81
1972-08-31	USF1IMI	Oracle Corp.	188.08
1972-09-30	USF1IMI	Oracle Corp.	181.9
1972-10-31	USF1IMI	Oracle Corp.	185.53
1972-11-30	USF1IMI	Oracle Corp.	189.45
1972-12-31	USF1IMI	Oracle Corp.	186.2
1973-01-31	USF1IMI	Oracle Corp.	183.38
1973-02-28	USF1IMI	Oracle Corp.	183.41
1973-03-31	USF1IMI	Oracle Corp.	182.68
1973-04-30	USF1IMI	Oracle Corp.	184.1
1973-05-31	USF1IMI	Oracle Corp.	182.34
1973-06-30	USF1IMI	Oracle Corp.	177.65
1973-07-31	USF1IMI	Oracle Corp.	177.76
1973-08-31	USF1IMI	Oracle Corp.	177.71
1973-09-30	USF1IMI	Oracle Corp.	176.94
1973-10-31	USF1IMI	Oracle Corp.	167.86
1973-11-30	USF1IMI	Oracle Corp.	168.63
1973-12-31	USF1IMI	Oracle Corp.	168.48
1974-01-31	USF1IMI	Oracle Corp.	161.51
1974-02-28	USF1IMI	Oracle Corp.	167.0
1974-03-31	USF1IMI	Oracle Corp.	166.67
1974-04-30	USF1IMI	Oracle Corp.	163.51
1974-05-31	USF1IMI	Oracle Corp.	161.85
1974-06-30	USF1IMI	Oracle Corp.	162.0
1974-07-31	USF1IMI	Oracle Corp.	162.34
1974-08-31	USF1IMI	Oracle Corp.	152.97
1974-09-30	USF1IMI	Oracle Corp.	151.45
1974-10-31	USF1IMI	Oracle Corp.	151.08
1974-11-30	USF1IMI	Oracle Corp.	155.65
1974-12-31	USF1IMI	Oracle Corp.	150.74
1975-01-31	USF1IMI	Oracle Corp.	150.82
1975-02-28	USF1IMI	Oracle Corp.	146.52
1975-03-31	USF1IMI	Oracle Corp.	150.06
1975-04-30	USF1IMI	Oracle Corp.	149.77
1975-05-31	USF1IMI	Oracle Corp.	150.68
1975-06-30	USF1IMI	Oracle Corp.	148.08
1975-07-31	USF1IMI	Oracle Corp.	147.11
1975-08-31	USF1IMI	Oracle Corp.	147.09
1975-09-30	USF1IMI	Oracle Corp.	143.93
1975-10-31	USF1IMI	Oracle Corp.	141.16
1975-11-30	USF1IMI	Oracle Corp.	139.43
1975-12-31	USF1IMI	Oracle Corp.	140.14
1976-01-31	USF1IMI	Oracle Corp.	146.51
1976-02-29	USF1IMI	Oracle Corp.	148.15
1976-03-31	USF1IMI	Oracle Corp.	145.82
1976-04-30	USF1IMI	Oracle Corp.	142.84
1976-05-31	USF1IMI	Oracle Corp.	144.13
1976-06-30	USF1IMI	Oracle Corp.	147.08
1976-07-31	USF1IMI	Oracle Corp.	146.35
1976-08-31	USF1IMI	Oracle Corp.	139.61
1976-09-30	USF1IMI	Oracle Corp.	137.07
1976-10-31	USF1IMI	Oracle Corp.	134.41
1976-11-30	USF1IMI	Oracle Corp.	139.38
1976-12-31	USF1IMI	Oracle Corp.	136.87
1977-01-31	USF1IMI	Oracle Corp.	141.67
1977-02-28	USF1IMI	Oracle Corp.	145.38
1977-03-31	USF1IMI	Oracle Corp.	141.6
1977-04-30	USF1IMI	Oracle Corp.	140.64
1977-05-31	USF1IMI	Oracle Corp.	139.03
1977-06-30	USF1IMI	Oracle Corp.	137.43
1977-07-31	USF1IMI	Oracle Corp.	139.93
1977-08-31	USF1IMI	Oracle Corp.	133.73
1977-09-30	USF1IMI	Oracle Corp.	133.18
1977-10-31	USF1IMI	Oracle Corp.	130.41
1977-11-30	USF1IMI	Oracle Corp.	122.65
1977-12-31	USF1IMI	Oracle Corp.	123.59
1978-01-31	USF1IMI	Oracle Corp.	124.05
1978-02-28	USF1IMI	Oracle Corp.	118.95
1978-03-31	USF1IMI	Oracle Corp.	121.11
1978-04-30	USF1IMI	Oracle Corp.	121.57
1978-05-31	USF1IMI	Oracle Corp.	122.0
1978-06-30	USF1IMI	Oracle Corp.	122.25
1978-07-31	USF1IMI	Oracle Corp.	113.28
1978-08-31	USF1IMI	Oracle Corp.	114.7
1978-09-30	USF1IMI	Oracle Corp.	109.76
1978-10-31	USF1IMI	Oracle Corp.	114.39
1978-11-30	USF1IMI	Oracle Corp.	113.03
1978-12-31	USF1IMI	Oracle Corp.	112.69
1979-01-31	USF1IMI	Oracle Corp.	105.43
1979-02-28	USF1IMI	Oracle Corp.	100.85
1979-03-31	USF1IMI	Oracle Corp.	100.13
