Date	Company Code	Company Name	Stock Price
1959-01-31	USQ6R6F	Palantir Technologies	92.42
1959-02-28	USQ6R6F	Palantir Technologies	88.26
1959-03-31	USQ6R6F	Palantir Technologies	90.52
1959-04-30	USQ6R6F	Palantir Technologies	86.63
1959-05-31	USQ6R6F	Palantir Technologies	89.66
1959-06-30	USQ6R6F	Palantir Technologies	90.26
1959-07-31	USQ6R6F	Palantir Technologies	81.18
1959-08-31	USQ6R6F	Palantir Technologies	75.39
1959-09-30	USQ6R6F	Palantir Technologies	82.48
1959-10-31	USQ6R6F	Palantir Technologies	79.77
1959-11-30	USQ6R6F	Palantir Technologies	80.28
1959-12-31	USQ6R6F	Palantir Technologies	85.48
1960-01-31	USQ6R6F	Palantir Technologies	86.02
1960-02-29	USQ6R6F	Palantir Technologies	89.06
1960-03-31	USQ6R6F	Palantir Technologies	90.59
1960-04-30	USQ6R6F	Palantir Technologies	89.79
1960-05-31	USQ6R6F	Palantir Technologies	91.01
1960-06-30	USQ6R6F	Palantir Technologies	91.22
1960-07-31	USQ6R6F	Palantir Technologies	95.23
1960-08-31	USQ6R6F	Palantir Technologies	98.27
1960-09-30	USQ6R6F	Palantir Technologies	98.9
1960-10-31	USQ6R6F	Palantir Technologies	97.39
1960-11-30	USQ6R6F	Palantir Technologies	97.64
1960-12-31	USQ6R6F	Palantir Technologies	97.25
1961-01-31	USQ6R6F	Palantir Technologies	94.57
1961-02-28	USQ6R6F	Palantir Technologies	95.49
1961-03-31	USQ6R6F	Palantir Technologies	102.1
1961-04-30	USQ6R6F	Palantir Technologies	100.28
1961-05-31	USQ6R6F	Palantir Technologies	92.21
1961-06-30	USQ6R6F	Palantir Technologies	95.42
1961-07-31	USQ6R6F	Palantir Technologies	97.01
1961-08-31	USQ6R6F	Palantir Technologies	96.03
1961-09-30	USQ6R6F	Palantir Technologies	94.19
1961-10-31	USQ6R6F	Palantir Technologies	94.1
1961-11-30	USQ6R6F	Palantir Technologies	96.93
1961-12-31	USQ6R6F	Palantir Technologies	99.79
1962-01-31	USQ6R6F	Palantir Technologies	90.33
1962-02-28	USQ6R6F	Palantir Technologies	83.69
1962-03-31	USQ6R6F	Palantir Technologies	80.72
1962-04-30	USQ6R6F	Palantir Technologies	84.29
1962-05-31	USQ6R6F	Palantir Technologies	85.94
1962-06-30	USQ6R6F	Palantir Technologies	88.33
1962-07-31	USQ6R6F	Palantir Technologies	89.47
1962-08-31	USQ6R6F	Palantir Technologies	86.83
1962-09-30	USQ6R6F	Palantir Technologies	79.25
1962-10-31	USQ6R6F	Palantir Technologies	83.86
1962-11-30	USQ6R6F	Palantir Technologies	89.04
1962-12-31	USQ6R6F	Palantir Technologies	85.76
1963-01-31	USQ6R6F	Palantir Technologies	91.71
1963-02-28	USQ6R6F	Palantir Technologies	92.48
1963-03-31	USQ6R6F	Palantir Technologies	88.66
1963-04-30	USQ6R6F	Palantir Technologies	84.39
1963-05-31	USQ6R6F	Palantir Technologies	81.64
1963-06-30	USQ6R6F	Palantir Technologies	79.39
1963-07-31	USQ6R6F	Palantir Technologies	80.56
1963-08-31	USQ6R6F	Palantir Technologies	81.05
1963-09-30	USQ6R6F	Palantir Technologies	76.36
1963-10-31	USQ6R6F	Palantir Technologies	76.18
1963-11-30	USQ6R6F	Palantir Technologies	85.97
1963-12-31	USQ6R6F	Palantir Technologies	83.65
1964-01-31	USQ6R6F	Palantir Technologies	88.29
1964-02-29	USQ6R6F	Palantir Technologies	88.73
1964-03-31	USQ6R6F	Palantir Technologies	86.35
1964-04-30	USQ6R6F	Palantir Technologies	83.35
1964-05-31	USQ6R6F	Palantir Technologies	82.14
1964-06-30	USQ6R6F	Palantir Technologies	82.57
1964-07-31	USQ6R6F	Palantir Technologies	85.24
1964-08-31	USQ6R6F	Palantir Technologies	85.73
1964-09-30	USQ6R6F	Palantir Technologies	91.96
1964-10-31	USQ6R6F	Palantir Technologies	85.42
1964-11-30	USQ6R6F	Palantir Technologies	79.41
1964-12-31	USQ6R6F	Palantir Technologies	75.95
1965-01-31	USQ6R6F	Palantir Technologies	79.38
1965-02-28	USQ6R6F	Palantir Technologies	80.79
1965-03-31	USQ6R6F	Palantir Technologies	80.07
1965-04-30	USQ6R6F	Palantir Technologies	83.64
1965-05-31	USQ6R6F	Palantir Technologies	79.67
1965-06-30	USQ6R6F	Palantir Technologies	78.74
1965-07-31	USQ6R6F	Palantir Technologies	71.53
1965-08-31	USQ6R6F	Palantir Technologies	64.99
1965-09-30	USQ6R6F	Palantir Technologies	62.65
1965-10-31	USQ6R6F	Palantir Technologies	66.8
1965-11-30	USQ6R6F	Palantir Technologies	70.65
1965-12-31	USQ6R6F	Palantir Technologies	71.26
1966-01-31	USQ6R6F	Palantir Technologies	74.32
1966-02-28	USQ6R6F	Palantir Technologies	80.31
1966-03-31	USQ6R6F	Palantir Technologies	73.7
1966-04-30	USQ6R6F	Palantir Technologies	71.32
1966-05-31	USQ6R6F	Palantir Technologies	71.06
1966-06-30	USQ6R6F	Palantir Technologies	73.94
1966-07-31	USQ6R6F	Palantir Technologies	79.78
1966-08-31	USQ6R6F	Palantir Technologies	73.92
1966-09-30	USQ6R6F	Palantir Technologies	73.46
1966-10-31	USQ6R6F	Palantir Technologies	78.07
1966-11-30	USQ6R6F	Palantir Technologies	69.99
1966-12-31	USQ6R6F	Palantir Technologies	67.08
1967-01-31	USQ6R6F	Palantir Technologies	65.1
1967-02-28	USQ6R6F	Palantir Technologies	62.9
1967-03-31	USQ6R6F	Palantir Technologies	62.35269939719596
1967-04-30	USQ6R6F	Palantir Technologies	66.81
1967-05-31	USQ6R6F	Palantir Technologies	66.6
1967-06-30	USQ6R6F	Palantir Technologies	65.06
1967-07-31	USQ6R6F	Palantir Technologies	65.37
1967-08-31	USQ6R6F	Palantir Technologies	66.4
1967-09-30	USQ6R6F	Palantir Technologies	63.77
1967-10-31	USQ6R6F	Palantir Technologies	64.09
1967-11-30	USQ6R6F	Palantir Technologies	64.4
1967-12-31	USQ6R6F	Palantir Technologies	63.91
1968-01-31	USQ6R6F	Palantir Technologies	62.33762182693207
1968-02-29	USQ6R6F	Palantir Technologies	62.04
1968-03-31	USQ6R6F	Palantir Technologies	63.21
1968-04-30	USQ6R6F	Palantir Technologies	64.39
1968-05-31	USQ6R6F	Palantir Technologies	66.8
1968-06-30	USQ6R6F	Palantir Technologies	64.46
1968-07-31	USQ6R6F	Palantir Technologies	61.05222037897731
1968-08-31	USQ6R6F	Palantir Technologies	69.51
1968-09-30	USQ6R6F	Palantir Technologies	65.72
1968-10-31	USQ6R6F	Palantir Technologies	61.2
1968-11-30	USQ6R6F	Palantir Technologies	61.3
1968-12-31	USQ6R6F	Palantir Technologies	65.07
